# Filename	binding\c59df9f5-ca5d-47e7-9ade-f65719a2285e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:10:33
# Dir	-1
# field	4.647810216692736e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.647810216692736e-11	NaN	NaN	NaN	-31391.633498527328	6.074513762229917e6	0.
-0.00002720495530887996	4.647810216692736e-11	NaN	NaN	NaN	-34700.79632887622	7.034200140439065e6	0.
-0.000024165295497831922	4.647810216692736e-11	NaN	NaN	NaN	-38526.81372719972	8.191041507438285e6	0.
-0.00002112563568678388	4.647810216692736e-11	NaN	NaN	NaN	-43225.186221824304	9.673360178669268e6	0.
-0.000030244615119928003	4.647810216692736e-11	NaN	NaN	NaN	-31535.470947728638	6.115384571956075e6	0.
-0.00002705297231832756	4.647810216692736e-11	NaN	NaN	NaN	-34874.92977074038	7.085787792672719e6	0.
-0.00002401331250727952	4.647810216692736e-11	NaN	NaN	NaN	-38738.932225564764	8.256557071711206e6	0.
-0.000020973652696231478	4.647810216692736e-11	NaN	NaN	NaN	-43487.9248151744	9.758090476221798e6	0.
-0.0000300926321293756	4.647810216692736e-11	NaN	NaN	NaN	-31680.573581253415	6.1566946303046495e6	0.
-0.00002690098932777516	4.647810216692736e-11	NaN	NaN	NaN	-35050.72480036306	7.13797466386441e6	0.
-0.000023861329516727117	4.647810216692736e-11	NaN	NaN	NaN	-38953.244666577295	8.322891335530987e6	0.
-0.000020821669705679075	4.647810216692736e-11	NaN	NaN	NaN	-43753.61441337529	9.843959325693863e6	0.
-0.000029940649138823198	4.647810216692736e-11	NaN	NaN	NaN	-31826.957377148694	6.198449901944232e6	0.
-0.000026749006337222757	4.647810216692736e-11	NaN	NaN	NaN	-35228.20393803155	7.190768986545599e6	0.
-0.000023709346526174715	4.647810216692736e-11	NaN	NaN	NaN	-39169.78283055004	8.39005681094181e6	0.
-0.000020669686715126676	4.647810216692736e-11	NaN	NaN	NaN	-44022.30052438442	9.93098703415945e6	0.
-0.000029788666148270795	4.647810216692736e-11	NaN	NaN	NaN	-31974.638569557876	6.240657785494133e6	0.
-0.000026597023346670354	4.647810216692736e-11	NaN	NaN	NaN	-35407.390086146326	7.244180303587515e6	0.
-0.000023557363535622312	4.647810216692736e-11	NaN	NaN	NaN	-39388.57906332775	8.45806876509915e6	0.
-0.000020517703724574274	4.647810216692736e-11	NaN	NaN	NaN	-44294.02949400738	1.00191931728128e7	0.
-0.000029636683157718393	4.647810216692736e-11	NaN	NaN	NaN	-32123.63365355564	6.283324755955658e6	0.
-0.00002644504035611795	4.647810216692736e-11	NaN	NaN	NaN	-35588.30653670771	7.298218875933115e6	0.
-0.000023405380545069913	4.647810216692736e-11	NaN	NaN	NaN	-39609.66628756222	8.52693907626895e6	0.
-0.00002036572073402187	4.647810216692736e-11	NaN	NaN	NaN	-44568.84852229833	1.010859805112631e7	0.
-0.000029484700167165993	4.647810216692736e-11	NaN	NaN	NaN	-32273.959390084157	6.3264571338775465e6	0.
-0.00002629305736556555	4.647810216692736e-11	NaN	NaN	NaN	-35770.976978959574	7.352893386810439e6	0.
-0.00002325339755451751	4.647810216692736e-11	NaN	NaN	NaN	-39833.07801421484	8.596683403579764e6	0.
-0.00002021373774346947	4.647810216692736e-11	NaN	NaN	NaN	-44846.80568024039	1.0199222159999898e7	0.
-0.00002933271717661359	4.647810216692736e-11	NaN	NaN	NaN	-32425.632810993	6.37006215227973e6	0.
