# Filename	binding\c5d9850d-19e5-4f49-8fa0-b411195c3a96.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:09:17
# Dir	-1
# field	3.889380934470909e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.889380934470909e-11	NaN	NaN	NaN	-31619.165702768496	6.156054429177182e6	0.
-0.00002720495530887996	3.889380934470909e-11	NaN	NaN	NaN	-35006.06954058329	7.14849511868369e6	0.
-0.000024165295497831922	3.889380934470909e-11	NaN	NaN	NaN	-38941.02198711315	8.35313432082182e6	0.
-0.00002112563568678388	3.889380934470909e-11	NaN	NaN	NaN	-43803.330932871926	9.91039830920367e6	0.
-0.000030244615119928003	3.889380934470909e-11	NaN	NaN	NaN	-31766.080675552737	6.198194786478505e6	0.
-0.00002705297231832756	3.889380934470909e-11	NaN	NaN	NaN	-35184.706161017675	7.202018335464632e6	0.
-0.00002401331250727952	3.889380934470909e-11	NaN	NaN	NaN	-39159.80811816134	8.42163444105806e6	0.
-0.000020973652696231478	3.889380934470909e-11	NaN	NaN	NaN	-44076.26728794696	9.999885029821673e6	0.
-0.0000300926321293756	3.889380934470909e-11	NaN	NaN	NaN	-31914.31500451984	6.240800054181462e6	0.
-0.00002690098932777516	3.889380934470909e-11	NaN	NaN	NaN	-35365.09029825281	7.256182003128451e6	0.
-0.000023861329516727117	3.889380934470909e-11	NaN	NaN	NaN	-39380.9259489125	8.491021042402372e6	0.
-0.000020821669705679075	3.889380934470909e-11	NaN	NaN	NaN	-44352.38302127503	1.0090628058213038e7	0.
-0.000029940649138823198	3.889380934470909e-11	NaN	NaN	NaN	-32063.885829255712	6.283876228074572e6	0.
-0.000026749006337222757	3.889380934470909e-11	NaN	NaN	NaN	-35547.24645636759	7.3109949642181415e6	0.
-0.000023709346526174715	3.889380934470909e-11	NaN	NaN	NaN	-39604.41067220081	8.5613086814261e6	0.
-0.000020669686715126676	3.889380934470909e-11	NaN	NaN	NaN	-44631.72969433762	1.018264916674391e7	0.
