# Filename	binding\ca20da4e-96b6-47b7-8fcf-f4ed3cc80e3a.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:29:14
# Dir	1
# field	1.4001771364095272e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.4001771364095272e-11	NaN	NaN	NaN	33412.675668719465	6.823931853949629e6	0.
-0.00002720495530887996	1.4001771364095272e-11	NaN	NaN	NaN	37481.042575568965	8.119950708070608e6	0.
-0.000024165295497831922	1.4001771364095272e-11	NaN	NaN	NaN	42424.51497674268	9.798963148694107e6	0.
-0.00002112563568678388	1.4001771364095272e-11	NaN	NaN	NaN	48922.14981150607	1.2173132082964165e7	0.
-0.000030244615119928003	1.4001771364095272e-11	NaN	NaN	NaN	33585.95312118889	6.877507625159622e6	-2.9120076447486126e-7
-0.00002705297231832756	1.4001771364095272e-11	NaN	NaN	NaN	37700.1354459762	8.191972124350009e6	0.
-0.00002401331250727952	1.4001771364095272e-11	NaN	NaN	NaN	42707.049234742415	9.898289161334379e6	-3.733425497839552e-7
-0.000020973652696231478	1.4001771364095272e-11	NaN	NaN	NaN	49301.535613315275	1.2317491035724113e7	0.
-0.0000300926321293756	1.4001771364095272e-11	NaN	NaN	NaN	33761.066468949975	6.931802226859888e6	0.
-0.00002690098932777516	1.4001771364095272e-11	NaN	NaN	NaN	37921.857705554525	8.265086788397708e6	0.
-0.000023861329516727117	1.4001771364095272e-11	NaN	NaN	NaN	42993.472559741094	9.999353277644379e6	0.
-0.000020821669705679075	1.4001771364095272e-11	NaN	NaN	NaN	49687.0639229846	1.2464829884323973e7	0.
-0.000029940649138823198	1.4001771364095272e-11	NaN	NaN	NaN	33938.045517979386	6.986825967850856e6	0.
-0.000026749006337222757	1.4001771364095272e-11	NaN	NaN	NaN	38146.25794492908	8.339318834733891e6	0.
-0.000023709346526174715	1.4001771364095272e-11	NaN	NaN	NaN	43283.867930658875	1.0102192064627195e7	-2.4102679055013645e-7
-0.000020669686715126676	1.4001771364095272e-11	NaN	NaN	NaN	50078.89042481882	1.2615233661792973e7	0.
-0.000029788666148270795	1.4001771364095272e-11	NaN	NaN	NaN	34116.92073322218	7.042590813347567e6	-3.5144741923032324e-7
-0.000026597023346670354	1.4001771364095272e-11	NaN	NaN	NaN	38373.38598330823	8.414690237128425e6	-1.8415815149206136e-7
-0.000023557363535622312	1.4001771364095272e-11	NaN	NaN	NaN	43578.320764157506	1.0206857000613779e7	0.
-0.000020517703724574274	1.4001771364095272e-11	NaN	NaN	NaN	50477.17628657183	1.2768802752639733e7	0.
-0.000029636683157718393	1.4001771364095272e-11	NaN	NaN	NaN	34297.723257183745	7.0991182749368735e6	0.
-0.00002644504035611795	1.4001771364095272e-11	NaN	NaN	NaN	38603.292908301286	8.491229599433675e6	-1.9845364949905687e-7
-0.000023405380545069913	1.4001771364095272e-11	NaN	NaN	NaN	43876.91900697579	1.031339246508687e7	0.
-0.00002036572073402187	1.4001771364095272e-11	NaN	NaN	NaN	50882.08841053251	1.2925624800663734e7	0.
-0.000029484700167165993	1.4001771364095272e-11	NaN	NaN	NaN	34480.4849291639	7.1564142854020875e6	-1.9952408334723723e-7
-0.00002629305736556555	1.4001771364095272e-11	NaN	NaN	NaN	38836.03111732302	8.568963040717293e6	0.
-0.00002325339755451751	1.4001771364095272e-11	NaN	NaN	NaN	44179.75323258392	1.0421847459755028e7	0.
-0.00002021373774346947	1.4001771364095272e-11	NaN	NaN	NaN	51293.79969892576	1.308580918794641e7	0.
-0.00002933271717661359	1.4001771364095272e-11	NaN	NaN	NaN	34665.238305158746	7.214501677087482e6	0.
-0.000026141074375013146	1.4001771364095272e-11	NaN	NaN	NaN	39071.65436065983	8.647912464828225e6	-1.9757694401894279e-7
-0.000023101414563965108	1.4001771364095272e-11	NaN	NaN	NaN	44486.91674240502	1.0532262956247875e7	0.
-0.000020061754752917066	1.4001771364095272e-11	NaN	NaN	NaN	51712.489334607424	1.3249457161606282e7	0.
-0.000029180734186061188	1.4001771364095272e-11	NaN	NaN	NaN	34852.01667846037	7.273391967652456e6	0.
-0.000025989091384460747	1.4001771364095272e-11	NaN	NaN	NaN	39310.21778627647	8.728111672941023e6	0.
-0.000022949431573412705	1.4001771364095272e-11	NaN	NaN	NaN	44798.50567185907	1.0644701218329793e7	-2.8012149754399026e-7
-0.000019909771762364663	1.4001771364095272e-11	NaN	NaN	NaN	52138.3430781224	1.3416679685962407e7	0.
-0.000029028751195508785	1.4001771364095272e-11	NaN	NaN	NaN	35040.85410097975	7.33310043199743e6	-7.602326504137998e-7
-0.000025837108393908344	1.4001771364095272e-11	NaN	NaN	NaN	39551.77798645084	8.809587469304811e6	0.
-0.000022797448582860302	1.4001771364095272e-11	NaN	NaN	NaN	45114.61910150525	1.075921685645333e7	0.
-0.000019757788771812264	1.4001771364095272e-11	NaN	NaN	NaN	52571.55358227468	1.358759122618875e7	0.
-0.000028876768204956383	1.4001771364095272e-11	NaN	NaN	NaN	35231.78540532669	7.393647315992559e6	0.
