# Filename	binding\ca31e2c3-d283-46e4-aee6-1218388492f5.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:04:11
# Dir	-1
# field	8.362169009112455e-12
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	8.362169009112455e-12	NaN	NaN	NaN	-32605.944143463334	6.517893677620732e6	0.
-0.00002720495530887996	8.362169009112455e-12	NaN	NaN	NaN	-36351.82478134988	7.666601280701621e6	0.
-0.000024165295497831922	8.362169009112455e-12	NaN	NaN	NaN	-40805.471037586925	9.108108749297287e6	0.
-0.00002112563568678388	8.362169009112455e-12	NaN	NaN	NaN	-46480.68043809407	1.1055898218172844e7	-4.635780534699723e-7
-0.000030244615119928003	8.362169009112455e-12	NaN	NaN	NaN	-32766.88418574622	6.565995522470884e6	0.
-0.00002705297231832756	8.362169009112455e-12	NaN	NaN	NaN	-36551.54781948681	7.729519445705409e6	0.
-0.00002401331250727952	8.362169009112455e-12	NaN	NaN	NaN	-41056.57531662856	9.191724952508101e6	0.
-0.000020973652696231478	8.362169009112455e-12	NaN	NaN	NaN	-46805.418947157865	1.1170921280364947e7	0.
-0.0000300926321293756	8.362169009112455e-12	NaN	NaN	NaN	-32929.40653292269	6.614687492552566e6	0.
-0.00002690098932777516	8.362169009112455e-12	NaN	NaN	NaN	-36753.45295730349	7.7932961470546415e6	0.
-0.000023861329516727117	8.362169009112455e-12	NaN	NaN	NaN	-41310.745416113445	9.276613666261993e6	0.
-0.000020821669705679075	8.362169009112455e-12	NaN	NaN	NaN	-47134.64362541262	1.128791183687317e7	0.
-0.000029940649138823198	8.362169009112455e-12	NaN	NaN	NaN	-33093.53442055152	6.663978282437108e6	0.
-0.000026749006337222757	8.362169009112455e-12	NaN	NaN	NaN	-36957.57574190292	7.857941940616081e6	0.
-0.000023709346526174715	8.362169009112455e-12	NaN	NaN	NaN	-41568.037012593246	9.362791729767188e6	0.
-0.000020669686715126676	8.362169009112455e-12	NaN	NaN	NaN	-47468.44631971083	1.1406923176107941e7	0.
-0.000029788666148270795	8.362169009112455e-12	NaN	NaN	NaN	-33259.29153706422	6.713878574469917e6	0.
-0.000026597023346670354	8.362169009112455e-12	NaN	NaN	NaN	-37163.9524875369	7.923477351531288e6	0.
-0.000023557363535622312	8.362169009112455e-12	NaN	NaN	NaN	-41828.507118575086	9.450296345743464e6	-4.772810562298683e-7
-0.000020517703724574274	8.362169009112455e-12	NaN	NaN	NaN	-47806.921351334626	1.1527999524102248e7	0.
-0.000029636683157718393	8.362169009112455e-12	NaN	NaN	NaN	-33426.70203474598	6.764399728680168e6	0.
-0.00002644504035611795	8.362169009112455e-12	NaN	NaN	NaN	-37372.62029615563	7.989917931391667e6	0.
-0.000023405380545069913	8.362169009112455e-12	NaN	NaN	NaN	-42092.214122189085	9.53915224783274e6	0.
-0.00002036572073402187	8.362169009112455e-12	NaN	NaN	NaN	-48150.16559810523	1.1651189926941577e7	-9.084852284874372e-7
-0.000029484700167165993	8.362169009112455e-12	NaN	NaN	NaN	-33595.79054103171	6.815550560665673e6	0.
-0.00002629305736556555	8.362169009112455e-12	NaN	NaN	NaN	-37583.61707861344	8.057281439868697e6	0.
-0.00002325339755451751	8.362169009112455e-12	NaN	NaN	NaN	-42359.21782825981	9.629389139206275e6	0.
-0.00002021373774346947	8.362169009112455e-12	NaN	NaN	NaN	-48498.27857970387	1.1776550356657399e7	0.
-0.00002933271717661359	8.362169009112455e-12	NaN	NaN	NaN	-33766.58217013177	6.867342075881094e6	-2.411544758191983e-7
-0.000026141074375013146	8.362169009112455e-12	NaN	NaN	NaN	-37796.98157655391	8.12558593758896e6	0.
-0.000023101414563965108	8.362169009112455e-12	NaN	NaN	NaN	-42629.5795008254	9.721035277371341e6	0.
-0.000020061754752917066	8.362169009112455e-12	NaN	NaN	NaN	-48851.36254635334	1.1904127441269945e7	-4.589699970197461e-7
-0.000029180734186061188	8.362169009112455e-12	NaN	NaN	NaN	-33939.10253499563	6.919788810607887e6	0.
-0.000025989091384460747	8.362169009112455e-12	NaN	NaN	NaN	-38012.753384999494	8.194848758188823e6	0.
-0.000022949431573412705	8.362169009112455e-12	NaN	NaN	NaN	-42903.361907175924	9.814122159664987e6	0.
-0.000019909771762364663	8.362169009112455e-12	NaN	NaN	NaN	-49209.52257100524	1.2033981043355841e7	0.
-0.000029028751195508785	8.362169009112455e-12	NaN	NaN	NaN	-34113.37775962826	6.972899741867862e6	0.
-0.000025837108393908344	8.362169009112455e-12	NaN	NaN	NaN	-38230.972975672936	8.26508929195633e6	0.
-0.000022797448582860302	8.362169009112455e-12	NaN	NaN	NaN	-43180.6293634642	9.90868164590903e6	0.
-0.000019757788771812264	8.362169009112455e-12	NaN	NaN	NaN	-49572.86664519896	1.2166163581676045e7	0.
