# Filename	binding\cbbb11e5-8af0-4f13-84d7-4d758a9e6e2f.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:12:27
# Dir	-1
# field	5.795177592361655e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	5.795177592361655e-11	NaN	NaN	NaN	-31059.241592724797	5.956639324474508e6	0.
-0.00002720495530887996	5.795177592361655e-11	NaN	NaN	NaN	-34257.99437386141	6.8704821131404685e6	0.
-0.000024165295497831922	5.795177592361655e-11	NaN	NaN	NaN	-37931.260322601796	7.961457143380035e6	0.
-0.00002112563568678388	5.795177592361655e-11	NaN	NaN	NaN	-42403.443229408935	9.342512825188437e6	0.
-0.000030244615119928003	5.795177592361655e-11	NaN	NaN	NaN	-31198.68377033554	5.995720443406919e6	0.
-0.00002705297231832756	5.795177592361655e-11	NaN	NaN	NaN	-34425.76993565984	6.919380638796248e6	0.
-0.00002401331250727952	5.795177592361655e-11	NaN	NaN	NaN	-38134.09689191297	8.02289574925585e6	0.
-0.000020973652696231478	5.795177592361655e-11	NaN	NaN	NaN	-42652.242853362484	9.420887666358016e6	0.
-0.0000300926321293756	5.795177592361655e-11	NaN	NaN	NaN	-31339.31593025086	6.035206045510861e6	0.
-0.00002690098932777516	5.795177592361655e-11	NaN	NaN	NaN	-34595.08980736642	6.968821905562715e6	0.
-0.000023861329516727117	5.795177592361655e-11	NaN	NaN	NaN	-38338.94325351934	8.085064754327125e6	0.
-0.000020821669705679075	5.795177592361655e-11	NaN	NaN	NaN	-42903.69625331783	9.500253516874095e6	0.
-0.000029940649138823198	5.795177592361655e-11	NaN	NaN	NaN	-31481.15249313744	6.075104179059015e6	0.
-0.000026749006337222757	5.795177592361655e-11	NaN	NaN	NaN	-34765.97391218128	7.018815720482582e6	0.
-0.000023709346526174715	5.795177592361655e-11	NaN	NaN	NaN	-38545.826848677396	8.147973855514186e6	0.
-0.000020669686715126676	5.795177592361655e-11	NaN	NaN	NaN	-43157.84152389898	9.580627069106724e6	0.
-0.000029788666148270795	5.795177592361655e-11	NaN	NaN	NaN	-31624.20809841364	6.115418146901581e6	0.
-0.000026597023346670354	5.795177592361655e-11	NaN	NaN	NaN	-34938.442489488465	7.069368157296961e6	0.
-0.000023557363535622312	5.795177592361655e-11	NaN	NaN	NaN	-38754.77556857397	8.2116362869524695e6	0.
-0.000020517703724574274	5.795177592361655e-11	NaN	NaN	NaN	-43414.71739279038	9.662023090579947e6	0.
-0.000029636683157718393	5.795177592361655e-11	NaN	NaN	NaN	-31768.497608082416	6.15615423873185e6	0.
-0.00002644504035611795	5.795177592361655e-11	NaN	NaN	NaN	-35112.51610049383	7.120489806163071e6	0.
-0.000023405380545069913	5.795177592361655e-11	NaN	NaN	NaN	-38965.81776226414	8.276061359961155e6	0.
-0.00002036572073402187	5.795177592361655e-11	NaN	NaN	NaN	-43674.36323120296	9.744458369519303e6	0.
-0.000029484700167165993	5.795177592361655e-11	NaN	NaN	NaN	-31914.03611063564	6.197319462567882e6	0.
-0.00002629305736556555	5.795177592361655e-11	NaN	NaN	NaN	-35288.215633963955	7.172187322583151e6	0.
-0.00002325339755451751	5.795177592361655e-11	NaN	NaN	NaN	-39178.98224473693	8.341262284455271e6	0.
-0.00002021373774346947	5.795177592361655e-11	NaN	NaN	NaN	-43936.819064452815	9.827949103695031e6	0.
-0.00002933271717661359	5.795177592361655e-11	NaN	NaN	NaN	-32060.83892503168	6.238918985999725e6	0.
-0.000026141074375013146	5.795177592361655e-11	NaN	NaN	NaN	-35465.56231206959	7.224469672277076e6	0.
-0.000023101414563965108	5.795177592361655e-11	NaN	NaN	NaN	-39394.29830510804	8.407250421616217e6	0.
-0.000020061754752917066	5.795177592361655e-11	NaN	NaN	NaN	-44202.12558265005	9.912511590067543e6	0.
-0.000029180734186061188	5.795177592361655e-11	NaN	NaN	NaN	-32208.92160474805	6.280958308927107e6	0.
-0.000025989091384460747	5.795177592361655e-11	NaN	NaN	NaN	-35644.57769633327	7.2773455350584015e6	0.
-0.000022949431573412705	5.795177592361655e-11	NaN	NaN	NaN	-39611.7957149413	8.474037890839843e6	0.
-0.000019909771762364663	5.795177592361655e-11	NaN	NaN	NaN	-44470.324151494206	9.998163416558623e6	0.
-0.000029028751195508785	5.795177592361655e-11	NaN	NaN	NaN	-32358.299941910078	6.323445336657872e6	0.
-0.000025837108393908344	5.795177592361655e-11	NaN	NaN	NaN	-35825.283693683654	7.330823135021044e6	0.
-0.000022797448582860302	5.795177592361655e-11	NaN	NaN	NaN	-39831.504736698895	8.541636677138682e6	0.
-0.000019757788771812264	5.795177592361655e-11	NaN	NaN	NaN	-44741.45682317224	1.0084921710739069e7	0.
-0.000028876768204956383	5.795177592361655e-11	NaN	NaN	NaN	-32508.98997149628	6.366383487384622e6	0.
-0.000025685125403355942	5.795177592361655e-11	NaN	NaN	NaN	-36007.70256261776	7.384911416850665e6	0.
-0.0000226454655923079	5.795177592361655e-11	NaN	NaN	NaN	-40053.45613232091	8.610059645987058e6	0.
-0.00001960580578125986	5.795177592361655e-11	NaN	NaN	NaN	-45015.56634735525	1.0172802696443446e7	0.
-0.000028724785214403984	5.795177592361655e-11	NaN	NaN	NaN	-32661.00797562353	6.409781272238384e6	0.
-0.00002553314241280354	5.795177592361655e-11	NaN	NaN	NaN	-36191.85691947245	7.439620048750867e6	0.
-0.0000224934826017555	5.795177592361655e-11	NaN	NaN	NaN	-40277.681171934324	8.679319729791166e6	0.
-0.00001945382279070746	5.795177592361655e-11	NaN	NaN	NaN	-45292.69618228941	1.0261825642686002e7	0.
-0.00002857280222385158	5.795177592361655e-11	NaN	NaN	NaN	-32814.370487911474	6.453645412126192e6	0.
-0.000025381159422251137	5.795177592361655e-11	NaN	NaN	NaN	-36377.76974480653	7.494957400715548e6	0.
-0.000022341499611203098	5.795177592361655e-11	NaN	NaN	NaN	-40504.21164269177	8.749428738925286e6	0.
-0.000019301839800155056	5.795177592361655e-11	NaN	NaN	NaN	-45572.89050597552	1.0352008403245974e7	0.
-0.00002842081923329918	5.795177592361655e-11	NaN	NaN	NaN	-32969.094297928554	6.497980406265271e6	0.
-0.000025229176431698734	5.795177592361655e-11	NaN	NaN	NaN	-36565.46438989531	7.550933066058316e6	0.
-0.000022189516620650695	5.795177592361655e-11	NaN	NaN	NaN	-40733.07985774032	8.820400763259927e6	0.
-0.000019149856809602654	5.795177592361655e-11	NaN	NaN	NaN	-45856.194227432556	1.0443368630155394e7	0.
-0.000028268836242746776	5.795177592361655e-11	NaN	NaN	NaN	-33125.19645572167	6.54279506310975e6	0.
-0.000025077193441146335	5.795177592361655e-11	NaN	NaN	NaN	-36754.96458333845	7.607556836911375e6	0.
-0.000022037533630098293	5.795177592361655e-11	NaN	NaN	NaN	-40964.31866531955	8.892248900276437e6	0.
-0.000018997873819050254	5.795177592361655e-11	NaN	NaN	NaN	-46142.652998038946	1.0535925690679654e7	0.
-0.000028116853252194373	5.795177592361655e-11	NaN	NaN	NaN	-33282.69427642908	6.588094430980842e6	0.
-0.000024925210450593932	5.795177592361655e-11	NaN	NaN	NaN	-36946.29443778276	7.664838122857734e6	0.
-0.00002188555063954589	5.795177592361655e-11	NaN	NaN	NaN	-41197.96145798934	8.96498668036247e6	0.
-0.00001884589082849785	5.795177592361655e-11	NaN	NaN	NaN	-46432.31322294509	1.0629698454563102e7	0.
-0.00002796487026164197	5.795177592361655e-11	NaN	NaN	NaN	-33441.60534498007	6.633886484785651e6	0.
