# Filename	binding\cd3f5f50-1ed7-47cb-927e-f320ff28868b.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:06:42
# Dir	-1
# field	5.3284518802251457e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	5.3284518802251457e-11	NaN	NaN	NaN	-31192.789602343844	-31192.789602343844	3.141592653589793
-0.00002720495530887996	5.3284518802251457e-11	NaN	NaN	NaN	-34435.4606160105	-34435.4606160105	3.141592653589793
-0.000024165295497831922	5.3284518802251457e-11	NaN	NaN	NaN	-38169.21544954373	-38169.21544954373	3.141592653589793
-0.00002112563568678388	5.3284518802251457e-11	NaN	NaN	NaN	-42730.46317064312	-42730.46317064312	3.141592653589793
-0.000030244615119928003	5.3284518802251457e-11	NaN	NaN	NaN	-31333.983540899877	-31333.983540899877	3.141592653589793
-0.00002705297231832756	5.3284518802251457e-11	NaN	NaN	NaN	-34605.7599214479	-34605.7599214479	3.141592653589793
-0.00002401331250727952	5.3284518802251457e-11	NaN	NaN	NaN	-38375.718268732824	-38375.718268732824	3.141592653589793
-0.000020973652696231478	5.3284518802251457e-11	NaN	NaN	NaN	-42984.73345710742	-42984.73345710742	3.141592653589793
-0.0000300926321293756	5.3284518802251457e-11	NaN	NaN	NaN	-31476.39712998827	-31476.39712998827	3.141592653589793
-0.00002690098932777516	5.3284518802251457e-11	NaN	NaN	NaN	-34777.64952638198	-34777.64952638198	3.141592653589793
-0.000023861329516727117	5.3284518802251457e-11	NaN	NaN	NaN	-38584.30256413841	-38584.30256413841	3.141592653589793
-0.000020821669705679075	5.3284518802251457e-11	NaN	NaN	NaN	-43241.77213301708	-43241.77213301708	3.141592653589793
-0.000029940649138823198	5.3284518802251457e-11	NaN	NaN	NaN	-31620.045396971233	-31620.045396971233	3.141592653589793
-0.000026749006337222757	5.3284518802251457e-11	NaN	NaN	NaN	-34951.15035709517	-34951.15035709517	3.141592653589793
-0.000023709346526174715	5.3284518802251457e-11	NaN	NaN	NaN	-38794.997435418176	-38794.997435418176	3.141592653589793
-0.000020669686715126676	5.3284518802251457e-11	NaN	NaN	NaN	-43501.62008836108	-43501.62008836108	3.141592653589793
-0.000029788666148270795	5.3284518802251457e-11	NaN	NaN	NaN	-31764.943602286225	-31764.943602286225	3.141592653589793
-0.000026597023346670354	5.3284518802251457e-11	NaN	NaN	NaN	-35126.2836810396	-35126.2836810396	3.141592653589793
-0.000023557363535622312	5.3284518802251457e-11	NaN	NaN	NaN	-39007.832475327494	-39007.832475327494	3.141592653589793
-0.000020517703724574274	5.3284518802251457e-11	NaN	NaN	NaN	-43764.31892119332	-43764.31892119332	3.141592653589793
-0.000029636683157718393	5.3284518802251457e-11	NaN	NaN	NaN	-31911.107243654995	-31911.107243654995	3.141592653589793
-0.00002644504035611795	5.3284518802251457e-11	NaN	NaN	NaN	-35303.071113158745	-35303.071113158745	3.141592653589793
-0.000023405380545069913	5.3284518802251457e-11	NaN	NaN	NaN	-39222.83777886641	-39222.83777886641	3.141592653589793
-0.00002036572073402187	5.3284518802251457e-11	NaN	NaN	NaN	-44029.910950186146	-44029.910950186146	3.141592653589793
-0.000029484700167165993	5.3284518802251457e-11	NaN	NaN	NaN	-32058.552060376296	-32058.552060376296	3.141592653589793
-0.00002629305736556555	5.3284518802251457e-11	NaN	NaN	NaN	-35481.5346223309	-35481.5346223309	3.141592653589793
-0.00002325339755451751	5.3284518802251457e-11	NaN	NaN	NaN	-39440.04395258791	-39440.04395258791	3.141592653589793
-0.00002021373774346947	5.3284518802251457e-11	NaN	NaN	NaN	-44298.43922735131	-44298.43922735131	3.141592653589793
-0.00002933271717661359	5.3284518802251457e-11	NaN	NaN	NaN	-32207.294037702464	-32207.294037702464	3.141592653589793
-0.000026141074375013146	5.3284518802251457e-11	NaN	NaN	NaN	-35661.696537936186	-35661.696537936186	3.141592653589793
-0.000023101414563965108	5.3284518802251457e-11	NaN	NaN	NaN	-39659.482124069465	-39659.482124069465	3.141592653589793
-0.000020061754752917066	5.3284518802251457e-11	NaN	NaN	NaN	-44569.94755092716	-44569.94755092716	3.141592653589793
-0.000029180734186061188	5.3284518802251457e-11	NaN	NaN	NaN	-32357.34941130227	-32357.34941130227	3.141592653589793
-0.000025989091384460747	5.3284518802251457e-11	NaN	NaN	NaN	-35843.579556549856	-35843.579556549856	3.141592653589793
-0.000022949431573412705	5.3284518802251457e-11	NaN	NaN	NaN	-39881.18395154907	-39881.18395154907	3.141592653589793
-0.000019909771762364663	5.3284518802251457e-11	NaN	NaN	NaN	-44844.48047842933	-44844.48047842933	3.141592653589793
-0.000029028751195508785	5.3284518802251457e-11	NaN	NaN	NaN	-32508.734671811406	-32508.734671811406	3.141592653589793
-0.000025837108393908344	5.3284518802251457e-11	NaN	NaN	NaN	-36027.20674876333	-36027.20674876333	3.141592653589793
-0.000022797448582860302	5.3284518802251457e-11	NaN	NaN	NaN	-40105.1816337278	-40105.1816337278	3.141592653589793
-0.000019757788771812264	5.3284518802251457e-11	NaN	NaN	NaN	-45122.0833398622	-45122.0833398622	3.141592653589793
-0.000028876768204956383	5.3284518802251457e-11	NaN	NaN	NaN	-32661.46656947243	-32661.46656947243	3.141592653589793
-0.000025685125403355942	5.3284518802251457e-11	NaN	NaN	NaN	-36212.60156613556	-36212.60156613556	3.141592653589793
-0.0000226454655923079	5.3284518802251457e-11	NaN	NaN	NaN	-40331.50791973937	-40331.50791973937	3.141592653589793
-0.00001960580578125986	5.3284518802251457e-11	NaN	NaN	NaN	-45402.8022510879	-45402.8022510879	3.141592653589793
-0.000028724785214403984	5.3284518802251457e-11	NaN	NaN	NaN	-32815.56211886611	-32815.56211886611	3.141592653589793
-0.00002553314241280354	5.3284518802251457e-11	NaN	NaN	NaN	-36399.78784827625	-36399.78784827625	3.141592653589793
-0.0000224934826017555	5.3284518802251457e-11	NaN	NaN	NaN	-40560.19611928904	-40560.19611928904	3.141592653589793
-0.00001945382279070746	5.3284518802251457e-11	NaN	NaN	NaN	-45686.68412734955	-45686.68412734955	3.141592653589793
-0.00002857280222385158	5.3284518802251457e-11	NaN	NaN	NaN	-32971.03860373529	-32971.03860373529	3.141592653589793
