# Filename	binding\d86cf46f-87d8-4517-8d2d-eefc9b85c91d.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:05:49
# Dir	-1
# field	1.8085621345289726e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.8085621345289726e-11	NaN	NaN	NaN	-32278.499073535557	6.396325103183005e6	0.
-0.00002720495530887996	1.8085621345289726e-11	NaN	NaN	NaN	-35901.16388293677	7.4904731770099085e6	0.
-0.000024165295497831922	1.8085621345289726e-11	NaN	NaN	NaN	-40173.770677178596	8.847577672238361e6	0.
-0.00002112563568678388	1.8085621345289726e-11	NaN	NaN	NaN	-45558.92278320435	1.0652445673586158e7	0.
-0.000030244615119928003	1.8085621345289726e-11	NaN	NaN	NaN	-32434.659631976396	6.442364241819677e6	0.
-0.00002705297231832756	1.8085621345289726e-11	NaN	NaN	NaN	-36093.594075888206	7.550079446831785e6	0.
-0.00002401331250727952	1.8085621345289726e-11	NaN	NaN	NaN	-40413.48571783944	8.925744682734797e6	0.
-0.000020973652696231478	1.8085621345289726e-11	NaN	NaN	NaN	-45864.935408672194	1.075797771845188e7	0.
-0.0000300926321293756	1.8085621345289726e-11	NaN	NaN	NaN	-32592.309898518233	6.488947656415761e6	0.
-0.00002690098932777516	1.8085621345289726e-11	NaN	NaN	NaN	-36288.04999268408	7.610463981867184e6	0.
-0.000023861329516727117	1.8085621345289726e-11	NaN	NaN	NaN	-40655.99513314706	9.005036653912913e6	0.
-0.000020821669705679075	1.8085621345289726e-11	NaN	NaN	NaN	-46174.9330512847	1.0865193848835269e7	0.
-0.000029940649138823198	1.8085621345289726e-11	NaN	NaN	NaN	-32751.470876843156	6.536084666079927e6	0.
-0.000026749006337222757	1.8085621345289726e-11	NaN	NaN	NaN	-36484.56301638456	7.671639193889756e6	0.
-0.000023709346526174715	1.8085621345289726e-11	NaN	NaN	NaN	-40901.34658542289	9.085472413153427e6	0.
-0.000020669686715126676	1.8085621345289726e-11	NaN	NaN	NaN	-46488.99100492874	1.0974139697701322e7	0.
