# Filename	binding\da7fcd43-1970-46d2-aa82-f07321bf64bd.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:01:06
# Dir	-1
# field	2.0613718952695817e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	2.0613718952695817e-11	NaN	NaN	NaN	-32195.473856126384	-32195.473856126384	3.141592653589793
-0.00002720495530887996	2.0613718952695817e-11	NaN	NaN	NaN	-35787.560709874895	-35787.560709874895	3.141592653589793
-0.000024165295497831922	2.0613718952695817e-11	NaN	NaN	NaN	-40015.736362948744	-40015.736362948744	3.141592653589793
-0.00002112563568678388	2.0613718952695817e-11	NaN	NaN	NaN	-45330.76892990409	-45330.76892990409	3.141592653589793
-0.000030244615119928003	2.0613718952695817e-11	NaN	NaN	NaN	-32350.442714254797	-32350.442714254797	3.141592653589793
-0.00002705297231832756	2.0613718952695817e-11	NaN	NaN	NaN	-35978.19008527643	-35978.19008527643	3.141592653589793
-0.00002401331250727952	2.0613718952695817e-11	NaN	NaN	NaN	-40252.67437116515	-40252.67437116515	3.141592653589793
-0.000020973652696231478	2.0613718952695817e-11	NaN	NaN	NaN	-45632.29566192326	-45632.29566192326	3.141592653589793
-0.0000300926321293756	2.0613718952695817e-11	NaN	NaN	NaN	-32506.87867691125	-32506.87867691125	3.141592653589793
-0.00002690098932777516	2.0613718952695817e-11	NaN	NaN	NaN	-36170.80756663026	-36170.80756663026	3.141592653589793
-0.000023861329516727117	2.0613718952695817e-11	NaN	NaN	NaN	-40492.34268786058	-40492.34268786058	3.141592653589793
-0.000020821669705679075	2.0613718952695817e-11	NaN	NaN	NaN	-45937.69224501953	-45937.69224501953	3.141592653589793
-0.000029940649138823198	2.0613718952695817e-11	NaN	NaN	NaN	-32664.802216876036	-32664.802216876036	3.141592653589793
-0.000026749006337222757	2.0613718952695817e-11	NaN	NaN	NaN	-36365.44356683536	-36365.44356683536	3.141592653589793
-0.000023709346526174715	2.0613718952695817e-11	NaN	NaN	NaN	-40734.78715807111	-40734.78715807111	3.141592653589793
-0.000020669686715126676	2.0613718952695817e-11	NaN	NaN	NaN	-46247.03035965947	-46247.03035965947	3.141592653589793
-0.000029788666148270795	2.0613718952695817e-11	NaN	NaN	NaN	-32824.234180756226	-32824.234180756226	3.141592653589793
-0.000026597023346670354	2.0613718952695817e-11	NaN	NaN	NaN	-36562.12910417267	-36562.12910417267	3.141592653589793
-0.000023557363535622312	2.0613718952695817e-11	NaN	NaN	NaN	-40980.05462081365	-40980.05462081365	3.141592653589793
-0.000020517703724574274	2.0613718952695817e-11	NaN	NaN	NaN	-46560.38338089302	-46560.38338089302	3.141592653589793
-0.000029636683157718393	2.0613718952695817e-11	NaN	NaN	NaN	-32985.19579734205	-32985.19579734205	3.141592653589793
-0.00002644504035611795	2.0613718952695817e-11	NaN	NaN	NaN	-36760.89581695922	-36760.89581695922	3.141592653589793
-0.000023405380545069913	2.0613718952695817e-11	NaN	NaN	NaN	-41228.192935039835	-41228.192935039835	3.141592653589793
-0.00002036572073402187	2.0613718952695817e-11	NaN	NaN	NaN	-46877.8264258593	-46877.8264258593	3.141592653589793
-0.000029484700167165993	2.0613718952695817e-11	NaN	NaN	NaN	-33147.70868618293	-33147.70868618293	3.141592653589793
-0.00002629305736556555	2.0613718952695817e-11	NaN	NaN	NaN	-36961.77597861386	-36961.77597861386	3.141592653589793
-0.00002325339755451751	2.0613718952695817e-11	NaN	NaN	NaN	-41479.251006368926	-41479.251006368926	3.141592653589793
-0.00002021373774346947	2.0613718952695817e-11	NaN	NaN	NaN	-47199.43640278508	-47199.43640278508	3.141592653589793
-0.00002933271717661359	2.0613718952695817e-11	NaN	NaN	NaN	-33311.79486638833	-33311.79486638833	3.141592653589793
-0.000026141074375013146	2.0613718952695817e-11	NaN	NaN	NaN	-37164.802513148825	-37164.802513148825	3.141592653589793
-0.000023101414563965108	2.0613718952695817e-11	NaN	NaN	NaN	-41733.278814620644	-41733.278814620644	3.141592653589793
-0.000020061754752917066	2.0613718952695817e-11	NaN	NaN	NaN	-47525.29206152461	-47525.29206152461	3.141592653589793
-0.000029180734186061188	2.0613718952695817e-11	NaN	NaN	NaN	-33477.476765660926	-33477.476765660926	3.141592653589793
-0.000025989091384460747	2.0613718952695817e-11	NaN	NaN	NaN	-37370.009011099435	-37370.009011099435	3.141592653589793
-0.000022949431573412705	2.0613718952695817e-11	NaN	NaN	NaN	-41990.32744217939	-41990.32744217939	3.141592653589793
-0.000019909771762364663	2.0613718952695817e-11	NaN	NaN	NaN	-47855.474045691524	-47855.474045691524	3.141592653589793
-0.000029028751195508785	2.0613718952695817e-11	NaN	NaN	NaN	-33644.77722956896	-33644.77722956896	3.141592653589793
-0.000025837108393908344	2.0613718952695817e-11	NaN	NaN	NaN	-37577.429745905676	-37577.429745905676	3.141592653589793
-0.000022797448582860302	2.0613718952695817e-11	NaN	NaN	NaN	-42250.449103213185	-42250.449103213185	3.141592653589793
-0.000019757788771812264	2.0613718952695817e-11	NaN	NaN	NaN	-48190.06494643638	-48190.06494643638	3.141592653589793
-0.000028876768204956383	2.0613718952695817e-11	NaN	NaN	NaN	-33813.719531064766	-33813.719531064766	3.141592653589793
-0.000025685125403355942	2.0613718952695817e-11	NaN	NaN	NaN	-37787.09969076163	-37787.09969076163	3.141592653589793
-0.0000226454655923079	2.0613718952695817e-11	NaN	NaN	NaN	-42513.697173778106	-42513.697173778106	3.141592653589793
-0.00001960580578125986	2.0613718952695817e-11	NaN	NaN	NaN	-48529.14935792251	-48529.14935792251	3.141592653589793
-0.000028724785214403984	2.0613718952695817e-11	NaN	NaN	NaN	-33984.327380256684	-33984.327380256684	3.141592653589793
-0.00002553314241280354	2.0613718952695817e-11	NaN	NaN	NaN	-37999.054535945455	-37999.054535945455	3.141592653589793
-0.0000224934826017555	2.0613718952695817e-11	NaN	NaN	NaN	-42780.12622283629	-42780.12622283629	3.141592653589793
-0.00001945382279070746	2.0613718952695817e-11	NaN	NaN	NaN	-48872.813934558966	-48872.813934558966	3.141592653589793
-0.00002857280222385158	2.0613718952695817e-11	NaN	NaN	NaN	-34156.624934442494	-34156.624934442494	3.141592653589793
-0.000025381159422251137	2.0613718952695817e-11	NaN	NaN	NaN	-38213.33070664707	-38213.33070664707	3.141592653589793
-0.000022341499611203098	2.0613718952695817e-11	NaN	NaN	NaN	-43049.79204421797	-43049.79204421797	3.141592653589793
-0.000019301839800155056	2.0613718952695817e-11	NaN	NaN	NaN	-49221.14745004398	-49221.14745004398	3.141592653589793
-0.00002842081923329918	2.0613718952695817e-11	NaN	NaN	NaN	-34330.636808411946	-34330.636808411946	3.141592653589793
-0.000025229176431698734	2.0613718952695817e-11	NaN	NaN	NaN	-38429.96538130847	-38429.96538130847	3.141592653589793
-0.000022189516620650695	2.0613718952695817e-11	NaN	NaN	NaN	-43322.75168955932	-43322.75168955932	3.141592653589793
-0.000019149856809602654	2.0613718952695817e-11	NaN	NaN	NaN	-49574.24085828238	-49574.24085828238	3.141592653589793
-0.000028268836242746776	2.0613718952695817e-11	NaN	NaN	NaN	-34506.388085026774	-34506.388085026774	3.141592653589793
-0.000025077193441146335	2.0613718952695817e-11	NaN	NaN	NaN	-38648.996510493096	-38648.996510493096	3.141592653589793
-0.000022037533630098293	2.0613718952695817e-11	NaN	NaN	NaN	-43599.063502247576	-43599.063502247576	3.141592653589793
-0.000018997873819050254	2.0613718952695817e-11	NaN	NaN	NaN	-49932.1873562359	-49932.1873562359	3.141592653589793
-0.000028116853252194373	2.0613718952695817e-11	NaN	NaN	NaN	-34683.90432608596	-34683.90432608596	3.141592653589793
-0.000024925210450593932	2.0613718952695817e-11	NaN	NaN	NaN	-38870.46283630229	-38870.46283630229	3.141592653589793
-0.00002188555063954589	2.0613718952695817e-11	NaN	NaN	NaN	-43878.78715240793	-43878.78715240793	3.141592653589793
-0.00001884589082849785	2.0613718952695817e-11	NaN	NaN	NaN	-50295.082448768975	-50295.082448768975	3.141592653589793
-0.00002796487026164197	2.0613718952695817e-11	NaN	NaN	NaN	-34863.211583486416	-34863.211583486416	3.141592653589793
-0.00002477322746004153	2.0613718952695817e-11	NaN	NaN	NaN	-39094.403912354755	-39094.403912354755	3.141592653589793
-0.000021733567648993488	2.0613718952695817e-11	NaN	NaN	NaN	-44161.98367296589	-44161.98367296589	3.141592653589793
-0.00001869390783794545	2.0613718952695817e-11	NaN	NaN	NaN	-50663.02401555646	-50663.02401555646	3.141592653589793
-0.00002781288727108957	2.0613718952695817e-11	NaN	NaN	NaN	-35044.3364106862	-35044.3364106862	3.141592653589793
-0.000024621244469489127	2.0613718952695817e-11	NaN	NaN	NaN	-39320.860124349	-39320.860124349	3.141592653589793
-0.00002158158465844109	2.0613718952695817e-11	NaN	NaN	NaN	-44448.715496821045	-44448.715496821045	3.141592653589793
-0.000018541924847393046	2.0613718952695817e-11	NaN	NaN	NaN	-51036.11238011778	-51036.11238011778	3.141592653589793
-0.00002766090428053717	2.0613718952695817e-11	NaN	NaN	NaN	-35227.30587448123	-35227.30587448123	3.141592653589793
-0.000024469261478936724	2.0613718952695817e-11	NaN	NaN	NaN	-39549.872711226184	-39549.872711226184	3.141592653589793
-0.000021429601667888686	2.0613718952695817e-11	NaN	NaN	NaN	-44739.046495170216	-44739.046495170216	3.141592653589793
-0.000018389941856840644	2.0613718952695817e-11	NaN	NaN	NaN	-51414.45038104752	-51414.45038104752	3.141592653589793
-0.000027508921289984766	2.0613718952695817e-11	NaN	NaN	NaN	-35412.147567103864	-35412.147567103864	3.141592653589793
