# Filename	binding\dbb78721-3502-4388-8ef7-e1b91b7a35e9.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:06:38
# Dir	-1
# field	5.2895580708804366e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	5.2895580708804366e-11	NaN	NaN	NaN	-31204.020027835268	-31204.020027835268	3.141592653589793
-0.00002720495530887996	5.2895580708804366e-11	NaN	NaN	NaN	-34450.411098789016	-34450.411098789016	3.141592653589793
-0.000024165295497831922	5.2895580708804366e-11	NaN	NaN	NaN	-38189.30597312986	-38189.30597312986	3.141592653589793
-0.00002112563568678388	5.2895580708804366e-11	NaN	NaN	NaN	-42758.152271564715	-42758.152271564715	3.141592653589793
-0.000030244615119928003	5.2895580708804366e-11	NaN	NaN	NaN	-31345.362139406105	-31345.362139406105	3.141592653589793
-0.00002705297231832756	5.2895580708804366e-11	NaN	NaN	NaN	-34620.9244936867	-34620.9244936867	3.141592653589793
-0.00002401331250727952	5.2895580708804366e-11	NaN	NaN	NaN	-38396.12089485943	-38396.12089485943	3.141592653589793
-0.000020973652696231478	5.2895580708804366e-11	NaN	NaN	NaN	-43012.89036406713	-43012.89036406713	3.141592653589793
-0.0000300926321293756	5.2895580708804366e-11	NaN	NaN	NaN	-31487.926429445914	-31487.926429445914	3.141592653589793
-0.00002690098932777516	5.2895580708804366e-11	NaN	NaN	NaN	-34793.032123443205	-34793.032123443205	3.141592653589793
-0.000023861329516727117	5.2895580708804366e-11	NaN	NaN	NaN	-38605.02345850661	-38605.02345850661	3.141592653589793
-0.000020821669705679075	5.2895580708804366e-11	NaN	NaN	NaN	-43270.40676881078	-43270.40676881078	3.141592653589793
-0.000029940649138823198	5.2895580708804366e-11	NaN	NaN	NaN	-31631.727977478007	-31631.727977478007	3.141592653589793
-0.000026749006337222757	5.2895580708804366e-11	NaN	NaN	NaN	-34966.75500109897	-34966.75500109897	3.141592653589793
-0.000023709346526174715	5.2895580708804366e-11	NaN	NaN	NaN	-38816.042908206895	-38816.042908206895	3.141592653589793
-0.000020669686715126676	5.2895580708804366e-11	NaN	NaN	NaN	-43530.74262155589	-43530.74262155589	3.141592653589793
-0.000029788666148270795	5.2895580708804366e-11	NaN	NaN	NaN	-31776.78209734565	-31776.78209734565	3.141592653589793
-0.000026597023346670354	5.2895580708804366e-11	NaN	NaN	NaN	-35142.11448305397	-35142.11448305397	3.141592653589793
-0.000023557363535622312	5.2895580708804366e-11	NaN	NaN	NaN	-39029.2089850147	-39029.2089850147	3.141592653589793
-0.000020517703724574274	5.2895580708804366e-11	NaN	NaN	NaN	-43793.93977285319	-43793.93977285319	3.141592653589793
-0.000029636683157718393	5.2895580708804366e-11	NaN	NaN	NaN	-31923.10434145485	-31923.10434145485	3.141592653589793
-0.00002644504035611795	5.2895580708804366e-11	NaN	NaN	NaN	-35319.13227545027	-35319.13227545027	3.141592653589793
-0.000023405380545069913	5.2895580708804366e-11	NaN	NaN	NaN	-39244.55193615949	-39244.55193615949	3.141592653589793
-0.00002036572073402187	5.2895580708804366e-11	NaN	NaN	NaN	-44060.04080078931	-44060.04080078931	3.141592653589793
-0.000029484700167165993	5.2895580708804366e-11	NaN	NaN	NaN	-32070.710505101022	-32070.710505101022	3.141592653589793
-0.00002629305736556555	5.2895580708804366e-11	NaN	NaN	NaN	-35497.83044067801	-35497.83044067801	3.141592653589793
-0.00002325339755451751	5.2895580708804366e-11	NaN	NaN	NaN	-39462.10252446664	-39462.10252446664	3.141592653589793
-0.00002021373774346947	5.2895580708804366e-11	NaN	NaN	NaN	-44329.08902390548	-44329.08902390548	3.141592653589793
-0.00002933271717661359	5.2895580708804366e-11	NaN	NaN	NaN	-32219.616630880682	-32219.616630880682	3.141592653589793
-0.000026141074375013146	5.2895580708804366e-11	NaN	NaN	NaN	-35678.23140400738	-35678.23140400738	3.141592653589793
-0.000023101414563965108	5.2895580708804366e-11	NaN	NaN	NaN	-39681.892037944395	-39681.892037944395	3.141592653589793
-0.000020061754752917066	5.2895580708804366e-11	NaN	NaN	NaN	-44601.12851428751	-44601.12851428751	3.141592653589793
-0.000029180734186061188	5.2895580708804366e-11	NaN	NaN	NaN	-32369.83901319039	-32369.83901319039	3.141592653589793
-0.000025989091384460747	5.2895580708804366e-11	NaN	NaN	NaN	-35860.35796034824	-35860.35796034824	3.141592653589793
-0.000022949431573412705	5.2895580708804366e-11	NaN	NaN	NaN	-39903.952299539465	-39903.952299539465	3.141592653589793
-0.000019909771762364663	5.2895580708804366e-11	NaN	NaN	NaN	-44876.20411082516	-44876.20411082516	3.141592653589793
-0.000029028751195508785	5.2895580708804366e-11	NaN	NaN	NaN	-32521.39420281498	-32521.39420281498	3.141592653589793
-0.000025837108393908344	5.2895580708804366e-11	NaN	NaN	NaN	-36044.233281139685	-36044.233281139685	3.141592653589793
-0.000022797448582860302	5.2895580708804366e-11	NaN	NaN	NaN	-40128.315677061735	-40128.315677061735	3.141592653589793
-0.000019757788771812264	5.2895580708804366e-11	NaN	NaN	NaN	-45154.3614326372	-45154.3614326372	3.141592653589793
-0.000028876768204956383	5.2895580708804366e-11	NaN	NaN	NaN	-32674.29901160529	-32674.29901160529	3.141592653589793
-0.000025685125403355942	5.2895580708804366e-11	NaN	NaN	NaN	-36229.88092137185	-36229.88092137185	3.141592653589793
-0.0000226454655923079	5.2895580708804366e-11	NaN	NaN	NaN	-40355.015093280286	-40355.015093280286	3.141592653589793
-0.00001960580578125986	5.2895580708804366e-11	NaN	NaN	NaN	-45435.64689266067	-45435.64689266067	3.141592653589793
-0.000028724785214403984	5.2895580708804366e-11	NaN	NaN	NaN	-32828.57051724924	-32828.57051724924	3.141592653589793
-0.00002553314241280354	5.2895580708804366e-11	NaN	NaN	NaN	-36417.32482674206	-36417.32482674206	3.141592653589793
-0.0000224934826017555	5.2895580708804366e-11	NaN	NaN	NaN	-40584.08403619201	-40584.08403619201	3.141592653589793
-0.00001945382279070746	5.2895580708804366e-11	NaN	NaN	NaN	-45720.10771139924	-45720.10771139924	3.141592653589793
-0.00002857280222385158	5.2895580708804366e-11	NaN	NaN	NaN	-32984.226068136384	-32984.226068136384	3.141592653589793
