# Filename	binding\dc2f8dfa-ea32-44ef-ac66-61a1e4338c15.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:31:08
# Dir	1
# field	2.878141891508473e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.878141891508473e-11	NaN	NaN	NaN	33992.509918836186	7.0497859958159095e6	0.
-0.00002720495530887996	2.878141891508473e-11	NaN	NaN	NaN	38310.77549545259	8.464399574565483e6	0.
-0.000024165295497831922	2.878141891508473e-11	NaN	NaN	NaN	43651.05005914746	1.0345459937444752e7	0.
-0.00002112563568678388	2.878141891508473e-11	NaN	NaN	NaN	50860.01126619021	1.3113187117652483e7	0.
-0.000030244615119928003	2.878141891508473e-11	NaN	NaN	NaN	34175.17607199849	7.107671881113372e6	0.
-0.00002705297231832756	2.878141891508473e-11	NaN	NaN	NaN	38545.17017155892	8.543924760421777e6	0.
-0.00002401331250727952	2.878141891508473e-11	NaN	NaN	NaN	43959.73675081846	1.0458599995818663e7	0.
-0.000020973652696231478	2.878141891508473e-11	NaN	NaN	NaN	51288.64597386156	1.328602764343238e7	0.
-0.0000300926321293756	2.878141891508473e-11	NaN	NaN	NaN	34359.88545195816	7.166382964687167e6	0.
-0.00002690098932777516	2.878141891508473e-11	NaN	NaN	NaN	38782.58125058024	8.624758876714574e6	0.
-0.000023861329516727117	2.878141891508473e-11	NaN	NaN	NaN	44273.0832917292	1.0573941354776101e7	0.
-0.000020821669705679075	2.878141891508473e-11	NaN	NaN	NaN	51725.17480353691	1.3463011382831393e7	0.
-0.000029940649138823198	2.878141891508473e-11	NaN	NaN	NaN	34546.67371908726	7.225933789407694e6	0.
-0.000026749006337222757	2.878141891508473e-11	NaN	NaN	NaN	39023.069909080536	8.706933733190374e6	0.
-0.000023709346526174715	2.878141891508473e-11	NaN	NaN	NaN	44591.20209990796	1.0691545873508105e7	0.
-0.000020669686715126676	2.878141891508473e-11	NaN	NaN	NaN	52169.835174507476	1.3644286962015351e7	0.
-0.000029788666148270795	2.878141891508473e-11	NaN	NaN	NaN	34735.57739562655	7.286343437366943e6	0.
-0.000026597023346670354	2.878141891508473e-11	NaN	NaN	NaN	39266.699057335885	8.790482754093233e6	0.
-0.000023557363535622312	2.878141891508473e-11	NaN	NaN	NaN	44914.209429392635	1.081147838978877e7	0.
-0.000020517703724574274	2.878141891508473e-11	NaN	NaN	NaN	52622.87478946656	1.383001419747531e7	0.
-0.000029636683157718393	2.878141891508473e-11	NaN	NaN	NaN	34926.63389266629	7.347630494789886e6	0.
-0.00002644504035611795	2.878141891508473e-11	NaN	NaN	NaN	39513.53340346588	8.875437571398374e6	0.
-0.000023405380545069913	2.878141891508473e-11	NaN	NaN	NaN	45242.22554280016	1.0933809690648122e7	0.
-0.00002036572073402187	2.878141891508473e-11	NaN	NaN	NaN	53084.55223002567	1.4020359454076678e7	0.
-0.000029484700167165993	2.878141891508473e-11	NaN	NaN	NaN	35119.88153817441	7.409812544654868e6	0.
-0.00002629305736556555	2.878141891508473e-11	NaN	NaN	NaN	39763.639520525976	8.961835067665383e6	0.
-0.00002325339755451751	2.878141891508473e-11	NaN	NaN	NaN	45575.37489366116	1.1058609976520129e7	0.
-0.00002021373774346947	2.878141891508473e-11	NaN	NaN	NaN	53555.13759607465	1.4215497180932846e7	0.
-0.00002933271717661359	2.878141891508473e-11	NaN	NaN	NaN	35315.35960612143	7.4729100108737e6	0.
-0.000026141074375013146	2.878141891508473e-11	NaN	NaN	NaN	40017.08591672501	9.049715745321859e6	0.
-0.000023101414563965108	2.878141891508473e-11	NaN	NaN	NaN	45913.78631919216	1.1185954436309433e7	0.
-0.000020061754752917066	2.878141891508473e-11	NaN	NaN	NaN	54034.913192942804	1.4415613039565245e7	0.
-0.000029180734186061188	2.878141891508473e-11	NaN	NaN	NaN	35513.10834675238	7.536941654843922e6	0.
-0.000025989091384460747	2.878141891508473e-11	NaN	NaN	NaN	40273.943108944484	9.139101253853207e6	0.
-0.000022949431573412705	2.878141891508473e-11	NaN	NaN	NaN	46257.59324423157	1.1315920670548772e7	0.
-0.000019909771762364663	2.878141891508473e-11	NaN	NaN	NaN	54524.17427074363	1.4620898768022206e7	0.
-0.000029028751195508785	2.878141891508473e-11	NaN	NaN	NaN	35713.16901806183	7.601926571045835e6	0.
-0.000025837108393908344	2.878141891508473e-11	NaN	NaN	NaN	40534.283699747946	9.230045893960848e6	0.
-0.000022797448582860302	2.878141891508473e-11	NaN	NaN	NaN	46606.933897126306	1.1448589339312699e7	0.
-0.000019757788771812264	2.878141891508473e-11	NaN	NaN	NaN	55023.229820767345	1.4831559712360771e7	0.
-0.000028876768204956383	2.878141891508473e-11	NaN	NaN	NaN	35915.583918528486	7.6678877168312725e6	0.
-0.000025685125403355942	2.878141891508473e-11	NaN	NaN	NaN	40798.182458078954	9.322585017972844e6	0.
-0.0000226454655923079	2.878141891508473e-11	NaN	NaN	NaN	46961.95153842157	1.1584043935992489e7	0.
-0.00001960580578125986	2.878141891508473e-11	NaN	NaN	NaN	55532.40343432419	1.5047812885146694e7	0.
-0.000028724785214403984	2.878141891508473e-11	NaN	NaN	NaN	36120.39642116937	7.73484496837005e6	0.
-0.00002553314241280354	2.878141891508473e-11	NaN	NaN	NaN	41065.71640386322	9.416757903731463e6	0.
-0.0000224934826017555	2.878141891508473e-11	NaN	NaN	NaN	47322.794703278385	1.172237306606689e7	0.
-0.00002857280222385158	2.878141891508473e-11	NaN	NaN	NaN	36327.65100897958	7.802820240757312e6	0.
-0.000025381159422251137	2.878141891508473e-11	NaN	NaN	NaN	41336.96489674301	9.512608901720338e6	0.
-0.000022341499611203098	2.878141891508473e-11	NaN	NaN	NaN	47689.61745862223	1.1863667186513677e7	0.
-0.00001945382279070746	2.878141891508473e-11	NaN	NaN	NaN	56052.034230054276	1.5269884276254335e7	0.
-0.00002842081923329918	2.878141891508473e-11	NaN	NaN	NaN	36537.39331182362	7.8718370216978695e6	0.
-0.000025229176431698734	2.878141891508473e-11	NaN	NaN	NaN	41612.0097291873	9.610182772996375e6	0.
-0.000022189516620650695	2.878141891508473e-11	NaN	NaN	NaN	48062.57967611451	1.200802293366778e7	0.
-0.000028268836242746776	2.878141891508473e-11	NaN	NaN	NaN	36749.67014485057	7.941917906568668e6	0.
