# Filename	binding\de804727-94d7-42f1-b186-3c12a3cae1dc.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:03:10
# Dir	-1
# field	3.267079984955564e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	3.267079984955564e-11	NaN	NaN	NaN	-31810.78252380126	-31810.78252380126	3.141592653589793
-0.00002720495530887996	3.267079984955564e-11	NaN	NaN	NaN	-35264.56568046576	-35264.56568046576	3.141592653589793
-0.000024165295497831922	3.267079984955564e-11	NaN	NaN	NaN	-39294.17062993139	-39294.17062993139	3.141592653589793
-0.00002112563568678388	3.267079984955564e-11	NaN	NaN	NaN	-44300.758570199985	-44300.758570199985	3.141592653589793
-0.000030244615119928003	3.267079984955564e-11	NaN	NaN	NaN	-31960.33361316072	-31960.33361316072	3.141592653589793
-0.00002705297231832756	3.267079984955564e-11	NaN	NaN	NaN	-35447.094084112934	-35447.094084112934	3.141592653589793
-0.00002401331250727952	3.267079984955564e-11	NaN	NaN	NaN	-39518.783305578385	-39518.783305578385	3.141592653589793
-0.000020973652696231478	3.267079984955564e-11	NaN	NaN	NaN	-44582.73735142289	-44582.73735142289	3.141592653589793
-0.0000300926321293756	3.267079984955564e-11	NaN	NaN	NaN	-32111.25146136379	-32111.25146136379	3.141592653589793
-0.00002690098932777516	3.267079984955564e-11	NaN	NaN	NaN	-35631.44619705325	-35631.44619705325	3.141592653589793
-0.000023861329516727117	3.267079984955564e-11	NaN	NaN	NaN	-39745.85184785532	-39745.85184785532	3.141592653589793
-0.000020821669705679075	3.267079984955564e-11	NaN	NaN	NaN	-44868.10582882093	-44868.10582882093	3.141592653589793
-0.000029940649138823198	3.267079984955564e-11	NaN	NaN	NaN	-32263.55425126208	-32263.55425126208	3.141592653589793
-0.000026749006337222757	3.267079984955564e-11	NaN	NaN	NaN	-35817.64833864157	-35817.64833864157	3.141592653589793
-0.000023709346526174715	3.267079984955564e-11	NaN	NaN	NaN	-39975.41464516538	-39975.41464516538	3.141592653589793
-0.000020669686715126676	3.267079984955564e-11	NaN	NaN	NaN	-45156.92140685831	-45156.92140685831	3.141592653589793
-0.000029788666148270795	3.267079984955564e-11	NaN	NaN	NaN	-32417.260477784566	-32417.260477784566	3.141592653589793
-0.000026597023346670354	3.267079984955564e-11	NaN	NaN	NaN	-36005.72731372658	-36005.72731372658	3.141592653589793
-0.000023557363535622312	3.267079984955564e-11	NaN	NaN	NaN	-40207.51084311763	-40207.51084311763	3.141592653589793
-0.000020517703724574274	3.267079984955564e-11	NaN	NaN	NaN	-45449.24269324356	-45449.24269324356	3.141592653589793
-0.000029636683157718393	3.267079984955564e-11	NaN	NaN	NaN	-32572.38895438461	-32572.38895438461	3.141592653589793
-0.00002644504035611795	3.267079984955564e-11	NaN	NaN	NaN	-36195.710423298384	-36195.710423298384	3.141592653589793
-0.000023405380545069913	3.267079984955564e-11	NaN	NaN	NaN	-40442.180361967956	-40442.180361967956	3.141592653589793
-0.00002036572073402187	3.267079984955564e-11	NaN	NaN	NaN	-45745.12952751771	-45745.12952751771	3.141592653589793
-0.000029484700167165993	3.267079984955564e-11	NaN	NaN	NaN	-32728.958819638483	-32728.958819638483	3.141592653589793
-0.00002629305736556555	3.267079984955564e-11	NaN	NaN	NaN	-36387.625475398636	-36387.625475398636	3.141592653589793
-0.00002325339755451751	3.267079984955564e-11	NaN	NaN	NaN	-40679.463914500346	-40679.463914500346	3.141592653589793
-0.00002021373774346947	3.267079984955564e-11	NaN	NaN	NaN	-46044.643010344145	-46044.643010344145	3.141592653589793
-0.00002933271717661359	3.267079984955564e-11	NaN	NaN	NaN	-32886.98954400165	-32886.98954400165	3.141592653589793
-0.000026141074375013146	3.267079984955564e-11	NaN	NaN	NaN	-36581.50079630113	-36581.50079630113	3.141592653589793
-0.000023101414563965108	3.267079984955564e-11	NaN	NaN	NaN	-40919.40302435718	-40919.40302435718	3.141592653589793
-0.000020061754752917066	3.267079984955564e-11	NaN	NaN	NaN	-46347.84553351406	-46347.84553351406	3.141592653589793
-0.000029180734186061188	3.267079984955564e-11	NaN	NaN	NaN	-33046.50093672445	-33046.50093672445	3.141592653589793
-0.000025989091384460747	3.267079984955564e-11	NaN	NaN	NaN	-36777.36524196887	-36777.36524196887	3.141592653589793
-0.000022949431573412705	3.267079984955564e-11	NaN	NaN	NaN	-41162.0400448324	-41162.0400448324	3.141592653589793
-0.000019909771762364663	3.267079984955564e-11	NaN	NaN	NaN	-46654.80081068343	-46654.80081068343	3.141592653589793
-0.000029028751195508785	3.267079984955564e-11	NaN	NaN	NaN	-33207.51315293432	-33207.51315293432	3.141592653589793
