# Filename	binding\e03ed3aa-be6f-43e4-99cc-13bbe947cac7.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:08:19
# Dir	-1
# field	3.305973794300273e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.305973794300273e-11	NaN	NaN	NaN	-31798.672294320193	6.220877324046081e6	-4.115515194999435e-7
-0.00002720495530887996	3.305973794300273e-11	NaN	NaN	NaN	-35248.18980304552	7.2399830141956685e6	0.
-0.000024165295497831922	3.305973794300273e-11	NaN	NaN	NaN	-39271.731428419684	8.483995998365596e6	0.
-0.00002112563568678388	3.305973794300273e-11	NaN	NaN	NaN	-44269.024894183814	1.010393897668483e7	0.
-0.000030244615119928003	3.305973794300273e-11	NaN	NaN	NaN	-31948.055564766146	6.264047822805801e6	0.
-0.00002705297231832756	3.305973794300273e-11	NaN	NaN	NaN	-35430.469489428266	7.295091046550181e6	0.
-0.00002401331250727952	3.305973794300273e-11	NaN	NaN	NaN	-39495.96993157283	8.554971471304458e6	0.
-0.000020973652696231478	3.305973794300273e-11	NaN	NaN	NaN	-44550.4192364572	1.0197440434157226e7	0.
-0.0000300926321293756	3.305973794300273e-11	NaN	NaN	NaN	-32098.802548700434	6.3077022804590445e6	0.
-0.00002690098932777516	3.305973794300273e-11	NaN	NaN	NaN	-35614.567961976696	7.350873603952817e6	0.
-0.000023861329516727117	3.305973794300273e-11	NaN	NaN	NaN	-39722.656220761	8.62689173554181e6	0.
-0.000020821669705679075	3.305973794300273e-11	NaN	NaN	NaN	-44835.189457721186	1.029229901075685e7	0.
-0.000029940649138823198	3.305973794300273e-11	NaN	NaN	NaN	-32250.93136120247	6.351848663193294e6	0.
-0.000026749006337222757	3.305973794300273e-11	NaN	NaN	NaN	-35800.51142116939	7.407341340781219e6	0.
-0.000023709346526174715	3.305973794300273e-11	NaN	NaN	NaN	-39951.828473010246	8.699772211547876e6	0.
-0.000020669686715126676	3.305973794300273e-11	NaN	NaN	NaN	-45123.39257079371	1.038854209846352e7	0.
-0.000029788666148270795	3.305973794300273e-11	NaN	NaN	NaN	-32404.460427656682	6.396496130246482e6	0.
-0.000026597023346670354	3.305973794300273e-11	NaN	NaN	NaN	-35988.32654962515	7.464503934710268e6	0.
-0.000023557363535622312	3.305973794300273e-11	NaN	NaN	NaN	-40183.52561614688	8.773632721203415e6	0.
-0.000020517703724574274	3.305973794300273e-11	NaN	NaN	NaN	-45415.08677903868	1.0486195357762119e7	0.
-0.000029636683157718393	3.305973794300273e-11	NaN	NaN	NaN	-32559.408490145626	6.441649323752929e6	0.
-0.00002644504035611795	3.305973794300273e-11	NaN	NaN	NaN	-36178.0405226437	7.522375329138341e6	0.
-0.000023405380545069913	3.305973794300273e-11	NaN	NaN	NaN	-40417.7873460212	8.84848759927687e6	0.
-0.00002036572073402187	3.305973794300273e-11	NaN	NaN	NaN	-45710.3315045013	1.0585286825737307e7	0.
-0.000029484700167165993	3.305973794300273e-11	NaN	NaN	NaN	-32715.794613994964	6.487317845535855e6	0.
-0.00002629305736556555	3.305973794300273e-11	NaN	NaN	NaN	-36369.681019004995	7.580966144637643e6	0.
-0.00002325339755451751	3.305973794300273e-11	NaN	NaN	NaN	-40654.65414416307	8.924356808232857e6	0.
-0.00002021373774346947	3.305973794300273e-11	NaN	NaN	NaN	-46009.18741672709	1.0685842436638456e7	0.
-0.00002933271717661359	3.305973794300273e-11	NaN	NaN	NaN	-32873.638194472594	6.533510714045866e6	0.
