# Filename	binding\e2b9de51-79ca-4aca-8677-1febbbc6e513.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:06:04
# Dir	-1
# field	4.958960691450409e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	4.958960691450409e-11	NaN	NaN	NaN	-31300.120508471988	-31300.120508471988	3.141592653589793
-0.00002720495530887996	4.958960691450409e-11	NaN	NaN	NaN	-34578.51682853539	-34578.51682853539	3.141592653589793
-0.000024165295497831922	4.958960691450409e-11	NaN	NaN	NaN	-38361.74022311792	-38361.74022311792	3.141592653589793
-0.00002112563568678388	4.958960691450409e-11	NaN	NaN	NaN	-42996.316773133556	-42996.316773133556	3.141592653589793
-0.000030244615119928003	4.958960691450409e-11	NaN	NaN	NaN	-31442.73607019174	-31442.73607019174	3.141592653589793
-0.00002705297231832756	4.958960691450409e-11	NaN	NaN	NaN	-34750.874186273075	-34750.874186273075	3.141592653589793
-0.00002401331250727952	4.958960691450409e-11	NaN	NaN	NaN	-38571.25044466382	-38571.25044466382	3.141592653589793
-0.000020973652696231478	4.958960691450409e-11	NaN	NaN	NaN	-43255.10864602796	-43255.10864602796	3.141592653589793
-0.0000300926321293756	4.958960691450409e-11	NaN	NaN	NaN	-31586.59565523856	-31586.59565523856	3.141592653589793
-0.00002690098932777516	4.958960691450409e-11	NaN	NaN	NaN	-34924.85989547927	-34924.85989547927	3.141592653589793
-0.000023861329516727117	4.958960691450409e-11	NaN	NaN	NaN	-38782.90196972232	-38782.90196972232	3.141592653589793
-0.000020821669705679075	4.958960691450409e-11	NaN	NaN	NaN	-43516.765625331325	-43516.765625331325	3.141592653589793
-0.000029940649138823198	4.958960691450409e-11	NaN	NaN	NaN	-31731.714796915316	-31731.714796915316	3.141592653589793
-0.000026749006337222757	4.958960691450409e-11	NaN	NaN	NaN	-35100.49572739087	-35100.49572739087	3.141592653589793
-0.000023709346526174715	4.958960691450409e-11	NaN	NaN	NaN	-38996.72531204633	-38996.72531204633	3.141592653589793
-0.000020669686715126676	4.958960691450409e-11	NaN	NaN	NaN	-43781.33102188856	-43781.33102188856	3.141592653589793
-0.000029788666148270795	4.958960691450409e-11	NaN	NaN	NaN	-31878.10927376491	-31878.10927376491	3.141592653589793
-0.000026597023346670354	4.958960691450409e-11	NaN	NaN	NaN	-35277.80381593187	-35277.80381593187	3.141592653589793
-0.000023557363535622312	4.958960691450409e-11	NaN	NaN	NaN	-39212.75151629576	-39212.75151629576	3.141592653589793
-0.000020517703724574274	4.958960691450409e-11	NaN	NaN	NaN	-44048.84892175422	-44048.84892175422	3.141592653589793
-0.000029636683157718393	4.958960691450409e-11	NaN	NaN	NaN	-32025.79511410763	-32025.79511410763	3.141592653589793
-0.00002644504035611795	4.958960691450409e-11	NaN	NaN	NaN	-35456.806664640455	-35456.806664640455	3.141592653589793
-0.000023405380545069913	4.958960691450409e-11	NaN	NaN	NaN	-39431.01216828029	-39431.01216828029	3.141592653589793
-0.00002036572073402187	4.958960691450409e-11	NaN	NaN	NaN	-44319.36420070091	-44319.36420070091	3.141592653589793
-0.000029484700167165993	4.958960691450409e-11	NaN	NaN	NaN	-32174.788600670454	-32174.788600670454	3.141592653589793
-0.00002629305736556555	4.958960691450409e-11	NaN	NaN	NaN	-35637.52715373638	-35637.52715373638	3.141592653589793
-0.00002325339755451751	4.958960691450409e-11	NaN	NaN	NaN	-39651.539405396885	-39651.539405396885	3.141592653589793
-0.00002021373774346947	4.958960691450409e-11	NaN	NaN	NaN	-44592.92253895058	-44592.92253895058	3.141592653589793
-0.00002933271717661359	4.958960691450409e-11	NaN	NaN	NaN	-32325.106275311184	-32325.106275311184	3.141592653589793
-0.000026141074375013146	4.958960691450409e-11	NaN	NaN	NaN	-35819.988547330664	-35819.988547330664	3.141592653589793
-0.000023101414563965108	4.958960691450409e-11	NaN	NaN	NaN	-39874.365927263505	-39874.365927263505	3.141592653589793
-0.000020061754752917066	4.958960691450409e-11	NaN	NaN	NaN	-44869.57043612834	-44869.57043612834	3.141592653589793
-0.000029180734186061188	4.958960691450409e-11	NaN	NaN	NaN	-32476.764943838138	-32476.764943838138	3.141592653589793
-0.000025989091384460747	4.958960691450409e-11	NaN	NaN	NaN	-36004.21450078093	-36004.21450078093	3.141592653589793
-0.000022949431573412705	4.958960691450409e-11	NaN	NaN	NaN	-40099.525006552765	-40099.525006552765	3.141592653589793
-0.000019909771762364663	4.958960691450409e-11	NaN	NaN	NaN	-45149.35522643795	-45149.35522643795	3.141592653589793
-0.000029028751195508785	4.958960691450409e-11	NaN	NaN	NaN	-32629.781680929005	-32629.781680929005	3.141592653589793
-0.000025837108393908344	4.958960691450409e-11	NaN	NaN	NaN	-36190.229068194174	-36190.229068194174	3.141592653589793
-0.000022797448582860302	4.958960691450409e-11	NaN	NaN	NaN	-40327.050500027486	-40327.050500027486	3.141592653589793
-0.000019757788771812264	4.958960691450409e-11	NaN	NaN	NaN	-45432.32509405664	-45432.32509405664	3.141592653589793
-0.000028876768204956383	4.958960691450409e-11	NaN	NaN	NaN	-32784.17383514906	-32784.17383514906	3.141592653589793
-0.000025685125403355942	4.958960691450409e-11	NaN	NaN	NaN	-36378.05671008058	-36378.05671008058	3.141592653589793
-0.0000226454655923079	4.958960691450409e-11	NaN	NaN	NaN	-40556.976859780356	-40556.976859780356	3.141592653589793
-0.00001960580578125986	4.958960691450409e-11	NaN	NaN	NaN	-45718.529088748146	-45718.529088748146	3.141592653589793
-0.000028724785214403984	4.958960691450409e-11	NaN	NaN	NaN	-32939.95903407253	-32939.95903407253	3.141592653589793
-0.00002553314241280354	4.958960691450409e-11	NaN	NaN	NaN	-36567.72230116053	-36567.72230116053	3.141592653589793
-0.0000224934826017555	4.958960691450409e-11	NaN	NaN	NaN	-40789.339144680045	-40789.339144680045	3.141592653589793
-0.00001945382279070746	4.958960691450409e-11	NaN	NaN	NaN	-46008.017141691336	-46008.017141691336	3.141592653589793
-0.00002857280222385158	4.958960691450409e-11	NaN	NaN	NaN	-33097.15518950779	-33097.15518950779	3.141592653589793
-0.000025381159422251137	4.958960691450409e-11	NaN	NaN	NaN	-36759.251138327505	-36759.251138327505	3.141592653589793
-0.000022341499611203098	4.958960691450409e-11	NaN	NaN	NaN	-41024.17303202653	-41024.17303202653	3.141592653589793
-0.000019301839800155056	4.958960691450409e-11	NaN	NaN	NaN	-46300.840081521186	-46300.840081521186	3.141592653589793
-0.00002842081923329918	4.958960691450409e-11	NaN	NaN	NaN	-33255.780502829475	-33255.780502829475	3.141592653589793
-0.000025229176431698734	4.958960691450409e-11	NaN	NaN	NaN	-36952.66894876998	-36952.66894876998	3.141592653589793
-0.000022189516620650695	4.958960691450409e-11	NaN	NaN	NaN	-41261.514829416854	-41261.514829416854	3.141592653589793
-0.000019149856809602654	4.958960691450409e-11	NaN	NaN	NaN	-46597.049650579516	-46597.049650579516	3.141592653589793
-0.000028268836242746776	4.958960691450409e-11	NaN	NaN	NaN	-33415.853470419264	-33415.853470419264	3.141592653589793
-0.000025077193441146335	4.958960691450409e-11	NaN	NaN	NaN	-37148.00189825485	-37148.00189825485	3.141592653589793
-0.000022037533630098293	4.958960691450409e-11	NaN	NaN	NaN	-41501.40148682402	-41501.40148682402	3.141592653589793
-0.000018997873819050254	4.958960691450409e-11	NaN	NaN	NaN	-46896.69852137103	-46896.69852137103	3.141592653589793
-0.000028116853252194373	4.958960691450409e-11	NaN	NaN	NaN	-33577.39288921778	-33577.39288921778	3.141592653589793
