# Filename	binding\e75766db-78a7-48a9-9e85-3946313bcd10.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:06:02
# Dir	-1
# field	1.9446904672354546e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.9446904672354546e-11	NaN	NaN	NaN	-32233.687978997707	6.379804591999375e6	-1.3090111358381188e-7
-0.00002720495530887996	1.9446904672354546e-11	NaN	NaN	NaN	-35839.816208893164	7.466701799264525e6	0.
-0.000024165295497831922	1.9446904672354546e-11	NaN	NaN	NaN	-40088.370456555946	8.81273308021369e6	0.
-0.00002112563568678388	1.9446904672354546e-11	NaN	NaN	NaN	-45435.51258291834	1.05991645594401e7	0.
-0.000030244615119928003	1.9446904672354546e-11	NaN	NaN	NaN	-32389.20434105883	6.425569640148208e6	0.
-0.00002705297231832756	1.9446904672354546e-11	NaN	NaN	NaN	-36031.27207651624	7.525872505582825e6	0.
-0.00002401331250727952	1.9446904672354546e-11	NaN	NaN	NaN	-40326.58128702483	8.890190995561142e6	0.
-0.000020973652696231478	1.9446904672354546e-11	NaN	NaN	NaN	-45739.09156628601	1.0703483589153605e7	0.
-0.0000300926321293756	1.9446904672354546e-11	NaN	NaN	NaN	-32546.1981685259	6.471872849988301e6	0.
-0.00002690098932777516	1.9446904672354546e-11	NaN	NaN	NaN	-36224.73326624384	7.585811584833525e6	0.
-0.000023861329516727117	1.9446904672354546e-11	NaN	NaN	NaN	-40567.551687451145	8.968753974369267e6	0.
-0.000020821669705679075	1.9446904672354546e-11	NaN	NaN	NaN	-46046.592855484334	1.0809455465862298e7	0.
-0.000029940649138823198	1.9446904672354546e-11	NaN	NaN	NaN	-32704.690176847475	6.518720610452931e6	0.
-0.000026749006337222757	1.9446904672354546e-11	NaN	NaN	NaN	-36420.23063344558	7.646526358486176e6	0.
-0.000023709346526174715	1.9446904672354546e-11	NaN	NaN	NaN	-40811.328329339594	9.04844331302344e6	0.
-0.000020669686715126676	1.9446904672354546e-11	NaN	NaN	NaN	-46358.08976783353	1.0917115045106687e7	0.
-0.000029788666148270795	1.9446904672354546e-11	NaN	NaN	NaN	-32864.70146204756	6.566125517429205e6	0.
-0.000026597023346670354	1.9446904672354546e-11	NaN	NaN	NaN	-36617.795652329376	7.708036765718264e6	0.
-0.000023557363535622312	1.9446904672354546e-11	NaN	NaN	NaN	-41057.9589056636	9.129282457811715e6	0.
-0.000020517703724574274	1.9446904672354546e-11	NaN	NaN	NaN	-46673.65737494665	1.102650058654675e7	0.
-0.000029636683157718393	1.9446904672354546e-11	NaN	NaN	NaN	-33026.253509298884	6.614098050532363e6	0.
-0.00002644504035611795	1.9446904672354546e-11	NaN	NaN	NaN	-36817.460431064916	7.770354600732183e6	0.
-0.000023405380545069913	1.9446904672354546e-11	NaN	NaN	NaN	-41307.492157864064	9.211292385763278e6	0.
-0.00002036572073402187	1.9446904672354546e-11	NaN	NaN	NaN	-46993.37255270161	1.113764465433079e7	0.
-0.000029484700167165993	1.9446904672354546e-11	NaN	NaN	NaN	-33189.36820172202	6.662641390107295e6	0.
-0.00002629305736556555	1.9446904672354546e-11	NaN	NaN	NaN	-37019.257727338714	7.833494835405461e6	0.
-0.00002325339755451751	1.9446904672354546e-11	NaN	NaN	NaN	-41559.97790366997	9.294497617783641e6	0.
-0.00002021373774346947	1.9446904672354546e-11	NaN	NaN	NaN	-47317.31403281812	1.1250590540008577e7	0.
-0.00002933271717661359	1.9446904672354546e-11	NaN	NaN	NaN	-33354.067829420346	6.71177143203009e6	0.
-0.000026141074375013146	1.9446904672354546e-11	NaN	NaN	NaN	-37223.2209643528	7.897470445958934e6	0.
