# Filename	binding\e93eb735-3c9e-4543-b0c3-5bc6458c51d5.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:29:19
# Dir	1
# field	1.458517850426591e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	1.458517850426591e-11	NaN	NaN	NaN	33434.81312588555	6.832461801358803e6	-4.264314208168775e-7
-0.00002720495530887996	1.458517850426591e-11	NaN	NaN	NaN	37512.430952876624	8.132801793672211e6	-3.6054990953818877e-7
-0.000024165295497831922	1.458517850426591e-11	NaN	NaN	NaN	42470.31403943777	9.81900104516655e6	-2.0705551665062937e-7
-0.00002112563568678388	1.458517850426591e-11	NaN	NaN	NaN	48993.03755330472	1.2206665177497584e7	0.
-0.000030244615119928003	1.458517850426591e-11	NaN	NaN	NaN	33608.44081425168	6.886199573854335e6	0.
-0.00002705297231832756	1.458517850426591e-11	NaN	NaN	NaN	37732.08565305633	8.20509431600747e6	-3.5946513319237733e-7
-0.00002401331250727952	1.458517850426591e-11	NaN	NaN	NaN	42753.78699612488	9.918814963267734e6	0.
-0.000020973652696231478	1.458517850426591e-11	NaN	NaN	NaN	49374.12805987661	1.2351979119469415e7	0.
-0.0000300926321293756	1.458517850426591e-11	NaN	NaN	NaN	33783.91190740506	6.94065409388103e6	0.
-0.00002690098932777516	1.458517850426591e-11	NaN	NaN	NaN	37954.383420513	8.27848864427708e6	0.
-0.000023861329516727117	1.458517850426591e-11	NaN	NaN	NaN	43041.17531700003	1.0020377036648473e7	0.
-0.000020821669705679075	1.458517850426591e-11	NaN	NaN	NaN	49761.41751889763	1.2500305738514496e7	0.
-0.000029940649138823198	1.458517850426591e-11	NaN	NaN	NaN	33961.256415901655	6.995844233287568e6	0.
-0.000026749006337222757	1.458517850426591e-11	NaN	NaN	NaN	38179.37327049937	8.353007190629099e6	0.
-0.000023709346526174715	1.458517850426591e-11	NaN	NaN	NaN	43332.56292495819	1.012373413588667e7	0.
-0.000020669686715126676	1.458517850426591e-11	NaN	NaN	NaN	50155.06402675323	1.2651736368702788e7	-4.514145852139001e-7
-0.000029788666148270795	1.458517850426591e-11	NaN	NaN	NaN	34140.50501606364	7.051779728638667e6	-2.2505990422527845e-7
-0.000026597023346670354	1.458517850426591e-11	NaN	NaN	NaN	38407.10546298624	8.42867435689838e6	0.
-0.000023557363535622312	1.458517850426591e-11	NaN	NaN	NaN	43628.03622230846	1.022892923918238e7	0.
-0.000020517703724574274	1.458517850426591e-11	NaN	NaN	NaN	50555.23129092259	1.2806374834194226e7	0.
-0.000029636683157718393	1.458517850426591e-11	NaN	NaN	NaN	34321.68906883893	7.108480772650492e6	0.
-0.00002644504035611795	1.458517850426591e-11	NaN	NaN	NaN	38637.63154321017	8.505515852720862e6	0.
-0.000023405380545069913	1.458517850426591e-11	NaN	NaN	NaN	43927.68418530736	1.0336013176715642e7	0.
-0.00002036572073402187	1.458517850426591e-11	NaN	NaN	NaN	50962.088889192746	1.296430522051795e7	0.
-0.000029484700167165993	1.458517850426591e-11	NaN	NaN	NaN	34504.84063931564	7.165958391679412e6	0.
-0.00002629305736556555	1.458517850426591e-11	NaN	NaN	NaN	38871.00438384532	8.58355541783702e6	-2.687013266527333e-7
-0.00002325339755451751	1.458517850426591e-11	NaN	NaN	NaN	44231.59846314802	1.0445031759521542e7	-5.473216905505056e-7
-0.00002021373774346947	1.458517850426591e-11	NaN	NaN	NaN	51375.812543793094	1.312564341295954e7	0.
-0.00002933271717661359	1.458517850426591e-11	NaN	NaN	NaN	34689.99251691666	7.22422774185443e6	0.
-0.000026141074375013146	1.458517850426591e-11	NaN	NaN	NaN	39107.278228877956	8.662827645921277e6	0.
-0.000023101414563965108	1.458517850426591e-11	NaN	NaN	NaN	44539.873481661016	1.0556038552010886e7	-5.453410743468456e-7
-0.000020061754752917066	1.458517850426591e-11	NaN	NaN	NaN	51796.584411487995	1.3290486767488943e7	0.
-0.000029180734186061188	1.458517850426591e-11	NaN	NaN	NaN	34877.17823630562	7.283306150654127e6	0.
-0.000025989091384460747	1.458517850426591e-11	NaN	NaN	NaN	39346.50873926642	8.74335444606536e6	0.
-0.000022949431573412705	1.458517850426591e-11	NaN	NaN	NaN	44852.60655199371	1.0669085732222477e7	0.
-0.000019909771762364663	1.458517850426591e-11	NaN	NaN	NaN	52224.59339075235	1.3458956063313961e7	0.
-0.000029028751195508785	1.458517850426591e-11	NaN	NaN	NaN	35066.432099031146	7.343209816677838e6	0.
-0.000025837108393908344	1.458517850426591e-11	NaN	NaN	NaN	39588.75304047151	8.825165900315534e6	0.
-0.000022797448582860302	1.458517850426591e-11	NaN	NaN	NaN	45169.89798455611	1.0784227692521095e7	0.
-0.000019757788771812264	1.458517850426591e-11	NaN	NaN	NaN	52660.035447241266	1.3631163527834836e7	0.
-0.000028876768204956383	1.458517850426591e-11	NaN	NaN	NaN	35257.789195942416	7.40395188903716e6	0.
-0.000025685125403355942	1.458517850426591e-11	NaN	NaN	NaN	39834.06977195103	8.908290451106332e6	0.
-0.0000226454655923079	1.458517850426591e-11	NaN	NaN	NaN	45491.85120853855	1.0901518255832057e7	0.
-0.00001960580578125986	1.458517850426591e-11	NaN	NaN	NaN	53103.113958877206	1.3807233370753745e7	0.
-0.000028724785214403984	1.458517850426591e-11	NaN	NaN	NaN	35451.28543040817	7.46555244099941e6	-6.558169176600355e-7
-0.00002553314241280354	1.458517850426591e-11	NaN	NaN	NaN	40082.51913871431	8.992758434941215e6	-2.1382749943092964e-7
-0.0000224934826017555	1.458517850426591e-11	NaN	NaN	NaN	45818.57289733102	1.1021017546597973e7	0.
-0.00001945382279070746	1.458517850426591e-11	NaN	NaN	NaN	53554.04008197967	1.3987290529578527e7	0.
-0.00002857280222385158	1.458517850426591e-11	NaN	NaN	NaN	35646.95754237241	7.528029471251759e6	0.
-0.000025381159422251137	1.458517850426591e-11	NaN	NaN	NaN	40334.16296503871	9.07860515774025e6	0.
-0.000022341499611203098	1.458517850426591e-11	NaN	NaN	NaN	46150.17310019183	1.1142791872331342e7	0.
-0.000019301839800155056	1.458517850426591e-11	NaN	NaN	NaN	54013.03313999405	1.4171467541909622e7	0.
-0.00002842081923329918	1.458517850426591e-11	NaN	NaN	NaN	35844.84313328513	7.591402210094574e6	0.
-0.000025229176431698734	1.458517850426591e-11	NaN	NaN	NaN	40589.06475045928	9.165858548935229e6	-6.116576306631155e-7
-0.000022189516620650695	1.458517850426591e-11	NaN	NaN	NaN	46486.765380541074	1.1266890999864727e7	0.
-0.000028268836242746776	1.458517850426591e-11	NaN	NaN	NaN	36044.98069194288	7.655678546295714e6	0.
-0.000025077193441146335	1.458517850426591e-11	NaN	NaN	NaN	40847.289728141586	9.254555984544972e6	0.
-0.000022037533630098293	1.458517850426591e-11	NaN	NaN	NaN	46828.466961280326	1.1393384812602455e7	0.
-0.000019149856809602654	1.458517850426591e-11	NaN	NaN	NaN	54480.321036506655	1.435991074342841e7	0.
-0.000028116853252194373	1.458517850426591e-11	NaN	NaN	NaN	36247.40962128219	7.720889468562086e6	0.
-0.000024925210450593932	1.458517850426591e-11	NaN	NaN	NaN	41108.9049257654	9.344725678456487e6	0.
-0.00002188555063954589	1.458517850426591e-11	NaN	NaN	NaN	47175.39887756737	1.1522345463018186e7	-2.4134810033095554e-7
-0.000018997873819050254	1.458517850426591e-11	NaN	NaN	NaN	54956.140694382506	1.455275025772678e7	0.
-0.00002796487026164197	1.458517850426591e-11	NaN	NaN	NaN	36452.1702661639	7.787052138869083e6	0.
-0.00002477322746004153	1.458517850426591e-11	NaN	NaN	NaN	41373.979229043376	9.436409879850999e6	0.
-0.00002781288727108957	1.458517850426591e-11	NaN	NaN	NaN	36659.303942195715	7.8541785608477155e6	0.
-0.000024621244469489127	1.458517850426591e-11	NaN	NaN	NaN	41642.583448013145	9.529638760017974e6	0.
-0.000021733567648993488	1.458517850426591e-11	NaN	NaN	NaN	47527.68613750464	1.1653841760979619e7	-2.404070282615835e-7
-0.00001884589082849785	1.458517850426591e-11	NaN	NaN	NaN	55440.7385230324	1.4750151855052756e7	0.
-0.00002766090428053717	1.458517850426591e-11	NaN	NaN	NaN	36868.85296563711	7.922296729642628e6	0.
-0.000024469261478936724	1.458517850426591e-11	NaN	NaN	NaN	41914.79038624937	9.624455220331525e6	0.
-0.00002158158465844109	1.458517850426591e-11	NaN	NaN	NaN	47885.45789123907	1.1787947629628133e7	0.
-0.00001869390783794545	1.458517850426591e-11	NaN	NaN	NaN	55934.37091598672	1.495226861186004e7	0.
-0.000027508921289984766	1.458517850426591e-11	NaN	NaN	NaN	37080.860684435334	7.991426060803968e6	0.
-0.000024317278488384322	1.458517850426591e-11	NaN	NaN	NaN	42190.67491314628	9.720896112123609e6	0.
-0.000021429601667888686	1.458517850426591e-11	NaN	NaN	NaN	48248.84760899895	1.1924732342444029e7	0.
-0.000018541924847393046	1.458517850426591e-11	NaN	NaN	NaN	56437.304781166546	1.5159273163339918e7	0.
-0.000027356938299432364	1.458517850426591e-11	NaN	NaN	NaN	37295.37151044375	8.061587916598955e6	0.
-0.000021277618677336283	1.458517850426591e-11	NaN	NaN	NaN	48617.99326863886	1.206427834814914e7	0.
-0.000018389941856840644	1.458517850426591e-11	NaN	NaN	NaN	56949.8181064533	1.5371326084677119e7	0.
-0.000018085975875735842	1.458517850426591e-11	NaN	NaN	NaN	58004.75415230435	1.5811357538783371e7	0.
-0.00001823795886628824	1.458517850426591e-11	NaN	NaN	NaN	57472.20056341413	1.5588622335846543e7	0.
-0.0000150463160646878	1.458517850426591e-11	NaN	NaN	NaN	71403.67875904465	2.181269158883648e7	0.
-0.00001793399288518344	1.458517850426591e-11	NaN	NaN	NaN	58547.793891778216	1.6039711718693322e7	0.
-0.00001200665625363976	1.458517850426591e-11	NaN	NaN	NaN	94026.87205128335	3.3710968486732386e7	0.
-0.000014894333074135398	1.458517850426591e-11	NaN	NaN	NaN	72251.56245774182	2.22182087715628e7	0.
-0.000017782009894631037	1.458517850426591e-11	NaN	NaN	NaN	59101.64855707603	1.6273917262363141e7	0.
-0.000011854673263087357	1.458517850426591e-11	NaN	NaN	NaN	95599.16534999092	3.462382491617723e7	0.
-8.96699644259172e-6	1.458517850426591e-11	NaN	NaN	NaN	146364.92807042407	7.133841494724926e7	0.
-0.000014742350083582997	1.458517850426591e-11	NaN	NaN	NaN	73121.54809154621	2.263750107470331e7	0.
-0.000017630026904078634	1.458517850426591e-11	NaN	NaN	NaN	59666.66147082676	1.6514189802995993e7	0.
-0.000011702690272534956	1.458517850426591e-11	NaN	NaN	NaN	97233.48862553084	3.55850686604827e7	0.
-8.815013452039317e-6	1.458517850426591e-11	NaN	NaN	NaN	151338.13912764497	7.586272718110442e7	0.
-0.000014590367093030594	1.458517850426591e-11	NaN	NaN	NaN	74014.58165991245	2.307128117556608e7	0.
-0.00001747804391352623	1.458517850426591e-11	NaN	NaN	NaN	60243.19135103382	1.6760758211018806e7	-7.901657998520735e-7
-0.000011550707281982554	1.458517850426591e-11	NaN	NaN	NaN	98934.1298021302	3.659884993910827e7	0.
-8.663030461486915e-6	1.458517850426591e-11	NaN	NaN	NaN	156856.63068060414	8.113460909526025e7	0.
-0.000014438384102478191	1.458517850426591e-11	NaN	NaN	NaN	74931.66783697439	2.3520316937196124e7	0.
-0.00001732606092297383	1.458517850426591e-11	NaN	NaN	NaN	60831.61322127449	1.7013879721489646e7	0.
-0.000011398724291430151	1.458517850426591e-11	NaN	NaN	NaN	100705.82904494504	3.766983346919454e7	0.
-8.511047470934514e-6	1.458517850426591e-11	NaN	NaN	NaN	163056.6828936781	8.740351260150275e7	0.
-0.00001428640111192579	1.458517850426591e-11	NaN	NaN	NaN	75873.87487007274	2.3985428495063823e7	0.
-0.00001717407793242143	1.458517850426591e-11	NaN	NaN	NaN	61432.319388673925	1.7273801620367963e7	0.
-0.00001124674130087775	1.458517850426591e-11	NaN	NaN	NaN	102553.84552133131	3.880329387052646e7	0.
-8.359064480382111e-6	1.458517850426591e-11	NaN	NaN	NaN	170138.5184066348	9.50646823509171e7	0.
-0.000014134418121373388	1.458517850426591e-11	NaN	NaN	NaN	76842.34000190778	2.446750337918048e7	0.
