# Filename	binding\ee21cd67-d106-481b-9e12-0fa0704bcd7e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:08:11
# Dir	-1
# field	3.228186175610854e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	3.228186175610854e-11	NaN	NaN	NaN	-31822.91092668507	6.229665764733357e6	0.
-0.00002720495530887996	3.228186175610854e-11	NaN	NaN	NaN	-35280.97143650257	7.252426859341331e6	0.
-0.000024165295497831922	3.228186175610854e-11	NaN	NaN	NaN	-39316.65996874233	8.501875118042171e6	0.
-0.00002112563568678388	3.228186175610854e-11	NaN	NaN	NaN	-44332.58067894617	1.0130534842600252e7	0.
-0.000030244615119928003	3.228186175610854e-11	NaN	NaN	NaN	-31972.630252209074	6.2729759609439e6	0.
-0.00002705297231832756	3.228186175610854e-11	NaN	NaN	NaN	-35463.74930780219	7.307753358370165e6	0.
-0.00002401331250727952	3.228186175610854e-11	NaN	NaN	NaN	-39541.64819574439	8.573191822704637e6	0.
-0.000020973652696231478	3.228186175610854e-11	NaN	NaN	NaN	-44615.14657532428	1.0224596764471851e7	0.
-0.0000300926321293756	3.228186175610854e-11	NaN	NaN	NaN	-32123.719393283616	6.316773614825334e6	0.
-0.00002690098932777516	3.228186175610854e-11	NaN	NaN	NaN	-35648.35583377285	7.363758074029468e6	0.
-0.000023861329516727117	3.228186175610854e-11	NaN	NaN	NaN	-39769.100414529494	8.645464305666206e6	0.
-0.000020821669705679075	3.228186175610854e-11	NaN	NaN	NaN	-44901.11607957611	1.0320031878271464e7	0.
-0.000029940649138823198	3.228186175610854e-11	NaN	NaN	NaN	-32276.196600887746	6.361066621589718e6	0.
-0.000026749006337222757	3.228186175610854e-11	NaN	NaN	NaN	-35834.8174534024	7.420452888628083e6	0.
-0.000023709346526174715	3.228186175610854e-11	NaN	NaN	NaN	-39999.05522651997	8.718703495849116e6	0.
-0.000020669686715126676	3.228186175610854e-11	NaN	NaN	NaN	-45190.54699158922	1.0416864557736892e7	0.
-0.000029788666148270795	3.228186175610854e-11	NaN	NaN	NaN	-32430.08043986343	6.405862688544114e6	0.
-0.000026597023346670354	3.228186175610854e-11	NaN	NaN	NaN	-36023.16109455466	7.477849102304685e6	0.
-0.000023557363535622312	3.228186175610854e-11	NaN	NaN	NaN	-40231.5519968172	8.792930871150604e6	0.
-0.000020517703724574274	3.228186175610854e-11	NaN	NaN	NaN	-45483.49832736053	1.0515124761420334e7	0.
-0.000029636683157718393	3.228186175610854e-11	NaN	NaN	NaN	-32585.389795415398	6.451169157507534e6	0.
-0.00002644504035611795	3.228186175610854e-11	NaN	NaN	NaN	-36213.41418472539	7.535958391504076e6	0.
-0.000023405380545069913	3.228186175610854e-11	NaN	NaN	NaN	-40466.630871863	8.868163388203895e6	0.
-0.00002036572073402187	3.228186175610854e-11	NaN	NaN	NaN	-45780.03034804518	1.0614837088990249e7	0.
-0.000029484700167165993	3.228186175610854e-11	NaN	NaN	NaN	-32742.14387976543	6.4969932945486e6	0.
-0.00002629305736556555	3.228186175610854e-11	NaN	NaN	NaN	-36405.604662064805	7.594792676970759e6	0.
-0.00002325339755451751	3.228186175610854e-11	NaN	NaN	NaN	-40704.332797548974	8.944419077803032e6	0.
-0.00002021373774346947	3.228186175610854e-11	NaN	NaN	NaN	-46080.20458972555	1.0716031437644038e7	0.
-0.00002933271717661359	3.228186175610854e-11	NaN	NaN	NaN	-32900.362238965165	6.543344320892337e6	0.
-0.000026141074375013146	3.228186175610854e-11	NaN	NaN	NaN	-36599.76098667392	7.654363696208136e6	0.
-0.000023101414563965108	3.228186175610854e-11	NaN	NaN	NaN	-40944.699537784414	9.02171617676376e6	0.
-0.000020061754752917066	3.228186175610854e-11	NaN	NaN	NaN	-46384.08389391356	1.0818736086333292e7	0.
-0.000029180734186061188	3.228186175610854e-11	NaN	NaN	NaN	-33060.064759871166	6.590230077448182e6	0.
-0.000025989091384460747	3.228186175610854e-11	NaN	NaN	NaN	-36795.912152182034	7.7146845685083335e6	0.
-0.000022949431573412705	3.228186175610854e-11	NaN	NaN	NaN	-41187.77369353492	9.10007403617657e6	0.
-0.000019909771762364663	3.228186175610854e-11	NaN	NaN	NaN	-46691.732438803076	1.0922980253740191e7	0.
-0.000029028751195508785	3.228186175610854e-11	NaN	NaN	NaN	-33221.27167728712	6.6376587099008635e6	0.
-0.000025837108393908344	3.228186175610854e-11	NaN	NaN	NaN	-36994.087697612355	7.775767366447906e6	0.
-0.000022797448582860302	3.228186175610854e-11	NaN	NaN	NaN	-41433.59872234318	9.179511452376176e6	0.
-0.000019757788771812264	3.228186175610854e-11	NaN	NaN	NaN	-47003.21577128757	1.1028794945966767e7	0.
-0.000028876768204956383	3.228186175610854e-11	NaN	NaN	NaN	-33384.0035812772	6.6856391711364435e6	0.
-0.000025685125403355942	3.228186175610854e-11	NaN	NaN	NaN	-37194.31771954408	7.837624837196447e6	0.
-0.0000226454655923079	3.228186175610854e-11	NaN	NaN	NaN	-41682.21895834459	9.260047293726914e6	0.
-0.00001960580578125986	3.228186175610854e-11	NaN	NaN	NaN	-47318.600839758044	1.1136208148547288e7	0.
-0.000028724785214403984	3.228186175610854e-11	NaN	NaN	NaN	-33548.28142465485	6.734179009291006e6	0.
-0.00002553314241280354	3.228186175610854e-11	NaN	NaN	NaN	-37396.63288457834	7.900270929405329e6	0.
-0.0000224934826017555	3.228186175610854e-11	NaN	NaN	NaN	-41933.67963278976	9.341703073740857e6	0.
-0.00001945382279070746	3.228186175610854e-11	NaN	NaN	NaN	-47637.9560276976	1.1245253519302268e7	0.
-0.00002857280222385158	3.228186175610854e-11	NaN	NaN	NaN	-33714.12653065258	6.783288398445672e6	0.
-0.000025381159422251137	3.228186175610854e-11	NaN	NaN	NaN	-37601.064442115865	7.963719983490145e6	0.
