# Filename	binding\eeea1e66-1717-48de-aead-484372cd47bc.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:27:59
# Dir	1
# field	4.278319027918e-12
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.278319027918e-12	NaN	NaN	NaN	33052.180098037396	6.686014142068543e6	0.
-0.00002720495530887996	4.278319027918e-12	NaN	NaN	NaN	36972.98739805567	7.913820810923909e6	0.
-0.000024165295497831922	4.278319027918e-12	NaN	NaN	NaN	41689.36112000351	9.481068558330476e6	-1.2811987037031988e-7
-0.00002112563568678388	4.278319027918e-12	NaN	NaN	NaN	47798.546511965236	1.1649987228134554e7	0.
-0.000030244615119928003	4.278319027918e-12	NaN	NaN	NaN	33219.8432395669	6.737073895053682e6	0.
-0.00002705297231832756	4.278319027918e-12	NaN	NaN	NaN	37183.165675750846	7.981597861716162e6	0.
-0.00002401331250727952	4.278319027918e-12	NaN	NaN	NaN	41957.20953989094	9.572934131190985e6	0.
-0.000020973652696231478	4.278319027918e-12	NaN	NaN	NaN	48151.82737213165	1.1780027862348257e7	0.
-0.0000300926321293756	4.278319027918e-12	NaN	NaN	NaN	33389.224250371146	6.7887890763341775e6	-6.854468975543425e-7
-0.00002690098932777516	4.278319027918e-12	NaN	NaN	NaN	37395.76165753382	8.050353920834961e6	0.
-0.000023861329516727117	4.278319027918e-12	NaN	NaN	NaN	42228.54862572094	9.666303530979699e6	0.
-0.000020821669705679075	4.278319027918e-12	NaN	NaN	NaN	48510.42284919568	1.1912533809288248e7	0.
-0.000029940649138823198	4.278319027918e-12	NaN	NaN	NaN	33560.3497961186	6.841172417483839e6	0.
-0.000026749006337222757	4.278319027918e-12	NaN	NaN	NaN	37610.81755538878	8.120109452108802e6	0.
-0.000023709346526174715	4.278319027918e-12	NaN	NaN	NaN	42503.44759288082	9.761214209113965e6	0.
-0.000020669686715126676	4.278319027918e-12	NaN	NaN	NaN	48874.45501398868	1.2047565881987749e7	-3.6204490463457255e-7
-0.000029788666148270795	4.278319027918e-12	NaN	NaN	NaN	33733.247099916494	6.894236137393486e6	-1.6249888827892686e-7
-0.000026597023346670354	4.278319027918e-12	NaN	NaN	NaN	37828.376575702234	8.190884506483854e6	0.
-0.000023557363535622312	4.278319027918e-12	NaN	NaN	NaN	42781.97751308359	9.857697730433159e6	0.
-0.000020517703724574274	4.278319027918e-12	NaN	NaN	NaN	49244.04974297165	1.2185198952596255e7	0.
-0.000029636683157718393	4.278319027918e-12	NaN	NaN	NaN	33907.943957021336	6.947994043857242e6	0.
-0.00002644504035611795	4.278319027918e-12	NaN	NaN	NaN	38048.48294889704	8.262701522217197e6	0.
-0.000023405380545069913	4.278319027918e-12	NaN	NaN	NaN	43064.21137750231	9.95579467946555e6	-1.0001526236529733e-7
-0.00002036572073402187	4.278319027918e-12	NaN	NaN	NaN	49619.336869203755	1.2325498713800503e7	-4.717215211360006e-7
-0.000029484700167165993	4.278319027918e-12	NaN	NaN	NaN	34084.46875002616	7.002456793952149e6	0.
-0.00002629305736556555	4.278319027918e-12	NaN	NaN	NaN	38271.181960136375	8.335576491947279e6	0.
-0.00002325339755451751	4.278319027918e-12	NaN	NaN	NaN	43350.2241625106	1.0055544198701415e7	0.
-0.00002021373774346947	4.278319027918e-12	NaN	NaN	NaN	50000.450340624324	1.2468541830000572e7	0.
-0.00002933271717661359	4.278319027918e-12	NaN	NaN	NaN	34262.85046453082	7.05763869540942e6	0.
-0.000026141074375013146	4.278319027918e-12	NaN	NaN	NaN	38496.51998114784	8.409538721210774e6	0.
-0.000023101414563965108	4.278319027918e-12	NaN	NaN	NaN	43640.09289817513	1.015699152300556e7	0.
-0.000020061754752917066	4.278319027918e-12	NaN	NaN	NaN	50387.52838607357	1.2614402112416236e7	0.
-0.000029180734186061188	4.278319027918e-12	NaN	NaN	NaN	34443.118705322006	7.113553773677253e6	0.
