# Filename	binding\f3ffb647-02ae-41ce-962e-5cf8c60096a4.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-09T15:30:11
# Dir	1
# field	2.139159513959e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	2.139159513959e-11	NaN	NaN	NaN	33697.543222584885	6.934265183832934e6	0.
-0.00002720495530887996	2.139159513959e-11	NaN	NaN	NaN	37886.68276014191	8.287118561125801e6	0.
-0.000024165295497831922	2.139159513959e-11	NaN	NaN	NaN	43019.94845171211	1.0061702800160106e7	0.
-0.00002112563568678388	2.139159513959e-11	NaN	NaN	NaN	49852.403865943044	1.2618283400365738e7	0.
-0.000030244615119928003	2.139159513959e-11	NaN	NaN	NaN	33875.376883338955	6.989918479775274e6	0.
-0.00002705297231832756	2.139159513959e-11	NaN	NaN	NaN	38113.13820823883	8.362716614875257e6	0.
-0.00002401331250727952	2.139159513959e-11	NaN	NaN	NaN	43314.911961542355	1.0167512710549483e7	0.
-0.000020973652696231478	2.139159513959e-11	NaN	NaN	NaN	50254.73162739854	1.2775672571617799e7	0.
-0.0000300926321293756	2.139159513959e-11	NaN	NaN	NaN	34055.14548617705	7.046338883858142e6	0.
-0.00002690098932777516	2.139159513959e-11	NaN	NaN	NaN	38342.40549189067	8.43950807533761e6	0.
-0.000023861329516727117	2.139159513959e-11	NaN	NaN	NaN	43614.120943853275	1.0275268824132891e7	0.
-0.000020821669705679075	2.139159513959e-11	NaN	NaN	NaN	50663.98645158346	1.2936551080813399e7	0.
-0.000029940649138823198	2.139159513959e-11	NaN	NaN	NaN	34236.88158075107	7.103540921943244e6	0.
-0.000026749006337222757	2.139159513959e-11	NaN	NaN	NaN	38574.53898831525	8.517520703773675e6	0.
-0.000023709346526174715	2.139159513959e-11	NaN	NaN	NaN	43917.671537888615	1.0385023809736758e7	0.
-0.000020669686715126676	2.139159513959e-11	NaN	NaN	NaN	51080.35889198083	1.3101031164533464e7	0.
-0.000029788666148270795	2.139159513959e-11	NaN	NaN	NaN	34420.61846864406	7.161544638117733e6	0.
-0.000026597023346670354	2.139159513959e-11	NaN	NaN	NaN	38809.594528777336	8.596785946467979e6	0.
-0.000023557363535622312	2.139159513959e-11	NaN	NaN	NaN	44225.6629211366	1.0496831279856598e7	0.
-0.000020517703724574274	2.139159513959e-11	NaN	NaN	NaN	51504.04691758825	1.3269235981746566e7	0.
-0.000029636683157718393	2.139159513959e-11	NaN	NaN	NaN	34606.39022570631	7.220356919244716e6	0.
-0.00002644504035611795	2.139159513959e-11	NaN	NaN	NaN	39047.6294488943	8.67732282838586e6	0.
-0.000023405380545069913	2.139159513959e-11	NaN	NaN	NaN	44538.197434562644	1.0610749471146397e7	0.
-0.00002036572073402187	2.139159513959e-11	NaN	NaN	NaN	51935.25629360952	1.3441288488030585e7	0.
-0.000029484700167165993	2.139159513959e-11	NaN	NaN	NaN	34794.23172521041	7.280003075079037e6	0.
-0.00002629305736556555	2.139159513959e-11	NaN	NaN	NaN	39288.70264109971	8.759172012015723e6	0.
-0.00002325339755451751	2.139159513959e-11	NaN	NaN	NaN	44855.380714281324	1.0726833188011762e7	0.
-0.00002021373774346947	2.139159513959e-11	NaN	NaN	NaN	52374.200986755626	1.3617321628133208e7	0.
-0.00002933271717661359	2.139159513959e-11	NaN	NaN	NaN	34984.17866185876	7.340497098324676e6	0.
-0.000026141074375013146	2.139159513959e-11	NaN	NaN	NaN	39532.87460937302	8.842359360715516e6	0.
-0.000023101414563965108	2.139159513959e-11	NaN	NaN	NaN	45177.32183006973	1.084514586444927e7	0.
-0.000020061754752917066	2.139159513959e-11	NaN	NaN	NaN	52821.10359708949	1.3797473079111539e7	0.
-0.000029180734186061188	2.139159513959e-11	NaN	NaN	NaN	35176.267576683174	7.4018560594757255e6	0.
-0.000025989091384460747	2.139159513959e-11	NaN	NaN	NaN	39780.20752635669	8.926918505539112e6	0.
-0.000022949431573412705	2.139159513959e-11	NaN	NaN	NaN	45504.13343114986	1.0965749560021296e7	0.
-0.000019909771762364663	2.139159513959e-11	NaN	NaN	NaN	53276.195818533226	1.3981885273962177e7	0.
-0.000029028751195508785	2.139159513959e-11	NaN	NaN	NaN	35370.53588287539	7.464098973042558e6	0.
-0.000025837108393908344	2.139159513959e-11	NaN	NaN	NaN	40030.765292983	9.01288111451886e6	0.
-0.000022797448582860302	2.139159513959e-11	NaN	NaN	NaN	45835.93189970292	1.1088710257876024e7	0.
-0.000019757788771812264	2.139159513959e-11	NaN	NaN	NaN	53739.71893035587	1.4170710634688925e7	0.
-0.000028876768204956383	2.139159513959e-11	NaN	NaN	NaN	35567.02189258962	7.527242672388164e6	0.
-0.000025685125403355942	2.139159513959e-11	NaN	NaN	NaN	40284.61360074502	9.100281717647359e6	0.
-0.0000226454655923079	2.139159513959e-11	NaN	NaN	NaN	46172.83751261078	1.1214094890278852e7	0.
-0.00001960580578125986	2.139159513959e-11	NaN	NaN	NaN	54211.9243221819	1.4364108213151071e7	0.
-0.000028724785214403984	2.139159513959e-11	NaN	NaN	NaN	35765.76484476238	7.59130923162593e6	0.
-0.00002553314241280354	2.139159513959e-11	NaN	NaN	NaN	40541.81999675187	9.189155730023192e6	0.
-0.0000224934826017555	2.139159513959e-11	NaN	NaN	NaN	46514.97461195876	1.1341975504977351e7	0.
-0.00001945382279070746	2.139159513959e-11	NaN	NaN	NaN	54693.07405530888	1.4562242067174284e7	0.
-0.00002857280222385158	2.139159513959e-11	NaN	NaN	NaN	35966.80493399409	7.656309824632145e6	0.
-0.000025381159422251137	2.139159513959e-11	NaN	NaN	NaN	40802.45395171829	9.279539100674517e6	0.
-0.000022341499611203098	2.139159513959e-11	NaN	NaN	NaN	46862.471784873174	1.1472423116620447e7	0.
-0.000019301839800155056	2.139159513959e-11	NaN	NaN	NaN	55183.44146339956	1.4765287274939e7	0.
-0.00002842081923329918	2.139159513959e-11	NaN	NaN	NaN	36170.18334054286	7.722274045029943e6	0.
-0.000025229176431698734	2.139159513959e-11	NaN	NaN	NaN	41066.58693104813	9.371469332337456e6	0.
-0.000022189516620650695	2.139159513959e-11	NaN	NaN	NaN	47215.462053314375	1.1605516574962e7	0.
-0.000019149856809602654	2.139159513959e-11	NaN	NaN	NaN	55683.311795918125	1.4973427590941004e7	0.
-0.000028268836242746776	2.139159513959e-11	NaN	NaN	NaN	36375.94226147931	7.789216918153402e6	0.
-0.000025077193441146335	2.139159513959e-11	NaN	NaN	NaN	41334.29246918071	9.46498443076922e6	0.
-0.000022037533630098293	2.139159513959e-11	NaN	NaN	NaN	47574.08307449035	1.174133214994078e7	0.
