# Filename	binding\f4432613-5c07-4e65-8626-ab02b08989c7.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-07T15:10:50
# Dir	-1
# field	4.8228323587439275e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000030396598110480406	4.8228323587439275e-11	NaN	NaN	NaN	-31340.02896491903	6.056115945483655e6	0.
-0.00002720495530887996	4.8228323587439275e-11	NaN	NaN	NaN	-34631.80755523437	7.008533514072365e6	0.
-0.000024165295497831922	4.8228323587439275e-11	NaN	NaN	NaN	-38433.62279859192	8.154847691229563e6	0.
-0.00002112563568678388	4.8228323587439275e-11	NaN	NaN	NaN	-43095.87408763381	9.620828272180898e6	0.
-0.000030244615119928003	4.8228323587439275e-11	NaN	NaN	NaN	-31483.17627569284	6.096703784855017e6	0.
-0.00002705297231832756	4.8228323587439275e-11	NaN	NaN	NaN	-34804.937021044374	7.059692329960576e6	0.
-0.00002401331250727952	4.8228323587439275e-11	NaN	NaN	NaN	-38644.26542557604	8.219709240100585e6	0.
-0.000020973652696231478	4.8228323587439275e-11	NaN	NaN	NaN	-43356.37656633917	9.704527631169103e6	0.
-0.0000300926321293756	4.8228323587439275e-11	NaN	NaN	NaN	-31627.576794592533	6.137725691718656e6	0.
-0.00002690098932777516	4.8228323587439275e-11	NaN	NaN	NaN	-34979.70924161471	7.111441809598996e6	0.
-0.000023861329516727117	4.8228323587439275e-11	NaN	NaN	NaN	-38857.07212384289	8.285374295534701e6	0.
-0.000020821669705679075	4.8228323587439275e-11	NaN	NaN	NaN	-43619.781212405534	9.789340772950172e6	0.
-0.000029940649138823198	4.8228323587439275e-11	NaN	NaN	NaN	-31773.246247336054	6.179187541996614e6	0.
-0.000026749006337222757	4.8228323587439275e-11	NaN	NaN	NaN	-35156.146311532655	7.163790870331229e6	0.
-0.000023709346526174715	4.8228323587439275e-11	NaN	NaN	NaN	-39072.07395240565	8.351855986066876e6	0.
-0.000020669686715126676	4.8228323587439275e-11	NaN	NaN	NaN	-43886.132279221274	9.875287746909317e6	0.
-0.000029788666148270795	4.8228323587439275e-11	NaN	NaN	NaN	-31920.20060955991	6.221096104644662e6	0.
-0.000026597023346670354	4.8228323587439275e-11	NaN	NaN	NaN	-35334.27069641819	7.216746634163944e6	0.
-0.000023557363535622312	4.8228323587439275e-11	NaN	NaN	NaN	-39289.30251600385	8.41916875095164e6	0.
-0.000020517703724574274	4.8228323587439275e-11	NaN	NaN	NaN	-44155.47482206076	9.962386844298482e6	0.
-0.000029636683157718393	4.8228323587439275e-11	NaN	NaN	NaN	-32068.456111483905	6.263458195217536e6	0.
-0.00002644504035611795	4.8228323587439275e-11	NaN	NaN	NaN	-35514.105240090365	7.2703194088186e6	0.
-0.000023405380545069913	4.8228323587439275e-11	NaN	NaN	NaN	-39508.78997578451	8.487324463736147e6	0.
-0.00002036572073402187	4.8228323587439275e-11	NaN	NaN	NaN	-44427.85471339067	1.005065837722902e7	0.
-0.000029484700167165993	4.8228323587439275e-11	NaN	NaN	NaN	-32218.02924267214	6.3062789381177e6	0.
-0.00002629305736556555	4.8228323587439275e-11	NaN	NaN	NaN	-35695.67317188072	7.324519492033357e6	0.
-0.00002325339755451751	4.8228323587439275e-11	NaN	NaN	NaN	-39730.56906019186	8.556337388222104e6	0.
-0.00002021373774346947	4.8228323587439275e-11	NaN	NaN	NaN	-44703.31865842284	1.0140121625801465e7	0.
-0.00002933271717661359	4.8228323587439275e-11	NaN	NaN	NaN	-32368.936756892483	6.349565437473747e6	0.
-0.000026141074375013146	4.8228323587439275e-11	NaN	NaN	NaN	-35878.99811409677	7.379355768675567e6	0.
-0.000023101414563965108	4.8228323587439275e-11	NaN	NaN	NaN	-39954.67307606744	8.6262216834494e6	0.
-0.000020061754752917066	4.8228323587439275e-11	NaN	NaN	NaN	-44981.91421091387	1.023079637432284e7	0.
-0.000029180734186061188	4.8228323587439275e-11	NaN	NaN	NaN	-32521.195677076204	6.393325315028271e6	0.
-0.000025989091384460747	4.8228323587439275e-11	NaN	NaN	NaN	-36064.10408963892	7.434838177044231e6	0.
-0.000022949431573412705	4.8228323587439275e-11	NaN	NaN	NaN	-40181.135919964065	8.696991443147305e6	0.
-0.000019909771762364663	4.8228323587439275e-11	NaN	NaN	NaN	-45263.68978921087	1.0322704221881034e7	0.
-0.000029028751195508785	4.8228323587439275e-11	NaN	NaN	NaN	-32674.82330037979	6.437565017354778e6	0.
-0.000025837108393908344	4.8228323587439275e-11	NaN	NaN	NaN	-36251.01552977304	7.490976459237755e6	0.
-0.000022797448582860302	4.8228323587439275e-11	NaN	NaN	NaN	-40409.992089676576	8.768660801166007e6	0.
-0.000019757788771812264	4.8228323587439275e-11	NaN	NaN	NaN	-45548.69469254198	1.0415865974401906e7	0.
-0.000028876768204956383	4.8228323587439275e-11	NaN	NaN	NaN	-32829.83720335176	6.482291253617959e6	0.
-0.000025685125403355942	4.8228323587439275e-11	NaN	NaN	NaN	-36439.7572820622	7.547781380917359e6	0.
-0.0000226454655923079	4.8228323587439275e-11	NaN	NaN	NaN	-40641.27669599209	8.841245415703734e6	0.
-0.00001960580578125986	4.8228323587439275e-11	NaN	NaN	NaN	-45836.979117551	1.051030266131397e7	0.
-0.000028724785214403984	4.8228323587439275e-11	NaN	NaN	NaN	-32986.25524720619	6.527512043805641e6	0.
-0.00002553314241280354	4.8228323587439275e-11	NaN	NaN	NaN	-36630.354618460005	7.605262325833544e6	0.
-0.0000224934826017555	4.8228323587439275e-11	NaN	NaN	NaN	-40875.02547466223	8.914758280451005e6	0.
-0.00001945382279070746	4.8228323587439275e-11	NaN	NaN	NaN	-46128.59417507389	1.0606036434845814e7	0.
-0.00002857280222385158	4.8228323587439275e-11	NaN	NaN	NaN	-33144.09558320491	6.573232688054894e6	0.
-0.000025381159422251137	4.8228323587439275e-11	NaN	NaN	NaN	-36822.83324356922	7.663430920597748e6	0.
-0.000022341499611203098	4.8228323587439275e-11	NaN	NaN	NaN	-41111.27479860079	8.989216580802158e6	0.
-0.000019301839800155056	4.8228323587439275e-11	NaN	NaN	NaN	-46423.59190715497	1.0703089418446302e7	0.
-0.00002842081923329918	4.8228323587439275e-11	NaN	NaN	NaN	-33303.37665815177	6.619466422570519e6	0.
-0.000025229176431698734	4.8228323587439275e-11	NaN	NaN	NaN	-37017.21930306785	7.722297144771025e6	0.
-0.000022189516620650695	4.8228323587439275e-11	NaN	NaN	NaN	-41350.06169030822	9.064635139698757e6	0.
-0.000019149856809602654	4.8228323587439275e-11	NaN	NaN	NaN	-46722.02530430023	1.0801483798915176e7	0.
-0.000028268836242746776	4.8228323587439275e-11	NaN	NaN	NaN	-33464.11721999943	6.666208197492084e6	0.
-0.000025077193441146335	4.8228323587439275e-11	NaN	NaN	NaN	-37213.5393923066	7.781872526717777e6	0.
-0.000022037533630098293	4.8228323587439275e-11	NaN	NaN	NaN	-41591.42383452668	9.141030650345162e6	0.
-0.000018997873819050254	4.8228323587439275e-11	NaN	NaN	NaN	-47023.948322964476	1.0901243925152943e7	0.
-0.000028116853252194373	4.8228323587439275e-11	NaN	NaN	NaN	-33626.33632357342	6.713477472187014e6	0.
-0.000024925210450593932	4.8228323587439275e-11	NaN	NaN	NaN	-37411.82056508	7.8421674055957245e6	0.
-0.00002188555063954589	4.8228323587439275e-11	NaN	NaN	NaN	-41835.39959112689	9.218417090245105e6	0.
-0.00001884589082849785	4.8228323587439275e-11	NaN	NaN	NaN	-47329.41590326798	1.1002392009678312e7	0.
-0.00002796487026164197	4.8228323587439275e-11	NaN	NaN	NaN	-33790.053336413395	6.761277576660383e6	0.
-0.00002477322746004153	4.8228323587439275e-11	NaN	NaN	NaN	-37612.09034257494	7.903194037454237e6	0.
-0.000021733567648993488	4.8228323587439275e-11	NaN	NaN	NaN	-42082.02800823029	9.296813395811958e6	0.
-0.00001869390783794545	4.8228323587439275e-11	NaN	NaN	NaN	-47638.48398693918	1.1104952636860987e7	0.
-0.00002781288727108957	4.8228323587439275e-11	NaN	NaN	NaN	-33955.2879447361	6.809617378321938e6	0.
-0.000024621244469489127	4.8228323587439275e-11	NaN	NaN	NaN	-37814.376722499066	7.9649635907616615e6	0.
-0.00002158158465844109	4.8228323587439275e-11	NaN	NaN	NaN	-42331.34883556698	9.376235552859327e6	0.
-0.000018541924847393046	4.8228323587439275e-11	NaN	NaN	NaN	-47951.20953547725	1.1208949961350774e7	0.
-0.00002766090428053717	4.8228323587439275e-11	NaN	NaN	NaN	-34122.06015952104	6.858504557284301e6	0.
-0.000024469261478936724	4.8228323587439275e-11	NaN	NaN	NaN	-38018.70818839272	8.02748807486339e6	0.
-0.000021429601667888686	4.8228323587439275e-11	NaN	NaN	NaN	-42583.402538073016	9.456700410339175e6	0.
-0.000018389941856840644	4.8228323587439275e-11	NaN	NaN	NaN	-48267.65054852943	1.131440807710534e7	0.
-0.000027508921289984766	4.8228323587439275e-11	NaN	NaN	NaN	-34290.39032272231	6.907947836987993e6	0.
-0.000024317278488384322	4.8228323587439275e-11	NaN	NaN	NaN	-38225.11371912709	8.090779716617874e6	0.
