# Filename	binding\f541df20-d4ff-4a01-a8ad-1b51a0953e06.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T18:04:44
# Dir	-1
# field	4.181084504556227e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	4.181084504556227e-11	NaN	NaN	NaN	-31530.889723944292	-31530.889723944292	3.141592653589793
-0.00002720495530887996	4.181084504556227e-11	NaN	NaN	NaN	-34887.419253083506	-34887.419253083506	3.141592653589793
-0.000024165295497831922	4.181084504556227e-11	NaN	NaN	NaN	-38779.67147471046	-38779.67147471046	3.141592653589793
-0.00002112563568678388	4.181084504556227e-11	NaN	NaN	NaN	-43577.45472576174	-43577.45472576174	3.141592653589793
-0.000030244615119928003	4.181084504556227e-11	NaN	NaN	NaN	-31676.603970927954	-31676.603970927954	3.141592653589793
-0.00002705297231832756	4.181084504556227e-11	NaN	NaN	NaN	-35064.29379950816	-35064.29379950816	3.141592653589793
-0.00002401331250727952	4.181084504556227e-11	NaN	NaN	NaN	-38995.83920588967	-38995.83920588967	3.141592653589793
-0.000020973652696231478	4.181084504556227e-11	NaN	NaN	NaN	-43846.36756516641	-43846.36756516641	3.141592653589793
-0.0000300926321293756	4.181084504556227e-11	NaN	NaN	NaN	-31823.616289138088	-31823.616289138088	3.141592653589793
-0.00002690098932777516	4.181084504556227e-11	NaN	NaN	NaN	-35242.88195474076	-35242.88195474076	3.141592653589793
-0.000023861329516727117	4.181084504556227e-11	NaN	NaN	NaN	-39214.28398986075	-39214.28398986075	3.141592653589793
-0.000020821669705679075	4.181084504556227e-11	NaN	NaN	NaN	-44118.368567656085	-44118.368567656085	3.141592653589793
-0.000029940649138823198	4.181084504556227e-11	NaN	NaN	NaN	-31971.943357846525	-31971.943357846525	3.141592653589793
-0.000026749006337222757	4.181084504556227e-11	NaN	NaN	NaN	-35423.20743195915	-35423.20743195915	3.141592653589793
-0.000023709346526174715	4.181084504556227e-11	NaN	NaN	NaN	-39435.03964889319	-39435.03964889319	3.141592653589793
-0.000020669686715126676	4.181084504556227e-11	NaN	NaN	NaN	-44393.506840153466	-44393.506840153466	3.141592653589793
-0.000029788666148270795	4.181084504556227e-11	NaN	NaN	NaN	-32121.602129840663	-32121.602129840663	3.141592653589793
-0.000026597023346670354	4.181084504556227e-11	NaN	NaN	NaN	-35605.29435805603	-35605.29435805603	3.141592653589793
-0.000023557363535622312	4.181084504556227e-11	NaN	NaN	NaN	-39658.14062807949	-39658.14062807949	3.141592653589793
-0.000020517703724574274	4.181084504556227e-11	NaN	NaN	NaN	-44671.83243340515	-44671.83243340515	3.141592653589793
-0.000029636683157718393	4.181084504556227e-11	NaN	NaN	NaN	-32272.60983674713	-32272.60983674713	3.141592653589793
-0.00002644504035611795	4.181084504556227e-11	NaN	NaN	NaN	-35789.16728205978	-35789.16728205978	3.141592653589793
-0.000023405380545069913	4.181084504556227e-11	NaN	NaN	NaN	-39883.62200837701	-39883.62200837701	3.141592653589793
-0.00002036572073402187	4.181084504556227e-11	NaN	NaN	NaN	-44953.396361724	-44953.396361724	3.141592653589793
-0.000029484700167165993	4.181084504556227e-11	NaN	NaN	NaN	-32424.983994470964	-32424.983994470964	3.141592653589793
-0.00002629305736556555	4.181084504556227e-11	NaN	NaN	NaN	-35974.85118374277	-35974.85118374277	3.141592653589793
-0.00002325339755451751	4.181084504556227e-11	NaN	NaN	NaN	-40111.51951993363	-40111.51951993363	3.141592653589793
-0.00002021373774346947	4.181084504556227e-11	NaN	NaN	NaN	-45238.25062311769	-45238.25062311769	3.141592653589793
-0.00002933271717661359	4.181084504556227e-11	NaN	NaN	NaN	-32578.742408754188	-32578.742408754188	3.141592653589793
-0.000026141074375013146	4.181084504556227e-11	NaN	NaN	NaN	-36162.371482421004	-36162.371482421004	3.141592653589793
-0.000023101414563965108	4.181084504556227e-11	NaN	NaN	NaN	-40341.86955570276	-40341.86955570276	3.141592653589793
-0.000020061754752917066	4.181084504556227e-11	NaN	NaN	NaN	-45526.448219807746	-45526.448219807746	3.141592653589793
-0.000029180734186061188	4.181084504556227e-11	NaN	NaN	NaN	-32733.90318085626	-32733.90318085626	3.141592653589793
