# Filename	binding\f67ee476-6197-4f5d-b29b-fb99aa1abff5.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T17:58:48
# Dir	-1
# field	7.195354728771182e-12
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	7.195354728771182e-12	NaN	NaN	NaN	-32646.133716944074	-32646.133716944074	3.141592653589793
-0.00002720495530887996	7.195354728771182e-12	NaN	NaN	NaN	-36407.43159919942	-36407.43159919942	3.141592653589793
-0.000024165295497831922	7.195354728771182e-12	NaN	NaN	NaN	-40883.960125511105	-40883.960125511105	3.141592653589793
-0.00002112563568678388	7.195354728771182e-12	NaN	NaN	NaN	-46596.34030432527	-46596.34030432527	3.141592653589793
-0.000030244615119928003	7.195354728771182e-12	NaN	NaN	NaN	-32807.66924004205	-32807.66924004205	3.141592653589793
-0.00002705297231832756	7.195354728771182e-12	NaN	NaN	NaN	-36608.07128154748	-36608.07128154748	3.141592653589793
-0.00002401331250727952	7.195354728771182e-12	NaN	NaN	NaN	-41136.51248000036	-41136.51248000036	3.141592653589793
-0.000020973652696231478	7.195354728771182e-12	NaN	NaN	NaN	-46923.498558789935	-46923.498558789935	3.141592653589793
-0.0000300926321293756	7.195354728771182e-12	NaN	NaN	NaN	-32970.798823628924	-32970.798823628924	3.141592653589793
-0.00002690098932777516	7.195354728771182e-12	NaN	NaN	NaN	-36810.91317901943	-36810.91317901943	3.141592653589793
-0.000023861329516727117	7.195354728771182e-12	NaN	NaN	NaN	-41392.16617723672	-41392.16617723672	3.141592653589793
-0.000020821669705679075	7.195354728771182e-12	NaN	NaN	NaN	-47255.21016620124	-47255.21016620124	3.141592653589793
-0.000029940649138823198	7.195354728771182e-12	NaN	NaN	NaN	-33135.54599310828	-33135.54599310828	3.141592653589793
-0.000026749006337222757	7.195354728771182e-12	NaN	NaN	NaN	-37015.993389547446	-37015.993389547446	3.141592653589793
-0.000023709346526174715	7.195354728771182e-12	NaN	NaN	NaN	-41650.977979707444	-41650.977979707444	3.141592653589793
-0.000020669686715126676	7.195354728771182e-12	NaN	NaN	NaN	-47591.56929329308	-47591.56929329308	3.141592653589793
-0.000029788666148270795	7.195354728771182e-12	NaN	NaN	NaN	-33301.93473532685	-33301.93473532685	3.141592653589793
-0.000026597023346670354	7.195354728771182e-12	NaN	NaN	NaN	-37223.34879627623	-37223.34879627623	3.141592653589793
-0.000023557363535622312	7.195354728771182e-12	NaN	NaN	NaN	-41913.00602555824	-41913.00602555824	3.141592653589793
-0.000020517703724574274	7.195354728771182e-12	NaN	NaN	NaN	-47932.67267682158	-47932.67267682158	3.141592653589793
-0.000029636683157718393	7.195354728771182e-12	NaN	NaN	NaN	-33469.989509846404	-33469.989509846404	3.141592653589793
-0.00002644504035611795	7.195354728771182e-12	NaN	NaN	NaN	-37433.01708880499	-37433.01708880499	3.141592653589793
-0.000023405380545069913	7.195354728771182e-12	NaN	NaN	NaN	-42178.30986994959	-42178.30986994959	3.141592653589793
-0.00002036572073402187	7.195354728771182e-12	NaN	NaN	NaN	-48278.61971023885	-48278.61971023885	3.141592653589793
-0.000029484700167165993	7.195354728771182e-12	NaN	NaN	NaN	-33639.73526054825	-33639.73526054825	3.141592653589793
-0.00002629305736556555	7.195354728771182e-12	NaN	NaN	NaN	-37645.03678511082	-37645.03678511082	3.141592653589793
-0.00002325339755451751	7.195354728771182e-12	NaN	NaN	NaN	-42446.95052789594	-42446.95052789594	3.141592653589793
-0.00002021373774346947	7.195354728771182e-12	NaN	NaN	NaN	-48629.51253382935	-48629.51253382935	3.141592653589793
-0.00002933271717661359	7.195354728771182e-12	NaN	NaN	NaN	-33811.19742757711	-33811.19742757711	3.141592653589793
-0.000026141074375013146	7.195354728771182e-12	NaN	NaN	NaN	-37859.447254186074	-37859.447254186074	3.141592653589793
-0.000023101414563965108	7.195354728771182e-12	NaN	NaN	NaN	-42718.99051864007	-42718.99051864007	3.141592653589793
-0.000020061754752917066	7.195354728771182e-12	NaN	NaN	NaN	-48985.45612846678	-48985.45612846678	3.141592653589793
-0.000029180734186061188	7.195354728771182e-12	NaN	NaN	NaN	-33984.40195963593	-33984.40195963593	3.141592653589793
-0.000025989091384460747	7.195354728771182e-12	NaN	NaN	NaN	-38076.2887394126	-38076.2887394126	3.141592653589793
-0.000022949431573412705	7.195354728771182e-12	NaN	NaN	NaN	-42994.49391163715	-42994.49391163715	3.141592653589793
-0.000019909771762364663	7.195354728771182e-12	NaN	NaN	NaN	-49346.55841315899	-49346.55841315899	3.141592653589793
-0.000029028751195508785	7.195354728771182e-12	NaN	NaN	NaN	-34159.37532664822	-34159.37532664822	3.141592653589793
-0.000025837108393908344	7.195354728771182e-12	NaN	NaN	NaN	-38295.60238270096	-38295.60238270096	3.141592653589793
-0.000022797448582860302	7.195354728771182e-12	NaN	NaN	NaN	-43273.52637420634	-43273.52637420634	3.141592653589793
-0.000019757788771812264	7.195354728771182e-12	NaN	NaN	NaN	-49712.93034655391	-49712.93034655391	3.141592653589793
-0.000028876768204956383	7.195354728771182e-12	NaN	NaN	NaN	-34336.14453279229	-34336.14453279229	3.141592653589793
-0.000025685125403355942	7.195354728771182e-12	NaN	NaN	NaN	-38517.43024942535	-38517.43024942535	3.141592653589793
-0.0000226454655923079	7.195354728771182e-12	NaN	NaN	NaN	-43556.155220925626	-43556.155220925626	3.141592653589793
-0.00001960580578125986	7.195354728771182e-12	NaN	NaN	NaN	-50084.68603259648	-50084.68603259648	3.141592653589793
-0.000028724785214403984	7.195354728771182e-12	NaN	NaN	NaN	-34514.7371299289	-34514.7371299289	3.141592653589793
-0.00002553314241280354	7.195354728771182e-12	NaN	NaN	NaN	-38741.81535418312	-38741.81535418312	3.141592653589793
-0.0000224934826017555	7.195354728771182e-12	NaN	NaN	NaN	-43842.449464840254	-43842.449464840254	3.141592653589793
-0.00001945382279070746	7.195354728771182e-12	NaN	NaN	NaN	-50461.94283052495	-50461.94283052495	3.141592653589793
-0.00002857280222385158	7.195354728771182e-12	NaN	NaN	NaN	-34695.181231430324	-34695.181231430324	3.141592653589793
-0.000025381159422251137	7.195354728771182e-12	NaN	NaN	NaN	-38968.80168741147	-38968.80168741147	3.141592653589793
