# Filename	binding\fdd44f9d-80f0-4f21-8d17-db0d9cee1fab.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T17:59:50
# Dir	-1
# field	1.3223895177201092e-11
# zi	-6.
W	field	zb	tb	argtbzt	tt	argtt
-0.000030396598110480406	1.3223895177201092e-11	NaN	NaN	NaN	-32440.58051027553	-32440.58051027553	3.141592653589793
-0.00002720495530887996	1.3223895177201092e-11	NaN	NaN	NaN	-36123.70739021456	-36123.70739021456	3.141592653589793
-0.000024165295497831922	1.3223895177201092e-11	NaN	NaN	NaN	-40484.74567169915	-40484.74567169915	3.141592653589793
-0.00002112563568678388	1.3223895177201092e-11	NaN	NaN	NaN	-46010.69699204521	-46010.69699204521	3.141592653589793
-0.000030244615119928003	1.3223895177201092e-11	NaN	NaN	NaN	-32599.09088214765	-32599.09088214765	3.141592653589793
-0.00002705297231832756	1.3223895177201092e-11	NaN	NaN	NaN	-36319.70887579709	-36319.70887579709	3.141592653589793
-0.00002401331250727952	1.3223895177201092e-11	NaN	NaN	NaN	-40730.009039381956	-40730.009039381956	3.141592653589793
-0.000020973652696231478	1.3223895177201092e-11	NaN	NaN	NaN	-46325.76514807143	-46325.76514807143	3.141592653589793
-0.0000300926321293756	1.3223895177201092e-11	NaN	NaN	NaN	-32759.136097431863	-32759.136097431863	3.141592653589793
-0.00002690098932777516	1.3223895177201092e-11	NaN	NaN	NaN	-36517.811851272505	-36517.811851272505	3.141592653589793
-0.000023861329516727117	1.3223895177201092e-11	NaN	NaN	NaN	-40978.19726420455	-40978.19726420455	3.141592653589793
-0.000020821669705679075	1.3223895177201092e-11	NaN	NaN	NaN	-46645.05653839546	-46645.05653839546	3.141592653589793
-0.000029940649138823198	1.3223895177201092e-11	NaN	NaN	NaN	-32920.73823631891	-32920.73823631891	3.141592653589793
-0.000026749006337222757	1.3223895177201092e-11	NaN	NaN	NaN	-36718.04969098027	-36718.04969098027	3.141592653589793
-0.000023709346526174715	1.3223895177201092e-11	NaN	NaN	NaN	-41229.36179781242	-41229.36179781242	3.141592653589793
-0.000020669686715126676	1.3223895177201092e-11	NaN	NaN	NaN	-46968.65415851982	-46968.65415851982	3.141592653589793
-0.000029788666148270795	1.3223895177201092e-11	NaN	NaN	NaN	-33083.91979823268	-33083.91979823268	3.141592653589793
-0.000026597023346670354	1.3223895177201092e-11	NaN	NaN	NaN	-36920.45646646842	-36920.45646646842	3.141592653589793
