# Filename	binding_0\00848a5b-606c-4fe0-a1e2-3c9e03979533.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:27:33
# Dir	-1
# field	2.9170357008531817e-12
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	2.9170357008531817e-12	NaN	NaN	NaN	-21901.590296049682	3.598236539501523e6	0.
-0.00004164333941135815	2.9170357008531817e-12	NaN	NaN	NaN	-23973.186440471978	4.1202151913838633e6	0.
-0.0000378437646475481	2.9170357008531817e-12	NaN	NaN	NaN	-26370.82865738289	4.752911878390726e6	0.
-0.000045442914175168206	2.9170357008531817e-12	NaN	NaN	NaN	-21974.634036566218	3.6162395489271255e6	0.
-0.00004149135642080575	2.9170357008531817e-12	NaN	NaN	NaN	-24060.70476029273	4.1427792354917666e6	0.
-0.0000376917816569957	2.9170357008531817e-12	NaN	NaN	NaN	-26476.72951270203	4.781541687687436e6	-1.0198871102195651e-7
-0.000034044189883738054	2.9170357008531817e-12	NaN	NaN	NaN	-29300.028947067934	5.5654330170112e6	0.
-0.0000452909311846158	2.9170357008531817e-12	NaN	NaN	NaN	-22048.1659298761	3.634393193219973e6	0.
-0.00004133937343025335	2.9170357008531817e-12	NaN	NaN	NaN	-24148.86333423893	4.1655493997975504e6	0.
-0.0000375397986664433	2.9170357008531817e-12	NaN	NaN	NaN	-26583.48260108633	4.810459548195239e6	-2.255808020833032e-7
-0.00003389220689318565	2.9170357008531817e-12	NaN	NaN	NaN	-29430.758394500222	5.602674847939343e6	0.
-0.0000451389481940634	2.9170357008531817e-12	NaN	NaN	NaN	-22122.190878877052	3.6526986030565887e6	0.
-0.000041187390439700946	2.9170357008531817e-12	NaN	NaN	NaN	-24237.66920184004	4.188528645681975e6	0.
-0.0000373878156758909	2.9170357008531817e-12	NaN	NaN	NaN	-26691.098230101954	4.839669976372046e6	0.
-0.00003374022390263325	2.9170357008531817e-12	NaN	NaN	NaN	-29562.656655082916	5.6403329580662735e6	0.
-0.000044986965203511	2.9170357008531817e-12	NaN	NaN	NaN	-22196.71385225522	3.671158265427259e6	0.
-0.00004103540744914855	2.9170357008531817e-12	NaN	NaN	NaN	-24327.129506025576	4.211719571779472e6	0.
-0.00003723583268533849	2.9170357008531817e-12	NaN	NaN	NaN	-26799.58687386113	4.869175667335992e6	0.
-0.00003358824091208085	2.9170357008531817e-12	NaN	NaN	NaN	-29695.739433720413	5.678414025890047e6	0.
-0.000044834982212958595	2.9170357008531817e-12	NaN	NaN	NaN	-22271.73988558162	3.689773939233815e6	0.
-0.00004088342445859614	2.9170357008531817e-12	NaN	NaN	NaN	-24417.251495027645	4.235125155187027e6	0.
-0.00003708384969478609	2.9170357008531817e-12	NaN	NaN	NaN	-26908.959176390512	4.898982208854743e6	0.
-0.000033436257921528444	2.9170357008531817e-12	NaN	NaN	NaN	-29830.022717206914	5.716923883474808e6	0.
-0.000044682999222406196	2.9170357008531817e-12	NaN	NaN	NaN	-22347.274082448097	3.7085465218505077e6	0.
-0.00004073144146804374	2.9170357008531817e-12	NaN	NaN	NaN	-24508.042524320652	4.258747645681704e6	0.
