# Filename	binding_0\00941d4f-0a0a-488d-a569-37d29d559c4e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:36:11
# Dir	-1
# field	3.597677364385591e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.597677364385591e-11	NaN	NaN	NaN	-21565.31968210524	3.4956884634745982e6	0.
-0.00004164333941135815	3.597677364385591e-11	NaN	NaN	NaN	-23534.92172568816	3.980666751433045e6	0.
-0.0000378437646475481	3.597677364385591e-11	NaN	NaN	NaN	-25792.022456447543	4.560105416027149e6	0.
-0.000034044189883738054	3.597677364385591e-11	NaN	NaN	NaN	-28514.36344158193	5.290489568073153e6	0.
-0.000045442914175168206	3.597677364385591e-11	NaN	NaN	NaN	-21635.059305904888	3.512517781667161e6	-1.8874994283803835e-7
-0.00004149135642080575	3.597677364385591e-11	NaN	NaN	NaN	-23617.743988709684	4.00149075155623e6	0.
-0.0000376917816569957	3.597677364385591e-11	NaN	NaN	NaN	-25891.133259604554	4.586104469847236e6	0.
-0.00003389220689318565	3.597677364385591e-11	NaN	NaN	NaN	-28634.917231883075	5.323592567245977e6	0.
-0.0000452909311846158	3.597677364385591e-11	NaN	NaN	NaN	-21705.24390994506	3.5294818173708315e6	0.
-0.00004133937343025335	3.597677364385591e-11	NaN	NaN	NaN	-23701.139645521816	4.0224927932257825e6	-2.738816153908529e-7
-0.0000375397986664433	3.597677364385591e-11	NaN	NaN	NaN	-25990.99056312186	4.612345643626795e6	0.
-0.00003374022390263325	3.597677364385591e-11	NaN	NaN	NaN	-28756.465135919178	5.357033072342914e6	0.
-0.0000451389481940634	3.597677364385591e-11	NaN	NaN	NaN	-21775.87769384978	3.546578789710363e6	-2.848149994414746e-7
-0.000041187390439700946	3.597677364385591e-11	NaN	NaN	NaN	-23785.114549809936	4.043677034438445e6	0.
-0.0000373878156758909	3.597677364385591e-11	NaN	NaN	NaN	-26091.60262558663	4.638834615285048e6	0.
-0.00003358824091208085	3.597677364385591e-11	NaN	NaN	NaN	-28879.0191309209	5.390814632720606e6	0.
-0.000044986965203511	3.597677364385591e-11	NaN	NaN	NaN	-21846.964909314964	3.563813178717177e6	0.
-0.00004103540744914855	3.597677364385591e-11	NaN	NaN	NaN	-23869.674633505176	4.0650425482822885e6	0.
-0.00003723583268533849	3.597677364385591e-11	NaN	NaN	NaN	-26192.9778246904	4.665566697233843e6	-2.1250425837449104e-7
-0.000033436257921528444	3.597677364385591e-11	NaN	NaN	NaN	-29002.591381098682	5.424942315085421e6	0.
-0.000044834982212958595	3.597677364385591e-11	NaN	NaN	NaN	-21918.509860903487	3.5811851017964073e6	0.
-0.00004088342445859614	3.597677364385591e-11	NaN	NaN	NaN	-23954.825908065846	4.0865935894627473e6	0.
-0.00003708384969478609	3.597677364385591e-11	NaN	NaN	NaN	-26295.12465932362	4.692553737531766e6	0.
-0.000033284274930976045	3.597677364385591e-11	NaN	NaN	NaN	-29127.194241175155	5.459420875630805e6	0.
-0.000044682999222406196	3.597677364385591e-11	NaN	NaN	NaN	-21990.516906852998	3.5986958552300916e6	0.
-0.00004073144146804374	3.597677364385591e-11	NaN	NaN	NaN	-24040.574465783662	4.108331521916087e6	0.
-0.000036931866704233694	3.597677364385591e-11	NaN	NaN	NaN	-26398.051751713076	4.719794210880104e6	-5.654526320962569e-7
-0.00003313229194042364	3.597677364385591e-11	NaN	NaN	NaN	-29252.84025999501	5.494256200139671e6	0.
-0.00004453101623185379	3.597677364385591e-11	NaN	NaN	NaN	-22062.99045989977	3.6163465503553255e6	-3.287847321225081e-7
-0.00004057945847749134	3.597677364385591e-11	NaN	NaN	NaN	-24126.92648111566	4.130259053218406e6	0.
-0.00003677988371368129	3.597677364385591e-11	NaN	NaN	NaN	-26501.76784960203	4.747293992843708e6	0.
-0.00003298030894987124	3.597677364385591e-11	NaN	NaN	NaN	-29379.54218421346	5.529449205014237e6	0.
-0.00004437903324130139	3.597677364385591e-11	NaN	NaN	NaN	-22135.9349881163	3.634140652895356e6	0.
-0.00004042747548693894	3.597677364385591e-11	NaN	NaN	NaN	-24213.888212041187	4.15237831119403e6	0.
-0.00003662790072312889	3.597677364385591e-11	NaN	NaN	NaN	-26606.281828477302	4.775053770340465e6	-2.790012841087059e-7
-0.000032828325959318834	3.597677364385591e-11	NaN	NaN	NaN	-29507.312962066175	5.565009604494107e6	0.
-0.000044227050250748985	3.597677364385591e-11	NaN	NaN	NaN	-22209.355015765206	3.6520777342059403e6	-3.6078513851782844e-7
-0.00004027549249638654	3.597677364385591e-11	NaN	NaN	NaN	-24301.46600144561	4.174692426477753e6	0.
-0.00003647591773257648	3.597677364385591e-11	NaN	NaN	NaN	-26711.602693840214	4.803079620152352e6	0.
-0.000032676342968766434	3.597677364385591e-11	NaN	NaN	NaN	-29636.165747221174	5.6009411269230535e6	0.
-0.000044075067260196586	3.597677364385591e-11	NaN	NaN	NaN	-22283.25512416713	3.6701606711593093e6	-2.1940730095151756e-7
-0.00004012350950583413	3.597677364385591e-11	NaN	NaN	NaN	-24389.66627853068	4.1972004083437305e6	-2.294208828222474e-7
-0.00003632393474202408	3.597677364385591e-11	NaN	NaN	NaN	-26817.739583526698	4.83137421637609e6	0.
-0.000032524359978214035	3.597677364385591e-11	NaN	NaN	NaN	-29766.113902716286	5.6372490929230675e6	0.
-0.000043923084269644186	3.597677364385591e-11	NaN	NaN	NaN	-22357.639952586007	3.6883912984336084e6	0.
-0.00003997152651528173	3.597677364385591e-11	NaN	NaN	NaN	-24478.495560252526	4.219908568986255e6	-4.560149637070893e-7
-0.000036171951751471684	3.597677364385591e-11	NaN	NaN	NaN	-26924.701770073552	4.8599374277985105e6	-2.431300362502649e-7
-0.00003237237698766163	3.597677364385591e-11	NaN	NaN	NaN	-29897.171004983287	5.67393784490368e6	0.
-0.00004377110127909178	3.597677364385591e-11	NaN	NaN	NaN	-22432.514199129753	3.706770048330154e6	0.
-0.000039819543524729326	3.597677364385591e-11	NaN	NaN	NaN	-24567.96045278775	4.242817829362882e6	-3.9027654508613275e-7
-0.00003601996876091928	3.597677364385591e-11	NaN	NaN	NaN	-27032.498663135444	4.88877860189106e6	0.
-0.00003222039399710923	3.597677364385591e-11	NaN	NaN	NaN	-30029.35084796119	5.7110138445610795e6	0.
-0.00004361911828853938	3.597677364385591e-11	NaN	NaN	NaN	-22507.88262166715	3.725298917650769e6	0.
-0.00003966756053417693	3.597677364385591e-11	NaN	NaN	NaN	-24658.06765302783	4.265931158306962e6	0.
-0.00003586798577036688	3.597677364385591e-11	NaN	NaN	NaN	-27141.139811951958	4.917898171843419e6	0.
-0.000032068411006556824	3.597677364385591e-11	NaN	NaN	NaN	-30162.66744730062	5.748481218190732e6	-5.304924353800574e-7
-0.000043467135297986975	3.597677364385591e-11	NaN	NaN	NaN	-22583.750038762268	3.743979909028873e6	0.
-0.00003951557754362453	3.597677364385591e-11	NaN	NaN	NaN	-24748.823950103608	4.289250086062594e6	0.
-0.00003571600277981447	3.597677364385591e-11	NaN	NaN	NaN	-27250.634907865628	4.947299587699909e6	0.
-0.000031916428016004425	3.597677364385591e-11	NaN	NaN	NaN	-30297.135044661623	5.78634871133082e6	0.
-0.000043315152307434576	3.597677364385591e-11	NaN	NaN	NaN	-22660.121330625727	3.76281554290848e6	0.
-0.00003936359455307212	3.597677364385591e-11	NaN	NaN	NaN	-24840.236226938734	4.312777397848359e6	0.
-0.000035564019789262074	3.597677364385591e-11	NaN	NaN	NaN	-27360.99378689381	4.9769877505754065e6	0.
-0.000031764445025452026	3.597677364385591e-11	NaN	NaN	NaN	-30432.76811210788	5.824620578731907e6	0.
-0.00004316316931688218	3.597677364385591e-11	NaN	NaN	NaN	-22737.0014400831	3.781805792724253e6	0.
-0.00003921161156251972	3.597677364385591e-11	NaN	NaN	NaN	-24932.311461834826	4.336516574057682e6	0.
-0.00003541203679870967	3.597677364385591e-11	NaN	NaN	NaN	-27472.226432353797	5.006965942726082e6	0.
-0.00003161246203489962	3.597677364385591e-11	NaN	NaN	NaN	-30569.581356597842	5.863298800050667e6	-5.375586688713862e-7
-0.00003905962857196732	3.597677364385591e-11	NaN	NaN	NaN	-25025.05673008705	4.360468016258055e6	0.
-0.00003526005380815727	3.597677364385591e-11	NaN	NaN	NaN	-27584.342977543827	5.037238282125353e6	0.
-0.00003146047904434722	3.597677364385591e-11	NaN	NaN	NaN	-30707.5897245776	5.902395796357672e6	0.
-0.00004301118632632977	3.597677364385591e-11	NaN	NaN	NaN	-22814.395373562253	3.800953436464075e6	0.
-0.00003890764558141492	3.597677364385591e-11	NaN	NaN	NaN	-25118.479205632742	4.384636621423658e6	0.
-0.00003510807081760487	3.597677364385591e-11	NaN	NaN	NaN	-27697.353708480474	5.067809413476044e6	0.
-0.000031308496053794814	3.597677364385591e-11	NaN	NaN	NaN	-30846.808406676348	5.941913418095384e6	0.
-0.00004285920333577737	3.597677364385591e-11	NaN	NaN	NaN	-22892.308202098015	3.820260110011367e6	0.
-0.00003875566259086252	3.597677364385591e-11	NaN	NaN	NaN	-25212.586162731714	4.409026732750615e6	0.
-0.00003495608782705246	3.597677364385591e-11	NaN	NaN	NaN	-27811.269066693876	5.098681131828197e6	0.
-0.000031156513063242415	3.597677364385591e-11	NaN	NaN	NaN	-30987.252842507205	5.981860531248684e6	0.
-0.000042707220345224966	3.597677364385591e-11	NaN	NaN	NaN	-22970.745062356043	3.8397277927924106e6	0.
-0.00003860367960031011	3.597677364385591e-11	NaN	NaN	NaN	-25307.3849776807	4.433632898348287e6	-3.8472319694054075e-7
-0.000034804104836500064	3.597677364385591e-11	NaN	NaN	NaN	-27926.09965208304	5.129859323091969e6	0.
-0.00003100453007269001	3.597677364385591e-11	NaN	NaN	NaN	-31128.93872557618	6.022239204942177e6	0.
-0.000042555237354672566	3.597677364385591e-11	NaN	NaN	NaN	-23049.71115767564	3.859358568541179e6	0.
-0.00003845169660975771	3.597677364385591e-11	NaN	NaN	NaN	-25402.883130562113	4.458468142783233e6	0.
-0.00003465212184594766	3.597677364385591e-11	NaN	NaN	NaN	-28041.856225831143	5.161347712027818e6	0.
-0.00003085254708213761	3.597677364385591e-11	NaN	NaN	NaN	-31271.882008302873	6.0630598849592665e6	0.
-0.00004240325436412017	3.597677364385591e-11	NaN	NaN	NaN	-23129.211759131857	3.8791536835700376e6	0.
-0.00003829971361920531	3.597677364385591e-11	NaN	NaN	NaN	-25499.088207027533	4.483528447962118e6	0.
-0.00003450013885539526	3.597677364385591e-11	NaN	NaN	NaN	-28158.54971338345	5.193150553001744e6	0.
-0.00003070056409158521	3.597677364385591e-11	NaN	NaN	NaN	-31416.09890715351	6.104327381121917e6	0.
-0.00004225127137356776	3.597677364385591e-11	NaN	NaN	NaN	-23209.252206618035	3.899115581118246e6	0.
-0.00003814773062865291	3.597677364385591e-11	NaN	NaN	NaN	-25596.00790011727	4.508819833328059e6	0.
-0.00003434815586484286	3.597677364385591e-11	NaN	NaN	NaN	-28276.191207489006	5.225273702360805e6	0.
-0.000030548581101032805	3.597677364385591e-11	NaN	NaN	NaN	-31561.60590789151	6.146048962863453e6	0.
-0.00004209928838301536	3.597677364385591e-11	NaN	NaN	NaN	-23289.83790994806	3.9192461705737184e6	0.
-0.00003799574763810051	3.597677364385591e-11	NaN	NaN	NaN	-25693.650012116206	4.534344342258213e6	0.
-0.000034196172874290454	3.597677364385591e-11	NaN	NaN	NaN	-28394.791971307197	5.257716723685486e6	0.
-0.000030396598110480406	3.597677364385591e-11	NaN	NaN	NaN	-31708.419770946617	6.188235806990348e6	0.
-0.000041947305392462956	3.597677364385591e-11	NaN	NaN	NaN	-23370.974349979755	3.939546390733761e6	0.
-0.00004179532240191056	3.597677364385591e-11	NaN	NaN	NaN	-23452.667079759507	3.9600196023973227e6	0.
-0.000030244615119928003	3.597677364385591e-11	NaN	NaN	NaN	-31856.557536906617	6.2308802362574795e6	0.
-0.00002644504035611795	3.597677364385591e-11	NaN	NaN	NaN	-36046.583548175586	7.472034113170621e6	0.
-0.0000226454655923079	3.597677364385591e-11	NaN	NaN	NaN	-41431.803240877365	9.15818456087277e6	0.
-0.0000300926321293756	3.597677364385591e-11	NaN	NaN	NaN	-32006.036532134938	6.274003928324565e6	0.
-0.00002629305736556555	3.597677364385591e-11	NaN	NaN	NaN	-36236.19216218369	7.529729732569881e6	0.
-0.0000224934826017555	3.597677364385591e-11	NaN	NaN	NaN	-41678.9011697027	9.23780635781103e6	0.
-0.00001884589082849785	3.597677364385591e-11	NaN	NaN	NaN	-48560.34293807359	1.1526521979867272e7	0.
-0.000029940649138823198	3.597677364385591e-11	NaN	NaN	NaN	-32156.874374515606	6.317609558385501e6	0.
-0.000026141074375013146	3.597677364385591e-11	NaN	NaN	NaN	-36427.71467395499	7.588136910297616e6	0.
-0.000022341499611203098	3.597677364385591e-11	NaN	NaN	NaN	-41928.78777131233	9.318518926618624e6	0.
-0.00001869390783794545	3.597677364385591e-11	NaN	NaN	NaN	-48892.79160342068	1.1640355624121431e7	0.
-0.000029788666148270795	3.597677364385591e-11	NaN	NaN	NaN	-32309.088979330598	6.361703337257572e6	0.
-0.000025989091384460747	3.597677364385591e-11	NaN	NaN	NaN	-36621.17880539639	7.64726760147722e6	0.
-0.000022189516620650695	3.597677364385591e-11	NaN	NaN	NaN	-42181.5074891663	9.400339797874063e6	0.
-0.000018541924847393046	3.597677364385591e-11	NaN	NaN	NaN	-49229.456017557306	1.1755918799072536e7	0.
-0.000029636683157718393	3.597677364385591e-11	NaN	NaN	NaN	-32462.698565272374	6.406293781921495e6	0.
-0.000025837108393908344	3.597677364385591e-11	NaN	NaN	NaN	-36816.61278755085	7.707133113749578e6	0.
-0.000022037533630098293	3.597677364385591e-11	NaN	NaN	NaN	-42437.10564637405	9.483291967097195e6	0.
-0.000018389941856840644	3.597677364385591e-11	NaN	NaN	NaN	-49570.40977061636	1.1873245406129781e7	0.
-0.000029484700167165993	3.597677364385591e-11	NaN	NaN	NaN	-32617.721660593972	6.4513880694960365e6	0.
-0.000025685125403355942	3.597677364385591e-11	NaN	NaN	NaN	-37014.045371593886	7.767746328332601e6	0.
-0.00002188555063954589	3.597677364385591e-11	NaN	NaN	NaN	-42695.62846554098	9.567391482182153e6	0.
-0.00001823795886628824	3.597677364385591e-11	NaN	NaN	NaN	-49915.7279914615	1.1992369651690267e7	0.
-0.00002933271717661359	3.597677364385591e-11	NaN	NaN	NaN	-32774.17710940154	6.496993559491174e6	0.
-0.00002553314241280354	3.597677364385591e-11	NaN	NaN	NaN	-37213.50584009276	7.82911976867623e6	0.
-0.000021733567648993488	3.597677364385591e-11	NaN	NaN	NaN	-42957.12308908397	9.652662847949399e6	0.
-0.000018085975875735842	3.597677364385591e-11	NaN	NaN	NaN	-50265.48738208885	1.2113326316018714e7	0.
-0.000029180734186061188	3.597677364385591e-11	NaN	NaN	NaN	-32932.084078091975	6.543118181896331e6	0.
-0.000025381159422251137	3.597677364385591e-11	NaN	NaN	NaN	-37415.02401853495	7.89126603596434e6	0.
