# Filename	binding_0\08627153-ac12-418d-9ff6-f1ee206e586e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:40:51
# Dir	-1
# field	5.386792594242209e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.386792594242209e-11	NaN	NaN	NaN	-21391.646038456824	3.4434866619795375e6	0.
-0.00004164333941135815	5.386792594242209e-11	NaN	NaN	NaN	-23310.55016047246	3.9104414121221355e6	0.
-0.0000378437646475481	5.386792594242209e-11	NaN	NaN	NaN	-25498.925441903022	4.464454952709283e6	0.
-0.000034044189883738054	5.386792594242209e-11	NaN	NaN	NaN	-28122.216073836084	5.1566361889487775e6	0.
-0.000045442914175168206	5.386792594242209e-11	NaN	NaN	NaN	-21459.731539191274	3.459739723451261e6	-4.993472235996874e-7
-0.00004149135642080575	5.386792594242209e-11	NaN	NaN	NaN	-23391.055559207864	3.9304261243743007e6	0.
-0.0000376917816569957	5.386792594242209e-11	NaN	NaN	NaN	-25594.74667985822	4.489213803534406e6	0.
-0.00003389220689318565	5.386792594242209e-11	NaN	NaN	NaN	-28237.956809958927	5.187843856120551e6	0.
-0.0000452909311846158	5.386792594242209e-11	NaN	NaN	NaN	-21528.241239392653	3.4761187739528078e6	0.
-0.00004133937343025335	5.386792594242209e-11	NaN	NaN	NaN	-23472.102869644033	3.95057594959056e6	0.
-0.0000375397986664433	5.386792594242209e-11	NaN	NaN	NaN	-25691.265979104875	4.514192978992002e6	0.
-0.00003374022390263325	5.386792594242209e-11	NaN	NaN	NaN	-28354.614465264014	5.219354665591227e6	0.
-0.0000451389481940634	5.386792594242209e-11	NaN	NaN	NaN	-21597.179015969607	3.492623673350802e6	0.
-0.000041187390439700946	5.386792594242209e-11	NaN	NaN	NaN	-23553.697417997624	3.970893422753103e6	0.
-0.0000373878156758909	5.386792594242209e-11	NaN	NaN	NaN	-25788.490721572754	4.539397501137736e6	0.
-0.00003358824091208085	5.386792594242209e-11	NaN	NaN	NaN	-28472.199501864343	5.251172083888469e6	0.
-0.000044986965203511	5.386792594242209e-11	NaN	NaN	NaN	-21666.54879195896	3.5092566332249874e6	0.
-0.00004103540744914855	5.386792594242209e-11	NaN	NaN	NaN	-23635.84459827791	3.9913817408834933e6	0.
-0.00003723583268533849	5.386792594242209e-11	NaN	NaN	NaN	-25886.42838959672	4.564828682665468e6	0.
-0.000033436257921528444	5.386792594242209e-11	NaN	NaN	NaN	-28590.722533974556	5.283299722217061e6	0.
-0.000044834982212958595	5.386792594242209e-11	NaN	NaN	NaN	-21736.35453719393	3.526018312889757e6	0.
-0.00004088342445859614	5.386792594242209e-11	NaN	NaN	NaN	-23718.549873330536	4.012040171703609e6	0.
-0.00003708384969478609	5.386792594242209e-11	NaN	NaN	NaN	-25985.086567554798	4.590489728648046e6	0.
-0.000033284274930976045	5.386792594242209e-11	NaN	NaN	NaN	-28710.194330530358	5.315742541147198e6	0.
-0.000044682999222406196	5.386792594242209e-11	NaN	NaN	NaN	-21806.600268983886	3.542910938163254e6	0.
-0.00004073144146804374	5.386792594242209e-11	NaN	NaN	NaN	-23801.818775899923	4.032871265312814e6	0.
-0.000036931866704233694	5.386792594242209e-11	NaN	NaN	NaN	-26084.472943536406	4.6163828099762695e6	0.
-0.00003313229194042364	5.386792594242209e-11	NaN	NaN	NaN	-28830.625817858057	5.348503879482558e6	0.
-0.00004453101623185379	5.386792594242209e-11	NaN	NaN	NaN	-21877.29005280488	3.55993478793365e6	0.
-0.00004057945847749134	5.386792594242209e-11	NaN	NaN	NaN	-23885.656909710662	4.053878853843726e6	0.
-0.00003677988371368129	5.386792594242209e-11	NaN	NaN	NaN	-26184.59531104197	4.642511942065018e6	0.
-0.00003298030894987124	5.386792594242209e-11	NaN	NaN	NaN	-28952.028082396362	5.3815889260506835e6	0.
-0.00004437903324130139	5.386792594242209e-11	NaN	NaN	NaN	-21948.42800300281	3.5770926091684327e6	0.
-0.00004042747548693894	5.386792594242209e-11	NaN	NaN	NaN	-23970.069950567886	4.0750645705076056e6	0.
-0.00003662790072312889	5.386792594242209e-11	NaN	NaN	NaN	-26285.461570713953	4.66887972568109e6	0.
-0.000032828325959318834	5.386792594242209e-11	NaN	NaN	NaN	-29074.41237346989	5.415000785980571e6	0.
-0.000044227050250748985	5.386792594242209e-11	NaN	NaN	NaN	-22020.01828350736	3.5943849376140838e6	0.
-0.00004027549249638654	5.386792594242209e-11	NaN	NaN	NaN	-24055.063647477396	4.096428712856458e6	0.
-0.00003647591773257648	5.386792594242209e-11	NaN	NaN	NaN	-26387.079732100436	4.695488638175244e6	0.
-0.000032676342968766434	5.386792594242209e-11	NaN	NaN	NaN	-29197.79010611728	5.448744562047546e6	0.
-0.000044075067260196586	5.386792594242209e-11	NaN	NaN	NaN	-22092.06510855923	3.6118148705382375e6	0.
-0.00004012350950583413	5.386792594242209e-11	NaN	NaN	NaN	-24140.643823786395	4.117974802674187e6	0.
-0.00003632393474202408	5.386792594242209e-11	NaN	NaN	NaN	-26489.457915451894	4.722342172934723e6	0.
-0.000032524359978214035	5.386792594242209e-11	NaN	NaN	NaN	-29322.17286397337	5.482823826686963e6	0.
-0.000043923084269644186	5.386792594242209e-11	NaN	NaN	NaN	-22164.57274344891	3.6293789239830202e6	0.
-0.00003997152651528173	5.386792594242209e-11	NaN	NaN	NaN	-24226.816378343894	4.1397045570504735e6	0.
-0.000036171951751471684	5.386792594242209e-11	NaN	NaN	NaN	-26592.604353551324	4.7494427336830795e6	0.
-0.00003237237698766163	5.386792594242209e-11	NaN	NaN	NaN	-29447.57240220769	5.517243920562439e6	0.
-0.00004377110127909178	5.386792594242209e-11	NaN	NaN	NaN	-22237.545505268685	3.647083880061437e6	0.
-0.000039819543524729326	5.386792594242209e-11	NaN	NaN	NaN	-24313.587286682516	4.1616200150178624e6	0.
-0.00003601996876091928	5.386792594242209e-11	NaN	NaN	NaN	-26696.527393579177	4.776793926453443e6	0.
-0.00003222039399710923	5.386792594242209e-11	NaN	NaN	NaN	-29574.000650519614	5.552008990239572e6	0.
-0.00004361911828853938	5.386792594242209e-11	NaN	NaN	NaN	-22310.98776367696	3.664929511402672e6	0.
-0.00003966756053417693	5.386792594242209e-11	NaN	NaN	NaN	-24400.96260222152	4.183724389874422e6	0.
-0.00003586798577036688	5.386792594242209e-11	NaN	NaN	NaN	-26801.235499013	4.804398223593745e6	0.
-0.000032068411006556824	5.386792594242209e-11	NaN	NaN	NaN	-29701.46971619209	5.587123943520424e6	0.
-0.000043467135297986975	5.386792594242209e-11	NaN	NaN	NaN	-22384.903941676108	3.682917553738876e6	0.
-0.00003951557754362453	5.386792594242209e-11	NaN	NaN	NaN	-24488.948457491075	4.206017268597175e6	0.
-0.00003571600277981447	5.386792594242209e-11	NaN	NaN	NaN	-26906.737251563394	4.83225994741971e6	0.
-0.000031916428016004425	5.386792594242209e-11	NaN	NaN	NaN	-29829.99188720425	5.622593048356502e6	0.
-0.000043315152307434576	5.386792594242209e-11	NaN	NaN	NaN	-22459.29851640327	3.701048786752674e6	0.
-0.00003936359455307212	5.386792594242209e-11	NaN	NaN	NaN	-24577.551065379725	4.22850337646213e6	0.
-0.000035564019789262074	5.386792594242209e-11	NaN	NaN	NaN	-27013.041353145767	4.860381133060218e6	0.
-0.000031764445025452026	5.386792594242209e-11	NaN	NaN	NaN	-29959.579635405178	5.658421808445223e6	0.
-0.00004316316931688218	5.386792594242209e-11	NaN	NaN	NaN	-22534.176019935494	3.719325577304517e6	0.
-0.00003921161156251972	5.386792594242209e-11	NaN	NaN	NaN	-24666.77672040318	4.251183986210594e6	0.
-0.00003541203679870967	5.386792594242209e-11	NaN	NaN	NaN	-27120.156627890286	4.888765513491725e6	0.
-0.00003161246203489962	5.386792594242209e-11	NaN	NaN	NaN	-30090.245619748668	5.6946139845440425e6	0.
-0.00004301118632632977	5.386792594242209e-11	NaN	NaN	NaN	-22609.54104010785	3.7377504818706284e6	0.
-0.00003905962857196732	5.386792594242209e-11	NaN	NaN	NaN	-24756.63179999713	4.274061702835043e6	0.
-0.00003526005380815727	5.386792594242209e-11	NaN	NaN	NaN	-27228.092024189293	4.917416937563516e6	0.
-0.00003146047904434722	5.386792594242209e-11	NaN	NaN	NaN	-30222.002689591933	5.731175667900341e6	0.
-0.00004285920333577737	5.386792594242209e-11	NaN	NaN	NaN	-22685.39822134619	3.756321291885177e6	0.
-0.00003890764558141492	5.386792594242209e-11	NaN	NaN	NaN	-24847.122765833024	4.297138764348665e6	0.
-0.00003510807081760487	5.386792594242209e-11	NaN	NaN	NaN	-27336.856616783527	4.946337479034184e6	0.
-0.000031308496053794814	5.386792594242209e-11	NaN	NaN	NaN	-30354.863888057636	5.768110844263108e6	0.
-0.000042707220345224966	5.386792594242209e-11	NaN	NaN	NaN	-22761.75226551459	3.775043724895438e6	0.
-0.00003875566259086252	5.386792594242209e-11	NaN	NaN	NaN	-24938.256165158058	4.320416323131157e6	0.
-0.00003495608782705246	5.386792594242209e-11	NaN	NaN	NaN	-27446.459608888563	4.975531727730997e6	0.
-0.000031156513063242415	5.386792594242209e-11	NaN	NaN	NaN	-30488.84245546242	5.805425649648618e6	0.
-0.000042555237354672566	5.386792594242209e-11	NaN	NaN	NaN	-22838.60793277677	3.793917129412378e6	0.
-0.00003860367960031011	5.386792594242209e-11	NaN	NaN	NaN	-25030.038632159813	4.343900625624473e6	0.
-0.000034804104836500064	5.386792594242209e-11	NaN	NaN	NaN	-27556.91033436098	5.005003301560868e6	0.
