# Filename	binding_0\0acfb4fe-3f51-467d-8b1c-540c50b11af6.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:34:40
# Dir	-1
# field	3.0142702242149545e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.0142702242149545e-11	NaN	NaN	NaN	-21623.174711369742	3.5131919180857963e6	-3.6394343689519994e-7
-0.00004164333941135815	3.0142702242149545e-11	NaN	NaN	NaN	-23609.95928841458	4.004335248418676e6	0.
-0.0000378437646475481	3.0142702242149545e-11	NaN	NaN	NaN	-25890.520703301492	4.592545789401613e6	0.
-0.000045442914175168206	3.0142702242149545e-11	NaN	NaN	NaN	-21693.473182548147	3.5302195055797924e6	0.
-0.00004149135642080575	3.0142702242149545e-11	NaN	NaN	NaN	-23693.56938334019	4.025450064214138e6	0.
-0.0000376917816569957	3.0142702242149545e-11	NaN	NaN	NaN	-25990.75904879529	4.618976414392584e6	0.
-0.000034044189883738054	3.0142702242149545e-11	NaN	NaN	NaN	-28646.985056369704	5.336260517357066e6	0.
-0.0000452909311846158	3.0142702242149545e-11	NaN	NaN	NaN	-21764.223779742035	3.547380691807577e6	-1.9923862796622215e-7
-0.00004133937343025335	3.0142702242149545e-11	NaN	NaN	NaN	-23777.763802552752	4.046742386888737e6	-3.1752840096585317e-7
-0.0000375397986664433	3.0142702242149545e-11	NaN	NaN	NaN	-26091.7609134126	4.645655080828011e6	0.
-0.00003389220689318565	3.0142702242149545e-11	NaN	NaN	NaN	-28769.205767365627	5.370030180129979e6	0.
-0.0000451389481940634	3.0142702242149545e-11	NaN	NaN	NaN	-21835.430815938187	3.5646809494206626e6	0.
-0.000041187390439700946	3.0142702242149545e-11	NaN	NaN	NaN	-23862.548587547706	4.068223009606292e6	-2.3090068086345966e-7
-0.0000373878156758909	3.0142702242149545e-11	NaN	NaN	NaN	-26193.534873115845	4.6725866507693175e6	0.
-0.00003374022390263325	3.0142702242149545e-11	NaN	NaN	NaN	-28892.44813483887	5.404149628792217e6	0.
-0.000044986965203511	3.0142702242149545e-11	NaN	NaN	NaN	-21907.09865833753	3.582119569259727e6	-1.870801402206591e-7
-0.00004103540744914855	3.0142702242149545e-11	NaN	NaN	NaN	-23947.929861900568	4.0898910673152106e6	-5.808964820926695e-7
-0.00003723583268533849	3.0142702242149545e-11	NaN	NaN	NaN	-26296.089629987382	4.699773712168483e6	-2.0245427966171222e-7
-0.00003358824091208085	3.0142702242149545e-11	NaN	NaN	NaN	-29016.724696491357	5.438621055723444e6	0.
-0.000044834982212958595	3.0142702242149545e-11	NaN	NaN	NaN	-21979.231729194864	3.599699668337743e6	0.
-0.00004088342445859614	3.0142702242149545e-11	NaN	NaN	NaN	-24033.91383263927	4.111748843074244e6	-1.580529484781713e-7
-0.00003708384969478609	3.0142702242149545e-11	NaN	NaN	NaN	-26399.43401450173	4.727220548901747e6	-2.446357653407268e-7
-0.000033436257921528444	3.0142702242149545e-11	NaN	NaN	NaN	-29142.048190475394	5.473454668350822e6	0.
-0.000044682999222406196	3.0142702242149545e-11	NaN	NaN	NaN	-22051.834506676863	3.6174212145742644e6	0.
-0.00004073144146804374	3.0142702242149545e-11	NaN	NaN	NaN	-24120.5067916429	4.133799076349925e6	0.
-0.000036931866704233694	3.0142702242149545e-11	NaN	NaN	NaN	-26503.576987847042	4.754929964926817e6	-3.740915535113788e-7
-0.000033284274930976045	3.0142702242149545e-11	NaN	NaN	NaN	-29268.431559296543	5.508647463153418e6	0.
-0.00004453101623185379	3.0142702242149545e-11	NaN	NaN	NaN	-22124.91152573364	3.6352867513338225e6	0.
-0.00004057945847749134	3.0142702242149545e-11	NaN	NaN	NaN	-24207.715117069325	4.156043154466272e6	0.
-0.00003677988371368129	3.0142702242149545e-11	NaN	NaN	NaN	-26608.52764429454	4.782905956995587e6	0.
-0.00003313229194042364	3.0142702242149545e-11	NaN	NaN	NaN	-29395.887953806945	5.544211418861233e6	0.
-0.00004437903324130139	3.0142702242149545e-11	NaN	NaN	NaN	-22198.467378987294	3.653300311143848e6	0.
-0.00004042747548693894	3.0142702242149545e-11	NaN	NaN	NaN	-24295.545274809476	4.178483974982732e6	0.
-0.00003662790072312889	3.0142702242149545e-11	NaN	NaN	NaN	-26714.295213619353	4.81115110572655e6	0.
-0.00003298030894987124	3.0142702242149545e-11	NaN	NaN	NaN	-29524.430737287934	5.580150155194572e6	0.
-0.000044227050250748985	3.0142702242149545e-11	NaN	NaN	NaN	-22272.50671763685	3.6714549849491976e6	-1.4341864047778576e-7
-0.00004027549249638654	3.0142702242149545e-11	NaN	NaN	NaN	-24384.00381997184	4.201124086264377e6	0.
-0.00003647591773257648	3.0142702242149545e-11	NaN	NaN	NaN	-26820.88906357193	4.8396685222871965e6	-3.7352888951745156e-7
-0.000032828325959318834	3.0142702242149545e-11	NaN	NaN	NaN	-29654.07348962647	5.616467869804785e6	0.
-0.000044075067260196586	3.0142702242149545e-11	NaN	NaN	NaN	-22347.034252379883	3.689761950839096e6	0.
-0.00004012350950583413	3.0142702242149545e-11	NaN	NaN	NaN	-24473.097398395985	4.22396737349052e6	0.
-0.00003632393474202408	3.0142702242149545e-11	NaN	NaN	NaN	-26928.31870240304	4.868464107064388e6	0.
-0.000032676342968766434	3.0142702242149545e-11	NaN	NaN	NaN	-29784.830011587255	5.65317185149222e6	0.
-0.000043923084269644186	3.0142702242149545e-11	NaN	NaN	NaN	-22422.054754351957	3.70821831620584e6	-1.9058655025319082e-7
-0.00003997152651528173	3.0142702242149545e-11	NaN	NaN	NaN	-24562.8327481964	4.247010625453516e6	0.
-0.000036171951751471684	3.0142702242149545e-11	NaN	NaN	NaN	-27036.59378144322	4.897539301296788e6	0.
-0.000032524359978214035	3.0142702242149545e-11	NaN	NaN	NaN	-29916.714329182047	5.690265541283311e6	0.
-0.00004377110127909178	3.0142702242149545e-11	NaN	NaN	NaN	-22497.57305608184	3.7268279623323567e6	0.
-0.000039819543524729326	3.0142702242149545e-11	NaN	NaN	NaN	-24653.216701337602	4.270262715758275e6	0.
-0.00003601996876091928	3.0142702242149545e-11	NaN	NaN	NaN	-27145.724097736704	4.926898124328496e6	-8.765235945083688e-7
-0.00003237237698766163	3.0142702242149545e-11	NaN	NaN	NaN	-30049.740698140613	5.727756477850717e6	0.
-0.00004361911828853938	3.0142702242149545e-11	NaN	NaN	NaN	-22573.594052466928	3.745590548300137e6	0.
-0.00003966756053417693	3.0142702242149545e-11	NaN	NaN	NaN	-24744.256185240156	4.293723415747418e6	0.
-0.00003586798577036688	3.0142702242149545e-11	NaN	NaN	NaN	-27255.719596732575	4.956546579399173e6	0.
-0.00003222039399710923	3.0142702242149545e-11	NaN	NaN	NaN	-30183.923608483517	5.765649428956836e6	0.
-0.000043467135297986975	3.0142702242149545e-11	NaN	NaN	NaN	-22650.1227017651	3.764508889561901e6	0.
-0.00003951557754362453	3.0142702242149545e-11	NaN	NaN	NaN	-24835.95822441996	4.317395983189583e6	0.
-0.00003571600277981447	3.0142702242149545e-11	NaN	NaN	NaN	-27366.590375034826	4.986487974278763e6	0.
-0.000032068411006556824	3.0142702242149545e-11	NaN	NaN	NaN	-30319.277789201788	5.803950751780731e6	0.
-0.000043315152307434576	3.0142702242149545e-11	NaN	NaN	NaN	-22727.16402660611	3.783584161329868e6	0.
-0.00003936359455307212	3.0142702242149545e-11	NaN	NaN	NaN	-24928.329942160013	4.341282962074208e6	0.
-0.000035564019789262074	3.0142702242149545e-11	NaN	NaN	NaN	-27478.346683210744	5.016720796420737e6	0.
-0.000031916428016004425	3.0142702242149545e-11	NaN	NaN	NaN	-30455.818213044273	5.842666358905042e6	0.
-0.00004316316931688218	3.0142702242149545e-11	NaN	NaN	NaN	-22804.72311502211	3.802818311442776e6	-2.257667319237144e-7
-0.00003921161156251972	3.0142702242149545e-11	NaN	NaN	NaN	-25021.37856221636	4.365387414827716e6	0.
-0.00003541203679870967	3.0142702242149545e-11	NaN	NaN	NaN	-27590.99892866169	5.047255624610307e6	0.
-0.000031764445025452026	3.0142702242149545e-11	NaN	NaN	NaN	-30593.560101416853	5.881801429495438e6	-2.604562194276864e-7
-0.00004301118632632977	3.0142702242149545e-11	NaN	NaN	NaN	-22882.805121496807	3.8222142879029107e6	0.
-0.00003905962857196732	3.0142702242149545e-11	NaN	NaN	NaN	-25115.111410558646	4.389710173101632e6	0.
-0.00003526005380815727	3.0142702242149545e-11	NaN	NaN	NaN	-27704.557678555575	5.078095113249969e6	0.
-0.00003161246203489962	3.0142702242149545e-11	NaN	NaN	NaN	-30732.518929395264	5.921367599277858e6	0.
-0.00004285920333577737	3.0142702242149545e-11	NaN	NaN	NaN	-22961.415268036333	3.841773840816917e6	0.
-0.00003890764558141492	3.0142702242149545e-11	NaN	NaN	NaN	-25209.535917146317	4.41425516115259e6	-1.750141730733586e-7
-0.00003510807081760487	3.0142702242149545e-11	NaN	NaN	NaN	-27819.033662823527	5.109241960538705e6	0.
-0.00003146047904434722	3.0142702242149545e-11	NaN	NaN	NaN	-30872.71043085609	5.961359205744944e6	-5.235932290032368e-7
-0.000042707220345224966	3.0142702242149545e-11	NaN	NaN	NaN	-23040.558845257765	3.86149618762469e6	0.
-0.00003875566259086252	3.0142702242149545e-11	NaN	NaN	NaN	-25304.65961774056	4.43902623383634e6	-2.644404372594549e-7
-0.00003495608782705246	3.0142702242149545e-11	NaN	NaN	NaN	-27934.437777223113	5.140701366208402e6	0.
-0.000031308496053794814	3.0142702242149545e-11	NaN	NaN	NaN	-31014.15060372686	6.001794707688506e6	0.
-0.000042555237354672566	3.0142702242149545e-11	NaN	NaN	NaN	-23120.24121350134	3.8813873872249895e6	0.
-0.00003860367960031011	3.0142702242149545e-11	NaN	NaN	NaN	-25400.49015575432	4.464026677570257e6	0.
-0.000034804104836500064	3.0142702242149545e-11	NaN	NaN	NaN	-28050.781086467952	5.172477429957535e6	0.
-0.000031156513063242415	3.0142702242149545e-11	NaN	NaN	NaN	-31156.855715360634	6.042675384578186e6	0.
-0.00004240325436412017	3.0142702242149545e-11	NaN	NaN	NaN	-23200.467803961565	3.901444235705128e6	0.
-0.00003845169660975771	3.0142702242149545e-11	NaN	NaN	NaN	-25497.035284139478	4.489256066290465e6	0.
-0.00003465212184594766	3.0142702242149545e-11	NaN	NaN	NaN	-28168.07482742695	5.204572904167686e6	-3.2325699121659314e-7
-0.00003100453007269001	3.0142702242149545e-11	NaN	NaN	NaN	-31300.8423080363	6.084011331270182e6	0.
-0.00004225127137356776	3.0142702242149545e-11	NaN	NaN	NaN	-23281.24411984184	3.9216736528812326e6	0.
-0.00003829971361920531	3.0142702242149545e-11	NaN	NaN	NaN	-25594.302867313512	4.514720362094446e6	0.
-0.00003450013885539526	3.0142702242149545e-11	NaN	NaN	NaN	-28286.330412393876	5.236995809021697e6	0.
-0.00003085254708213761	3.0142702242149545e-11	NaN	NaN	NaN	-31446.1272045892	6.125801685372633e6	0.
-0.00004209928838301536	3.0142702242149545e-11	NaN	NaN	NaN	-23362.575737529492	3.942074720661561e6	0.
-0.00003814773062865291	3.0142702242149545e-11	NaN	NaN	NaN	-25692.300883125332	4.540420912013064e6	0.
-0.00003434815586484286	3.0142702242149545e-11	NaN	NaN	NaN	-28405.55943243022	5.269747803206251e6	0.
-0.00003070056409158521	3.0142702242149545e-11	NaN	NaN	NaN	-31592.727514175942	6.168063477347659e6	0.
-0.000041947305392462956	3.0142702242149545e-11	NaN	NaN	NaN	-23444.46830779549	3.962650380656468e6	-1.8114565815331257e-7
-0.00003799574763810051	3.0142702242149545e-11	NaN	NaN	NaN	-25791.037424862912	4.566361813322629e6	0.
-0.000034196172874290454	3.0142702242149545e-11	NaN	NaN	NaN	-28525.773660781473	5.302833832464494e6	-2.1270176726362158e-7
-0.000030548581101032805	3.0142702242149545e-11	NaN	NaN	NaN	-31740.660638174548	6.210792882961768e6	-3.489749375140237e-7
-0.00004179532240191056	3.0142702242149545e-11	NaN	NaN	NaN	-23526.9275570151	3.983404016953751e6	0.
-0.000030396598110480406	3.0142702242149545e-11	NaN	NaN	NaN	-31889.944276226564	6.2540076909228135e6	0.
-0.000030244615119928003	3.0142702242149545e-11	NaN	NaN	NaN	-32040.596432422888	6.297708973638309e6	0.
-0.00002644504035611795	3.0142702242149545e-11	NaN	NaN	NaN	-36311.395567240346	7.573665194678111e6	0.
-0.0000226454655923079	3.0142702242149545e-11	NaN	NaN	NaN	-41829.92109502306	9.320464555061283e6	0.
-0.0000300926321293756	3.0142702242149545e-11	NaN	NaN	NaN	-32192.635421637733	6.341907059027155e6	0.
-0.00002629305736556555	3.0142702242149545e-11	NaN	NaN	NaN	-36505.11662082354	7.633177708434742e6	0.
-0.00001884589082849785	3.0142702242149545e-11	NaN	NaN	NaN	-49191.63477949938	1.1801180926343141e7	0.
-0.0000224934826017555	3.0142702242149545e-11	NaN	NaN	NaN	-42083.98609053365	9.403342779566713e6	0.
-0.000029940649138823198	3.0142702242149545e-11	NaN	NaN	NaN	-32346.079876014224	6.386609369031618e6	0.
-0.000026141074375013146	3.0142702242149545e-11	NaN	NaN	NaN	-36700.83468187077	7.693443156847617e6	0.
-0.00001869390783794545	3.0142702242149545e-11	NaN	NaN	NaN	-49536.64379013354	1.1921235724303756e7	0.
-0.000022341499611203098	3.0142702242149545e-11	NaN	NaN	NaN	-42340.997012149324	9.487392186017621e6	0.
