# Filename	binding_0\148def14-8ea9-4b7a-8e01-c1c8bdf60ad8.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:41:03
# Dir	-1
# field	5.464580212931627e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.464580212931627e-11	NaN	NaN	NaN	-21384.21978888586	3.4412663271269575e6	0.
-0.00004164333941135815	5.464580212931627e-11	NaN	NaN	NaN	-23300.985116724896	3.907465682139396e6	0.
-0.0000378437646475481	5.464580212931627e-11	NaN	NaN	NaN	-25486.47718763327	4.460421647299665e6	0.
-0.000034044189883738054	5.464580212931627e-11	NaN	NaN	NaN	-28105.641630239727	5.151026898197e6	0.
-0.000045442914175168206	5.464580212931627e-11	NaN	NaN	NaN	-21452.235336088383	3.4574953310065786e6	0.
-0.00004149135642080575	5.464580212931627e-11	NaN	NaN	NaN	-23381.39302425711	3.927414930927072e6	0.
-0.0000376917816569957	5.464580212931627e-11	NaN	NaN	NaN	-25582.16085465849	4.485128333334242e6	0.
-0.00003389220689318565	5.464580212931627e-11	NaN	NaN	NaN	-28221.18268329378	5.182157629338633e6	0.
-0.0000452909311846158	5.464580212931627e-11	NaN	NaN	NaN	-21520.67421607201	3.4738488007875453e6	-4.987330430003245e-7
-0.00004133937343025335	5.464580212931627e-11	NaN	NaN	NaN	-23462.341540337802	3.947529159179365e6	0.
-0.0000375397986664433	5.464580212931627e-11	NaN	NaN	NaN	-25678.540596373692	4.510055606721309e6	0.
-0.00003374022390263325	5.464580212931627e-11	NaN	NaN	NaN	-28337.637527276533	5.213588784537421e6	0.
-0.0000451389481940634	5.464580212931627e-11	NaN	NaN	NaN	-21589.540292512385	3.490329339643955e6	0.
-0.000041187390439700946	5.464580212931627e-11	NaN	NaN	NaN	-23543.835969784297	3.9678101547980085e6	-4.836392733548733e-7
-0.0000373878156758909	5.464580212931627e-11	NaN	NaN	NaN	-25775.623759605496	4.535206979603912e6	0.
-0.00003358824091208085	5.464580212931627e-11	NaN	NaN	NaN	-28455.01656465442	5.245325588311749e6	0.
-0.00004103540744914855	5.464580212931627e-11	NaN	NaN	NaN	-23625.88168479226	3.9882612921828986e6	0.
-0.00003723583268533849	5.464580212931627e-11	NaN	NaN	NaN	-25873.4177908581	4.560583914334674e6	0.
-0.000033436257921528444	5.464580212931627e-11	NaN	NaN	NaN	-28573.330348669944	5.2773717969997395e6	0.
-0.000044986965203511	5.464580212931627e-11	NaN	NaN	NaN	-21658.837474974964	3.506936789427196e6	0.
-0.00004088342445859614	5.464580212931627e-11	NaN	NaN	NaN	-23708.484125971143	4.008882215987347e6	-2.1558244689177443e-7
-0.00003708384969478609	5.464580212931627e-11	NaN	NaN	NaN	-25971.930237934474	4.586189982600409e6	0.
-0.000033284274930976045	5.464580212931627e-11	NaN	NaN	NaN	-28692.589585927773	5.309730786302636e6	0.
-0.000044834982212958595	5.464580212931627e-11	NaN	NaN	NaN	-21728.5697195778	3.523673416412811e6	0.
-0.00004073144146804374	5.464580212931627e-11	NaN	NaN	NaN	-23791.64880339621	4.0296780624654023e6	0.
-0.000036931866704233694	5.464580212931627e-11	NaN	NaN	NaN	-26071.168751586934	4.612028620880592e6	0.
-0.00003313229194042364	5.464580212931627e-11	NaN	NaN	NaN	-28812.805139030665	5.342407506011768e6	0.
-0.000044682999222406196	5.464580212931627e-11	NaN	NaN	NaN	-21798.741029665944	3.5405395654831193e6	0.
-0.00004057945847749134	5.464580212931627e-11	NaN	NaN	NaN	-23875.381297680982	4.0506464441547845e6	0.
-0.00003677988371368129	5.464580212931627e-11	NaN	NaN	NaN	-26171.141087198233	4.638100557599145e6	0.
-0.00004453101623185379	5.464580212931627e-11	NaN	NaN	NaN	-21869.35545649754	3.5575374945121366e6	0.
-0.00004042747548693894	5.464580212931627e-11	NaN	NaN	NaN	-23959.687261067622	4.0717925840898766e6	0.
-0.00003662790072312889	5.464580212931627e-11	NaN	NaN	NaN	-26271.85510649493	4.664411332448108e6	0.
-0.00003298030894987124	5.464580212931627e-11	NaN	NaN	NaN	-28933.98802926539	5.375405866351526e6	0.
-0.00004437903324130139	5.464580212931627e-11	NaN	NaN	NaN	-21940.417099940805	3.5746680937751275e6	0.
-0.00004027549249638654	5.464580212931627e-11	NaN	NaN	NaN	-24044.572418536976	4.093117704635979e6	0.
-0.00003647591773257648	5.464580212931627e-11	NaN	NaN	NaN	-26373.318779291123	4.690961119480999e6	0.
-0.000032828325959318834	5.464580212931627e-11	NaN	NaN	NaN	-29056.149439340857	5.408729920265922e6	0.
-0.000044227050250748985	5.464580212931627e-11	NaN	NaN	NaN	-22011.930109183508	3.5919333967294884e6	0.
-0.00004012350950583413	5.464580212931627e-11	NaN	NaN	NaN	-24130.04256893871	4.114624193081974e6	0.
-0.00003632393474202408	5.464580212931627e-11	NaN	NaN	NaN	-26475.54018526628	4.71775491118698e6	0.
-0.000032676342968766434	5.464580212931627e-11	NaN	NaN	NaN	-29179.30071617867	5.442384034548267e6	0.
-0.000044075067260196586	5.464580212931627e-11	NaN	NaN	NaN	-22083.898683453728	3.609334458577934e6	0.
-0.00003997152651528173	5.464580212931627e-11	NaN	NaN	NaN	-24216.103586141297	4.136312806182508e6	0.
-0.000036171951751471684	5.464580212931627e-11	NaN	NaN	NaN	-26578.52751577507	4.744795068490797e6	0.
-0.000032524359978214035	5.464580212931627e-11	NaN	NaN	NaN	-29303.45337375746	5.476372891698259e6	0.
-0.000043923084269644186	5.464580212931627e-11	NaN	NaN	NaN	-22156.327072753604	3.626874220871534e6	0.
-0.000039819543524729326	5.464580212931627e-11	NaN	NaN	NaN	-24302.76142020311	4.158186935485005e6	0.
-0.00003601996876091928	5.464580212931627e-11	NaN	NaN	NaN	-26682.289075691726	4.772084703779384e6	0.
-0.00003237237698766163	5.464580212931627e-11	NaN	NaN	NaN	-29428.619096011964	5.510700481697961e6	0.
-0.00004377110127909178	5.464580212931627e-11	NaN	NaN	NaN	-22229.219578605003	3.644549098905567e6	0.
-0.00003966756053417693	5.464580212931627e-11	NaN	NaN	NaN	-24390.02209856399	4.180249403510405e6	0.
-0.00003586798577036688	5.464580212931627e-11	NaN	NaN	NaN	-26786.83328528871	4.7996268725413345e6	0.
-0.00003222039399710923	5.464580212931627e-11	NaN	NaN	NaN	-29554.80973978815	5.545370862226309e6	0.
-0.00004361911828853938	5.464580212931627e-11	NaN	NaN	NaN	-22302.58055480851	3.66236625459513e6	0.
-0.00003951557754362453	5.464580212931627e-11	NaN	NaN	NaN	-24477.891727258328	4.202499651445298e6	0.
-0.00003571600277981447	5.464580212931627e-11	NaN	NaN	NaN	-26892.168682150746	4.8274247226448115e6	0.
-0.000032068411006556824	5.464580212931627e-11	NaN	NaN	NaN	-29682.037337855498	5.580390296701575e6	0.
-0.000043467135297986975	5.464580212931627e-11	NaN	NaN	NaN	-22376.414408214456	3.680324838190865e6	0.
-0.00003936359455307212	5.464580212931627e-11	NaN	NaN	NaN	-24566.376492150615	4.224942547577555e6	0.
-0.000035564019789262074	5.464580212931627e-11	NaN	NaN	NaN	-26998.303923124782	4.8554817712643845e6	0.
-0.000031916428016004425	5.464580212931627e-11	NaN	NaN	NaN	-29810.314101976903	5.615761500186884e6	0.
-0.000043315152307434576	5.464580212931627e-11	NaN	NaN	NaN	-22450.725599508314	3.698427085192743e6	0.
-0.00003921161156251972	5.464580212931627e-11	NaN	NaN	NaN	-24655.482660192385	4.247578935456807e6	0.
