# Filename	binding_0\17603123-fe13-42a9-b940-3a2442333251.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:38:07
# Dir	-1
# field	4.336659741935064e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.336659741935064e-11	NaN	NaN	NaN	-21492.909749160848	3.4738612322844057e6	0.
-0.00004164333941135815	4.336659741935064e-11	NaN	NaN	NaN	-23441.214807901135	3.9512385783527684e6	0.
-0.0000378437646475481	4.336659741935064e-11	NaN	NaN	NaN	-25669.355875861198	4.519913554939753e6	0.
-0.000034044189883738054	4.336659741935064e-11	NaN	NaN	NaN	-28349.79472140415	5.234046025048594e6	0.
-0.000045442914175168206	4.336659741935064e-11	NaN	NaN	NaN	-21561.95546362284	3.4904481261765e6	-4.199448754548685e-7
-0.00004149135642080575	4.336659741935064e-11	NaN	NaN	NaN	-23523.06242032922	3.9717079022174976e6	0.
-0.0000376917816569957	4.336659741935064e-11	NaN	NaN	NaN	-25767.078082049833	4.54539015213735e6	0.
-0.00003389220689318565	4.336659741935064e-11	NaN	NaN	NaN	-28468.307790553503	5.266341595935494e6	0.
-0.0000452909311846158	4.336659741935064e-11	NaN	NaN	NaN	-21631.437373541856	3.507165132779937e6	-6.235248130872424e-7
-0.00004133937343025335	4.336659741935064e-11	NaN	NaN	NaN	-23605.47006258868	3.992350147285299e6	0.
-0.0000375397986664433	4.336659741935064e-11	NaN	NaN	NaN	-25865.526121766572	4.571092495970045e6	0.
-0.00003374022390263325	4.336659741935064e-11	NaN	NaN	NaN	-28587.781821590208	5.298958331332343e6	0.
-0.0000451389481940634	4.336659741935064e-11	NaN	NaN	NaN	-21701.35954084998	3.524014093069407e6	0.
-0.000041187390439700946	4.336659741935064e-11	NaN	NaN	NaN	-23688.44336200536	4.013167633245849e6	0.
-0.0000373878156758909	4.336659741935064e-11	NaN	NaN	NaN	-25964.70787471477	4.597033882901294e6	-5.943372640079883e-7
-0.00003358824091208085	4.336659741935064e-11	NaN	NaN	NaN	-28708.228130935662	5.331901765616787e6	0.
-0.000044986965203511	4.336659741935064e-11	NaN	NaN	NaN	-21771.72607698756	3.540994539554024e6	0.
-0.00004103540744914855	4.336659741935064e-11	NaN	NaN	NaN	-23771.98801960663	4.0341619888135167e6	0.
-0.00003723583268533849	4.336659741935064e-11	NaN	NaN	NaN	-26064.6313314963	4.623215781807758e6	-4.858552184959231e-7
-0.000033436257921528444	4.336659741935064e-11	NaN	NaN	NaN	-28829.658206497388	5.365175650966053e6	0.
-0.000044834982212958595	4.336659741935064e-11	NaN	NaN	NaN	-21842.541143642535	3.5581092219003765e6	0.
-0.00004088342445859614	4.336659741935064e-11	NaN	NaN	NaN	-23856.10981129844	4.0553379694163078e6	0.
-0.00003708384969478609	4.336659741935064e-11	NaN	NaN	NaN	-26165.30459550212	4.649639861169726e6	0.
-0.000033284274930976045	4.336659741935064e-11	NaN	NaN	NaN	-28952.083710787498	5.398785119585931e6	0.
-0.000044682999222406196	4.336659741935064e-11	NaN	NaN	NaN	-21913.808953502554	3.575359540887396e6	0.
-0.00004073144146804374	4.336659741935064e-11	NaN	NaN	NaN	-23940.81458906334	4.0766908565694536e6	0.
-0.000036931866704233694	4.336659741935064e-11	NaN	NaN	NaN	-26266.735884839873	4.676308608748717e6	0.
-0.00003313229194042364	4.336659741935064e-11	NaN	NaN	NaN	-29075.516484105072	5.432733712526385e6	0.
-0.00004453101623185379	4.336659741935064e-11	NaN	NaN	NaN	-21985.533771020328	3.5927468277341803e6	0.
-0.00004057945847749134	4.336659741935064e-11	NaN	NaN	NaN	-24026.10828218239	4.098229484596531e6	0.
-0.00003677988371368129	4.336659741935064e-11	NaN	NaN	NaN	-26368.933534299413	4.7032257936352035e6	0.
-0.00003298030894987124	4.336659741935064e-11	NaN	NaN	NaN	-29199.968547785636	5.467028256622029e6	0.
-0.00004437903324130139	4.336659741935064e-11	NaN	NaN	NaN	-22057.719913192566	3.6102725819966868e6	0.
-0.00004042747548693894	4.336659741935064e-11	NaN	NaN	NaN	-24111.996898478184	4.1199536794157973e6	0.
-0.00003662790072312889	4.336659741935064e-11	NaN	NaN	NaN	-26471.905997357484	4.730395063577704e6	0.
-0.000032828325959318834	4.336659741935064e-11	NaN	NaN	NaN	-29325.452107517147	5.501669840954456e6	0.
-0.000044227050250748985	4.336659741935064e-11	NaN	NaN	NaN	-22130.371750352573	3.6279373659753487e6	-2.305738919753617e-7
-0.00004027549249638654	4.336659741935064e-11	NaN	NaN	NaN	-24198.486525582455	4.1418657164933197e6	0.
-0.00003647591773257648	4.336659741935064e-11	NaN	NaN	NaN	-26575.661848221844	4.7578186118045505e6	0.
-0.000032676342968766434	4.336659741935064e-11	NaN	NaN	NaN	-29451.979556726426	5.536665466255541e6	0.
