# Filename	binding_0\1d955928-c0a6-44c3-86b3-3d9f838eb048.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:35:47
# Dir	-1
# field	3.4421021270067546e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.4421021270067546e-11	NaN	NaN	NaN	-21580.68761911773	3.5003321665043244e6	0.
-0.00004164333941135815	3.4421021270067546e-11	NaN	NaN	NaN	-23554.839331809544	3.986940258451423e6	0.
-0.0000378437646475481	3.4421021270067546e-11	NaN	NaN	NaN	-25818.143719624728	4.568692647373344e6	-3.3865769330649796e-7
-0.000034044189883738054	3.4421021270067546e-11	NaN	NaN	NaN	-28549.492311382313	5.302587820369502e6	0.
-0.000045442914175168206	3.4421021270067546e-11	NaN	NaN	NaN	-21650.575304281083	3.517214358935089e6	0.
-0.00004149135642080575	3.4421021270067546e-11	NaN	NaN	NaN	-23637.870071753878	4.007840322604063e6	0.
-0.0000376917816569957	3.4421021270067546e-11	NaN	NaN	NaN	-25917.552447805585	4.594806636465834e6	0.
-0.00003389220689318565	3.4421021270067546e-11	NaN	NaN	NaN	-28670.485680549064	5.335866673767588e6	0.
-0.0000452909311846158	3.4421021270067546e-11	NaN	NaN	NaN	-21720.90985672693	3.5342305545745585e6	0.
-0.00004133937343025335	3.4421021270067546e-11	NaN	NaN	NaN	-23721.477086766834	4.0289197644919045e6	-3.1905443772619665e-7
-0.0000375397986664433	3.4421021270067546e-11	NaN	NaN	NaN	-26017.712152420743	4.621164702569054e6	0.
-0.00003374022390263325	3.4421021270067546e-11	NaN	NaN	NaN	-28792.480386126517	5.369487866967465e6	0.
-0.0000451389481940634	3.4421021270067546e-11	NaN	NaN	NaN	-21791.695505897504	3.551381671662014e6	0.
-0.000041187390439700946	3.4421021270067546e-11	NaN	NaN	NaN	-23805.666279808098	4.050181505960788e6	-3.5104519239224284e-7
-0.0000373878156758909	3.4421021270067546e-11	NaN	NaN	NaN	-26118.631175060964	4.647766541406148e6	-3.0622593248716636e-7
-0.00003358824091208085	3.4421021270067546e-11	NaN	NaN	NaN	-28915.488551318052	5.403449089088902e6	0.
-0.000044986965203511	3.4421021270067546e-11	NaN	NaN	NaN	-21862.936533867934	3.568669070776761e6	-2.4151233199994265e-7
-0.00004103540744914855	3.4421021270067546e-11	NaN	NaN	NaN	-23890.44363308352	4.0716278886833014e6	0.
-0.00003723583268533849	3.4421021270067546e-11	NaN	NaN	NaN	-26220.317978244042	4.674621581333528e6	0.
-0.000033436257921528444	3.4421021270067546e-11	NaN	NaN	NaN	-29039.522489786577	5.43776174912557e6	0.
-0.000044834982212958595	3.4421021270067546e-11	NaN	NaN	NaN	-21934.637276152513	3.5860966473491164e6	0.
-0.00004088342445859614	3.4421021270067546e-11	NaN	NaN	NaN	-23975.815209350138	4.093260075534568e6	0.
-0.00003708384969478609	3.4421021270067546e-11	NaN	NaN	NaN	-26322.781147555197	4.701729304813113e6	0.
-0.000033284274930976045	3.4421021270067546e-11	NaN	NaN	NaN	-29164.594709281544	5.472428000468939e6	0.
-0.000044682999222406196	3.4421021270067546e-11	NaN	NaN	NaN	-22006.802122526187	3.6036622167487135e6	-2.838519032678796e-7
-0.00004073144146804374	3.4421021270067546e-11	NaN	NaN	NaN	-24061.787153246278	4.115080873062083e6	0.
-0.000036931866704233694	3.4421021270067546e-11	NaN	NaN	NaN	-26426.02939383118	4.729094346911668e6	0.
-0.00003313229194042364	3.4421021270067546e-11	NaN	NaN	NaN	-29290.717915346988	5.507454036087211e6	0.
-0.00004453101623185379	3.4421021270067546e-11	NaN	NaN	NaN	-22079.43551786008	3.6213707060382245e6	0.
-0.00004057945847749134	3.4421021270067546e-11	NaN	NaN	NaN	-24148.365692648058	4.1370913408791684e6	0.
-0.00003677988371368129	3.4421021270067546e-11	NaN	NaN	NaN	-26530.071555390077	4.756718620871302e6	0.
-0.00003298030894987124	3.4421021270067546e-11	NaN	NaN	NaN	-29417.905015110584	5.54284444157918e6	0.
-0.00004437903324130139	3.4421021270067546e-11	NaN	NaN	NaN	-22152.541962973297	3.6392238443525317e6	0.
-0.00004042747548693894	3.4421021270067546e-11	NaN	NaN	NaN	-24235.557140052155	4.159296078108013e6	0.
-0.00003662790072312889	3.4421021270067546e-11	NaN	NaN	NaN	-26634.916600307526	4.7846065175658865e6	0.
