# Filename	binding_0\1fae7350-284a-4dd7-9462-2ac0a9e72680.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:27:06
# Dir	-1
# field	1.1668142803412728e-12
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.1668142803412728e-12	NaN	NaN	NaN	-21919.98281854421	3.603902364396295e6	0.
-0.00004164333941135815	1.1668142803412728e-12	NaN	NaN	NaN	-23997.30856917563	4.1279884984143362e6	0.
-0.0000378437646475481	1.1668142803412728e-12	NaN	NaN	NaN	-26402.93864448852	4.763763051229287e6	0.
-0.000045442914175168206	1.1668142803412728e-12	NaN	NaN	NaN	-21993.21123016668	3.621971821884542e6	0.
-0.00004149135642080575	1.1668142803412728e-12	NaN	NaN	NaN	-24085.092100395148	4.1506519766605035e6	0.
-0.0000376917816569957	1.1668142803412728e-12	NaN	NaN	NaN	-26509.228006107805	4.792546389114786e6	0.
-0.000034044189883738054	1.1668142803412728e-12	NaN	NaN	NaN	-29344.0757163633	5.581120285938643e6	0.
-0.0000452909311846158	1.1668142803412728e-12	NaN	NaN	NaN	-22066.93027349789	3.6401929527115356e6	0.
-0.00004133937343025335	1.1668142803412728e-12	NaN	NaN	NaN	-24173.519784749114	4.173524258856549e6	0.
-0.0000375397986664433	1.1668142803412728e-12	NaN	NaN	NaN	-26616.37588756342	4.821619913829173e6	0.
-0.00003389220689318565	1.1668142803412728e-12	NaN	NaN	NaN	-29475.397574311974	5.618608032497996e6	0.
-0.0000451389481940634	1.1668142803412728e-12	NaN	NaN	NaN	-22141.144893137407	3.658566592871874e6	0.
-0.000041187390439700946	1.1668142803412728e-12	NaN	NaN	NaN	-24262.59873362366	4.196606494073349e6	0.
-0.0000373878156758909	1.1668142803412728e-12	NaN	NaN	NaN	-26724.392723984816	4.850989027750855e6	0.
-0.00003374022390263325	1.1668142803412728e-12	NaN	NaN	NaN	-29607.898903997084	5.656518080741061e6	0.
-0.000044986965203511	1.1668142803412728e-12	NaN	NaN	NaN	-22215.86010032577	3.677095844409172e6	0.
-0.00004103540744914855	1.1668142803412728e-12	NaN	NaN	NaN	-24352.336163398544	4.2199021201812e6	0.
-0.00003723583268533849	1.1668142803412728e-12	NaN	NaN	NaN	-26833.28912014987	4.880656931399959e6	0.
-0.00003358824091208085	1.1668142803412728e-12	NaN	NaN	NaN	-29741.59565081762	5.694855215222326e6	0.
-0.000044834982212958595	1.1668142803412728e-12	NaN	NaN	NaN	-22291.08097404791	3.695781454477422e6	0.
-0.00004088342445859614	1.1668142803412728e-12	NaN	NaN	NaN	-24442.739397392674	4.243415610605062e6	0.
-0.00003708384969478609	1.1668142803412728e-12	NaN	NaN	NaN	-26943.075853966486	4.910628405401302e6	0.
-0.000033436257921528444	1.1668142803412728e-12	NaN	NaN	NaN	-29876.504048604518	5.733626815998996e6	0.
-0.000044682999222406196	1.1668142803412728e-12	NaN	NaN	NaN	-22366.812662194614	3.7146261331045176e6	0.
-0.00004073144146804374	1.1668142803412728e-12	NaN	NaN	NaN	-24533.81586784444	4.267144759275249e6	0.
-0.000036931866704233694	1.1668142803412728e-12	NaN	NaN	NaN	-27053.76387999774	4.940907749199704e6	0.
-0.000033284274930976045	1.1668142803412728e-12	NaN	NaN	NaN	-30012.640626154094	5.7728399743494475e6	0.
-0.00004453101623185379	1.1668142803412728e-12	NaN	NaN	NaN	-22443.060382726977	3.73363086965201e6	0.
-0.00004057945847749134	1.1668142803412728e-12	NaN	NaN	NaN	-24625.573117950174	4.291097628964097e6	0.
-0.00003677988371368129	1.1668142803412728e-12	NaN	NaN	NaN	-27165.364333108966	4.971498732426297e6	0.
-0.00003313229194042364	1.1668142803412728e-12	NaN	NaN	NaN	-30150.022213950215	5.812501237533688e6	0.
-0.00004437903324130139	1.1668142803412728e-12	NaN	NaN	NaN	-22519.82942488142	3.7527992586700497e6	0.
-0.00004042747548693894	1.1668142803412728e-12	NaN	NaN	NaN	-24718.018803934494	4.315275564954476e6	0.
-0.00003662790072312889	1.1668142803412728e-12	NaN	NaN	NaN	-27277.88853217878	5.002406539765028e6	0.
-0.00003298030894987124	1.1668142803412728e-12	NaN	NaN	NaN	-30288.66595108101	5.852619046861552e6	0.
-0.000044227050250748985	1.1668142803412728e-12	NaN	NaN	NaN	-22597.125150377666	3.7721317928458205e6	0.
-0.00004027549249638654	1.1668142803412728e-12	NaN	NaN	NaN	-24811.160697172952	4.339680832569612e6	0.
-0.00003647591773257648	1.1668142803412728e-12	NaN	NaN	NaN	-27391.34798391746	5.033635918434511e6	0.
-0.000032828325959318834	1.1668142803412728e-12	NaN	NaN	NaN	-30428.589292321125	5.893199388919493e6	0.
-0.000044075067260196586	1.1668142803412728e-12	NaN	NaN	NaN	-22674.952994667343	3.791629998970765e6	0.
-0.00004012350950583413	1.1668142803412728e-12	NaN	NaN	NaN	-24905.006686372755	4.364317048171741e6	0.
-0.00003632393474202408	1.1668142803412728e-12	NaN	NaN	NaN	-27505.754386775436	5.065191546822719e6	0.
-0.000032676342968766434	1.1668142803412728e-12	NaN	NaN	NaN	-30569.810015440435	5.9342504996533645e6	0.
-0.000043923084269644186	1.1668142803412728e-12	NaN	NaN	NaN	-22753.318468217447	3.811297002613874e6	0.
-0.00003997152651528173	1.1668142803412728e-12	NaN	NaN	NaN	-24999.564779782493	4.389186555925298e6	0.
-0.000036171951751471684	1.1668142803412728e-12	NaN	NaN	NaN	-27621.119634941697	5.097076898362209e6	0.
-0.000032524359978214035	1.1668142803412728e-12	NaN	NaN	NaN	-30712.34622869571	5.975780840324981e6	0.
-0.00004377110127909178	1.1668142803412728e-12	NaN	NaN	NaN	-22832.227157790876	3.831134213609273e6	0.
-0.000039819543524729326	1.1668142803412728e-12	NaN	NaN	NaN	-25094.843107477416	4.414293709836111e6	0.
-0.00003601996876091928	1.1668142803412728e-12	NaN	NaN	NaN	-27737.45582247587	5.1292993576602e6	0.
-0.00003237237698766163	1.1668142803412728e-12	NaN	NaN	NaN	-30856.216378534264	6.017796568505514e6	0.
-0.00004361911828853938	1.1668142803412728e-12	NaN	NaN	NaN	-22911.684727785087	3.8511448391624517e6	0.
-0.00003966756053417693	1.1668142803412728e-12	NaN	NaN	NaN	-25190.849923664988	4.439640968140384e6	0.
-0.00003586798577036688	1.1668142803412728e-12	NaN	NaN	NaN	-27854.775247483765	5.161861519720751e6	0.
-0.00003222039399710923	1.1668142803412728e-12	NaN	NaN	NaN	-31001.439257518257	6.06030589699371e6	0.
-0.000043467135297986975	1.1668142803412728e-12	NaN	NaN	NaN	-22991.696921567785	3.8713290422364366e6	0.
-0.00003951557754362453	1.1668142803412728e-12	NaN	NaN	NaN	-25287.593609074665	4.465231302059942e6	0.
-0.00003571600277981447	1.1668142803412728e-12	NaN	NaN	NaN	-27973.09041646721	5.1947693417549925e6	0.
-0.000032068411006556824	1.1668142803412728e-12	NaN	NaN	NaN	-31148.034012484237	6.103318443333237e6	0.
-0.000043315152307434576	1.1668142803412728e-12	NaN	NaN	NaN	-23072.26956287946	3.891691328558567e6	0.
-0.00003936359455307212	1.1668142803412728e-12	NaN	NaN	NaN	-25385.082673385456	4.491067761999279e6	0.
-0.000035564019789262074	1.1668142803412728e-12	NaN	NaN	NaN	-28092.414048737744	5.228028294814846e6	0.
-0.000031916428016004425	1.1668142803412728e-12	NaN	NaN	NaN	-31296.020152900102	6.146840540112675e6	0.
-0.00004316316931688218	1.1668142803412728e-12	NaN	NaN	NaN	-23153.40855721555	3.912231690024926e6	0.
-0.00003921161156251972	1.1668142803412728e-12	NaN	NaN	NaN	-25483.32575771729	4.517154484671306e6	0.
