# Filename	binding_0\2183335b-49cd-467e-98f8-6bb649f933ae.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:48:28
# Dir	1
# field	1.9446904672354546e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.9446904672354546e-11	NaN	NaN	NaN	22141.373743284734	3.6725697423817525e6	0.
-0.00004164333941135815	1.9446904672354546e-11	NaN	NaN	NaN	24288.94441622186	4.222746454227771e6	0.
-0.0000378437646475481	1.9446904672354546e-11	NaN	NaN	NaN	26793.333220809538	4.897021402048795e6	0.
-0.000034044189883738054	1.9446904672354546e-11	NaN	NaN	NaN	29883.71275803639	5.775720839968059e6	-1.4137840046480963e-7
-0.000045442914175168206	1.9446904672354546e-11	NaN	NaN	NaN	22216.858058419744	3.69145744647281e6	0.
-0.00004149135642080575	1.9446904672354546e-11	NaN	NaN	NaN	24379.991792105335	4.246650366852473e6	0.
-0.0000376917816569957	1.9446904672354546e-11	NaN	NaN	NaN	26904.4493411704	4.927733165871553e6	0.
-0.00003389220689318565	1.9446904672354546e-11	NaN	NaN	NaN	30022.490707907556	5.816360020536712e6	0.
-0.0000452909311846158	1.9446904672354546e-11	NaN	NaN	NaN	22292.863855978718	3.7105091694964953e6	0.
-0.00004133937343025335	1.9446904672354546e-11	NaN	NaN	NaN	24471.732393838047	4.270784189642112e6	0.
-0.0000375397986664433	1.9446904672354546e-11	NaN	NaN	NaN	27016.50425664079	4.958771177068213e6	-1.3219013132928956e-7
-0.00003374022390263325	1.9446904672354546e-11	NaN	NaN	NaN	30162.586946132626	5.85748493853855e6	0.
-0.0000451389481940634	1.9446904672354546e-11	NaN	NaN	NaN	22369.396611454074	3.7297268026264356e6	0.
-0.000041187390439700946	1.9446904672354546e-11	NaN	NaN	NaN	24564.174262189907	4.295150108302619e6	0.
-0.0000373878156758909	1.9446904672354546e-11	NaN	NaN	NaN	27129.51008627037	4.99014243525206e6	0.
-0.00003358824091208085	1.9446904672354546e-11	NaN	NaN	NaN	30304.020683739847	5.899106075934078e6	0.
-0.000044986965203511	1.9446904672354546e-11	NaN	NaN	NaN	22446.461878003265	3.7491130135296364e6	0.
-0.00004103540744914855	1.9446904672354546e-11	NaN	NaN	NaN	24657.32556420926	4.319752028409569e6	0.
-0.00003723583268533849	1.9446904672354546e-11	NaN	NaN	NaN	27243.47916154868	5.021849558553581e6	-1.6381310608378416e-7
-0.000033436257921528444	1.9446904672354546e-11	NaN	NaN	NaN	30446.811513390658	5.941234809728831e6	0.
-0.000044834982212958595	1.9446904672354546e-11	NaN	NaN	NaN	22524.06528784292	3.7686688102358365e6	0.
-0.00004088342445859614	1.9446904672354546e-11	NaN	NaN	NaN	24751.194595740955	4.344590386421704e6	0.
-0.00003708384969478609	1.9446904672354546e-11	NaN	NaN	NaN	27358.424031141967	5.053899962891052e6	0.
-0.000033284274930976045	1.9446904672354546e-11	NaN	NaN	NaN	30590.97941906256	5.983869464334377e6	0.
-0.000044682999222406196	1.9446904672354546e-11	NaN	NaN	NaN	22602.21255367523	3.788397194665246e6	0.
-0.00004073144146804374	1.9446904672354546e-11	NaN	NaN	NaN	24845.789784004355	4.369672030012842e6	0.
-0.000036931866704233694	1.9446904672354546e-11	NaN	NaN	NaN	27474.35746576346	5.086296779094685e6	-1.359670236995514e-7
-0.00003313229194042364	1.9446904672354546e-11	NaN	NaN	NaN	30736.54478603378	6.027029844612293e6	0.
-0.00004453101623185379	1.9446904672354546e-11	NaN	NaN	NaN	22680.909470143917	3.808299797131895e6	-1.753010107210109e-7
