# Filename	binding_0\2f8513f9-8641-40d2-9b80-e7b82584b8d7.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:30:19
# Dir	-1
# field	1.3418364223924637e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.3418364223924637e-11	NaN	NaN	NaN	-21792.51401377801	3.564757591263529e6	-1.0539039184186742e-7
-0.00004164333941135815	1.3418364223924637e-11	NaN	NaN	NaN	-23830.45763445277	4.0744196649272847e6	0.
-0.0000378437646475481	1.3418364223924637e-11	NaN	NaN	NaN	-26181.385258050683	4.689225579809031e6	-1.1398265885467099e-7
-0.000034044189883738054	1.3418364223924637e-11	NaN	NaN	NaN	-29041.16959346069	5.473831620047441e6	0.
-0.000045442914175168206	1.3418364223924637e-11	NaN	NaN	NaN	-21864.47107639689	3.5823717085190495e6	0.
-0.00004149135642080575	1.3418364223924637e-11	NaN	NaN	NaN	-23916.42128810828	4.096401741285037e6	-2.8697129462406324e-7
-0.0000376917816569957	1.3418364223924637e-11	NaN	NaN	NaN	-26285.01965941133	4.716967842557073e6	0.
-0.00003389220689318565	1.3418364223924637e-11	NaN	NaN	NaN	-29168.46540079175	5.50965760888935e6	0.
-0.0000452909311846158	1.3418364223924637e-11	NaN	NaN	NaN	-21936.901846822602	3.600130367808907e6	0.
-0.00004133937343025335	1.3418364223924637e-11	NaN	NaN	NaN	-24003.002605674523	4.118581217643331e6	0.
-0.0000375397986664433	1.3418364223924637e-11	NaN	NaN	NaN	-26389.470132407438	4.744981660952212e6	0.
-0.00003374022390263325	1.3418364223924637e-11	NaN	NaN	NaN	-29296.869307462584	5.545871310663887e6	-1.8998469596636795e-7
-0.0000451389481940634	1.3418364223924637e-11	NaN	NaN	NaN	-22009.810987770594	3.6180355817467733e6	0.
-0.000041187390439700946	1.3418364223924637e-11	NaN	NaN	NaN	-24090.208216171588	4.1409598465334717e6	0.
-0.0000373878156758909	1.3418364223924637e-11	NaN	NaN	NaN	-26494.746263271194	4.7732711896889815e6	0.
-0.00003358824091208085	1.3418364223924637e-11	NaN	NaN	NaN	-29426.395676790788	5.582479751248819e6	0.
-0.000044986965203511	1.3418364223924637e-11	NaN	NaN	NaN	-22083.203222944812	3.6360885074040717e6	0.
-0.00004103540744914855	1.3418364223924637e-11	NaN	NaN	NaN	-24178.044843061478	4.1635404205875024e6	0.
-0.00003723583268533849	1.3418364223924637e-11	NaN	NaN	NaN	-26600.857787511042	4.801840369503652e6	0.
-0.000033436257921528444	1.3418364223924637e-11	NaN	NaN	NaN	-29557.05911842196	5.619488151029303e6	0.
-0.000044834982212958595	1.3418364223924637e-11	NaN	NaN	NaN	-22157.083338030538	3.6542907043601074e6	0.
-0.00004088342445859614	1.3418364223924637e-11	NaN	NaN	NaN	-24266.51930592321	4.1863247932620198e6	0.
-0.00003708384969478609	1.3418364223924637e-11	NaN	NaN	NaN	-26707.81459279901	4.830692987146076e6	0.
-0.000033284274930976045	1.3418364223924637e-11	NaN	NaN	NaN	-29688.874493564035	5.6569015428593345e6	0.
-0.000044682999222406196	1.3418364223924637e-11	NaN	NaN	NaN	-22231.456181707163	3.672644907075993e6	0.
-0.00004073144146804374	1.3418364223924637e-11	NaN	NaN	NaN	-24355.638522162488	4.209316443066857e6	0.
-0.000036931866704233694	1.3418364223924637e-11	NaN	NaN	NaN	-26815.626721925226	4.859833018094852e6	0.
-0.00003313229194042364	1.3418364223924637e-11	NaN	NaN	NaN	-29821.85692035821	5.694726945580568e6	0.
-0.00004453101623185379	1.3418364223924637e-11	NaN	NaN	NaN	-22306.32666668293	3.691151887846825e6	0.
-0.00004057945847749134	1.3418364223924637e-11	NaN	NaN	NaN	-24445.40950875671	4.232517467969896e6	0.
-0.00003677988371368129	1.3418364223924637e-11	NaN	NaN	NaN	-26924.304375820317	4.889263818027563e6	0.
-0.00003298030894987124	1.3418364223924637e-11	NaN	NaN	NaN	-29956.021779383922	5.732971262218017e6	0.
-0.00004437903324130139	1.3418364223924637e-11	NaN	NaN	NaN	-22381.699770745836	3.7098135055234777e6	-2.1656315789587926e-7
-0.00004042747548693894	1.3418364223924637e-11	NaN	NaN	NaN	-24535.839384038656	4.255930828943223e6	0.
-0.00003662790072312889	1.3418364223924637e-11	NaN	NaN	NaN	-27033.857916649293	4.918990038871905e6	-1.9752676399317467e-7
-0.000032828325959318834	1.3418364223924637e-11	NaN	NaN	NaN	-30091.384719304006	5.771639925036645e6	0.
-0.000044227050250748985	1.3418364223924637e-11	NaN	NaN	NaN	-22457.580537838025	3.728632197563907e6	0.
-0.00004027549249638654	1.3418364223924637e-11	NaN	NaN	NaN	-24626.935369516985	4.27955898862254e6	0.
-0.00003647591773257648	1.3418364223924637e-11	NaN	NaN	NaN	-27144.297870974624	4.949016049679367e6	-1.2524352838402127e-7
-0.000032676342968766434	1.3418364223924637e-11	NaN	NaN	NaN	-30227.96166265575	5.810740415109698e6	0.
-0.000044075067260196586	1.3418364223924637e-11	NaN	NaN	NaN	-22533.97407915061	3.747609389055875e6	0.
-0.00004012350950583413	1.3418364223924637e-11	NaN	NaN	NaN	-24718.70479173691	4.303405023312922e6	0.
-0.00003632393474202408	1.3418364223924637e-11	NaN	NaN	NaN	-27255.63493299705	4.979345706577651e6	-1.8301645437441642e-7
-0.000032524359978214035	1.3418364223924637e-11	NaN	NaN	NaN	-30365.7688117887	5.850280038848684e6	0.
-0.000043923084269644186	1.3418364223924637e-11	NaN	NaN	NaN	-22610.88557424075	3.7667470066695935e6	0.
-0.00003997152651528173	1.3418364223924637e-11	NaN	NaN	NaN	-24811.155084179758	4.327471275061988e6	0.
-0.000036171951751471684	1.3418364223924637e-11	NaN	NaN	NaN	-27367.879967869914	5.009984043289831e6	0.
-0.00003237237698766163	1.3418364223924637e-11	NaN	NaN	NaN	-30504.822654956944	5.890260917656592e6	-1.8625360464555593e-7
-0.00004377110127909178	1.3418364223924637e-11	NaN	NaN	NaN	-22688.32027216941	3.7860471830426943e6	0.
-0.000039819543524729326	1.3418364223924637e-11	NaN	NaN	NaN	-24904.293789204698	4.351760710484529e6	0.
-0.00003601996876091928	1.3418364223924637e-11	NaN	NaN	NaN	-27481.044015092484	5.040934187905172e6	0.
-0.00003222039399710923	1.3418364223924637e-11	NaN	NaN	NaN	-30645.13997256825	5.930695774111224e6	-1.575948344017001e-7
-0.00004361911828853938	1.3418364223924637e-11	NaN	NaN	NaN	-22766.283492664104	3.805512167568109e6	0.
-0.00003966756053417693	1.3418364223924637e-11	NaN	NaN	NaN	-24998.128560032103	4.376276177737734e6	-1.847748419388774e-7
-0.00003586798577036688	1.3418364223924637e-11	NaN	NaN	NaN	-27595.13829198284	5.072200422218499e6	0.
-0.000032068411006556824	1.3418364223924637e-11	NaN	NaN	NaN	-30786.73784359576	5.971589486551473e6	-2.2344371244819257e-7
-0.000043467135297986975	1.3418364223924637e-11	NaN	NaN	NaN	-22844.78062730137	3.825141419171452e6	-3.480385443385737e-7
-0.00003951557754362453	1.3418364223924637e-11	NaN	NaN	NaN	-25092.66716276862	4.401021448347039e6	0.
-0.00003571600277981447	1.3418364223924637e-11	NaN	NaN	NaN	-27710.174197234337	5.103788147994918e6	0.
-0.000031916428016004425	1.3418364223924637e-11	NaN	NaN	NaN	-30929.633652156655	6.012949833938162e6	0.
-0.000043315152307434576	1.3418364223924637e-11	NaN	NaN	NaN	-22923.817140716747	3.8449405702894065e6	0.
-0.00003936359455307212	1.3418364223924637e-11	NaN	NaN	NaN	-25187.917478479925	4.425998796906624e6	0.
-0.000035564019789262074	1.3418364223924637e-11	NaN	NaN	NaN	-27826.163314555888	5.135702075947353e6	0.
-0.000031764445025452026	1.3418364223924637e-11	NaN	NaN	NaN	-31073.845094263703	6.054783300089235e6	0.
-0.00004316316931688218	1.3418364223924637e-11	NaN	NaN	NaN	-23003.398571836962	3.8649086198757095e6	-1.1202316648947999e-7
-0.00003921161156251972	1.3418364223924637e-11	NaN	NaN	NaN	-25283.887505304414	4.451210492729282e6	0.
-0.00003541203679870967	1.3418364223924637e-11	NaN	NaN	NaN	-27943.11741639911	5.16794663891118e6	0.
-0.00003161246203489962	1.3418364223924637e-11	NaN	NaN	NaN	-31219.390184752356	6.097097353988083e6	0.
-0.00004301118632632977	1.3418364223924637e-11	NaN	NaN	NaN	-23083.53053513637	3.885049733175637e6	0.
-0.00003905962857196732	1.3418364223924637e-11	NaN	NaN	NaN	-25380.585360617097	4.476660681852036e6	0.
-0.00003526005380815727	1.3418364223924637e-11	NaN	NaN	NaN	-28061.048467775603	5.200525415240941e6	0.
-0.00003146047904434722	1.3418364223924637e-11	NaN	NaN	NaN	-31366.287264393402	6.139899846101917e6	-1.9145284473404124e-7
-0.00004285920333577737	1.3418364223924637e-11	NaN	NaN	NaN	-23164.218721921945	3.905364660591821e6	-1.2588901825016738e-7
-0.00003890764558141492	1.3418364223924637e-11	NaN	NaN	NaN	-25478.019283239	4.50235270941232e6	0.
-0.00003510807081760487	1.3418364223924637e-11	NaN	NaN	NaN	-28179.96863016643	5.233445045454434e6	0.
-0.000031308496053794814	1.3418364223924637e-11	NaN	NaN	NaN	-31514.55500719047	6.183199925082097e6	0.
-0.000042707220345224966	1.3418364223924637e-11	NaN	NaN	NaN	-23245.468901639168	3.9258562171381493e6	-1.0209315848043933e-7
-0.00003875566259086252	1.3418364223924637e-11	NaN	NaN	NaN	-25576.197635695495	4.528288530529183e6	0.
-0.00003495608782705246	1.3418364223924637e-11	NaN	NaN	NaN	-28299.8902655242	5.26670966942431e6	0.
-0.000031156513063242415	1.3418364223924637e-11	NaN	NaN	NaN	-31664.212427875704	6.227003723248685e6	0.
-0.000042555237354672566	1.3418364223924637e-11	NaN	NaN	NaN	-23327.286923209816	3.9465273753284495e6	0.
-0.00003860367960031011	1.3418364223924637e-11	NaN	NaN	NaN	-25675.128906526697	4.554474329716537e6	0.
-0.000034804104836500064	1.3418364223924637e-11	NaN	NaN	NaN	-28420.82594037445	5.300324364591001e6	0.
-0.00003100453007269001	1.3418364223924637e-11	NaN	NaN	NaN	-31815.278889601697	6.271320414876191e6	0.
-0.00004240325436412017	1.3418364223924637e-11	NaN	NaN	NaN	-23409.67871639416	3.9673775941280355e6	0.
-0.00003845169660975771	1.3418364223924637e-11	NaN	NaN	NaN	-25774.82171264604	4.580907349167083e6	0.
-0.00003465212184594766	1.3418364223924637e-11	NaN	NaN	NaN	-28542.788430015702	5.3342942447954975e6	0.
-0.00003085254708213761	1.3418364223924637e-11	NaN	NaN	NaN	-31967.77411184142	6.31615818670467e6	0.
-0.00004225127137356776	1.3418364223924637e-11	NaN	NaN	NaN	-23492.650293180992	3.9884108572312756e6	0.
-0.00003829971361920531	1.3418364223924637e-11	NaN	NaN	NaN	-25875.284801755446	4.607596768976264e6	0.
-0.00003450013885539526	1.3418364223924637e-11	NaN	NaN	NaN	-28665.790722822574	5.3686240749510825e6	-2.0898745736258532e-7
-0.00003070056409158521	1.3418364223924637e-11	NaN	NaN	NaN	-32121.71817850053	6.361525335587389e6	0.
-0.00004209928838301536	1.3418364223924637e-11	NaN	NaN	NaN	-23576.207749207944	4.0096297046920215e6	0.
-0.00003814773062865291	1.3418364223924637e-11	NaN	NaN	NaN	-25976.52705481099	4.634543688464873e6	-1.8740255669155418e-7
-0.00003434815586484286	1.3418364223924637e-11	NaN	NaN	NaN	-28789.84602465341	5.403320442283697e6	0.
-0.000030548581101032805	1.3418364223924637e-11	NaN	NaN	NaN	-32277.13154624862	6.407430153463406e6	0.
-0.000041947305392462956	1.3418364223924637e-11	NaN	NaN	NaN	-23660.357265208797	4.0310362207220974e6	0.
-0.00003799574763810051	1.3418364223924637e-11	NaN	NaN	NaN	-26078.557488545615	4.66175262798232e6	0.
-0.000034196172874290454	1.3418364223924637e-11	NaN	NaN	NaN	-28914.96776336951	5.43838724524303e6	-2.8346949473105736e-7
-0.000030396598110480406	1.3418364223924637e-11	NaN	NaN	NaN	-32434.035053076645	6.45388301168398e6	0.
-0.00004179532240191056	1.3418364223924637e-11	NaN	NaN	NaN	-23745.105108492633	4.052631466332648e6	-2.0272564753973487e-7
-0.000030244615119928003	1.3418364223924637e-11	NaN	NaN	NaN	-32592.44992708634	6.500889774408614e6	-3.1004132043704085e-7
-0.00002644504035611795	1.3418364223924637e-11	NaN	NaN	NaN	-37115.299507885895	7.88765314156375e6	0.
-0.0000226454655923079	1.3418364223924637e-11	NaN	NaN	NaN	-43060.26927708346	9.833568516355777e6	0.
-0.00001884589082849785	1.3418364223924637e-11	NaN	NaN	NaN	-51195.79388444608	1.2700317624184668e7	0.
-0.0000300926321293756	1.3418364223924637e-11	NaN	NaN	NaN	-32752.397795521236	6.548463797607534e6	0.
-0.00002629305736556555	1.3418364223924637e-11	NaN	NaN	NaN	-37321.987115698634	7.953023338039847e6	0.
-0.0000224934826017555	1.3418364223924637e-11	NaN	NaN	NaN	-43336.95663330463	9.927331079908354e6	0.
-0.00001869390783794545	1.3418364223924637e-11	NaN	NaN	NaN	-51583.42281846794	1.2842333754459219e7	0.
-0.000029940649138823198	1.3418364223924637e-11	NaN	NaN	NaN	-32913.90069404538	6.596612397704629e6	0.
-0.000026141074375013146	1.3418364223924637e-11	NaN	NaN	NaN	-37530.94667617156	8.019287391054981e6	0.
-0.000022341499611203098	1.3418364223924637e-11	NaN	NaN	NaN	-43617.13365671988	1.0022555963948138e7	0.
-0.000018541924847393046	1.3418364223924637e-11	NaN	NaN	NaN	-51976.759488879696	1.2986921695809336e7	0.
-0.000029788666148270795	1.3418364223924637e-11	NaN	NaN	NaN	-33076.98107627609	6.6453434977393085e6	-1.563203392353901e-7
-0.000025989091384460747	1.3418364223924637e-11	NaN	NaN	NaN	-37742.21513744696	8.086457408886003e6	-1.8295232738324551e-7
-0.000022189516620650695	1.3418364223924637e-11	NaN	NaN	NaN	-43900.86506894221	1.011927381632246e7	0.
-0.000018389941856840644	1.3418364223924637e-11	NaN	NaN	NaN	-52375.9262306281	1.313414366459786e7	0.
-0.000029636683157718393	1.3418364223924637e-11	NaN	NaN	NaN	-33241.66182358246	6.694669904442578e6	-1.8216006256740728e-7
-0.000025837108393908344	1.3418364223924637e-11	NaN	NaN	NaN	-37955.830237046204	8.154556113995191e6	0.
-0.000022037533630098293	1.3418364223924637e-11	NaN	NaN	NaN	-44188.217157684434	1.021751749608444e7	0.
-0.00001823795886628824	1.3418364223924637e-11	NaN	NaN	NaN	-52781.04875859627	1.3284066703276243e7	0.
-0.000029484700167165993	1.3418364223924637e-11	NaN	NaN	NaN	-33407.966255155276	6.744601567020196e6	0.
-0.000025685125403355942	1.3418364223924637e-11	NaN	NaN	NaN	-38171.8305226085	8.223594343034662e6	0.
-0.00002188555063954589	1.3418364223924637e-11	NaN	NaN	NaN	-44479.257822975465	1.031731828364377e7	0.
-0.000018085975875735842	1.3418364223924637e-11	NaN	NaN	NaN	-53192.25627975918	1.3436756549961591e7	0.
-0.00002933271717661359	1.3418364223924637e-11	NaN	NaN	NaN	-33575.9181383579	6.795145393837518e6	-2.0298779658408702e-7
-0.00002553314241280354	1.3418364223924637e-11	NaN	NaN	NaN	-38390.25537327021	8.293594381704416e6	0.
-0.000021733567648993488	1.3418364223924637e-11	NaN	NaN	NaN	-44774.056624967176	1.0418711469097186e7	0.
-0.00001793399288518344	1.3418364223924637e-11	NaN	NaN	NaN	-53609.681609587424	1.3592282527893506e7	0.
-0.000029180734186061188	1.3418364223924637e-11	NaN	NaN	NaN	-33745.54169936603	6.846317000030791e6	0.
-0.000025381159422251137	1.3418364223924637e-11	NaN	NaN	NaN	-38611.145021708806	8.364573103008333e6	0.
-0.00002158158465844109	1.3418364223924637e-11	NaN	NaN	NaN	-45072.68483339165	1.0521730033703024e7	-2.4026704392876547e-7
-0.000017782009894631037	1.3418364223924637e-11	NaN	NaN	NaN	-54033.46129287228	1.3750717635909673e7	0.
-0.000029028751195508785	1.3418364223924637e-11	NaN	NaN	NaN	-33916.861634108725	6.8981225550809335e6	0.
-0.000025229176431698734	1.3418364223924637e-11	NaN	NaN	NaN	-38834.5405768754	8.436549725756673e6	0.
-0.000021429601667888686	1.3418364223924637e-11	NaN	NaN	NaN	-45375.21547873376	1.0626414009961754e7	0.
-0.000017630026904078634	1.3418364223924637e-11	NaN	NaN	NaN	-54463.73572915517	1.391213199609159e7	0.
-0.000028876768204956383	1.3418364223924637e-11	NaN	NaN	NaN	-34089.90311951629	6.950574676416861e6	0.
-0.000025077193441146335	1.3418364223924637e-11	NaN	NaN	NaN	-39060.484047438855	8.50954315598986e6	0.
-0.000021277618677336283	1.3418364223924637e-11	NaN	NaN	NaN	-45681.723405187746	1.0732797320022672e7	0.
-0.00001747804391352623	1.3418364223924637e-11	NaN	NaN	NaN	-54900.649302953316	1.4076603909579664e7	0.
-0.000028724785214403984	1.3418364223924637e-11	NaN	NaN	NaN	-34264.69182508822	7.003685972398757e6	0.
