# Filename	binding_0\2fe7dedb-515f-4c17-b3b5-257d1b985739.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:53:36
# Dir	1
# field	4.219978313900936e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.219978313900936e-11	NaN	NaN	NaN	22396.532774705152	3.7527962014143583e6	0.
-0.00004164333941135815	4.219978313900936e-11	NaN	NaN	NaN	24628.09162822958	4.334772930190008e6	0.
-0.0000378437646475481	4.219978313900936e-11	NaN	NaN	NaN	27252.62745997588	5.056995963641627e6	0.
-0.000034044189883738054	4.219978313900936e-11	NaN	NaN	NaN	30528.87168407515	6.014352712100559e6	0.
-0.000045442914175168206	4.219978313900936e-11	NaN	NaN	NaN	22474.69447849066	3.77267195011126e6	0.
-0.00004149135642080575	4.219978313900936e-11	NaN	NaN	NaN	24723.07183452493	4.360203010672097e6	-3.4937019433467603e-7
-0.0000376917816569957	4.219978313900936e-11	NaN	NaN	NaN	27369.67516539717	5.090139392898843e6	0.
-0.00003389220689318565	4.219978313900936e-11	NaN	NaN	NaN	30677.066144879565	6.059098936158454e6	0.
-0.0000452909311846158	4.219978313900936e-11	NaN	NaN	NaN	22553.415655434157	3.7927277090666587e6	0.
-0.00004133937343025335	4.219978313900936e-11	NaN	NaN	NaN	24818.807101597868	4.385890956612944e6	0.
-0.0000375397986664433	4.219978313900936e-11	NaN	NaN	NaN	27487.76588405866	5.123659827225945e6	0.
-0.00003374022390263325	4.219978313900936e-11	NaN	NaN	NaN	30826.766766588607	6.104426879007787e6	0.
-0.0000451389481940634	4.219978313900936e-11	NaN	NaN	NaN	22632.70246446075	3.8129655738467844e6	0.
-0.000041187390439700946	4.219978313900936e-11	NaN	NaN	NaN	24915.306706052692	4.411839486187975e6	0.
-0.0000373878156758909	4.219978313900936e-11	NaN	NaN	NaN	27606.91407058307	5.157559375580768e6	0.
-0.00003358824091208085	4.219978313900936e-11	NaN	NaN	NaN	30977.99756382573	6.15034614217087e6	0.
-0.000044986965203511	4.219978313900936e-11	NaN	NaN	NaN	22712.56115712354	3.8333881470592194e6	0.
-0.00004103540744914855	4.219978313900936e-11	NaN	NaN	NaN	25012.580080911706	4.438049562659169e6	0.
-0.00003723583268533849	4.219978313900936e-11	NaN	NaN	NaN	27727.134456115462	5.191847949927108e6	0.
-0.000033436257921528444	4.219978313900936e-11	NaN	NaN	NaN	31130.78308391969	6.196868291235409e6	0.
-0.000044834982212958595	4.219978313900936e-11	NaN	NaN	NaN	22792.998079386063	3.853997340003155e6	-4.1487774489057774e-7
-0.00004088342445859614	4.219978313900936e-11	NaN	NaN	NaN	25110.636819004805	4.464528281287386e6	0.
-0.00003708384969478609	4.219978313900936e-11	NaN	NaN	NaN	27848.442055154406	5.226530697635181e6	-5.206283567458883e-7
-0.000033284274930976045	4.219978313900936e-11	NaN	NaN	NaN	31285.148422266975	6.244002571471433e6	-4.034053743502692e-7
-0.000044682999222406196	4.219978313900936e-11	NaN	NaN	NaN	22874.019673446634	3.8747972547573866e6	0.
-0.00004073144146804374	4.219978313900936e-11	NaN	NaN	NaN	25209.486676447967	4.491279817340613e6	0.
-0.000036931866704233694	4.219978313900936e-11	NaN	NaN	NaN	27970.8521725919	5.261615113483884e6	0.
-0.00003313229194042364	4.219978313900936e-11	NaN	NaN	NaN	31441.119238245345	6.2917687878586585e6	0.
-0.00004453101623185379	4.219978313900936e-11	NaN	NaN	NaN	22955.63247960678	3.89578996296374e6	0.
-0.00004057945847749134	4.219978313900936e-11	NaN	NaN	NaN	25309.139576215468	4.518304767032615e6	0.
-0.00003677988371368129	4.219978313900936e-11	NaN	NaN	NaN	28094.380410970396	5.297107538825629e6	0.
-0.00003298030894987124	4.219978313900936e-11	NaN	NaN	NaN	31598.721771702098	6.340168352593978e6	0.
-0.00004437903324130139	4.219978313900936e-11	NaN	NaN	NaN	23037.843138182972	3.916974106784308e6	0.
-0.00004042747548693894	4.219978313900936e-11	NaN	NaN	NaN	25409.605611809	4.545610509997189e6	0.
-0.00003662790072312889	4.219978313900936e-11	NaN	NaN	NaN	28219.04267796278	5.3330136696107285e6	0.
-0.000032828325959318834	4.219978313900936e-11	NaN	NaN	NaN	31757.982860041993	6.389221127626033e6	0.
-0.000044227050250748985	4.219978313900936e-11	NaN	NaN	NaN	23120.65839146519	3.9383568884888845e6	0.
-0.00004027549249638654	4.219978313900936e-11	NaN	NaN	NaN	25510.895051025065	4.5731992810957115e6	-6.130911522151413e-7
-0.00003647591773257648	4.219978313900936e-11	NaN	NaN	NaN	28344.855194086387	5.36934168568298e6	0.
-0.000032676342968766434	4.219978313900936e-11	NaN	NaN	NaN	31918.92995594104	6.438937696246212e6	0.
-0.000044075067260196586	4.219978313900936e-11	NaN	NaN	NaN	23204.085085721767	3.95993939401304e6	0.
-0.00004012350950583413	4.219978313900936e-11	NaN	NaN	NaN	25613.018339825598	4.60107835052231e6	0.
-0.00003632393474202408	4.219978313900936e-11	NaN	NaN	NaN	28471.834500657427	5.406099316261687e6	0.
-0.000032524359978214035	4.219978313900936e-11	NaN	NaN	NaN	32081.591145714134	6.489331068286198e6	0.
-0.000043923084269644186	4.219978313900936e-11	NaN	NaN	NaN	23288.130173253092	3.9817242783762044e6	0.
-0.00003997152651528173	4.219978313900936e-11	NaN	NaN	NaN	25715.98610631454	4.629248038609194e6	0.
-0.000036171951751471684	4.219978313900936e-11	NaN	NaN	NaN	28599.997467996007	5.44329225507263e6	0.
-0.00003237237698766163	4.219978313900936e-11	NaN	NaN	NaN	32245.995168365265	6.540415383903424e6	0.
-0.00004377110127909178	4.219978313900936e-11	NaN	NaN	NaN	23372.800714495064	4.0037140386155094e6	-3.5969280112646584e-7
-0.000039819543524729326	4.219978313900936e-11	NaN	NaN	NaN	25819.809164823437	4.657714757618949e6	0.
-0.00003601996876091928	4.219978313900936e-11	NaN	NaN	NaN	28729.36130389121	5.480928626784541e6	0.
-0.00003222039399710923	4.219978313900936e-11	NaN	NaN	NaN	32412.171435350978	6.592204713005747e6	0.
-0.00004361911828853938	4.219978313900936e-11	NaN	NaN	NaN	23458.103880173217	4.0259122219974534e6	-3.564783255868282e-7
-0.00003966756053417693	4.219978313900936e-11	NaN	NaN	NaN	25924.498520110352	4.68648356335365e6	0.
-0.00003586798577036688	4.219978313900936e-11	NaN	NaN	NaN	28859.9435623357	5.519016913383251e6	0.
-0.000032068411006556824	4.219978313900936e-11	NaN	NaN	NaN	32580.15005108935	6.644712249993706e6	0.
-0.000043467135297986975	4.219978313900936e-11	NaN	NaN	NaN	23544.046953510642	4.0483211947808824e6	-1.9115650785218302e-7
-0.00003951557754362453	4.219978313900936e-11	NaN	NaN	NaN	26030.065371675002	4.715558162371217e6	0.
-0.00003571600277981447	4.219978313900936e-11	NaN	NaN	NaN	28991.762152540257	5.557566133980862e6	0.
-0.000031916428016004425	4.219978313900936e-11	NaN	NaN	NaN	32749.961834248494	6.697954179625685e6	0.
-0.000043315152307434576	4.219978313900936e-11	NaN	NaN	NaN	23630.637332489045	4.0709445530467494e6	0.
-0.00003936359455307212	4.219978313900936e-11	NaN	NaN	NaN	26136.52111819517	4.744943607942509e6	0.
-0.000035564019789262074	4.219978313900936e-11	NaN	NaN	NaN	29124.835348239118	5.596579278213454e6	-4.7575030157729693e-7
-0.000031764445025452026	4.219978313900936e-11	NaN	NaN	NaN	32921.63833984993	6.751943442479208e6	0.
-0.00004316316931688218	4.219978313900936e-11	NaN	NaN	NaN	23717.882532166583	4.0937835449138395e6	0.
-0.00003921161156251972	4.219978313900936e-11	NaN	NaN	NaN	26243.877362087107	4.774644096719233e6	0.
-0.00003541203679870967	4.219978313900936e-11	NaN	NaN	NaN	29259.18179729773	5.6360703530635405e6	0.
-0.00003161246203489962	4.219978313900936e-11	NaN	NaN	NaN	33095.21188222523	6.806697483948898e6	0.
-0.00004301118632632977	4.219978313900936e-11	NaN	NaN	NaN	23805.790187052542	4.116841835272383e6	-4.019460169785811e-7
-0.00003905962857196732	4.219978313900936e-11	NaN	NaN	NaN	26352.145914195255	4.804665537847457e6	0.
-0.00003526005380815727	4.219978313900936e-11	NaN	NaN	NaN	29394.82053163413	5.676046561194897e6	0.
-0.00003146047904434722	4.219978313900936e-11	NaN	NaN	NaN	33270.71555886458	6.8622316472969875e6	0.
-0.00004285920333577737	4.219978313900936e-11	NaN	NaN	NaN	23894.36805354111	4.140123799755952e6	0.
-0.00003890764558141492	4.219978313900936e-11	NaN	NaN	NaN	26461.338798614564	4.835012768910495e6	0.
-0.00003510807081760487	4.219978313900936e-11	NaN	NaN	NaN	29531.77097746606	5.71651162247956e6	-4.210945636719579e-7
-0.000031308496053794814	4.219978313900936e-11	NaN	NaN	NaN	33448.18327520025	6.918562497413717e6	0.
-0.000042707220345224966	4.219978313900936e-11	NaN	NaN	NaN	23983.62401240727	4.1636311240062276e6	0.
-0.00003875566259086252	4.219978313900936e-11	NaN	NaN	NaN	26571.468257650926	4.865689631070515e6	0.
-0.00003495608782705246	4.219978313900936e-11	NaN	NaN	NaN	29670.052965897838	5.757481498127799e6	0.
-0.000031156513063242415	4.219978313900936e-11	NaN	NaN	NaN	33627.64977036839	6.975705542959056e6	0.
-0.000042555237354672566	4.219978313900936e-11	NaN	NaN	NaN	24073.56607136381	4.187368252506237e6	0.
-0.00003860367960031011	4.219978313900936e-11	NaN	NaN	NaN	26682.546756924105	4.896702767312143e6	0.
-0.000034804104836500064	4.219978313900936e-11	NaN	NaN	NaN	29809.686743859544	5.798961255403248e6	0.
-0.00003100453007269001	4.219978313900936e-11	NaN	NaN	NaN	33809.15064399639	7.033679359567979e6	0.
-0.00004240325436412017	4.219978313900936e-11	NaN	NaN	NaN	24164.202367684196	4.211335073798816e6	0.
-0.00003845169660975771	4.219978313900936e-11	NaN	NaN	NaN	26794.58699061737	4.928057136051369e6	0.
-0.00003465212184594766	4.219978313900936e-11	NaN	NaN	NaN	29950.69298541232	5.840960739640007e6	0.
-0.00003085254708213761	4.219978313900936e-11	NaN	NaN	NaN	33992.72238406448	7.092501757871381e6	0.
