# Filename	binding_0\32fa77a3-0d01-4252-ac63-850fc721a10b.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:36:14
# Dir	-1
# field	3.617124269057945e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.617124269057945e-11	NaN	NaN	NaN	-21563.401740832178	3.4951089559626533e6	0.
-0.00004164333941135815	3.617124269057945e-11	NaN	NaN	NaN	-23532.43671228235	3.979884797881067e6	0.
-0.0000378437646475481	3.617124269057945e-11	NaN	NaN	NaN	-25788.764638590124	4.559036795634016e6	0.
-0.000034044189883738054	3.617124269057945e-11	NaN	NaN	NaN	-28509.984305221238	5.288981637779938e6	0.
-0.000045442914175168206	3.617124269057945e-11	NaN	NaN	NaN	-21633.122905817156	3.5119325019754423e6	0.
-0.00004149135642080575	3.617124269057945e-11	NaN	NaN	NaN	-23615.2329971682	4.0006992056572437e6	0.
-0.0000376917816569957	3.617124269057945e-11	NaN	NaN	NaN	-25887.838339997914	4.585019031459724e6	-9.204072324372252e-7
-0.00003389220689318565	3.617124269057945e-11	NaN	NaN	NaN	-28630.48339632228	5.322062971389696e6	-5.54654854914977e-7
-0.0000452909311846158	3.617124269057945e-11	NaN	NaN	NaN	-21703.28881609644	3.5288904572693724e6	0.
-0.00004133937343025335	3.617124269057945e-11	NaN	NaN	NaN	-23698.602317373156	4.0216920558737773e6	0.
-0.0000375397986664433	3.617124269057945e-11	NaN	NaN	NaN	-25987.657985383474	4.611246983304555e6	0.
-0.00003374022390263325	3.617124269057945e-11	NaN	NaN	NaN	-28751.975704429566	5.355481721952428e6	-4.6276902071619214e-7
-0.0000451389481940634	3.617124269057945e-11	NaN	NaN	NaN	-21773.903667587143	3.5459801579393516e6	0.
-0.000041187390439700946	3.617124269057945e-11	NaN	NaN	NaN	-23782.550520464054	4.0428657339934134e6	0.
-0.0000373878156758909	3.617124269057945e-11	NaN	NaN	NaN	-26088.231823039896	4.637718260533162e6	-2.3368695867364798e-7
-0.00003358824091208085	3.617124269057945e-11	NaN	NaN	NaN	-28874.4731887005	5.389241181455767e6	0.
-0.000044986965203511	3.617124269057945e-11	NaN	NaN	NaN	-21844.971708209465	3.56320753052371e6	0.
-0.00004103540744914855	3.617124269057945e-11	NaN	NaN	NaN	-23867.083532129167	4.064221885164579e6	0.
-0.00003723583268533849	3.617124269057945e-11	NaN	NaN	NaN	-26189.568220139245	4.664438354998974e6	-2.3363150358763417e-7
-0.000033436257921528444	3.617124269057945e-11	NaN	NaN	NaN	-28997.987994842875	5.423345895835709e6	0.
-0.000044834982212958595	3.617124269057945e-11	NaN	NaN	NaN	-21916.497238678672	3.580572175461614e6	0.
-0.00004088342445859614	3.617124269057945e-11	NaN	NaN	NaN	-23952.207357457166	4.0857623232494486e6	0.
-0.00003708384969478609	3.617124269057945e-11	NaN	NaN	NaN	-26291.675664821567	4.69140966141418e6	-3.358507269040373e-7
-0.000033284274930976045	3.617124269057945e-11	NaN	NaN	NaN	-29122.53245863551	5.457800954209082e6	0.
-0.000044682999222406196	3.617124269057945e-11	NaN	NaN	NaN	-21988.484613312878	3.598076057391661e6	0.
-0.00004073144146804374	3.617124269057945e-11	NaN	NaN	NaN	-24037.928082240524	4.1074900574185704e6	0.
-0.000036931866704233694	3.617124269057945e-11	NaN	NaN	NaN	-26394.562768325948	4.718638600546798e6	0.
-0.00003313229194042364	3.617124269057945e-11	NaN	NaN	NaN	-29248.119109526197	5.492610904986216e6	0.
-0.00004453101623185379	3.617124269057945e-11	NaN	NaN	NaN	-22060.93824085418	3.6157202818412837e6	0.
-0.00004057945847749134	3.617124269057945e-11	NaN	NaN	NaN	-24124.25187430402	4.129407342951026e6	0.
-0.00003677988371368129	3.617124269057945e-11	NaN	NaN	NaN	-26498.23826716553	4.746119499152475e6	0.
-0.00003298030894987124	3.617124269057945e-11	NaN	NaN	NaN	-29374.76067430792	5.527781156633056e6	0.
-0.00004437903324130139	3.617124269057945e-11	NaN	NaN	NaN	-22133.862585305556	3.6335069189813747e6	0.
-0.00004042747548693894	3.617124269057945e-11	NaN	NaN	NaN	-24211.18498485873	4.1515153706110357e6	-2.418755842445812e-7
-0.00003662790072312889	3.617124269057945e-11	NaN	NaN	NaN	-26602.71102534764	4.773864486706705e6	0.
-0.000032828325959318834	3.617124269057945e-11	NaN	NaN	NaN	-29502.47008087566	5.563317231973886e6	0.
-0.000044227050250748985	3.617124269057945e-11	NaN	NaN	NaN	-22207.26216678198	3.6514371882959856e6	0.
-0.00004027549249638654	3.617124269057945e-11	NaN	NaN	NaN	-24298.733749882347	4.17381829578916e6	0.
-0.00003647591773257648	3.617124269057945e-11	NaN	NaN	NaN	-26707.990036638916	4.801874154392009e6	0.
-0.000032676342968766434	3.617124269057945e-11	NaN	NaN	NaN	-29631.26046206532	5.599222912361781e6	0.
-0.000044075067260196586	3.617124269057945e-11	NaN	NaN	NaN	-22281.14156237787	3.669512838382822e6	0.
-0.00004012350950583413	3.617124269057945e-11	NaN	NaN	NaN	-24386.904591527014	4.196318422502997e6	0.
-0.00003632393474202408	3.617124269057945e-11	NaN	NaN	NaN	-26814.08442687827	4.830152699268036e6	0.
-0.000032524359978214035	3.617124269057945e-11	NaN	NaN	NaN	-29761.145159577907	5.635504951671304e6	0.
-0.000043923084269644186	3.617124269057945e-11	NaN	NaN	NaN	-22355.505407049834	3.687734811471204e6	-2.389816365188512e-7
-0.00003997152651528173	3.617124269057945e-11	NaN	NaN	NaN	-24475.704019552755	4.219014127449006e6	0.
-0.000036171951751471684	3.617124269057945e-11	NaN	NaN	NaN	-26921.003456337265	4.8586978353729e6	-2.586114187542149e-7
-0.00003237237698766163	3.617124269057945e-11	NaN	NaN	NaN	-29892.137727989157	5.672167745985605e6	0.
-0.00004377110127909178	3.617124269057945e-11	NaN	NaN	NaN	-22430.358394515326	3.7061062617212003e6	0.
-0.000039819543524729326	3.617124269057945e-11	NaN	NaN	NaN	-24565.138632790957	4.241911965841312e6	0.
-0.00003601996876091928	3.617124269057945e-11	NaN	NaN	NaN	-27028.756522129555	4.887521918765534e6	0.
-0.00003222039399710923	3.617124269057945e-11	NaN	NaN	NaN	-30024.25193884874	5.709217417126477e6	0.
-0.00004361911828853938	3.617124269057945e-11	NaN	NaN	NaN	-22505.705278168927	3.7246278629261646e6	0.
-0.00003966756053417693	3.617124269057945e-11	NaN	NaN	NaN	-24655.215120635025	4.265013430179799e6	0.
-0.00003586798577036688	3.617124269057945e-11	NaN	NaN	NaN	-27137.35316067113	4.916623136124527e6	-8.997680736398599e-7
-0.000032068411006556824	3.617124269057945e-11	NaN	NaN	NaN	-30157.501784869655	5.746657506402855e6	-4.2251530661882143e-7
-0.000043467135297986975	3.617124269057945e-11	NaN	NaN	NaN	-22581.550872013322	3.7433009749845914e6	0.
-0.00003951557754362453	3.617124269057945e-11	NaN	NaN	NaN	-24745.940264560817	4.288320040393626e6	-2.0125413595918823e-7
-0.00003571600277981447	3.617124269057945e-11	NaN	NaN	NaN	-27246.80305019081	4.946008117711046e6	0.
-0.000031916428016004425	3.617124269057945e-11	NaN	NaN	NaN	-30291.901484210764	5.784497350564638e6	0.
-0.000043315152307434576	3.617124269057945e-11	NaN	NaN	NaN	-22657.90005160975	3.762128024930018e6	0.
-0.00003936359455307212	3.617124269057945e-11	NaN	NaN	NaN	-24837.320939676683	4.311836405843823e6	0.
-0.000035564019789262074	3.617124269057945e-11	NaN	NaN	NaN	-27357.11601329494	4.975678782423719e6	0.
-0.000031764445025452026	3.617124269057945e-11	NaN	NaN	NaN	-30427.46548485518	5.822740694316738e6	0.
