# Filename	binding_0\33d4984a-1f49-425b-b673-311105d0c35d.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:51:35
# Dir	1
# field	3.3254206989726275e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.3254206989726275e-11	NaN	NaN	NaN	22294.803623656655	3.7206695468820073e6	-2.8618858900410405e-7
-0.00004164333941135815	3.3254206989726275e-11	NaN	NaN	NaN	24492.478211893744	4.289737662050221e6	-4.042953034691159e-7
-0.0000378437646475481	3.3254206989726275e-11	NaN	NaN	NaN	27068.265197042016	4.992360353853218e6	0.
-0.000034044189883738054	3.3254206989726275e-11	NaN	NaN	NaN	30268.51084696622	5.917252897376131e6	-3.588665465949709e-7
-0.000045442914175168206	3.3254206989726275e-11	NaN	NaN	NaN	22371.887770797814	3.7401463251620024e6	0.
-0.00004149135642080575	3.3254206989726275e-11	NaN	NaN	NaN	24585.86772341648	4.314547814664026e6	0.
-0.0000376917816569957	3.3254206989726275e-11	NaN	NaN	NaN	27182.898222759108	5.024506099826118e6	0.
-0.00003389220689318565	3.3254206989726275e-11	NaN	NaN	NaN	30412.837130579992	5.960295212110955e6	0.
-0.0000452909311846158	3.3254206989726275e-11	NaN	NaN	NaN	22449.515920431597	3.7597948373854393e6	-4.248034091752556e-7
-0.00004133937343025335	3.3254206989726275e-11	NaN	NaN	NaN	24679.986927003425	4.339602209948468e6	0.
-0.0000375397986664433	3.3254206989726275e-11	NaN	NaN	NaN	27298.531087783387	5.057008604370675e6	0.
-0.00003374022390263325	3.3254206989726275e-11	NaN	NaN	NaN	30558.590683153518	6.003877683952964e6	0.
-0.0000451389481940634	3.3254206989726275e-11	NaN	NaN	NaN	22527.693949262506	3.7796215472270693e6	0.
-0.000041187390439700946	3.3254206989726275e-11	NaN	NaN	NaN	24774.8445836149	4.364905671809499e6	0.
-0.0000373878156758909	3.3254206989726275e-11	NaN	NaN	NaN	27415.17725902686	5.0898717342592385e6	0.
-0.00003358824091208085	3.3254206989726275e-11	NaN	NaN	NaN	30705.79344939921	6.0480104513760265e6	0.
-0.000044986965203511	3.3254206989726275e-11	NaN	NaN	NaN	22606.427820344386	3.799623201015724e6	0.
-0.00004103540744914855	3.3254206989726275e-11	NaN	NaN	NaN	24870.44959780971	4.39045955747562e6	-2.6997731991326346e-7
-0.00003723583268533849	3.3254206989726275e-11	NaN	NaN	NaN	27532.85045218049	5.123096225079713e6	0.
-0.000033436257921528444	3.3254206989726275e-11	NaN	NaN	NaN	30854.467839713856	6.092704323160908e6	0.
-0.000044834982212958595	3.3254206989726275e-11	NaN	NaN	NaN	22685.72358469735	3.8198055151653523e6	-3.330543316275799e-7
-0.00004088342445859614	3.3254206989726275e-11	NaN	NaN	NaN	24966.811020755023	4.416270589527324e6	0.
-0.00003708384969478609	3.3254206989726275e-11	NaN	NaN	NaN	27651.564637616146	5.156696829905886e6	0.
-0.000033284274930976045	3.3254206989726275e-11	NaN	NaN	NaN	31004.63674294011	6.1379700375630455e6	0.
-0.000044682999222406196	3.3254206989726275e-11	NaN	NaN	NaN	22765.587382961392	3.84017088631482e6	-5.058279827645248e-7
-0.00004073144146804374	3.3254206989726275e-11	NaN	NaN	NaN	25063.938053313952	4.442340936108702e6	0.
-0.000036931866704233694	3.3254206989726275e-11	NaN	NaN	NaN	27771.334046460524	5.190676550850338e6	0.
-0.00003313229194042364	3.3254206989726275e-11	NaN	NaN	NaN	31156.323539560522	6.183817715417423e6	0.
-0.00004453101623185379	3.3254206989726275e-11	NaN	NaN	NaN	22846.025447088807	3.860721059409283e6	-4.210057056331537e-7
-0.00004057945847749134	3.3254206989726275e-11	NaN	NaN	NaN	25161.84004921153	4.468672808982154e6	-1.9889770309055253e-7
-0.00003677988371368129	3.3254206989726275e-11	NaN	NaN	NaN	27892.17317684756	5.225039899328752e6	0.
-0.00003298030894987124	3.3254206989726275e-11	NaN	NaN	NaN	31309.552115342074	6.230257386581397e6	0.
-0.00004437903324130139	3.3254206989726275e-11	NaN	NaN	NaN	22927.04410207493	3.881461840289215e6	0.
