# Filename	binding_0\3b5620e8-26ca-4fe2-98ae-eee3f9eef581.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:39:48
# Dir	-1
# field	4.9784075961227636e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.9784075961227636e-11	NaN	NaN	NaN	-21430.80183969326	3.4552110640383027e6	0.
-0.00004164333941135815	4.9784075961227636e-11	NaN	NaN	NaN	-23361.022050627358	3.9261688897239324e6	0.
-0.0000378437646475481	4.9784075961227636e-11	NaN	NaN	NaN	-25564.673597020745	4.485798470316341e6	0.
-0.000045442914175168206	4.9784075961227636e-11	NaN	NaN	NaN	-21499.257225498048	3.471593449266775e6	0.
-0.00004149135642080575	4.9784075961227636e-11	NaN	NaN	NaN	-23442.043599140838	3.9463377637636126e6	0.
-0.0000376917816569957	4.9784075961227636e-11	NaN	NaN	NaN	-25661.22431603977	4.510829246724523e6	0.
-0.000034044189883738054	4.9784075961227636e-11	NaN	NaN	NaN	-28209.865183707996	5.186361379833462e6	0.
-0.0000452909311846158	4.9784075961227636e-11	NaN	NaN	NaN	-21568.141409787037	3.4881009852687363e6	-3.378729024979695e-7
-0.00004133937343025335	4.9784075961227636e-11	NaN	NaN	NaN	-23523.613987629888	3.9666759142169836e6	-2.99776369171674e-7
-0.0000375397986664433	4.9784075961227636e-11	NaN	NaN	NaN	-25758.48368281916	4.536086416605161e6	0.
-0.00003389220689318565	4.9784075961227636e-11	NaN	NaN	NaN	-28326.66688389738	5.217984182140871e6	0.
-0.0000451389481940634	4.9784075961227636e-11	NaN	NaN	NaN	-21637.45833999181	3.5047383495676434e6	0.
-0.000041187390439700946	4.9784075961227636e-11	NaN	NaN	NaN	-23605.738656664584	3.987186230144321e6	0.
-0.0000373878156758909	4.9784075961227636e-11	NaN	NaN	NaN	-25856.459267487702	4.561574544118638e6	0.
-0.00003374022390263325	4.9784075961227636e-11	NaN	NaN	NaN	-28444.402223466608	5.249916555414989e6	0.
-0.000044986965203511	4.9784075961227636e-11	NaN	NaN	NaN	-21707.212010951906	3.521504320014511e6	-2.3299933558290677e-7
-0.00004103540744914855	4.9784075961227636e-11	NaN	NaN	NaN	-23688.42311683353	4.007867702818282e6	0.
-0.00003723583268533849	4.9784075961227636e-11	NaN	NaN	NaN	-25955.158744507655	4.587290637887832e6	0.
-0.00003358824091208085	4.9784075961227636e-11	NaN	NaN	NaN	-28563.08198566446	5.282163777243767e6	0.
-0.000044834982212958595	4.9784075961227636e-11	NaN	NaN	NaN	-21777.406465609038	3.5384017674693787e6	-4.895434040938426e-7
-0.00004088342445859614	4.9784075961227636e-11	NaN	NaN	NaN	-23771.67294983686	4.0287237964619994e6	0.
-0.00003708384969478609	4.9784075961227636e-11	NaN	NaN	NaN	-26054.589894406294	4.61324336197312e6	0.
-0.000033436257921528444	4.9784075961227636e-11	NaN	NaN	NaN	-28682.71711304073	5.314728009929642e6	0.
-0.000044682999222406196	4.9784075961227636e-11	NaN	NaN	NaN	-21848.04579571451	3.5554334321632255e6	0.
-0.00004073144146804374	4.9784075961227636e-11	NaN	NaN	NaN	-23855.493809599506	4.049756387528946e6	0.
-0.000036931866704233694	4.9784075961227636e-11	NaN	NaN	NaN	-26154.760605539803	4.639433677181622e6	0.
-0.000033284274930976045	4.9784075961227636e-11	NaN	NaN	NaN	-28803.318710248408	5.347614856854284e6	0.
-0.00004453101623185379	4.9784075961227636e-11	NaN	NaN	NaN	-21919.134142547715	3.5725958417273886e6	0.
-0.00004057945847749134	4.9784075961227636e-11	NaN	NaN	NaN	-23939.89142340454	4.0709673949121446e6	0.
-0.00003677988371368129	4.9784075961227636e-11	NaN	NaN	NaN	-26255.67887589127	4.665863869875829e6	0.
-0.00003313229194042364	4.9784075961227636e-11	NaN	NaN	NaN	-28924.898046901082	5.380829213223056e6	0.
-0.00004437903324130139	4.9784075961227636e-11	NaN	NaN	NaN	-21990.675697647515	3.5898946549661187e6	0.
-0.00004042747548693894	4.9784075961227636e-11	NaN	NaN	NaN	-24024.87159304728	4.092359930379997e6	0.
-0.00003662790072312889	4.9784075961227636e-11	NaN	NaN	NaN	-26357.35281490297	4.692537568189534e6	0.
-0.00003298030894987124	4.9784075961227636e-11	NaN	NaN	NaN	-29047.466560486988	5.41437426243839e6	0.
-0.000044227050250748985	4.9784075961227636e-11	NaN	NaN	NaN	-22062.67470355605	3.607329765782604e6	-2.3118151797931258e-7
-0.00004027549249638654	4.9784075961227636e-11	NaN	NaN	NaN	-24110.4401960098	4.1139335257452116e6	0.
-0.00003647591773257648	4.9784075961227636e-11	NaN	NaN	NaN	-26459.79064534362	4.719458294078485e6	0.
-0.000032828325959318834	4.9784075961227636e-11	NaN	NaN	NaN	-29171.03585934159	5.448254084299256e6	0.
-0.000044075067260196586	4.9784075961227636e-11	NaN	NaN	NaN	-22135.13545457517	3.624903560779377e6	-2.5366495840601624e-7
-0.00004012350950583413	4.9784075961227636e-11	NaN	NaN	NaN	-24196.60318665806	4.135692725888967e6	0.
-0.00003632393474202408	4.9784075961227636e-11	NaN	NaN	NaN	-26563.00070521126	4.74662808810474e6	0.
-0.000032676342968766434	4.9784075961227636e-11	NaN	NaN	NaN	-29295.617725679225	5.482475123973744e6	0.
-0.000043923084269644186	4.9784075961227636e-11	NaN	NaN	NaN	-22208.062297536646	3.642617048668735e6	-1.730157435360033e-7
-0.00003997152651528173	4.9784075961227636e-11	NaN	NaN	NaN	-24283.366597459557	4.1576386316731693e6	0.
-0.000036171951751471684	4.9784075961227636e-11	NaN	NaN	NaN	-26666.991449673187	4.774049875377794e6	0.
-0.000032524359978214035	4.9784075961227636e-11	NaN	NaN	NaN	-29421.224118684702	5.517040149148917e6	0.
-0.00004377110127909178	4.9784075961227636e-11	NaN	NaN	NaN	-22281.45963258488	3.660472616621292e6	0.
-0.000039819543524729326	4.9784075961227636e-11	NaN	NaN	NaN	-24370.73654022442	4.1797738688985524e6	0.
-0.00003601996876091928	4.9784075961227636e-11	NaN	NaN	NaN	-26771.77145304294	4.801728340546343e6	0.
-0.00003237237698766163	4.9784075961227636e-11	NaN	NaN	NaN	-29547.867177667726	5.551958837053708e6	0.
-0.00004361911828853938	4.9784075961227636e-11	NaN	NaN	NaN	-22355.33191397398	3.6784698328054184e6	0.
-0.00003966756053417693	4.9784075961227636e-11	NaN	NaN	NaN	-24458.71920736853	4.202100540942541e6	0.
-0.00003586798577036688	4.9784075961227636e-11	NaN	NaN	NaN	-26877.349410795043	4.829664999015108e6	0.
-0.00003222039399710923	4.9784075961227636e-11	NaN	NaN	NaN	-29675.559225279445	5.587222982588256e6	0.
-0.000043467135297986975	4.9784075961227636e-11	NaN	NaN	NaN	-22429.68365087805	3.6966114488824774e6	0.
-0.00003951557754362453	4.9784075961227636e-11	NaN	NaN	NaN	-24547.320873200326	4.224620691230457e6	0.
-0.00003571600277981447	4.9784075961227636e-11	NaN	NaN	NaN	-26983.734141619625	4.857864524485805e6	0.
-0.000032068411006556824	4.9784075961227636e-11	NaN	NaN	NaN	-29804.312770794295	5.622850135823719e6	0.
-0.000043315152307434576	4.9784075961227636e-11	NaN	NaN	NaN	-22504.519408216103	3.71489902601608e6	0.
-0.00003936359455307212	4.9784075961227636e-11	NaN	NaN	NaN	-24636.547895231255	4.247337255914775e6	0.
-0.000035564019789262074	4.9784075961227636e-11	NaN	NaN	NaN	-27090.934589515648	4.88632992236391e6	0.
-0.000031916428016004425	4.9784075961227636e-11	NaN	NaN	NaN	-29934.140513456932	5.658840849852011e6	0.
-0.00004316316931688218	4.9784075961227636e-11	NaN	NaN	NaN	-22579.843807491256	3.733334340110161e6	0.
