# Filename	binding_0\3b90e8cb-ba5a-4547-aac8-dc5a48b15c40.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:31:38
# Dir	-1
# field	1.8474559438736817e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.8474559438736817e-11	NaN	NaN	NaN	-21740.761860158505	3.5489461060151625e6	0.
-0.00004164333941135815	1.8474559438736817e-11	NaN	NaN	NaN	-23762.931992340575	4.0528716684911856e6	0.
-0.0000378437646475481	1.8474559438736817e-11	NaN	NaN	NaN	-26092.081220040953	4.659401302529415e6	0.
-0.000034044189883738054	1.8474559438736817e-11	NaN	NaN	NaN	-28919.730234568724	5.431203901411966e6	0.
-0.000045442914175168206	1.8474559438736817e-11	NaN	NaN	NaN	-21812.208390765973	3.566378221542037e6	-1.0365641763285851e-7
-0.00004149135642080575	1.8474559438736817e-11	NaN	NaN	NaN	-23848.16872701918	4.074584026891962e6	0.
-0.0000376917816569957	1.8474559438736817e-11	NaN	NaN	NaN	-26194.662252222643	4.686733533380851e6	0.
-0.00003389220689318565	1.8474559438736817e-11	NaN	NaN	NaN	-29045.443017592766	5.466387819539465e6	0.
-0.0000452909311846158	1.8474559438736817e-11	NaN	NaN	NaN	-21884.121926307547	3.583953371091891e6	0.
-0.00004133937343025335	1.8474559438736817e-11	NaN	NaN	NaN	-23934.01271827303	4.096488788308911e6	0.
-0.0000375397986664433	1.8474559438736817e-11	NaN	NaN	NaN	-26298.04284699334	4.714330718722405e6	0.
-0.00003374022390263325	1.8474559438736817e-11	NaN	NaN	NaN	-29172.236516817124	5.5019393807687e6	0.
-0.0000451389481940634	1.8474559438736817e-11	NaN	NaN	NaN	-21956.507019704484	3.6016708032683167e6	0.
-0.000041187390439700946	1.8474559438736817e-11	NaN	NaN	NaN	-24020.470409360638	4.1185881296568722e6	-1.7330241351285205e-7
-0.0000373878156758909	1.8474559438736817e-11	NaN	NaN	NaN	-26402.232268328702	4.742196532261651e6	0.
-0.00003358824091208085	1.8474559438736817e-11	NaN	NaN	NaN	-29300.12450641311	5.537878827129824e6	0.
-0.000044986965203511	1.8474559438736817e-11	NaN	NaN	NaN	-22029.36828271208	3.6195334240017706e6	-5.776345703521637e-7
-0.00004103540744914855	1.8474559438736817e-11	NaN	NaN	NaN	-24107.548334014875	4.1408854574793475e6	0.
-0.00003723583268533849	1.8474559438736817e-11	NaN	NaN	NaN	-26507.239921960416	4.770333884841289e6	-2.1779631446468198e-7
-0.000033436257921528444	1.8474559438736817e-11	NaN	NaN	NaN	-29429.12099174718	5.574199257320721e6	0.
