# Filename	binding_0\3bf6074c-e845-48c6-a120-b0f6cf9967c7.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:31:10
# Dir	-1
# field	1.672433801822491e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.672433801822491e-11	NaN	NaN	NaN	-21758.620628429326	3.554397199595965e6	0.
-0.00004164333941135815	1.672433801822491e-11	NaN	NaN	NaN	-23786.219999659577	4.060294201804389e6	-3.127388308406512e-7
-0.0000378437646475481	1.672433801822491e-11	NaN	NaN	NaN	-26122.856956914024	4.669664663169224e6	-3.281202928764072e-7
-0.000045442914175168206	1.672433801822491e-11	NaN	NaN	NaN	-21830.24296981536	3.571891822373071e6	0.
-0.00004149135642080575	1.672433801822491e-11	NaN	NaN	NaN	-23871.7068124343	4.0820995426557884e6	0.
-0.0000376917816569957	1.672433801822491e-11	NaN	NaN	NaN	-26225.79992043584	4.697138344831835e6	0.
-0.000034044189883738054	1.672433801822491e-11	NaN	NaN	NaN	-28961.538473402106	5.445854534168128e6	0.
-0.0000452909311846158	1.672433801822491e-11	NaN	NaN	NaN	-21902.3346183751	3.5895295429507876e6	-1.7653242821949194e-7
-0.00004133937343025335	1.672433801822491e-11	NaN	NaN	NaN	-23957.804451035827	4.104098340425616e6	-5.540417672813669e-7
-0.0000375397986664433	1.672433801822491e-11	NaN	NaN	NaN	-26329.548097735667	4.724881957906347e6	0.
-0.00003389220689318565	1.672433801822491e-11	NaN	NaN	NaN	-29087.79426690907	5.481255859297942e6	0.
-0.0000451389481940634	1.672433801822491e-11	NaN	NaN	NaN	-21974.900164621933	3.6073126693399646e6	0.
-0.000041187390439700946	1.672433801822491e-11	NaN	NaN	NaN	-24044.519422189504	4.1262943237017794e6	0.
-0.0000373878156758909	1.672433801822491e-11	NaN	NaN	NaN	-26434.11086259911	4.752888726856967e6	-4.274063301342166e-7
-0.00003374022390263325	1.672433801822491e-11	NaN	NaN	NaN	-29215.140126551047	5.5170380478630215e6	0.
-0.000044986965203511	1.672433801822491e-11	NaN	NaN	NaN	-22047.944258637915	3.6252403817008343e6	0.
-0.00004103540744914855	1.672433801822491e-11	NaN	NaN	NaN	-24131.85832444623	4.1486885933306874e6	0.
-0.00003723583268533849	1.672433801822491e-11	NaN	NaN	NaN	-26539.49773311664	4.781174426880087e6	-2.9673327953068427e-7
