# Filename	binding_0\3d5d4de7-9b65-45ab-b7f5-3ef8382d2f8e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:38:50
# Dir	-1
# field	4.608916407348027e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.608916407348027e-11	NaN	NaN	NaN	-21466.47401116311	3.4659154724668623e6	0.
-0.00004164333941135815	4.608916407348027e-11	NaN	NaN	NaN	-23407.06097240158	3.9405481653777626e6	0.
-0.0000378437646475481	4.608916407348027e-11	NaN	NaN	NaN	-25624.739177169846	4.505352562458784e6	0.
-0.000034044189883738054	4.608916407348027e-11	NaN	NaN	NaN	-28290.09820583089	5.213668746875494e6	0.
-0.000045442914175168206	4.608916407348027e-11	NaN	NaN	NaN	-21535.26791130057	3.4824139942535646e6	-2.159126864071499e-7
-0.00004149135642080575	4.608916407348027e-11	NaN	NaN	NaN	-23488.55586679633	3.9608889850256136e6	-3.5779619202422503e-7
-0.0000376917816569957	4.608916407348027e-11	NaN	NaN	NaN	-25721.960569546103	4.530636359292851e6	0.
-0.00003389220689318565	4.608916407348027e-11	NaN	NaN	NaN	-28407.878516433673	5.245675028491785e6	0.
-0.0000452909311846158	4.608916407348027e-11	NaN	NaN	NaN	-21604.494843007793	3.4990427198437997e6	0.
-0.00004133937343025335	4.608916407348027e-11	NaN	NaN	NaN	-23570.60599778552	3.981402256096159e6	0.
-0.0000375397986664433	4.608916407348027e-11	NaN	NaN	NaN	-25819.90042057842	4.556149771746075e6	0.
-0.00003374022390263325	4.608916407348027e-11	NaN	NaN	NaN	-28526.60803687051	5.277998450187329e6	0.
-0.0000451389481940634	4.608916407348027e-11	NaN	NaN	NaN	-21674.158819080465	3.515800484518149e6	0.
-0.000041187390439700946	4.608916407348027e-11	NaN	NaN	NaN	-23653.216912386135	4.002088205855417e6	0.
-0.0000373878156758909	4.608916407348027e-11	NaN	NaN	NaN	-25918.56647651024	4.581896878529548e6	0.
-0.00003358824091208085	4.608916407348027e-11	NaN	NaN	NaN	-28646.297852959175	5.310642827017408e6	0.
-0.000044986965203511	4.608916407348027e-11	NaN	NaN	NaN	-21744.263900917515	3.5326898035899755e6	0.
-0.00004103540744914855	4.608916407348027e-11	NaN	NaN	NaN	-23736.394229725316	4.022949067738117e6	0.
-0.00003723583268533849	4.608916407348027e-11	NaN	NaN	NaN	-26017.96659163766	4.607879986254484e6	0.
-0.000033436257921528444	4.608916407348027e-11	NaN	NaN	NaN	-28766.959216698502	5.34361233261426e6	0.
-0.000044834982212958595	4.608916407348027e-11	NaN	NaN	NaN	-21814.81419924119	3.5497115210007057e6	0.
-0.00004088342445859614	4.608916407348027e-11	NaN	NaN	NaN	-23820.14364218118	4.0439858103561476e6	-4.742102337131001e-7
-0.00003708384969478609	4.608916407348027e-11	NaN	NaN	NaN	-26118.108730130527	4.634101810105779e6	0.
-0.000033284274930976045	4.608916407348027e-11	NaN	NaN	NaN	-28888.603549247644	5.376911516788088e6	0.
-0.000044682999222406196	4.608916407348027e-11	NaN	NaN	NaN	-21885.813874829768	3.566867864359689e6	0.
-0.00004073144146804374	4.608916407348027e-11	NaN	NaN	NaN	-23904.470916544124	4.0652034977527857e6	0.
-0.000036931866704233694	4.608916407348027e-11	NaN	NaN	NaN	-26219.0009678888	4.660565661080417e6	0.
-0.00003313229194042364	4.608916407348027e-11	NaN	NaN	NaN	-29011.242443966014	5.410544744455211e6	0.
-0.00004453101623185379	4.608916407348027e-11	NaN	NaN	NaN	-21957.267139262498	3.584159777381026e6	0.
-0.00004057945847749134	4.608916407348027e-11	NaN	NaN	NaN	-23989.381895200127	4.0866020965820695e6	0.
-0.00003677988371368129	4.608916407348027e-11	NaN	NaN	NaN	-26320.65149443481	4.687274285057714e6	0.
-0.00003298030894987124	4.608916407348027e-11	NaN	NaN	NaN	-29134.887669515385	5.444517008067785e6	0.
-0.00004437903324130139	4.608916407348027e-11	NaN	NaN	NaN	-22029.17825567806	3.601588384720893e6	0.
-0.00004042747548693894	4.608916407348027e-11	NaN	NaN	NaN	-24074.882497335064	4.10818486337192e6	0.
-0.00003662790072312889	4.608916407348027e-11	NaN	NaN	NaN	-26423.068614842698	4.714230974816137e6	0.
-0.000032828325959318834	4.608916407348027e-11	NaN	NaN	NaN	-29259.55117302504	5.478832325754833e6	0.
-0.000044227050250748985	4.608916407348027e-11	NaN	NaN	NaN	-22101.551539545995	3.619155547930865e6	0.
-0.00004027549249638654	4.608916407348027e-11	NaN	NaN	NaN	-24160.97872016197	4.129951706239826e6	0.
-0.00003647591773257648	4.608916407348027e-11	NaN	NaN	NaN	-26526.260751705377	4.7414387672408605e6	0.
-0.000032676342968766434	4.608916407348027e-11	NaN	NaN	NaN	-29385.245083322203	5.513495109746148e6	0.
-0.000044075067260196586	4.608916407348027e-11	NaN	NaN	NaN	-22174.391359451678	3.6368637827991573e6	0.
-0.00004012350950583413	4.608916407348027e-11	NaN	NaN	NaN	-24247.67664017114	4.1519069436064693e6	0.
-0.00003632393474202408	4.608916407348027e-11	NaN	NaN	NaN	-26630.2364471401	4.768900985255121e6	0.
-0.000032524359978214035	4.608916407348027e-11	NaN	NaN	NaN	-29511.981714228576	5.548511116981325e6	0.
-0.000043923084269644186	4.608916407348027e-11	NaN	NaN	NaN	-22247.702137895012	3.6547112163940975e6	-1.9847429977402922e-7
-0.00003997152651528173	4.608916407348027e-11	NaN	NaN	NaN	-24334.98241440298	4.1740528771680007e6	0.
-0.000036171951751471684	4.608916407348027e-11	NaN	NaN	NaN	-26735.00436483329	4.796620474377897e6	0.
-0.00003237237698766163	4.608916407348027e-11	NaN	NaN	NaN	-29639.773567924105	5.583884937811134e6	0.
-0.00004377110127909178	4.608916407348027e-11	NaN	NaN	NaN	-22321.488352103133	3.6727037174145686e6	0.
-0.000039819543524729326	4.608916407348027e-11	NaN	NaN	NaN	-24422.902281744944	4.196391465159312e6	0.
-0.00003601996876091928	4.608916407348027e-11	NaN	NaN	NaN	-26840.573292125788	4.824600972208944e6	0.
-0.00003222039399710923	4.608916407348027e-11	NaN	NaN	NaN	-29768.63333838048	5.619619846740046e6	0.
-0.00004361911828853938	4.608916407348027e-11	NaN	NaN	NaN	-22395.754534858155	3.6908409948028415e6	0.
-0.00003966756053417693	4.608916407348027e-11	NaN	NaN	NaN	-24511.44256425267	4.2189234190714825e6	0.
-0.00003586798577036688	4.608916407348027e-11	NaN	NaN	NaN	-26946.95214213885	4.852846342110655e6	0.
-0.000032068411006556824	4.608916407348027e-11	NaN	NaN	NaN	-29898.573914865534	5.655723801031448e6	0.
-0.000043467135297986975	4.608916407348027e-11	NaN	NaN	NaN	-22470.50527533785	3.709124007993686e6	0.
-0.00003951557754362453	4.608916407348027e-11	NaN	NaN	NaN	-24600.609668495792	4.241650691160311e6	0.
-0.00003571600277981447	4.608916407348027e-11	NaN	NaN	NaN	-27054.14995594231	4.881357683331912e6	0.
-0.000031916428016004425	4.608916407348027e-11	NaN	NaN	NaN	-30029.608385518826	5.692198530757313e6	0.
-0.000043315152307434576	4.608916407348027e-11	NaN	NaN	NaN	-22545.745219973178	3.7275549613915393e6	0.
-0.00003936359455307212	4.608916407348027e-11	NaN	NaN	NaN	-24690.410086929027	4.264578046601126e6	0.
-0.000035564019789262074	4.608916407348027e-11	NaN	NaN	NaN	-27162.17590476578	4.9101403852953e6	0.
-0.000031764445025452026	4.608916407348027e-11	NaN	NaN	NaN	-30161.750041002717	5.729051876739445e6	0.
-0.00004316316931688218	4.608916407348027e-11	NaN	NaN	NaN	-22621.479073319853	3.746135909307217e6	0.
-0.00003921161156251972	4.608916407348027e-11	NaN	NaN	NaN	-24780.850399289113	4.287707409250317e6	0.
-0.00003541203679870967	4.608916407348027e-11	NaN	NaN	NaN	-27271.039292253343	4.939197712721908e6	0.
-0.00003161246203489962	4.608916407348027e-11	NaN	NaN	NaN	-30295.012378227475	5.766287750572945e6	0.
-0.00004301118632632977	4.608916407348027e-11	NaN	NaN	NaN	-22697.71159894549	3.7648672524376144e6	-3.6128206396696777e-7
-0.00003905962857196732	4.608916407348027e-11	NaN	NaN	NaN	-24871.93727401796	4.311041133443969e6	0.
