# Filename	binding_0\4447f4a9-2e5b-4d20-bc16-70e42b4808b5.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:52:02
# Dir	1
# field	3.519889745696173e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.519889745696173e-11	NaN	NaN	NaN	22316.760076473223	3.727588485552851e6	0.
-0.00004164333941135815	3.519889745696173e-11	NaN	NaN	NaN	24521.702648429036	4.299416864145326e6	0.
-0.0000378437646475481	3.519889745696173e-11	NaN	NaN	NaN	27107.91414350144	5.006213157982539e6	0.
-0.000034044189883738054	3.519889745696173e-11	NaN	NaN	NaN	30324.3433242486	5.9379834325781735e6	-3.550000674388836e-7
-0.000045442914175168206	3.519889745696173e-11	NaN	NaN	NaN	22394.075651319654	3.7471495495109945e6	0.
-0.00004149135642080575	3.519889745696173e-11	NaN	NaN	NaN	24615.43289342482	4.324359236246949e6	0.
-0.0000376917816569957	3.519889745696173e-11	NaN	NaN	NaN	27223.062605327043	5.038570504140768e6	0.
-0.00003389220689318565	3.519889745696173e-11	NaN	NaN	NaN	30469.49123143656	5.981385736711329e6	0.
-0.0000452909311846158	3.519889745696173e-11	NaN	NaN	NaN	22471.93853071954	3.7668889580786387e6	0.
-0.00004133937343025335	3.519889745696173e-11	NaN	NaN	NaN	24709.898223426	4.349547809824034e6	0.
-0.0000375397986664433	3.519889745696173e-11	NaN	NaN	NaN	27339.22003573591	5.07128850827107e6	0.
-0.00003374022390263325	3.519889745696173e-11	NaN	NaN	NaN	30616.082963354536	6.02533769209848e6	0.
-0.0000451389481940634	3.519889745696173e-11	NaN	NaN	NaN	22550.354651165555	3.7867993988840557e6	0.
-0.000041187390439700946	3.519889745696173e-11	NaN	NaN	NaN	24805.10750801154	4.374988532237476e6	0.
-0.0000373878156758909	3.519889745696173e-11	NaN	NaN	NaN	27456.40010813417	5.104370219954847e6	0.
-0.00003358824091208085	3.519889745696173e-11	NaN	NaN	NaN	30764.140892816435	6.069846724723834e6	0.
-0.000044986965203511	3.519889745696173e-11	NaN	NaN	NaN	22629.33003681861	3.8068920842966493e6	0.
-0.00004103540744914855	3.519889745696173e-11	NaN	NaN	NaN	24901.069763030726	4.400685051929549e6	0.
-0.00003723583268533849	3.519889745696173e-11	NaN	NaN	NaN	27574.6167504311	5.137823175796004e6	0.
-0.000033436257921528444	3.519889745696173e-11	NaN	NaN	NaN	30913.68787194988	6.114926211230214e6	0.
-0.000044834982212958595	3.519889745696173e-11	NaN	NaN	NaN	22708.870801158588	3.827166234164874e6	0.
-0.00004088342445859614	3.519889745696173e-11	NaN	NaN	NaN	24997.794153691186	4.426637346816526e6	0.
-0.00003708384969478609	3.519889745696173e-11	NaN	NaN	NaN	27693.88415112979	5.171653474966199e6	-5.650297944793634e-7
-0.000033284274930976045	3.519889745696173e-11	NaN	NaN	NaN	31064.747245476457	6.16058657773987e6	0.
-0.000044682999222406196	3.519889745696173e-11	NaN	NaN	NaN	22788.9831486742	3.8476240024955343e6	-4.1939149061720406e-7
-0.00004073144146804374	3.519889745696173e-11	NaN	NaN	NaN	25095.289997726693	4.4528518121497305e6	0.
-0.000036931866704233694	3.519889745696173e-11	NaN	NaN	NaN	27814.216765597008	5.205867579197602e6	0.
-0.00003313229194042364	3.519889745696173e-11	NaN	NaN	NaN	31217.34286444794	6.206836673500771e6	-2.231683420510057e-7
-0.00004453101623185379	3.519889745696173e-11	NaN	NaN	NaN	22869.673376591007	3.8682699070878997e6	0.
-0.00004057945847749134	3.519889745696173e-11	NaN	NaN	NaN	25193.56676864739	4.479332464518593e6	0.
-0.00003677988371368129	3.519889745696173e-11	NaN	NaN	NaN	27935.6293225204	5.240470084839559e6	-2.5299227403833865e-7
-0.00003298030894987124	3.519889745696173e-11	NaN	NaN	NaN	31371.499100456862	6.253691334830233e6	0.
-0.00004437903324130139	3.519889745696173e-11	NaN	NaN	NaN	22950.947876640705	3.8891032087879577e6	0.
-0.00004042747548693894	3.519889745696173e-11	NaN	NaN	NaN	25292.634099075054	4.506082062527142e6	0.
-0.00003662790072312889	3.519889745696173e-11	NaN	NaN	NaN	28058.136830556257	5.275470086069483e6	0.
-0.000032828325959318834	3.519889745696173e-11	NaN	NaN	NaN	31527.24086034197	6.301157360537196e6	-2.749750613127902e-7
-0.000044227050250748985	3.519889745696173e-11	NaN	NaN	NaN	23032.813136870653	3.9101267813214036e6	0.
-0.00004027549249638654	3.519889745696173e-11	NaN	NaN	NaN	25392.50178416631	4.533105723695618e6	0.
-0.00003647591773257648	3.519889745696173e-11	NaN	NaN	NaN	28181.75458517879	5.310871671740107e6	0.
-0.000032676342968766434	3.519889745696173e-11	NaN	NaN	NaN	31684.593601406737	6.349251311918173e6	0.
