# Filename	binding_0\47ea6837-b566-4cdf-8a84-ed5883988ee9.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:29:11
# Dir	-1
# field	9.140045196006636e-12
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	9.140045196006636e-12	NaN	NaN	NaN	-21836.690357510055	3.5782924067985653e6	0.
-0.00004164333941135815	9.140045196006636e-12	NaN	NaN	NaN	-23888.19639580997	4.092904420864488e6	-1.4497639803376258e-7
-0.0000378437646475481	9.140045196006636e-12	NaN	NaN	NaN	-26257.909353572853	4.714882957650486e6	0.
-0.000034044189883738054	9.140045196006636e-12	NaN	NaN	NaN	-29145.52774665185	5.51063944206515e6	0.
-0.000045442914175168206	9.140045196006636e-12	NaN	NaN	NaN	-21909.085781431422	3.596062236316944e6	-1.1586241621702039e-7
-0.00004149135642080575	9.140045196006636e-12	NaN	NaN	NaN	-23974.78597754771	4.115120522405942e6	0.
-0.0000376917816569957	9.140045196006636e-12	NaN	NaN	NaN	-26362.454015552375	4.742979760367829e6	-1.19553399142685e-7
-0.00003389220689318565	9.140045196006636e-12	NaN	NaN	NaN	-29274.1980287393	5.54702989223955e6	0.
-0.0000452909311846158	9.140045196006636e-12	NaN	NaN	NaN	-21981.96071105106	3.6139797980605303e6	0.
-0.00004133937343025335	9.140045196006636e-12	NaN	NaN	NaN	-24062.002263792554	4.1375377187777767e6	0.
-0.0000375397986664433	9.140045196006636e-12	NaN	NaN	NaN	-26467.82916717047	4.77135566815356e6	0.
-0.00003374022390263325	9.140045196006636e-12	NaN	NaN	NaN	-29404.000496429737	5.583818946091725e6	-1.2018912004222473e-7
-0.0000451389481940634	9.140045196006636e-12	NaN	NaN	NaN	-22055.319904904252	3.632045962466519e6	0.
-0.000041187390439700946	9.140045196006636e-12	NaN	NaN	NaN	-24149.852046654592	4.1601569811376003e6	0.
-0.0000373878156758909	9.140045196006636e-12	NaN	NaN	NaN	-26574.04467972995	4.800013550630267e6	0.
-0.00003358824091208085	9.140045196006636e-12	NaN	NaN	NaN	-29534.950039472667	5.621014947954258e6	0.
