# Filename	binding_0\4ed2ccf6-df12-4a15-b10b-cb28f4a28bb0.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:35:32
# Dir	-1
# field	3.344867603644982e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.344867603644982e-11	NaN	NaN	NaN	-21590.3146817321	3.5032435134217907e6	0.
-0.00004164333941135815	3.344867603644982e-11	NaN	NaN	NaN	-23567.32181270631	3.990875023258267e6	0.
-0.0000378437646475481	3.344867603644982e-11	NaN	NaN	NaN	-25834.52275220053	4.574084182547037e6	0.
-0.000034044189883738054	3.344867603644982e-11	NaN	NaN	NaN	-28571.53478041731	5.310188651668882e6	0.
-0.000045442914175168206	3.344867603644982e-11	NaN	NaN	NaN	-21660.295259621824	3.5201594084895e6	0.
-0.00004149135642080575	3.344867603644982e-11	NaN	NaN	NaN	-23650.483442208755	4.011823249257941e6	0.
-0.0000376917816569957	3.344867603644982e-11	NaN	NaN	NaN	-25934.118692672073	4.600269561279203e6	0.
-0.00003389220689318565	3.344867603644982e-11	NaN	NaN	NaN	-28692.80469192158	5.343578098043213e6	0.
-0.0000452909311846158	3.344867603644982e-11	NaN	NaN	NaN	-21730.723890978883	3.537206946390344e6	0.
-0.00004133937343025335	3.344867603644982e-11	NaN	NaN	NaN	-23734.223159855414	4.032951885703432e6	0.
-0.0000375397986664433	3.344867603644982e-11	NaN	NaN	NaN	-26034.46842989061	4.626698052394615e6	0.
-0.00003374022390263325	3.344867603644982e-11	NaN	NaN	NaN	-28815.080498543866	5.377310141276245e6	0.
-0.0000451389481940634	3.344867603644982e-11	NaN	NaN	NaN	-21801.604824032835	3.554391723747995e6	0.
-0.000041187390439700946	3.344867603644982e-11	NaN	NaN	NaN	-23818.54689969797	4.054263276645874e6	0.
-0.0000373878156758909	3.344867603644982e-11	NaN	NaN	NaN	-26135.580357918618	4.653375134034826e6	-2.6214256673975414e-7
-0.00003358824091208085	3.344867603644982e-11	NaN	NaN	NaN	-28938.37441598816	5.41138741277749e6	0.
-0.000044986965203511	3.344867603644982e-11	NaN	NaN	NaN	-21872.942360000146	3.5717140943504614e6	0.
-0.00004103540744914855	3.344867603644982e-11	NaN	NaN	NaN	-23903.460675667313	4.0757588390782764e6	0.
-0.00003723583268533849	3.344867603644982e-11	NaN	NaN	NaN	-26237.462992901812	4.680305144337086e6	0.
-0.000033436257921528444	3.344867603644982e-11	NaN	NaN	NaN	-29062.698852633297	5.445816164390639e6	0.
-0.000044834982212958595	3.344867603644982e-11	NaN	NaN	NaN	-21944.74085389839	3.5891753088628664e6	0.
-0.00004088342445859614	3.344867603644982e-11	NaN	NaN	NaN	-23988.970582893795	4.0974427736188127e6	0.
-0.00003708384969478609	3.344867603644982e-11	NaN	NaN	NaN	-26340.124975239425	4.707489193770405e6	0.
-0.000033284274930976045	3.344867603644982e-11	NaN	NaN	NaN	-29188.066413221128	5.480601580440495e6	0.
-0.000044682999222406196	3.344867603644982e-11	NaN	NaN	NaN	-22017.00471537543	3.6067766891838997e6	0.
-0.00004073144146804374	3.344867603644982e-11	NaN	NaN	NaN	-24075.082799052616	4.11931322383948e6	-9.083729956358318e-7
-0.000036931866704233694	3.344867603644982e-11	NaN	NaN	NaN	-26443.57507179821	4.734931525838419e6	0.
-0.00003313229194042364	3.344867603644982e-11	NaN	NaN	NaN	-29314.48990262678	5.515748660803243e6	0.
-0.00004453101623185379	3.344867603644982e-11	NaN	NaN	NaN	-22089.738409553713	3.624520329668955e6	0.
-0.00004057945847749134	3.344867603644982e-11	NaN	NaN	NaN	-24161.803585736034	4.1413800123387584e6	0.
-0.00003677988371368129	3.344867603644982e-11	NaN	NaN	NaN	-26547.82217817339	4.762635712818127e6	0.
-0.00003298030894987124	3.344867603644982e-11	NaN	NaN	NaN	-29441.982329712657	5.551262070146698e6	0.
-0.00004437903324130139	3.344867603644982e-11	NaN	NaN	NaN	-22162.946457889208	3.6424074120786474e6	0.
-0.00004042747548693894	3.344867603644982e-11	NaN	NaN	NaN	-24249.139289851933	4.1636348287531002e6	0.
-0.00003662790072312889	3.344867603644982e-11	NaN	NaN	NaN	-26652.87532099663	4.790602940354622e6	-4.3994777194034033e-7
-0.000032828325959318834	3.344867603644982e-11	NaN	NaN	NaN	-29570.556911268755	5.587147847648029e6	0.
-0.000044227050250748985	3.344867603644982e-11	NaN	NaN	NaN	-22236.633439047328	3.6604400784137542e6	0.
-0.00004027549249638654	3.344867603644982e-11	NaN	NaN	NaN	-24337.09634505024	4.186088551713289e6	0.
-0.00003647591773257648	3.344867603644982e-11	NaN	NaN	NaN	-26758.743660292344	4.818840422002435e6	0.
-0.000032676342968766434	3.344867603644982e-11	NaN	NaN	NaN	-29700.227076040515	5.623409060708382e6	0.
-0.000044075067260196586	3.344867603644982e-11	NaN	NaN	NaN	-22310.803989793378	3.678619148946268e6	0.
-0.00004012350950583413	3.344867603644982e-11	NaN	NaN	NaN	-24425.68127317667	4.208740139647232e6	-4.589141071009907e-7
-0.00003632393474202408	3.344867603644982e-11	NaN	NaN	NaN	-26865.436491883804	4.847348398918744e6	-2.302440916914185e-7
-0.000032524359978214035	3.344867603644982e-11	NaN	NaN	NaN	-29831.006468847787	5.660053634604682e6	0.
-0.000043923084269644186	3.344867603644982e-11	NaN	NaN	NaN	-22385.46280590105	3.6969468861386226e6	0.
-0.00003997152651528173	3.344867603644982e-11	NaN	NaN	NaN	-24514.900685755594	4.23159379583755e6	0.
-0.000036171951751471684	3.344867603644982e-11	NaN	NaN	NaN	-26972.96324984879	4.8761330870808875e6	0.
-0.00003237237698766163	3.344867603644982e-11	NaN	NaN	NaN	-29962.908954795425	5.697086838362166e6	0.
-0.00004377110127909178	3.344867603644982e-11	NaN	NaN	NaN	-22460.61464307625	3.715424575541285e6	0.
-0.000039819543524729326	3.344867603644982e-11	NaN	NaN	NaN	-24604.76128550262	4.254650320907915e6	0.
-0.00003601996876091928	3.344867603644982e-11	NaN	NaN	NaN	-27081.33350902916	4.905195650229064e6	-2.764483372084391e-7
-0.00003222039399710923	3.344867603644982e-11	NaN	NaN	NaN	-30095.948623579254	5.734512366983011e6	0.
-0.00004361911828853938	3.344867603644982e-11	NaN	NaN	NaN	-22536.264317898786	3.7340540456430167e6	0.
-0.00003966756053417693	3.344867603644982e-11	NaN	NaN	NaN	-24695.269867865994	4.277912912462399e6	0.
-0.00003586798577036688	3.344867603644982e-11	NaN	NaN	NaN	-27190.556987590913	4.934541600669225e6	-5.570851533072094e-7
-0.000032068411006556824	3.344867603644982e-11	NaN	NaN	NaN	-30230.13979388961	5.772337425044996e6	0.
-0.000043467135297986975	3.344867603644982e-11	NaN	NaN	NaN	-22612.41670878144	3.752837435788702e6	0.
-0.00003951557754362453	3.344867603644982e-11	NaN	NaN	NaN	-24786.43332259948	4.3013839055185355e6	0.
-0.00003571600277981447	3.344867603644982e-11	NaN	NaN	NaN	-27300.643549641023	4.964174683974115e6	0.
-0.000031916428016004425	3.344867603644982e-11	NaN	NaN	NaN	-30365.497017913935	5.810568161936285e6	0.
-0.000043315152307434576	3.344867603644982e-11	NaN	NaN	NaN	-22689.076756946124	3.771775674668623e6	0.
-0.00003936359455307212	3.344867603644982e-11	NaN	NaN	NaN	-24878.258635366346	4.325065596572129e6	0.
-0.000035564019789262074	3.344867603644982e-11	NaN	NaN	NaN	-27411.60320789875	4.99409810036669e6	0.
-0.000031764445025452026	3.344867603644982e-11	NaN	NaN	NaN	-30502.035085941865	5.849208648109159e6	0.
-0.00004316316931688218	3.344867603644982e-11	NaN	NaN	NaN	-22766.249467419802	3.79087152696899e6	0.
-0.00003921161156251972	3.344867603644982e-11	NaN	NaN	NaN	-24970.752889375344	4.348961119511928e6	0.
-0.00003541203679870967	3.344867603644982e-11	NaN	NaN	NaN	-27523.446126423547	5.024316492075565e6	0.
-0.00003161246203489962	3.344867603644982e-11	NaN	NaN	NaN	-30639.7690310754	5.88826658454245e6	0.
-0.00004301118632632977	3.344867603644982e-11	NaN	NaN	NaN	-22843.9399100469	3.810126093271537e6	0.
-0.00003905962857196732	3.344867603644982e-11	NaN	NaN	NaN	-25063.923267049333	4.373074330812891e6	0.
-0.00003526005380815727	3.344867603644982e-11	NaN	NaN	NaN	-27636.1826234025	5.054830516918963e6	0.
-0.00003146047904434722	3.344867603644982e-11	NaN	NaN	NaN	-30778.714134045997	5.927747767241557e6	0.
-0.00004285920333577737	3.344867603644982e-11	NaN	NaN	NaN	-22922.153220522632	3.8295412150176167e6	0.
