# Filename	binding_0\501a7be9-443d-497f-a065-ad790deb31ee.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:40:54
# Dir	-1
# field	5.406239498914564e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.406239498914564e-11	NaN	NaN	NaN	-21389.788520624756	3.442931623762252e6	0.
-0.00004164333941135815	5.406239498914564e-11	NaN	NaN	NaN	-23308.157448126425	3.9096963896070337e6	-3.621842727747124e-7
-0.0000378437646475481	5.406239498914564e-11	NaN	NaN	NaN	-25495.81113702473	4.463446072319012e6	0.
-0.000034044189883738054	5.406239498914564e-11	NaN	NaN	NaN	-28118.068872719712	5.155231938368719e6	0.
-0.000045442914175168206	5.406239498914564e-11	NaN	NaN	NaN	-21457.856518051773	3.4591781215343247e6	-1.8075149531687042e-7
-0.00004149135642080575	5.406239498914564e-11	NaN	NaN	NaN	-23388.638449560516	3.929672326948244e6	0.
-0.0000376917816569957	5.406239498914564e-11	NaN	NaN	NaN	-25591.59794129031	4.488191061284466e6	0.
-0.00003389220689318565	5.406239498914564e-11	NaN	NaN	NaN	-28233.759616707983	5.186420642222106e6	0.
-0.0000452909311846158	5.406239498914564e-11	NaN	NaN	NaN	-21526.34849799721	3.475550523551227e6	-2.7278260763873184e-7
-0.00004133937343025335	5.406239498914564e-11	NaN	NaN	NaN	-23469.661036416986	3.949813123509717e6	-5.429355740312629e-7
-0.0000375397986664433	5.406239498914564e-11	NaN	NaN	NaN	-25688.0823093119	4.5131575727752065e6	0.
-0.00003374022390263325	5.406239498914564e-11	NaN	NaN	NaN	-28350.366496143506	5.217911507545735e6	0.
-0.0000451389481940634	5.406239498914564e-11	NaN	NaN	NaN	-21595.268334055476	3.4920499076496963e6	0.
-0.000041187390439700946	5.406239498914564e-11	NaN	NaN	NaN	-23551.2305295511	3.9701222985019675e6	0.
-0.0000373878156758909	5.406239498914564e-11	NaN	NaN	NaN	-25785.27161422145	4.538349763639266e6	0.
-0.00003358824091208085	5.406239498914564e-11	NaN	NaN	NaN	-28467.89995818288	5.249709002735256e6	0.
-0.000044986965203511	5.406239498914564e-11	NaN	NaN	NaN	-21664.619945889506	3.5086768825245737e6	0.
-0.00004103540744914855	5.406239498914564e-11	NaN	NaN	NaN	-23633.352317507197	3.9905998958419585e6	0.
-0.00003723583268533849	5.406239498914564e-11	NaN	NaN	NaN	-25883.173329373552	4.563768051073293e6	0.
-0.000033436257921528444	5.406239498914564e-11	NaN	NaN	NaN	-28586.370601751554	5.281816243851351e6	0.
-0.000044834982212958595	5.406239498914564e-11	NaN	NaN	NaN	-21734.40729989746	3.525431714391924e6	0.
-0.00004088342445859614	5.406239498914564e-11	NaN	NaN	NaN	-23716.031857560072	4.0112531330310204e6	0.
-0.00003708384969478609	5.406239498914564e-11	NaN	NaN	NaN	-25981.795029979232	4.589413709854799e6	0.
-0.000033284274930976045	5.406239498914564e-11	NaN	NaN	NaN	-28705.7891801549	5.314237812962083e6	0.
-0.000044682999222406196	5.406239498914564e-11	NaN	NaN	NaN	-21804.634409891314	3.5423169751107725e6	-2.711020518816161e-7
-0.00004073144146804374	5.406239498914564e-11	NaN	NaN	NaN	-23799.274676774512	4.0320724011409027e6	0.
-0.000036931866704233694	5.406239498914564e-11	NaN	NaN	NaN	-26081.144394769763	4.615293006313262e6	0.
-0.00003313229194042364	5.406239498914564e-11	NaN	NaN	NaN	-28826.166603739443	5.3469779897236405e6	0.
-0.00004453101623185379	5.406239498914564e-11	NaN	NaN	NaN	-21875.305337786056	3.5593345935306996e6	-3.7080684008129345e-7
-0.00004057945847749134	5.406239498914564e-11	NaN	NaN	NaN	-23883.08637308478	4.053070079361921e6	0.
-0.00003677988371368129	5.406239498914564e-11	NaN	NaN	NaN	-26181.229207691693	4.641408246090968e6	0.
-0.00003298030894987124	5.406239498914564e-11	NaN	NaN	NaN	-28947.51394260544	5.380041382946827e6	0.
