# Filename	binding_0\51c0d6c1-e389-4dc8-832e-0984fdc5f905.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:41:12
# Dir	-1
# field	5.522920926948691e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.522920926948691e-11	NaN	NaN	NaN	-21378.65678123227	3.4396041418518196e6	0.
-0.00004164333941135815	5.522920926948691e-11	NaN	NaN	NaN	-23293.8214784759	3.905237593734252e6	-6.276343803867144e-7
-0.0000378437646475481	5.522920926948691e-11	NaN	NaN	NaN	-25477.1566581068	4.457403325199013e6	0.
-0.000034044189883738054	5.522920926948691e-11	NaN	NaN	NaN	-28093.23587520236	5.146831312658806e6	0.
-0.000045442914175168206	5.522920926948691e-11	NaN	NaN	NaN	-21446.61996757045	3.4558145496511445e6	0.
-0.00004149135642080575	5.522920926948691e-11	NaN	NaN	NaN	-23374.156438748	3.92516092823515e6	0.
-0.0000376917816569957	5.522920926948691e-11	NaN	NaN	NaN	-25572.737432920567	4.482071449223823e6	0.
-0.00003389220689318565	5.522920926948691e-11	NaN	NaN	NaN	-28208.627664035543	5.177903632828031e6	0.
-0.0000452909311846158	5.522920926948691e-11	NaN	NaN	NaN	-21515.005838610086	3.472149394701837e6	-3.385886633681533e-7
-0.00004133937343025335	5.522920926948691e-11	NaN	NaN	NaN	-23455.031033628187	3.94524902161798e6	0.
-0.0000375397986664433	5.522920926948691e-11	NaN	NaN	NaN	-25669.012798648688	4.506960239359015e6	0.
-0.00003374022390263325	5.522920926948691e-11	NaN	NaN	NaN	-28324.930909261937	5.209276083601543e6	0.
-0.0000451389481940634	5.522920926948691e-11	NaN	NaN	NaN	-21583.818248143823	3.4886113549362454e6	0.
-0.000041187390439700946	5.522920926948691e-11	NaN	NaN	NaN	-23536.450551962847	3.965503852522571e6	0.
-0.0000373878156758909	5.522920926948691e-11	NaN	NaN	NaN	-25765.990075943388	4.532071257523504e6	0.
-0.00003358824091208085	5.522920926948691e-11	NaN	NaN	NaN	-28442.155968924893	5.2409531203637635e6	0.
-0.000044986965203511	5.522920926948691e-11	NaN	NaN	NaN	-21653.061095675974	3.505200646845592e6	0.
-0.00004103540744914855	5.522920926948691e-11	NaN	NaN	NaN	-23618.42034966875	3.985926282909065e6	0.
-0.00003723583268533849	5.522920926948691e-11	NaN	NaN	NaN	-25863.676684593578	4.557407937835472e6	0.
-0.000033436257921528444	5.522920926948691e-11	NaN	NaN	NaN	-28560.313350859065	5.272937330025866e6	0.
-0.000044834982212958595	5.522920926948691e-11	NaN	NaN	NaN	-21722.738327081497	3.5219175184669658e6	0.
-0.00004088342445859614	5.522920926948691e-11	NaN	NaN	NaN	-23700.945850760978	4.0065201790098064e6	0.
-0.00003708384969478609	5.522920926948691e-11	NaN	NaN	NaN	-25962.08014513271	4.582973082919855e6	0.
-0.000033284274930976045	5.522920926948691e-11	NaN	NaN	NaN	-28679.413715252147	5.30523446860559e6	0.
-0.000044682999222406196	5.522920926948691e-11	NaN	NaN	NaN	-21792.85393527707	3.5387642294750656e6	0.
-0.00004073144146804374	5.522920926948691e-11	NaN	NaN	NaN	-23784.0325483984	4.0272862213373845e6	0.
-0.000036931866704233694	5.522920926948691e-11	NaN	NaN	NaN	-26061.20808047654	4.608770038020721e6	0.
-0.00003313229194042364	5.522920926948691e-11	NaN	NaN	NaN	-28799.46787725484	5.337847740372966e6	0.
-0.00004453101623185379	5.522920926948691e-11	NaN	NaN	NaN	-21863.411960902846	3.5557428275535195e6	0.
-0.00004057945847749134	5.522920926948691e-11	NaN	NaN	NaN	-23867.68600594871	4.048226820855322e6	0.
-0.00003677988371368129	5.522920926948691e-11	NaN	NaN	NaN	-26161.068217590902	4.634799995412878e6	0.
-0.00003298030894987124	5.522920926948691e-11	NaN	NaN	NaN	-28920.48680964143	5.370781511175423e6	0.
-0.00004437903324130139	5.522920926948691e-11	NaN	NaN	NaN	-21934.41649301571	3.5728530197122023e6	0.
-0.00004042747548693894	5.522920926948691e-11	NaN	NaN	NaN	-23951.91185807151	4.0693438607504787e6	0.
-0.00003662790072312889	5.522920926948691e-11	NaN	NaN	NaN	-26261.668389191007	4.6610668262044685e6	0.
-0.000032828325959318834	5.522920926948691e-11	NaN	NaN	NaN	-29042.481645520857	5.404039864994231e6	0.
-0.000044227050250748985	5.522920926948691e-11	NaN	NaN	NaN	-22005.871669794735	3.590098306815301e6	0.
-0.00004027549249638654	5.522920926948691e-11	NaN	NaN	NaN	-24036.71581182106	4.0906396099341144e6	0.
-0.00003647591773257648	5.522920926948691e-11	NaN	NaN	NaN	-26363.016535471685	4.6875737420649985e6	0.
-0.000032676342968766434	5.522920926948691e-11	NaN	NaN	NaN	-29165.463681099915	5.437627382730692e6	0.
-0.000044075067260196586	5.522920926948691e-11	NaN	NaN	NaN	-22077.78167925769	3.6074784337084745e6	0.
-0.00004012350950583413	5.522920926948691e-11	NaN	NaN	NaN	-24122.103647768457	4.112115691092008e6	0.
-0.00003632393474202408	5.522920926948691e-11	NaN	NaN	NaN	-26465.12070586991	4.71432293541925e6	0.
-0.000032524359978214035	5.522920926948691e-11	NaN	NaN	NaN	-29289.444378499185	5.471547796734933e6	0.
-0.000043923084269644186	5.522920926948691e-11	NaN	NaN	NaN	-22150.15075999076	3.624995096484304e6	-4.980337775993138e-7
-0.00003997152651528173	5.522920926948691e-11	NaN	NaN	NaN	-24208.081221144017	4.133774256919385e6	0.
-0.000036171951751471684	5.522920926948691e-11	NaN	NaN	NaN	-26567.98906086045	4.7413178532442795e6	0.
-0.00003237237698766163	5.522920926948691e-11	NaN	NaN	NaN	-29414.435368623566	5.505807141705835e6	0.
-0.00004377110127909178	5.522920926948691e-11	NaN	NaN	NaN	-22222.983201889638	3.642651359883923e6	0.
-0.000039819543524729326	5.522920926948691e-11	NaN	NaN	NaN	-24294.654462999926	4.155617237045721e6	0.
-0.00003601996876091928	5.522920926948691e-11	NaN	NaN	NaN	-26671.62987378465	4.7685614669249635e6	0.
-0.00003222039399710923	5.522920926948691e-11	NaN	NaN	NaN	-29540.44845408692	5.540406599260958e6	0.
-0.00004361911828853938	5.522920926948691e-11	NaN	NaN	NaN	-22296.28334691418	3.6604469940664163e6	0.
-0.00003966756053417693	5.522920926948691e-11	NaN	NaN	NaN	-24381.829381393865	4.177647589474481e6	0.
-0.00003586798577036688	5.522920926948691e-11	NaN	NaN	NaN	-26776.051532713536	4.7960571531191e6	0.
-0.000032068411006556824	5.522920926948691e-11	NaN	NaN	NaN	-29667.495612194325	5.5753538499176055e6	0.
-0.000043467135297986975	5.522920926948691e-11	NaN	NaN	NaN	-22370.055589855077	3.678384018603949e6	0.
-0.00003951557754362453	5.522920926948691e-11	NaN	NaN	NaN	-24469.612062593482	4.1998670180501435e6	0.
-0.00003571600277981447	5.522920926948691e-11	NaN	NaN	NaN	-26881.262542345656	4.823807651668967e6	0.
-0.000031916428016004425	5.522920926948691e-11	NaN	NaN	NaN	-29795.58899798027	5.61065273405071e6	0.
-0.000043315152307434576	5.522920926948691e-11	NaN	NaN	NaN	-22444.304379114237	3.696465908776067e6	0.
-0.00003936359455307212	5.522920926948691e-11	NaN	NaN	NaN	-24558.008672303033	4.222277226689596e6	0.
-0.000035564019789262074	5.522920926948691e-11	NaN	NaN	NaN	-26987.271525940647	4.851816318923618e6	0.
-0.000031764445025452026	5.522920926948691e-11	NaN	NaN	NaN	-29924.74094730618	5.646306951210038e6	0.
-0.00004316316931688218	5.522920926948691e-11	NaN	NaN	NaN	-22519.034217498127	3.7146903884314485e6	0.
-0.00003921161156251972	5.522920926948691e-11	NaN	NaN	NaN	-24647.025456911775	4.244880856494027e6	0.
-0.00003541203679870967	5.522920926948691e-11	NaN	NaN	NaN	-27094.087227288845	4.880085494916068e6	0.
-0.00003161246203489962	5.522920926948691e-11	NaN	NaN	NaN	-30054.963980017554	5.682322513775592e6	0.
-0.00004301118632632977	5.522920926948691e-11	NaN	NaN	NaN	-22594.249663025093	3.7330589196438533e6	0.
-0.00003905962857196732	5.522920926948691e-11	NaN	NaN	NaN	-24736.668744764902	4.267679942808344e6	0.
-0.00003526005380815727	5.522920926948691e-11	NaN	NaN	NaN	-27201.71851271824	4.908619889198264e6	0.
-0.00003146047904434722	5.522920926948691e-11	NaN	NaN	NaN	-30186.27080316136	5.718703534175119e6	0.
-0.00004285920333577737	5.522920926948691e-11	NaN	NaN	NaN	-22669.955329746426	3.7515772001302894e6	0.
-0.00003890764558141492	5.522920926948691e-11	NaN	NaN	NaN	-24826.9449474577	4.290678113690002e6	0.
-0.00003510807081760487	5.522920926948691e-11	NaN	NaN	NaN	-27310.1743731386	4.937422321161135e6	0.
-0.000031308496053794814	5.522920926948691e-11	NaN	NaN	NaN	-30318.674314266187	5.755455526907165e6	0.
-0.000042707220345224966	5.522920926948691e-11	NaN	NaN	NaN	-22746.15588858123	3.770244714263376e6	0.
-0.00003875566259086252	5.522920926948691e-11	NaN	NaN	NaN	-24917.860561152425	4.313875505443708e6	0.
-0.00003495608782705246	5.522920926948691e-11	NaN	NaN	NaN	-27419.46392612459	4.966495820768542e6	0.
-0.000031156513063242415	5.522920926948691e-11	NaN	NaN	NaN	-30452.187604684972	5.792582878807926e6	0.
-0.000042555237354672566	5.522920926948691e-11	NaN	NaN	NaN	-22822.85606816625	3.789063342106284e6	0.
-0.00003860367960031011	5.522920926948691e-11	NaN	NaN	NaN	-25009.422167920144	4.33727613637713e6	0.
-0.000034804104836500064	5.522920926948691e-11	NaN	NaN	NaN	-27529.596418038145	4.9958442536453735e6	0.
-0.00003100453007269001	5.522920926948691e-11	NaN	NaN	NaN	-30586.823963002855	5.830091178652144e6	0.
-0.00004240325436412017	5.522920926948691e-11	NaN	NaN	NaN	-22900.06065572002	3.808034596420756e6	0.
-0.00003845169660975771	5.522920926948691e-11	NaN	NaN	NaN	-25101.636437105924	4.360881420549012e6	0.
-0.00003465212184594766	5.522920926948691e-11	NaN	NaN	NaN	-27640.581226190618	5.025471248957432e6	0.
-0.00003085254708213761	5.522920926948691e-11	NaN	NaN	NaN	-30722.596878510285	5.867985840775595e6	0.
