# Filename	binding_0\5293f9e0-cf28-4a4e-a591-0fb78d8ba530.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:40:45
# Dir	-1
# field	5.3478987848975e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.3478987848975e-11	NaN	NaN	NaN	-21395.36298744821	3.444598580897663e6	0.
-0.00004164333941135815	5.3478987848975e-11	NaN	NaN	NaN	-23315.338492366423	3.9119317953315014e6	0.
-0.0000378437646475481	5.3478987848975e-11	NaN	NaN	NaN	-25505.158542305577	4.466475685930354e6	0.
-0.000034044189883738054	5.3478987848975e-11	NaN	NaN	NaN	-28130.517671947404	5.159446365619673e6	0.
-0.000045442914175168206	5.3478987848975e-11	NaN	NaN	NaN	-21463.483524699743	3.460864238173576e6	0.
-0.00004149135642080575	5.3478987848975e-11	NaN	NaN	NaN	-23395.89273480844	3.9319368200668143e6	0.
-0.0000376917816569957	5.3478987848975e-11	NaN	NaN	NaN	-25601.04872975866	4.491260393253351e6	0.
-0.00003389220689318565	5.3478987848975e-11	NaN	NaN	NaN	-28246.358535502313	5.190693791943502e6	0.
-0.0000452909311846158	5.3478987848975e-11	NaN	NaN	NaN	-21532.02869587092	3.4772550028006933e6	0.
-0.00004133937343025335	5.3478987848975e-11	NaN	NaN	NaN	-23476.98954249199	3.9521016143464223e6	0.
-0.0000375397986664433	5.3478987848975e-11	NaN	NaN	NaN	-25697.637975350404	4.516265365724434e6	0.
-0.00003374022390263325	5.3478987848975e-11	NaN	NaN	NaN	-28363.117889065772	5.222243946731123e6	0.
-0.0000451389481940634	5.3478987848975e-11	NaN	NaN	NaN	-21601.002384510426	3.4937725313100256e6	0.
-0.000041187390439700946	5.3478987848975e-11	NaN	NaN	NaN	-23558.634252378786	3.9724370161937797e6	0.
-0.0000373878156758909	5.3478987848975e-11	NaN	NaN	NaN	-25794.933678650246	4.541496030160266e6	0.
-0.00003358824091208085	5.3478987848975e-11	NaN	NaN	NaN	-28480.8062247539	5.254101570723087e6	0.
-0.000044986965203511	5.3478987848975e-11	NaN	NaN	NaN	-21670.40852041515	3.510417846318086e6	0.
-0.00004103540744914855	5.3478987848975e-11	NaN	NaN	NaN	-23640.832269431336	3.992945974480999e6	0.
-0.00003723583268533849	5.3478987848975e-11	NaN	NaN	NaN	-25892.94333999895	4.566954759233877e6	0.
-0.000033436257921528444	5.3478987848975e-11	NaN	NaN	NaN	-28599.434187452545	5.286270883881147e6	0.
-0.000044834982212958595	5.3478987848975e-11	NaN	NaN	NaN	-21740.25108030106	3.52719257172746e6	0.
-0.00004088342445859614	5.3478987848975e-11	NaN	NaN	NaN	-23723.58906766122	4.0136196342018982e6	-5.773618722074279e-7
