# Filename	binding_0\5f7fc49b-ff6c-479b-8a1d-c620cc8da6f9.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:47:11
# Dir	1
# field	1.3807302317371727e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.3807302317371727e-11	NaN	NaN	NaN	22079.913193019293	3.653419478152926e6	0.
-0.00004164333941135815	1.3807302317371727e-11	NaN	NaN	NaN	24207.743626389223	4.196218570349037e6	0.
-0.0000378437646475481	1.3807302317371727e-11	NaN	NaN	NaN	26684.223097884238	4.859528540661843e6	0.
-0.000034044189883738054	1.3807302317371727e-11	NaN	NaN	NaN	29732.11102910613	5.720598167855105e6	0.
-0.000045442914175168206	1.3807302317371727e-11	NaN	NaN	NaN	22154.76508041792	3.6720774178500427e6	0.
-0.00004149135642080575	1.3807302317371727e-11	NaN	NaN	NaN	24297.871476402346	4.219769916274517e6	-1.6969737956550155e-7
-0.0000376917816569957	1.3807302317371727e-11	NaN	NaN	NaN	26793.970750268098	4.889689421591399e6	0.
-0.00003389220689318565	1.3807302317371727e-11	NaN	NaN	NaN	29868.756737495183	5.760326145184155e6	0.
-0.0000452909311846158	1.3807302317371727e-11	NaN	NaN	NaN	22230.12969505541	3.690893840886437e6	-1.0552845260506952e-7
-0.00004133937343025335	1.3807302317371727e-11	NaN	NaN	NaN	24388.67852238071	4.243545606556762e6	0.
-0.0000375397986664433	1.3807302317371727e-11	NaN	NaN	NaN	26904.63402879382	4.920166914214573e6	0.
-0.00003374022390263325	1.3807302317371727e-11	NaN	NaN	NaN	30006.68014869687	5.800522534870301e6	0.
-0.0000451389481940634	1.3807302317371727e-11	NaN	NaN	NaN	22306.012359546454	3.7098736441467404e6	0.
-0.000041187390439700946	1.3807302317371727e-11	NaN	NaN	NaN	24480.172534688554	4.267547062406767e6	0.
-0.0000373878156758909	1.3807302317371727e-11	NaN	NaN	NaN	27016.224556071425	4.950963641372503e6	0.
-0.00003358824091208085	1.3807302317371727e-11	NaN	NaN	NaN	30145.899493586832	5.841194953984945e6	0.
-0.000044986965203511	1.3807302317371727e-11	NaN	NaN	NaN	22382.418470938483	3.729017779142504e6	-1.1038899570029705e-7
-0.00004103540744914855	1.3807302317371727e-11	NaN	NaN	NaN	24572.361403648745	4.291777579400615e6	0.
-0.00003723583268533849	1.3807302317371727e-11	NaN	NaN	NaN	27128.754154226724	4.982087505320307e6	0.
-0.000033436257921528444	1.3807302317371727e-11	NaN	NaN	NaN	30286.433355842873	5.882347302936493e6	0.
-0.000044834982212958595	1.3807302317371727e-11	NaN	NaN	NaN	22459.353502025944	3.748328288213572e6	-2.2191113106019435e-7
-0.00004088342445859614	1.3807302317371727e-11	NaN	NaN	NaN	24665.253141886482	4.316240252638853e6	0.
-0.00003708384969478609	1.3807302317371727e-11	NaN	NaN	NaN	27242.234849242202	5.0135418961035125e6	-2.1992047268355153e-7
-0.000033284274930976045	1.3807302317371727e-11	NaN	NaN	NaN	30428.300680624743	5.9239934874496525e6	-2.47473998499275e-7
-0.000044682999222406196	1.3807302317371727e-11	NaN	NaN	NaN	22536.82300269283	3.7678072720750575e6	0.
-0.00004073144146804374	1.3807302317371727e-11	NaN	NaN	NaN	24758.85588672721	4.340938053168673e6	0.
-0.000036931866704233694	1.3807302317371727e-11	NaN	NaN	NaN	27356.678875413254	5.045332470714965e6	-6.543015715806337e-7
-0.00003313229194042364	1.3807302317371727e-11	NaN	NaN	NaN	30571.520783511656	5.966140301500135e6	-1.4031272097189776e-7
-0.00004453101623185379	1.3807302317371727e-11	NaN	NaN	NaN	22614.83260128339	3.787457602204609e6	0.
-0.00004057945847749134	1.3807302317371727e-11	NaN	NaN	NaN	24853.17790265197	4.365874123743882e6	0.
-0.00003677988371368129	1.3807302317371727e-11	NaN	NaN	NaN	27472.098679924406	5.077464655695788e6	0.
-0.00003298030894987124	1.3807302317371727e-11	NaN	NaN	NaN	30716.11335971312	6.008796576542115e6	0.
-0.00004437903324130139	1.3807302317371727e-11	NaN	NaN	NaN	22693.38800600479	3.807278762214528e6	-1.1311336924227657e-7
-0.00004042747548693894	1.3807302317371727e-11	NaN	NaN	NaN	24948.22758381162	4.3910516890012985e6	-2.7432480636376984e-7
