# Filename	binding_0\5fab4fd6-bc54-42fc-a37f-c60a6f8788a2.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:40:39
# Dir	-1
# field	5.309004975552791e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.309004975552791e-11	NaN	NaN	NaN	-21399.082490268	3.4457113751709e6	0.
-0.00004164333941135815	5.309004975552791e-11	NaN	NaN	NaN	-23320.13070541064	3.9134233686583233e6	0.
-0.0000378437646475481	5.309004975552791e-11	NaN	NaN	NaN	-25511.397639175368	4.468499871227223e6	0.
-0.000045442914175168206	5.309004975552791e-11	NaN	NaN	NaN	-21467.238103966014	3.461989231951277e6	0.
-0.00004149135642080575	5.309004975552791e-11	NaN	NaN	NaN	-23400.73385714669	3.9334428689528606e6	0.
-0.0000376917816569957	5.309004975552791e-11	NaN	NaN	NaN	-25607.356885846162	4.493308112803708e6	0.
-0.000034044189883738054	5.309004975552791e-11	NaN	NaN	NaN	-28138.82888177893	5.162261429977148e6	0.
-0.0000452909311846158	5.309004975552791e-11	NaN	NaN	NaN	-21535.818786778418	3.4783925730053717e6	0.
-0.00004133937343025335	5.309004975552791e-11	NaN	NaN	NaN	-23481.88022897974	3.9536284742655926e6	0.
-0.0000375397986664433	5.309004975552791e-11	NaN	NaN	NaN	-25704.016189877744	4.5183403771238895e6	0.
-0.00003389220689318565	5.309004975552791e-11	NaN	NaN	NaN	-28254.770064126988	5.193547865692888e6	0.
-0.0000451389481940634	5.309004975552791e-11	NaN	NaN	NaN	-21604.82842890988	3.494922341118656e6	0.
-0.000041187390439700946	5.309004975552791e-11	NaN	NaN	NaN	-23563.575168646916	3.973982366368413e6	0.
-0.0000373878156758909	5.309004975552791e-11	NaN	NaN	NaN	-25801.38296853818	4.5435982359320205e6	0.
-0.00003374022390263325	5.309004975552791e-11	NaN	NaN	NaN	-28371.631311800353	5.225138422110315e6	0.
-0.000044986965203511	5.309004975552791e-11	NaN	NaN	NaN	-21674.270966933866	3.5115805587376263e6	0.
-0.00004103540744914855	5.309004975552791e-11	NaN	NaN	NaN	-23645.824092095045	3.9945064485700447e6	0.
-0.00003723583268533849	5.309004975552791e-11	NaN	NaN	NaN	-25899.4647402347	4.56908307773516e6	0.
-0.00003358824091208085	5.309004975552791e-11	NaN	NaN	NaN	-28489.42314703864	5.257036181695712e6	0.
-0.000044834982212958595	5.309004975552791e-11	NaN	NaN	NaN	-21744.150384465527	3.5283678159879674e6	0.
-0.00004088342445859614	5.309004975552791e-11	NaN	NaN	NaN	-23728.632484533762	4.0152017725723097e6	-6.218446044772539e-7
-0.00003708384969478609	5.309004975552791e-11	NaN	NaN	NaN	-25998.26912616912	4.594799127299742e6	0.
-0.000033436257921528444	5.309004975552791e-11	NaN	NaN	NaN	-28608.156245523103	5.289246651411157e6	0.
-0.000044682999222406196	5.309004975552791e-11	NaN	NaN	NaN	-21814.470712846625	3.5452861823644894e6	0.
-0.00004073144146804374	5.309004975552791e-11	NaN	NaN	NaN	-23812.005901507167	4.0360725483819116e6	0.
-0.000036931866704233694	5.309004975552791e-11	NaN	NaN	NaN	-26097.803852023724	4.620748801875277e6	0.
-0.000033284274930976045	5.309004975552791e-11	NaN	NaN	NaN	-28727.84143902938	5.321773069197718e6	0.
-0.00004453101623185379	5.309004975552791e-11	NaN	NaN	NaN	-21885.236031841407	3.5623369390530307e6	0.
-0.00004057945847749134	5.309004975552791e-11	NaN	NaN	NaN	-23895.949969985122	4.05711845004129e6	0.
-0.00003677988371368129	5.309004975552791e-11	NaN	NaN	NaN	-26198.07674967912	4.646935358036762e6	0.
-0.00003313229194042364	5.309004975552791e-11	NaN	NaN	NaN	-28848.48971813225	5.3546196991001265e6	0.
-0.00004437903324130139	5.309004975552791e-11	NaN	NaN	NaN	-21956.450470344647	3.57952129059054e6	0.
