# Filename	binding_0\606edb4c-3670-493a-abf8-870c0bae5de6.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:35:35
# Dir	-1
# field	3.3643145083173365e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.3643145083173365e-11	NaN	NaN	NaN	-21588.38790548689	3.502660675045901e6	0.
-0.00004164333941135815	3.3643145083173365e-11	NaN	NaN	NaN	-23564.823219069003	3.990087251360523e6	0.
-0.0000378437646475481	3.3643145083173365e-11	NaN	NaN	NaN	-25831.243656910945	4.57300455491848e6	0.
-0.000034044189883738054	3.3643145083173365e-11	NaN	NaN	NaN	-28567.120913045565	5.308665996285971e6	0.
-0.000045442914175168206	3.3643145083173365e-11	NaN	NaN	NaN	-21658.349882942926	3.519568266679293e6	-1.3658034101954212e-7
-0.00004149135642080575	3.3643145083173365e-11	NaN	NaN	NaN	-23647.958634101058	4.011025777966211e6	0.
-0.0000376917816569957	3.3643145083173365e-11	NaN	NaN	NaN	-25930.80209249715	4.599175025096974e6	0.
-0.00003389220689318565	3.3643145083173365e-11	NaN	NaN	NaN	-28688.335404265625	5.342033703682929e6	0.
-0.0000452909311846158	3.3643145083173365e-11	NaN	NaN	NaN	-21728.759676209775	3.536610601052605e6	-1.5916410908913352e-7
-0.00004133937343025335	3.3643145083173365e-11	NaN	NaN	NaN	-23731.671773902293	4.0321456611205456e6	0.
-0.0000375397986664433	3.3643145083173365e-11	NaN	NaN	NaN	-26031.113759356962	4.625589649170466e6	0.
-0.00003374022390263325	3.3643145083173365e-11	NaN	NaN	NaN	-28810.55487609821	5.375741972251254e6	0.
-0.0000451389481940634	3.3643145083173365e-11	NaN	NaN	NaN	-21799.621529750188	3.5537887258490557e6	-2.845471910996881e-7
-0.000041187390439700946	3.3643145083173365e-11	NaN	NaN	NaN	-23815.968566287604	4.053445935924622e6	0.
-0.0000373878156758909	3.3643145083173365e-11	NaN	NaN	NaN	-26132.18704102162	4.652254088901573e6	0.
-0.00003358824091208085	3.3643145083173365e-11	NaN	NaN	NaN	-28933.791525668672	5.40979603308965e6	-3.205286656485468e-7
-0.000044986965203511	3.3643145083173365e-11	NaN	NaN	NaN	-21870.93974094271	3.5711045630593454e6	0.
-0.00004103540744914855	3.3643145083173365e-11	NaN	NaN	NaN	-23900.855018824208	4.0749337541426835e6	0.
-0.00003723583268533849	3.3643145083173365e-11	NaN	NaN	NaN	-26234.030442873343	4.679167018450658e6	0.
-0.000033436257921528444	3.3643145083173365e-11	NaN	NaN	NaN	-29058.05774233098	5.444205312814185e6	0.
-0.000044834982212958595	3.3643145083173365e-11	NaN	NaN	NaN	-21942.71866089468	3.5885588009617e6	0.
-0.00004088342445859614	3.3643145083173365e-11	NaN	NaN	NaN	-23986.3372201483	4.096603768743783e6	-2.564835298144097e-7
-0.00003708384969478609	3.3643145083173365e-11	NaN	NaN	NaN	-26336.65259430931	4.706335594161013e6	0.
-0.000033284274930976045	3.3643145083173365e-11	NaN	NaN	NaN	-29183.366111344527	5.478964514820281e6	0.
-0.000044682999222406196	3.3643145083173365e-11	NaN	NaN	NaN	-22014.96269526933	3.606152939049478e6	-2.4031327510845556e-7
-0.00004073144146804374	3.3643145083173365e-11	NaN	NaN	NaN	-24072.421341307814	4.1184659736800403e6	0.
-0.000036931866704233694	3.3643145083173365e-11	NaN	NaN	NaN	-26440.06225095011	4.733762455490892e6	0.
-0.00003313229194042364	3.3643145083173365e-11	NaN	NaN	NaN	-29309.72941763146	5.514086870501842e6	0.
-0.00004453101623185379	3.3643145083173365e-11	NaN	NaN	NaN	-22087.676305128232	3.6238904539734814e6	0.
-0.00004057945847749134	3.3643145083173365e-11	NaN	NaN	NaN	-24159.113637131617	4.1405191787522947e6	0.
-0.00003677988371368129	3.3643145083173365e-11	NaN	NaN	NaN	-26544.26829689399	4.761450481718377e6	0.
-0.00003298030894987124	3.3643145083173365e-11	NaN	NaN	NaN	-29437.16064961779	5.549574740355842e6	-5.362843260789484e-7
-0.00004437903324130139	3.3643145083173365e-11	NaN	NaN	NaN	-22160.86400778962	3.641770280371303e6	0.
-0.00004042747548693894	3.3643145083173365e-11	NaN	NaN	NaN	-24246.42044762434	4.162765437543236e6	-2.2962252191816587e-7
-0.00003662790072312889	3.3643145083173365e-11	NaN	NaN	NaN	-26649.279747018714	4.789404811984251e6	0.
-0.000032828325959318834	3.3643145083173365e-11	NaN	NaN	NaN	-29565.673003159776	5.585435775842277e6	0.
-0.000044227050250748985	3.3643145083173365e-11	NaN	NaN	NaN	-22234.530377701427	3.6597955167824025e6	0.
-0.00004027549249638654	3.3643145083173365e-11	NaN	NaN	NaN	-24334.348199389362	4.185210966122116e6	0.
-0.00003647591773257648	3.3643145083173365e-11	NaN	NaN	NaN	-26755.1057493311	4.817623240562743e6	0.
-0.000032676342968766434	3.3643145083173365e-11	NaN	NaN	NaN	-29695.27988555886	5.621672439778783e6	0.
-0.000044075067260196586	3.3643145083173365e-11	NaN	NaN	NaN	-22308.68004733094	3.6779668197547025e6	0.
-0.00004012350950583413	3.3643145083173365e-11	NaN	NaN	NaN	-24422.903407080023	4.207849335712553e6	-2.8925981299117486e-7
-0.00003632393474202408	3.3643145083173365e-11	NaN	NaN	NaN	-26861.755587366173	4.84611502497037e6	0.
-0.000032524359978214035	3.3643145083173365e-11	NaN	NaN	NaN	-29825.994919665307	5.658290564254411e6	0.
-0.000043923084269644186	3.3643145083173365e-11	NaN	NaN	NaN	-22383.317708070772	3.696287360069874e6	0.
-0.00003997152651528173	3.3643145083173365e-11	NaN	NaN	NaN	-24512.09267487832	4.230692501468121e6	0.
-0.000036171951751471684	3.3643145083173365e-11	NaN	NaN	NaN	-26969.238682636493	4.874881998984583e6	0.
-0.00003237237698766163	3.3643145083173365e-11	NaN	NaN	NaN	-29957.83194807492	5.69529653696532e6	0.
-0.00004377110127909178	3.3643145083173365e-11	NaN	NaN	NaN	-22458.44811116113	3.7147567260218e6	0.
-0.000039819543524729326	3.3643145083173365e-11	NaN	NaN	NaN	-24601.922698003804	4.253739162147391e6	0.
