# Filename	binding_0\615f5deb-446d-4475-b3eb-4f08e7a5c2c2.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:36:20
# Dir	-1
# field	3.6560180784026543e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.6560180784026543e-11	NaN	NaN	NaN	-21559.56788727309	3.4939510219174204e6	0.
-0.00004164333941135815	3.6560180784026543e-11	NaN	NaN	NaN	-23527.469801431	3.9783212056315127e6	0.
-0.0000378437646475481	3.6560180784026543e-11	NaN	NaN	NaN	-25782.253879524276	4.556896096363658e6	0.
-0.000034044189883738054	3.6560180784026543e-11	NaN	NaN	NaN	-28501.23398105788	5.285971336865565e6	0.
-0.000045442914175168206	3.6560180784026543e-11	NaN	NaN	NaN	-21629.252167089307	3.510761849508974e6	0.
-0.00004149135642080575	3.6560180784026543e-11	NaN	NaN	NaN	-23610.214184147844	3.999116787064112e6	0.
-0.0000376917816569957	3.6560180784026543e-11	NaN	NaN	NaN	-25881.25346957746	4.582853239567439e6	0.
-0.00003389220689318565	3.6560180784026543e-11	NaN	NaN	NaN	-28621.62383824124	5.319009851480888e6	0.
-0.0000452909311846158	3.6560180784026543e-11	NaN	NaN	NaN	-21699.380722926762	3.5277051653580293e6	0.
-0.00004133937343025335	3.6560180784026543e-11	NaN	NaN	NaN	-23693.530886360484	4.0200905226545217e6	0.
-0.0000375397986664433	3.6560180784026543e-11	NaN	NaN	NaN	-25980.997892914565	4.609051130270694e6	0.
-0.00003374022390263325	3.6560180784026543e-11	NaN	NaN	NaN	-28743.00512301293	5.352384687989778e6	0.
-0.0000451389481940634	3.6560180784026543e-11	NaN	NaN	NaN	-21769.957743303457	3.5447831042791377e6	0.
-0.000041187390439700946	3.6560180784026543e-11	NaN	NaN	NaN	-23777.4257434251	4.0412438973821243e6	-2.4362894261078894e-7
-0.0000373878156758909	3.6560180784026543e-11	NaN	NaN	NaN	-26081.495377294377	4.635494155014837e6	0.
-0.00003358824091208085	3.6560180784026543e-11	NaN	NaN	NaN	-28865.389758497917	5.386097802323764e6	0.
-0.000044986965203511	3.6560180784026543e-11	NaN	NaN	NaN	-21840.98746860106	3.5619967877186504e6	0.
-0.00004103540744914855	3.6560180784026543e-11	NaN	NaN	NaN	-23861.90466857197	4.062580940278271e6	0.
-0.00003723583268533849	3.6560180784026543e-11	NaN	NaN	NaN	-26182.754268905504	4.662184673300663e6	0.
-0.000033436257921528444	3.6560180784026543e-11	NaN	NaN	NaN	-28988.789853516682	5.420157029854469e6	0.
-0.000044834982212958595	3.6560180784026543e-11	NaN	NaN	NaN	-21912.474191855086	3.579347822448377e6	0.
-0.00004088342445859614	3.6560180784026543e-11	NaN	NaN	NaN	-23946.973654179164	4.0841028363838987e6	0.
-0.00003708384969478609	3.6560180784026543e-11	NaN	NaN	NaN	-26284.78303444391	4.689125772107336e6	0.
-0.000033284274930976045	3.6560180784026543e-11	NaN	NaN	NaN	-29113.217706082174	5.454564797933539e6	0.
-0.000044682999222406196	3.6560180784026543e-11	NaN	NaN	NaN	-21984.42225955877	3.5968378707754514e6	0.
-0.00004073144146804374	3.6560180784026543e-11	NaN	NaN	NaN	-24032.638773069328	4.105808848939177e6	0.
-0.000036931866704233694	3.6560180784026543e-11	NaN	NaN	NaN	-26387.590263232618	4.716320209272271e6	-2.4553370238253113e-7
-0.00003313229194042364	3.6560180784026543e-11	NaN	NaN	NaN	-29238.68580697433	5.48932738055846e6	0.
-0.00004453101623185379	3.6560180784026543e-11	NaN	NaN	NaN	-22056.83607248144	3.614468279356141e6	0.
-0.00004057945847749134	3.6560180784026543e-11	NaN	NaN	NaN	-24118.90617983265	4.1277051166303516e6	0.
-0.00003677988371368129	3.6560180784026543e-11	NaN	NaN	NaN	-26491.184669384416	4.743773301655558e6	0.
-0.00003298030894987124	3.6560180784026543e-11	NaN	NaN	NaN	-29365.206843391166	5.524449273205394e6	0.
-0.00004437903324130139	3.6560180784026543e-11	NaN	NaN	NaN	-22129.72008650185	3.6322403724972373e6	0.
-0.00004042747548693894	3.6560180784026543e-11	NaN	NaN	NaN	-24205.782112174446	4.1497926525493306e6	0.
-0.00003662790072312889	3.6560180784026543e-11	NaN	NaN	NaN	-26595.57509401015	4.771487235241537e6	0.
-0.000032828325959318834	3.6560180784026543e-11	NaN	NaN	NaN	-29492.793702680454	5.55993677322226e6	0.
-0.000044227050250748985	3.6560180784026543e-11	NaN	NaN	NaN	-22203.078813456574	3.650156779875825e6	0.
-0.00004027549249638654	3.6560180784026543e-11	NaN	NaN	NaN	-24293.272892289286	4.1720730760102104e6	-2.908717470753028e-7
-0.00003647591773257648	3.6560180784026543e-11	NaN	NaN	NaN	-26700.770507470952	4.799463332291454e6	0.
-0.000032676342968766434	3.6560180784026543e-11	NaN	NaN	NaN	-29621.459476152446	5.595792149599728e6	0.
-0.000044075067260196586	3.6560180784026543e-11	NaN	NaN	NaN	-22276.916822003273	3.668216922462794e6	0.
-0.00004012350950583413	3.6560180784026543e-11	NaN	NaN	NaN	-24381.384928261305	4.194550657847252e6	0.
-0.00003632393474202408	3.6560180784026543e-11	NaN	NaN	NaN	-26806.780011678293	4.827707001415113e6	0.
-0.000032524359978214035	3.6560180784026543e-11	NaN	NaN	NaN	-29751.217462976958	5.632021064748541e6	-3.6071176227253205e-7
-0.000043923084269644186	3.6560180784026543e-11	NaN	NaN	NaN	-22351.238738500713	3.686424704332932e6	0.
-0.00003997152651528173	3.6560180784026543e-11	NaN	NaN	NaN	-24470.124715492533	4.217226070954021e6	0.
-0.000036171951751471684	3.6560180784026543e-11	NaN	NaN	NaN	-26913.612842440998	4.856222098221184e6	0.
-0.00003237237698766163	3.6560180784026543e-11	NaN	NaN	NaN	-29882.081174165323	5.66863267764496e6	0.
-0.00004377110127909178	3.6560180784026543e-11	NaN	NaN	NaN	-22426.04924790342	3.7047804294219473e6	0.
-0.000039819543524729326	3.6560180784026543e-11	NaN	NaN	NaN	-24559.4988381579	4.240101172070498e6	0.
-0.00003601996876091928	3.6560180784026543e-11	NaN	NaN	NaN	-27021.278371860935	4.885011497691657e6	0.
-0.00003222039399710923	3.6560180784026543e-11	NaN	NaN	NaN	-30014.064336640957	5.705628692678579e6	0.
-0.00004361911828853938	3.6560180784026543e-11	NaN	NaN	NaN	-22501.35309467413	3.7232865030043507e6	0.
-0.00003966756053417693	3.6560180784026543e-11	NaN	NaN	NaN	-24649.513970689623	4.263179623842992e6	0.
-0.00003586798577036688	3.6560180784026543e-11	NaN	NaN	NaN	-27129.78611077884	4.914078995027303e6	0.
-0.000043467135297986975	3.6560180784026543e-11	NaN	NaN	NaN	-22577.155083711645	3.74194413492636e6	0.
-0.00003951557754362453	3.6560180784026543e-11	NaN	NaN	NaN	-24740.176879290128	4.286462873985557e6	-3.1190698347887167e-7
-0.000032068411006556824	3.6560180784026543e-11	NaN	NaN	NaN	-30147.18089739906	5.743016975129099e6	0.
-0.00003571600277981447	3.6560180784026543e-11	NaN	NaN	NaN	-27239.14571127091	4.943427747089654e6	0.
-0.000031916428016004425	3.6560180784026543e-11	NaN	NaN	NaN	-30281.445027758724	5.780799459319742e6	0.
-0.000043315152307434576	3.6560180784026543e-11	NaN	NaN	NaN	-22653.46008129683	3.7607553175101536e6	0.
-0.00003936359455307212	3.6560180784026543e-11	NaN	NaN	NaN	-24831.494423474644	4.309956033807339e6	0.
-0.000035564019789262074	3.6560180784026543e-11	NaN	NaN	NaN	-27349.36696919787	4.973062303067348e6	0.
-0.000031764445025452026	3.6560180784026543e-11	NaN	NaN	NaN	-30416.871127709932	5.818984625128297e6	-2.856520897721413e-7
-0.00004316316931688218	3.6560180784026543e-11	NaN	NaN	NaN	-22730.2730160552	3.779721749643788e6	0.
-0.00003921161156251972	3.6560180784026543e-11	NaN	NaN	NaN	-24923.47355764464	4.333658425550067e6	0.
