# Filename	binding_0\654c2c6c-b8a8-4a5a-88f0-a7e04a017e5e.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:50:51
# Dir	1
# field	2.9948233195426e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	2.9948233195426e-11	NaN	NaN	NaN	22257.67668615361	3.70899209817461e6	0.
-0.00004164333941135815	2.9948233195426e-11	NaN	NaN	NaN	24443.117812699733	4.273426400052481e6	0.
-0.0000378437646475481	2.9948233195426e-11	NaN	NaN	NaN	27001.397222757394	4.969057373539881e6	0.
-0.000034044189883738054	2.9948233195426e-11	NaN	NaN	NaN	30174.545667058446	5.8824806154925525e6	0.
-0.000045442914175168206	2.9948233195426e-11	NaN	NaN	NaN	22334.370927411004	3.728323764382232e6	0.
-0.00004149135642080575	2.9948233195426e-11	NaN	NaN	NaN	24535.93436894167	4.2980123995412765e6	-2.1905201878173018e-7
-0.0000376917816569957	2.9948233195426e-11	NaN	NaN	NaN	27115.16571520236	5.000848360198721e6	0.
-0.00003389220689318565	2.9948233195426e-11	NaN	NaN	NaN	30317.498759307608	5.924919605571793e6	0.
-0.0000452909311846158	2.9948233195426e-11	NaN	NaN	NaN	22411.60363330848	3.747826842810726e6	0.
-0.00004133937343025335	2.9948233195426e-11	NaN	NaN	NaN	24629.47159925267	4.3228408784128e6	0.
-0.0000375397986664433	2.9948233195426e-11	NaN	NaN	NaN	27229.91883971862	5.032989203954602e6	0.
-0.00003374022390263325	2.9948233195426e-11	NaN	NaN	NaN	30461.851691898468	5.967887580686291e6	0.
-0.0000451389481940634	2.9948233195426e-11	NaN	NaN	NaN	22489.38058082935	3.7675037464298015e6	0.
-0.000041187390439700946	2.9948233195426e-11	NaN	NaN	NaN	24723.73808417304	4.347913430902656e6	0.
-0.0000373878156758909	2.9948233195426e-11	NaN	NaN	NaN	27345.669722074847	5.065479839925693e6	0.
-0.00003358824091208085	2.9948233195426e-11	NaN	NaN	NaN	30607.625707683994	6.011392612304938e6	-5.660886755767441e-7
-0.000044986965203511	2.9948233195426e-11	NaN	NaN	NaN	22567.70763112061	3.787355043858673e6	0.
-0.00004103540744914855	2.9948233195426e-11	NaN	NaN	NaN	24818.74254343745	4.373233017267736e6	-1.8109804404721695e-7
-0.00003723583268533849	2.9948233195426e-11	NaN	NaN	NaN	27462.431727452324	5.098331628020168e6	0.
-0.000033436257921528444	2.9948233195426e-11	NaN	NaN	NaN	30754.842493124674	6.055446523198511e6	0.
-0.000044834982212958595	2.9948233195426e-11	NaN	NaN	NaN	22646.590731053806	3.8073843349006223e6	0.
-0.00004088342445859614	2.9948233195426e-11	NaN	NaN	NaN	24914.49383885745	4.398805139714249e6	0.
-0.00003708384969478609	2.9948233195426e-11	NaN	NaN	NaN	27580.218466040405	5.131548391380119e6	0.
-0.000033284274930976045	2.9948233195426e-11	NaN	NaN	NaN	30903.524190221535	6.100059092403161e6	0.
-0.000044682999222406196	2.9948233195426e-11	NaN	NaN	NaN	22726.035914820233	3.8275941882675826e6	0.
-0.00004073144146804374	2.9948233195426e-11	NaN	NaN	NaN	25011.000977277614	4.424631168627642e6	-2.2720753581524596e-7
-0.000036931866704233694	2.9948233195426e-11	NaN	NaN	NaN	27699.04379879337	5.16513681187541e6	0.
-0.00003313229194042364	2.9948233195426e-11	NaN	NaN	NaN	31053.693408844145	6.145229657047764e6	-3.12497944994268e-7
-0.00004453101623185379	2.9948233195426e-11	NaN	NaN	NaN	22806.049305562527	3.8479867111001667e6	0.
-0.00004057945847749134	2.9948233195426e-11	NaN	NaN	NaN	25108.27311360494	4.450716293575942e6	-1.7490334407282143e-7
-0.00003677988371368129	2.9948233195426e-11	NaN	NaN	NaN	27818.921843353182	5.199100821676274e6	0.
-0.00003298030894987124	2.9948233195426e-11	NaN	NaN	NaN	31205.373239471166	6.190983861376553e6	0.
-0.00004437903324130139	2.9948233195426e-11	NaN	NaN	NaN	22886.637117044284	3.8685633595383456e6	0.
-0.00004042747548693894	2.9948233195426e-11	NaN	NaN	NaN	25206.319553918045	4.477064073740296e6	-6.855901015611055e-7
-0.00003662790072312889	2.9948233195426e-11	NaN	NaN	NaN	27939.86698014429	5.233447049008483e6	0.
-0.000032828325959318834	2.9948233195426e-11	NaN	NaN	NaN	31358.587266359176	6.237323662540867e6	0.
-0.000044227050250748985	2.9948233195426e-11	NaN	NaN	NaN	22967.80565535712	3.8893248345910925e6	0.
-0.00004027549249638654	2.9948233195426e-11	NaN	NaN	NaN	25305.14975865504	4.503677148475535e6	-2.677916687539598e-7
-0.00003647591773257648	2.9948233195426e-11	NaN	NaN	NaN	28061.89385864617	5.2681816891218815e6	0.
-0.000032676342968766434	2.9948233195426e-11	NaN	NaN	NaN	31513.359581156827	6.284262684091797e6	0.
-0.000044075067260196586	2.9948233195426e-11	NaN	NaN	NaN	23049.561320667442	3.9102772900138893e6	0.
-0.00004012350950583413	2.9948233195426e-11	NaN	NaN	NaN	25404.77334588376	4.5305611677947445e6	0.
-0.00003632393474202408	2.9948233195426e-11	NaN	NaN	NaN	28185.017403850397	5.303313639399451e6	0.
-0.000032524359978214035	2.9948233195426e-11	NaN	NaN	NaN	31669.71479698291	6.331810659689277e6	-2.3738117678936544e-7
-0.000043923084269644186	2.9948233195426e-11	NaN	NaN	NaN	23131.910609003287	3.9314216378791877e6	0.
-0.00003997152651528173	2.9948233195426e-11	NaN	NaN	NaN	25505.20009465772	4.557717713829787e6	-2.672805786448924e-7
-0.000036171951751471684	2.9948233195426e-11	NaN	NaN	NaN	28309.25282290708	5.338845695894433e6	0.
-0.00003237237698766163	2.9948233195426e-11	NaN	NaN	NaN	31827.678062986546	6.379982099507814e6	0.
-0.00004377110127909178	2.9948233195426e-11	NaN	NaN	NaN	23214.860114083087	3.9527601169913453e6	-1.398832481723802e-7
-0.000039819543524729326	2.9948233195426e-11	NaN	NaN	NaN	25606.439948458203	4.585153648126383e6	0.
-0.00003601996876091928	2.9948233195426e-11	NaN	NaN	NaN	28434.615611970323	5.374787116420201e6	0.
-0.00003222039399710923	2.9948233195426e-11	NaN	NaN	NaN	31987.275079410963	6.428786834504114e6	0.
-0.00004361911828853938	2.9948233195426e-11	NaN	NaN	NaN	23298.416529185888	3.9742958438946735e6	-1.6377944530037898e-7
-0.00003966756053417693	2.9948233195426e-11	NaN	NaN	NaN	25708.503018728294	4.612872200689099e6	0.
-0.00003586798577036688	2.9948233195426e-11	NaN	NaN	NaN	28561.121563246168	5.411142438552081e6	-3.720154851419732e-7
-0.000032068411006556824	2.9948233195426e-11	NaN	NaN	NaN	32148.53211317874	6.47823414698565e6	0.
-0.000043467135297986975	2.9948233195426e-11	NaN	NaN	NaN	23382.586649067372	3.9960333798790704e6	0.
-0.00003951557754362453	2.9948233195426e-11	NaN	NaN	NaN	25811.39958849835	4.640873636353289e6	0.
-0.00003571600277981447	2.9948233195426e-11	NaN	NaN	NaN	28688.786772253025	5.447921754676984e6	0.
-0.000031916428016004425	2.9948233195426e-11	NaN	NaN	NaN	32311.476014023596	6.528338978864352e6	-5.439971945092711e-7
-0.000043315152307434576	2.9948233195426e-11	NaN	NaN	NaN	23467.377371919087	4.0179684998567863e6	-2.241113724711399e-7
-0.00003936359455307212	2.9948233195426e-11	NaN	NaN	NaN	25915.140116108618	4.6691658847412625e6	-3.930234619030678e-7
