# Filename	binding_0\66360ada-e34f-4e0a-9a68-63dc91fbdb37.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:41:49
# Dir	-1
# field	5.756283783016946e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.756283783016946e-11	NaN	NaN	NaN	-21356.46177258053	3.432973880201521e6	0.
-0.00004164333941135815	5.756283783016946e-11	NaN	NaN	NaN	-23265.253465588266	3.8963621683576936e6	-6.418064738285199e-7
-0.0000378437646475481	5.756283783016946e-11	NaN	NaN	NaN	-25440.008023161503	4.44538609921474e6	0.
-0.000034044189883738054	5.756283783016946e-11	NaN	NaN	NaN	-28043.826354911274	5.130143325532947e6	0.
-0.000045442914175168206	5.756283783016946e-11	NaN	NaN	NaN	-21424.216404292292	3.4491122711692047e6	-4.2787852537740674e-7
-0.00004149135642080575	5.756283783016946e-11	NaN	NaN	NaN	-23345.29809403146	3.9161814838198754e6	0.
-0.0000376917816569957	5.756283783016946e-11	NaN	NaN	NaN	-25535.17966121975	4.469901852121043e6	0.
-0.00003389220689318565	5.756283783016946e-11	NaN	NaN	NaN	-28158.6253160243	5.160984915373877e6	0.
-0.0000452909311846158	5.756283783016946e-11	NaN	NaN	NaN	-21492.391144847144	3.4653755642117453e6	0.
-0.00004133937343025335	5.756283783016946e-11	NaN	NaN	NaN	-23425.878490407013	3.9361637167325015e6	0.
-0.0000375397986664433	5.756283783016946e-11	NaN	NaN	NaN	-25631.040007469215	4.4946347116746865e6	0.
-0.00003374022390263325	5.756283783016946e-11	NaN	NaN	NaN	-28274.32649403684	5.192123439587477e6	0.
-0.0000451389481940634	5.756283783016946e-11	NaN	NaN	NaN	-21560.989808857674	3.4817628244782565e6	0.
-0.000041187390439700946	5.756283783016946e-11	NaN	NaN	NaN	-23506.99988034744	3.9563103386405245e6	0.
-0.0000373878156758909	5.756283783016946e-11	NaN	NaN	NaN	-25727.596279160898	4.519588555878167e6	0.
-0.00003358824091208085	5.756283783016946e-11	NaN	NaN	NaN	-28390.94007193119	5.223561203410517e6	0.
-0.000044986965203511	5.756283783016946e-11	NaN	NaN	NaN	-21630.016255943825	3.498276291073427e6	0.
-0.00004103540744914855	5.756283783016946e-11	NaN	NaN	NaN	-23588.667555339427	3.9766246020462885e6	0.
-0.00003723583268533849	5.756283783016946e-11	NaN	NaN	NaN	-25824.855790553018	4.54476515455607e6	0.
-0.000033436257921528444	5.756283783016946e-11	NaN	NaN	NaN	-28508.47637862063	5.255303275205645e6	0.
-0.000044834982212958595	5.756283783016946e-11	NaN	NaN	NaN	-21699.474391378022	3.5149170292213317e6	0.
-0.00004088342445859614	5.756283783016946e-11	NaN	NaN	NaN	-23670.886873724583	3.9971079174745632e6	0.
-0.00003708384969478609	5.756283783016946e-11	NaN	NaN	NaN	-25922.825954469663	4.57016820813891e6	0.
-0.000033284274930976045	5.756283783016946e-11	NaN	NaN	NaN	-28626.945891414776	5.287354096007705e6	0.
-0.000044682999222406196	5.756283783016946e-11	NaN	NaN	NaN	-21769.36816674104	3.531686954222738e6	0.
-0.00004073144146804374	5.756283783016946e-11	NaN	NaN	NaN	-23753.66326171817	4.017761411230319e6	0.
-0.000036931866704233694	5.756283783016946e-11	NaN	NaN	NaN	-26021.514283886958	4.595798662803983e6	0.
-0.00003313229194042364	5.756283783016946e-11	NaN	NaN	NaN	-28746.359238531288	5.319716280157328e6	0.
-0.00004453101623185379	5.756283783016946e-11	NaN	NaN	NaN	-21839.701580588506	3.5485866200733325e6	0.
-0.00004057945847749134	5.756283783016946e-11	NaN	NaN	NaN	-23837.002214445758	4.038588031787939e6	0.
-0.00003677988371368129	5.756283783016946e-11	NaN	NaN	NaN	-26120.92839354917	4.62166114411867e6	0.
-0.00003298030894987124	5.756283783016946e-11	NaN	NaN	NaN	-28866.72720165509	5.352394236131825e6	0.
-0.00004437903324130139	5.756283783016946e-11	NaN	NaN	NaN	-21910.478679129068	3.5656188308730214e6	0.
-0.00004042747548693894	5.756283783016946e-11	NaN	NaN	NaN	-23920.909296997608	4.0595889302270277e6	-6.333653762901807e-7
-0.00003662790072312889	5.756283783016946e-11	NaN	NaN	NaN	-26221.07600161329	4.647756976271574e6	0.
-0.000032828325959318834	5.756283783016946e-11	NaN	NaN	NaN	-28988.060718545457	5.385392515986093e6	0.
-0.000044227050250748985	5.756283783016946e-11	NaN	NaN	NaN	-21981.70355691325	3.5827818427911424e6	-3.3715252977851766e-7
-0.00004027549249638654	5.756283783016946e-11	NaN	NaN	NaN	-24005.39014550166	4.080767625027245e6	0.
-0.00003647591773257648	5.756283783016946e-11	NaN	NaN	NaN	-26321.96493132486	4.674090312931485e6	0.
-0.000032676342968766434	5.756283783016946e-11	NaN	NaN	NaN	-29110.370885692224	5.418714915682138e6	0.
-0.000044075067260196586	5.756283783016946e-11	NaN	NaN	NaN	-22053.38035753443	3.600082322335238e6	0.
-0.00004012350950583413	5.756283783016946e-11	NaN	NaN	NaN	-24090.450468216244	4.1021243820098033e6	0.
-0.00003632393474202408	5.756283783016946e-11	NaN	NaN	NaN	-26423.60311272346	4.700662436279263e6	-4.7008945727377093e-7
-0.000032524359978214035	5.756283783016946e-11	NaN	NaN	NaN	-29233.668961022162	5.452366018014759e6	0.
-0.000043923084269644186	5.756283783016946e-11	NaN	NaN	NaN	-22125.51327434138	3.617517320448113e6	0.
-0.00003997152651528173	5.756283783016946e-11	NaN	NaN	NaN	-24176.09604664082	4.123661858604711e6	0.
-0.000036171951751471684	5.756283783016946e-11	NaN	NaN	NaN	-26525.998584380275	4.727478527337454e6	-5.919887474993068e-7
-0.00003237237698766163	5.756283783016946e-11	NaN	NaN	NaN	-29357.966366656252	5.486350073855827e6	0.
-0.00004377110127909178	5.756283783016946e-11	NaN	NaN	NaN	-22198.106551162633	3.635087182904251e6	0.
-0.000039819543524729326	5.756283783016946e-11	NaN	NaN	NaN	-24262.33273664733	4.145382456066013e6	0.
-0.00003601996876091928	5.756283783016946e-11	NaN	NaN	NaN	-26629.159495167387	4.754540181025035e6	0.
-0.00003222039399710923	5.756283783016946e-11	NaN	NaN	NaN	-29483.27469171907	5.520673086482443e6	0.
-0.00004361911828853938	5.756283783016946e-11	NaN	NaN	NaN	-22271.164483043463	3.6527975621444983e6	0.
-0.00003966756053417693	5.756283783016946e-11	NaN	NaN	NaN	-24349.1664696309	4.1672876799437427e6	0.
-0.00003586798577036688	5.756283783016946e-11	NaN	NaN	NaN	-26733.09410605974	4.781850395892107e6	0.
-0.000032068411006556824	5.756283783016946e-11	NaN	NaN	NaN	-29609.605695200826	5.555334815021205e6	0.
-0.000043467135297986975	5.756283783016946e-11	NaN	NaN	NaN	-22344.691416994872	3.6706482033481854e6	0.
-0.00003951557754362453	5.756283783016946e-11	NaN	NaN	NaN	-24436.60325368168	4.189380611308989e6	0.
-0.00003571600277981447	5.756283783016946e-11	NaN	NaN	NaN	-26837.810791969943	4.809413157688962e6	0.
-0.000031916428016004425	5.756283783016946e-11	NaN	NaN	NaN	-29736.971308874297	5.590344173866869e6	0.
-0.000043315152307434576	5.756283783016946e-11	NaN	NaN	NaN	-22418.691752755552	3.6886405924211573e6	0.
-0.00003936359455307212	5.756283783016946e-11	NaN	NaN	NaN	-24524.64917477663	4.211662064735147e6	0.
-0.000035564019789262074	5.756283783016946e-11	NaN	NaN	NaN	-26943.318043617324	4.837229584977796e6	0.
-0.000031764445025452026	5.756283783016946e-11	NaN	NaN	NaN	-29865.383640265918	5.625704007775031e6	-6.135390399756513e-7
-0.00004316316931688218	5.756283783016946e-11	NaN	NaN	NaN	-22493.169943566743	3.706776172455521e6	0.
-0.00003921161156251972	5.756283783016946e-11	NaN	NaN	NaN	-24613.31039799339	4.2341351499702195e6	0.
-0.00003541203679870967	5.756283783016946e-11	NaN	NaN	NaN	-27049.624469431732	4.865304545694937e6	0.
-0.00003161246203489962	5.756283783016946e-11	NaN	NaN	NaN	-29994.854975683258	5.661420013533351e6	0.
-0.00004301118632632977	5.756283783016946e-11	NaN	NaN	NaN	-22568.130496960213	3.7250565390792536e6	0.
-0.00003905962857196732	5.756283783016946e-11	NaN	NaN	NaN	-24702.59316874516	4.256801857751208e6	0.
-0.00003526005380815727	5.756283783016946e-11	NaN	NaN	NaN	-27156.738797492035	4.893641044421711e6	0.
-0.00003146047904434722	5.756283783016946e-11	NaN	NaN	NaN	-30125.397783300545	5.697496495260251e6	0.
-0.00004285920333577737	5.756283783016946e-11	NaN	NaN	NaN	-22643.57797555966	3.74348364181216e6	0.
-0.00003890764558141492	5.756283783016946e-11	NaN	NaN	NaN	-24792.503814037926	4.27966484166455e6	0.
-0.00003510807081760487	5.756283783016946e-11	NaN	NaN	NaN	-27264.669877500903	4.922242033572902e6	0.
-0.000031308496053794814	5.756283783016946e-11	NaN	NaN	NaN	-30257.024716300966	5.733937490654084e6	0.
-0.000042707220345224966	5.756283783016946e-11	NaN	NaN	NaN	-22719.51699789573	3.762058141277913e6	0.
-0.00003875566259086252	5.756283783016946e-11	NaN	NaN	NaN	-24883.04874375003	4.302725492848597e6	0.
-0.00003495608782705246	5.756283783016946e-11	NaN	NaN	NaN	-27373.426682796246	4.951111461486324e6	0.
-0.000031156513063242415	5.756283783016946e-11	NaN	NaN	NaN	-30389.74861607997	5.770748612582256e6	0.
-0.000042555237354672566	5.756283783016946e-11	NaN	NaN	NaN	-22795.952239235186	3.7807822664198093e6	0.
-0.00003860367960031011	5.756283783016946e-11	NaN	NaN	NaN	-24974.23445193491	4.3259867775064185e6	0.
-0.000034804104836500064	5.756283783016946e-11	NaN	NaN	NaN	-27483.018312399752	4.980251088285597e6	0.
-0.00003100453007269001	5.756283783016946e-11	NaN	NaN	NaN	-30523.582515508173	5.807934840213514e6	0.
-0.00004240325436412017	5.756283783016946e-11	NaN	NaN	NaN	-22872.888432424053	3.799657715916787e6	0.
