# Filename	binding_0\6ed07959-f582-4125-b1ce-a45195bbb0cf.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:41:40
# Dir	-1
# field	5.6979430689998815e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.6979430689998815e-11	NaN	NaN	NaN	-21362.00199326009	3.4346277777523827e6	0.
-0.00004164333941135815	5.6979430689998815e-11	NaN	NaN	NaN	-23272.382526771304	3.89857661893137e6	0.
-0.0000378437646475481	5.6979430689998815e-11	NaN	NaN	NaN	-25449.275230617677	4.448381944662073e6	0.
-0.000034044189883738054	5.6979430689998815e-11	NaN	NaN	NaN	-28056.14684664448	5.134301212298033e6	0.
-0.000045442914175168206	5.6979430689998815e-11	NaN	NaN	NaN	-21429.80863077866	3.4507842626144933e6	-2.910286731522372e-7
-0.00004149135642080575	5.6979430689998815e-11	NaN	NaN	NaN	-23352.499520505982	3.918421142082651e6	0.
-0.0000376917816569957	5.6979430689998815e-11	NaN	NaN	NaN	-25544.548789859644	4.472935982325469e6	0.
-0.00003389220689318565	5.6979430689998815e-11	NaN	NaN	NaN	-28171.09338408112	5.165200035323824e6	0.
-0.0000452909311846158	5.6979430689998815e-11	NaN	NaN	NaN	-21498.036018647555	3.467065808274334e6	0.
-0.00004133937343025335	5.6979430689998815e-11	NaN	NaN	NaN	-23433.153244503268	3.938429310294273e6	0.
-0.0000375397986664433	5.6979430689998815e-11	NaN	NaN	NaN	-25640.512520168508	4.49770743677047e6	0.
-0.00003374022390263325	5.6979430689998815e-11	NaN	NaN	NaN	-28286.9444336105	5.196396738697854e6	0.
-0.0000451389481940634	5.6979430689998815e-11	NaN	NaN	NaN	-21566.68798122194	3.4834712352361274e6	0.
-0.000041187390439700946	5.6979430689998815e-11	NaN	NaN	NaN	-23514.348940099684	3.958603174483365e6	0.
-0.0000373878156758909	5.6979430689998815e-11	NaN	NaN	NaN	-25737.173664452956	4.522700961982141e6	0.
-0.00003358824091208085	5.6979430689998815e-11	NaN	NaN	NaN	-28403.710221589492	5.22789440719665e6	0.
-0.000044986965203511	5.6979430689998815e-11	NaN	NaN	NaN	-21635.768388039152	3.500003426741582e6	0.
-0.00004103540744914855	5.6979430689998815e-11	NaN	NaN	NaN	-23596.09191478719	3.978944433782661e6	0.
-0.00003723583268533849	5.6979430689998815e-11	NaN	NaN	NaN	-25834.539563155893	4.547917331034761e6	0.
-0.000033436257921528444	5.6979430689998815e-11	NaN	NaN	NaN	-28521.401121259445	5.259696853064807e6	0.
-0.000044834982212958595	5.6979430689998815e-11	NaN	NaN	NaN	-21705.28115446722	3.5166633391087665e6	0.
-0.00004088342445859614	5.6979430689998815e-11	NaN	NaN	NaN	-23678.387543220975	3.999455280630743e6	0.
-0.00003708384969478609	5.6979430689998815e-11	NaN	NaN	NaN	-25932.617655825143	4.573359658538162e6	0.
-0.000033284274930976045	5.6979430689998815e-11	NaN	NaN	NaN	-28640.02765523515	5.291808164247305e6	0.
-0.000044682999222406196	5.6979430689998815e-11	NaN	NaN	NaN	-21775.230242364512	3.533453191824267e6	0.
-0.00004073144146804374	5.6979430689998815e-11	NaN	NaN	NaN	-23761.241268244692	4.0201368466151217e6	0.
