# Filename	binding_0\768f3c66-8d3b-403e-8302-03f016702a81.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:47:17
# Dir	1
# field	1.4196240410818818e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.4196240410818818e-11	NaN	NaN	NaN	22084.129888819447	3.654731132092911e6	-1.2294460186975673e-7
-0.00004164333941135815	1.4196240410818818e-11	NaN	NaN	NaN	24213.308716217103	4.19803231839578e6	0.
-0.0000378437646475481	1.4196240410818818e-11	NaN	NaN	NaN	26691.690667720195	4.86208835039817e6	0.
-0.000034044189883738054	1.4196240410818818e-11	NaN	NaN	NaN	29742.46711231312	5.724352411137752e6	0.
-0.000045442914175168206	1.4196240410818818e-11	NaN	NaN	NaN	22159.02501339378	3.673404095528258e6	0.
-0.00004149135642080575	1.4196240410818818e-11	NaN	NaN	NaN	24303.49931819689	4.221608420545562e6	-1.4242336220880598e-7
-0.0000376917816569957	1.4196240410818818e-11	NaN	NaN	NaN	26801.53149245967	4.892286278873437e6	0.
-0.00003389220689318565	1.4196240410818818e-11	NaN	NaN	NaN	29879.25752889958	5.7641415522841e6	0.
-0.0000452909311846158	1.4196240410818818e-11	NaN	NaN	NaN	22234.433461125787	3.692237816628002e6	0.
-0.00004133937343025335	1.4196240410818818e-11	NaN	NaN	NaN	24394.370068475644	4.245408541685702e6	0.
-0.0000375397986664433	1.4196240410818818e-11	NaN	NaN	NaN	26912.28951047969	4.922800757113585e6	-1.2620316921426383e-7
-0.00003374022390263325	1.4196240410818818e-11	NaN	NaN	NaN	30017.328380100877	5.804400314179024e6	0.
-0.0000451389481940634	1.4196240410818818e-11	NaN	NaN	NaN	22310.36056498039	3.711233295853226e6	0.
-0.000041187390439700946	1.4196240410818818e-11	NaN	NaN	NaN	24485.92875565434	4.269435380826625e6	0.
-0.0000373878156758909	1.4196240410818818e-11	NaN	NaN	NaN	27023.976377703973	4.953637530058818e6	-3.4487483061876433e-7
-0.00003358824091208085	1.4196240410818818e-11	NaN	NaN	NaN	30156.69796211311	5.845135501488327e6	0.
-0.000044986965203511	1.4196240410818818e-11	NaN	NaN	NaN	22386.811732572325	3.730393918116831e6	-1.0924633630809461e-7
-0.00004103540744914855	1.4196240410818818e-11	NaN	NaN	NaN	24578.183288715365	4.29369003562458e6	-1.1644803962850035e-7
-0.00003723583268533849	1.4196240410818818e-11	NaN	NaN	NaN	27136.603950431367	4.984801366589165e6	0.
-0.000033436257921528444	1.4196240410818818e-11	NaN	NaN	NaN	30297.384925834358	5.886356267994926e6	0.
-0.000044834982212958595	1.4196240410818818e-11	NaN	NaN	NaN	22463.792447486656	3.7497211864468707e6	-1.4063691546042938e-7
-0.00004088342445859614	1.4196240410818818e-11	NaN	NaN	NaN	24671.141699377895	4.318179066048314e6	0.
-0.00003708384969478609	1.4196240410818818e-11	NaN	NaN	NaN	27250.184289703444	5.016296133049833e6	-2.4515448966876907e-7
-0.000033284274930976045	1.4196240410818818e-11	NaN	NaN	NaN	30439.408285607915	5.928069551825017e6	0.
-0.000044682999222406196	1.4196240410818818e-11	NaN	NaN	NaN	22541.308270626057	3.769217167705406e6	0.
-0.00004073144146804374	1.4196240410818818e-11	NaN	NaN	NaN	24764.812144508403	4.34290351957526e6	0.
