# Filename	binding_0\77c8cb9d-6d07-498d-b0b6-d0b23e19724c.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:41:15
# Dir	-1
# field	5.5423678316210454e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	5.5423678316210454e-11	NaN	NaN	NaN	-21376.803715470072	3.439049555939563e6	0.
-0.00004164333941135815	5.5423678316210454e-11	NaN	NaN	NaN	-23291.43552747813	3.904496608852648e6	0.
-0.0000378437646475481	5.5423678316210454e-11	NaN	NaN	NaN	-25474.052790917747	4.4563988756679855e6	0.
-0.000045442914175168206	5.5423678316210454e-11	NaN	NaN	NaN	-21444.749468003283	3.4552539326820388e6	-3.7704748859704234e-7
-0.00004149135642080575	5.5423678316210454e-11	NaN	NaN	NaN	-23371.74620450418	3.9244111164759537e6	0.
-0.0000376917816569957	5.5423678316210454e-11	NaN	NaN	NaN	-25569.59932262057	4.481054128247606e6	0.
-0.000034044189883738054	5.5423678316210454e-11	NaN	NaN	NaN	-28089.105386579507	5.145434843300483e6	0.
-0.0000452909311846158	5.5423678316210454e-11	NaN	NaN	NaN	-21513.117689578692	3.4715841590622626e6	0.
-0.00004133937343025335	5.5423678316210454e-11	NaN	NaN	NaN	-23452.59619214103	3.9444898555659484e6	0.
-0.0000375397986664433	5.5423678316210454e-11	NaN	NaN	NaN	-25665.839951816844	4.505929124584142e6	0.
-0.00003389220689318565	5.5423678316210454e-11	NaN	NaN	NaN	-28204.447515167645	5.176488137913294e6	0.
-0.0000451389481940634	5.5423678316210454e-11	NaN	NaN	NaN	-21581.912230702663	3.488039470214849e6	0.
-0.000041187390439700946	5.5423678316210454e-11	NaN	NaN	NaN	-23533.990773926624	3.9647351811740184e6	0.
-0.0000373878156758909	5.5423678316210454e-11	NaN	NaN	NaN	-25762.781990463234	4.531027252884258e6	0.
-0.00003374022390263325	5.5423678316210454e-11	NaN	NaN	NaN	-28320.700324178582	5.207840539164587e6	0.
-0.000044986965203511	5.5423678316210454e-11	NaN	NaN	NaN	-21651.13698753363	3.504621589414074e6	0.
-0.00004103540744914855	5.5423678316210454e-11	NaN	NaN	NaN	-23615.935300366775	3.985149319490396e6	0.
