# Filename	binding_0\78f45dfb-3cd7-4a5d-89f0-892a54bb58db.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:33:49
# Dir	-1
# field	2.6836728447849273e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	2.6836728447849273e-11	NaN	NaN	NaN	-21656.23430333728	3.5232206095293984e6	0.
-0.00004164333941135815	2.6836728447849273e-11	NaN	NaN	NaN	-23652.90442221795	4.0179222890719767e6	0.
-0.0000378437646475481	2.6836728447849273e-11	NaN	NaN	NaN	-25947.00246960681	4.611216180181118e6	0.
-0.000045442914175168206	2.6836728447849273e-11	NaN	NaN	NaN	-21726.853887139252	3.5403600350389546e6	0.
-0.00004149135642080575	2.6836728447849273e-11	NaN	NaN	NaN	-23736.968377326208	4.0392009763650442e6	-8.744919624692952e-7
-0.0000376917816569957	2.6836728447849273e-11	NaN	NaN	NaN	-26047.892469871673	4.637897633920928e6	0.
-0.000034044189883738054	2.6836728447849273e-11	NaN	NaN	NaN	-28723.22888498256	5.3626907332363045e6	0.
-0.0000452909311846158	2.6836728447849273e-11	NaN	NaN	NaN	-21797.9297315763	3.5576372219383414e6	0.
-0.00004133937343025335	2.6836728447849273e-11	NaN	NaN	NaN	-23821.623005797894	4.0606669083788334e6	0.
-0.0000375397986664433	2.6836728447849273e-11	NaN	NaN	NaN	-26149.555922447216	4.664828886784091e6	-5.510580150377956e-7
-0.00003389220689318565	2.6836728447849273e-11	NaN	NaN	NaN	-28846.417052254314	5.396848576652933e6	-2.484631460633637e-7
-0.0000451389481940634	2.6836728447849273e-11	NaN	NaN	NaN	-21869.466215783454	3.5750536847973284e6	0.
-0.000041187390439700946	2.6836728447849273e-11	NaN	NaN	NaN	-23906.874459315703	4.0823192894983822e6	0.
-0.0000373878156758909	2.6836728447849273e-11	NaN	NaN	NaN	-26252.001590762688	4.692019262191624e6	-8.505140872363491e-7
-0.00003374022390263325	2.6836728447849273e-11	NaN	NaN	NaN	-28970.64305331792	5.431363067910738e6	-1.6829335276039502e-7
-0.000044986965203511	2.6836728447849273e-11	NaN	NaN	NaN	-21941.467774371282	3.592611240316471e6	0.
-0.00004103540744914855	2.6836728447849273e-11	NaN	NaN	NaN	-23992.728973919042	4.1041612879636055e6	-5.695097763248745e-7
-0.00003723583268533849	2.6836728447849273e-11	NaN	NaN	NaN	-26355.2383685702	4.7194699225628665e6	-2.590555553941318e-7
-0.00003358824091208085	2.6836728447849273e-11	NaN	NaN	NaN	-29095.919759882818	5.466239563387198e6	0.
-0.000044834982212958595	2.6836728447849273e-11	NaN	NaN	NaN	-22013.938898294775	3.610310302410864e6	0.
-0.00004088342445859614	2.6836728447849273e-11	NaN	NaN	NaN	-24079.192871430518	4.1261973758372706e6	0.
-0.00003708384969478609	2.6836728447849273e-11	NaN	NaN	NaN	-26459.275282326085	4.7471842917461675e6	-3.725004921005307e-7
-0.000033436257921528444	2.6836728447849273e-11	NaN	NaN	NaN	-29222.260252276406	5.501481653065738e6	0.
-0.000044682999222406196	2.6836728447849273e-11	NaN	NaN	NaN	-22086.88413573895	3.62815365405509e6	0.
-0.00004073144146804374	2.6836728447849273e-11	NaN	NaN	NaN	-24166.272560911242	4.1484271236881576e6	0.
-0.000036931866704233694	2.6836728447849273e-11	NaN	NaN	NaN	-26564.121493623694	4.775166515833121e6	0.
-0.000033284274930976045	2.6836728447849273e-11	NaN	NaN	NaN	-29349.677823576967	5.537095006517569e6	0.
-0.00004453101623185379	2.6836728447849273e-11	NaN	NaN	NaN	-22160.308093020063	3.646142543832087e6	0.
-0.00004057945847749134	2.6836728447849273e-11	NaN	NaN	NaN	-24253.97454014512	4.170854934193522e6	0.
-0.00003677988371368129	2.6836728447849273e-11	NaN	NaN	NaN	-26669.786301678778	4.803419324791516e6	0.
-0.00003313229194042364	2.6836728447849273e-11	NaN	NaN	NaN	-29478.185983843763	5.573086123643021e6	0.
-0.00004437903324130139	2.6836728447849273e-11	NaN	NaN	NaN	-22234.215435504426	3.6642787385902978e6	0.
-0.00004042747548693894	2.6836728447849273e-11	NaN	NaN	NaN	-24342.305397152362	4.193481457637408e6	0.
-0.00003662790072312889	2.6836728447849273e-11	NaN	NaN	NaN	-26776.27914586785	4.831945511103817e6	0.
-0.00003298030894987124	2.6836728447849273e-11	NaN	NaN	NaN	-29607.79846444416	5.609459995704314e6	0.
-0.000044227050250748985	2.6836728447849273e-11	NaN	NaN	NaN	-22308.61088854392	3.6825652784720897e6	0.
-0.00004027549249638654	2.6836728447849273e-11	NaN	NaN	NaN	-24431.271811735012	4.216309908310608e6	-3.426456129110858e-7
-0.00003647591773257648	2.6836728447849273e-11	NaN	NaN	NaN	-26883.609608323142	4.860749664753652e6	-1.463683834395863e-7
-0.000032828325959318834	2.6836728447849273e-11	NaN	NaN	NaN	-29738.529222482688	5.646220186714405e6	0.
-0.000044075067260196586	2.6836728447849273e-11	NaN	NaN	NaN	-22383.499238429198	3.7009993065477624e6	0.
-0.00004012350950583413	2.6836728447849273e-11	NaN	NaN	NaN	-24520.88055705193	4.239343445876606e6	-8.607301263625494e-7
-0.00003632393474202408	2.6836728447849273e-11	NaN	NaN	NaN	-26991.787416582054	4.889836175599882e6	-1.5266154423860297e-7
-0.000032676342968766434	2.6836728447849273e-11	NaN	NaN	NaN	-29870.392445333306	5.683375317556871e6	0.
-0.000043923084269644186	2.6836728447849273e-11	NaN	NaN	NaN	-22458.885333361544	3.719587022589133e6	0.
-0.00003997152651528173	2.6836728447849273e-11	NaN	NaN	NaN	-24611.13850122732	4.262584082710974e6	-2.515602996538165e-7
