# Filename	binding_0\798a532b-7436-4557-84b8-89c5a02dea51.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:39:02
# Dir	-1
# field	4.686704026037445e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.686704026037445e-11	NaN	NaN	NaN	-21458.94454874301	3.4636540405856334e6	0.
-0.00004164333941135815	4.686704026037445e-11	NaN	NaN	NaN	-23397.338780571845	3.9375085380036277e6	0.
-0.0000378437646475481	4.686704026037445e-11	NaN	NaN	NaN	-25612.04757132834	4.5012157625033315e6	0.
-0.000034044189883738054	4.686704026037445e-11	NaN	NaN	NaN	-28273.132543270374	5.207886635984955e6	0.
-0.000045442914175168206	4.686704026037445e-11	NaN	NaN	NaN	-21527.66687494385	3.4801284543210743e6	0.
-0.00004149135642080575	4.686704026037445e-11	NaN	NaN	NaN	-23478.733515201155	3.957814239523988e6	0.
-0.0000376917816569957	4.686704026037445e-11	NaN	NaN	NaN	-25709.12691438842	4.526446099548802e6	0.
-0.00003389220689318565	4.686704026037445e-11	NaN	NaN	NaN	-28390.705328016884	5.239811833579272e6	0.
-0.0000452909311846158	4.686704026037445e-11	NaN	NaN	NaN	-21596.82133576633	3.4967314178092303e6	0.
-0.00004133937343025335	4.686704026037445e-11	NaN	NaN	NaN	-23560.682129475506	3.97828962478009e6	0.
-0.0000375397986664433	4.686704026037445e-11	NaN	NaN	NaN	-25806.922631911282	4.55190557245409e6	0.
-0.00003374022390263325	4.686704026037445e-11	NaN	NaN	NaN	-28509.224008805013	5.2720523969988385e6	0.
-0.0000451389481940634	4.686704026037445e-11	NaN	NaN	NaN	-21666.411930119844	3.513463415993834e6	0.
-0.000041187390439700946	4.686704026037445e-11	NaN	NaN	NaN	-23643.190147761256	3.998937004921687e6	-2.0738784093929708e-7
-0.0000373878156758909	4.686704026037445e-11	NaN	NaN	NaN	-25905.44243259042	4.577597390987455e6	0.
-0.000044986965203511	4.686704026037445e-11	NaN	NaN	NaN	-21736.442705262598	3.530327041139261e6	0.
