# Filename	binding_0\7f184adc-d590-4e50-be90-f21da8018ce4.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:48:58
# Dir	1
# field	2.1586064186313547e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	2.1586064186313547e-11	NaN	NaN	NaN	22164.86697193457	3.6799070425298843e6	-2.5653374710502004e-7
-0.00004164333941135815	2.1586064186313547e-11	NaN	NaN	NaN	24320.03278479276	4.232933790079904e6	0.
-0.0000378437646475481	2.1586064186313547e-11	NaN	NaN	NaN	26835.192783916813	4.911456953339736e6	0.
-0.000034044189883738054	2.1586064186313547e-11	NaN	NaN	NaN	29942.039002177324	5.797024831663763e6	0.
-0.000045442914175168206	2.1586064186313547e-11	NaN	NaN	NaN	22240.594297871194	3.6988841804323257e6	0.
-0.00004149135642080575	2.1586064186313547e-11	NaN	NaN	NaN	24411.43443855118	4.256973676819467e6	0.
-0.0000376917816569957	2.1586064186313547e-11	NaN	NaN	NaN	26946.837983719382	4.942383459369943e6	0.
-0.00003389220689318565	2.1586064186313547e-11	NaN	NaN	NaN	30081.64528483034	5.838018361047491e6	0.
-0.0000452909311846158	2.1586064186313547e-11	NaN	NaN	NaN	22316.846492551223	3.718027872043158e6	0.
-0.00004133937343025335	2.1586064186313547e-11	NaN	NaN	NaN	24503.53476667709	4.281245346567425e6	0.
-0.0000375397986664433	2.1586064186313547e-11	NaN	NaN	NaN	27059.4310236665	4.9736416644078465e6	0.
-0.00003374022390263325	2.1586064186313547e-11	NaN	NaN	NaN	30222.585815739225	5.87950679900721e6	0.
-0.0000451389481940634	2.1586064186313547e-11	NaN	NaN	NaN	22393.629091064475	3.737335309878334e6	-1.1621467205592444e-7
-0.000041187390439700946	2.1586064186313547e-11	NaN	NaN	NaN	24596.341915957175	4.305751383410703e6	-1.726363353259409e-7
-0.0000373878156758909	2.1586064186313547e-11	NaN	NaN	NaN	27172.984218888407	5.005232937337717e6	0.
-0.00003358824091208085	2.1586064186313547e-11	NaN	NaN	NaN	30364.88019704382	5.921499442745883e6	0.
-0.000044986965203511	2.1586064186313547e-11	NaN	NaN	NaN	22470.947707437113	3.7568149981336053e6	0.
-0.00004103540744914855	2.1586064186313547e-11	NaN	NaN	NaN	24689.864161962538	4.330496315490994e6	0.
-0.00003723583268533849	2.1586064186313547e-11	NaN	NaN	NaN	27287.510102128635	5.037166882863022e6	-2.0845236596851584e-7
-0.000033436257921528444	2.1586064186313547e-11	NaN	NaN	NaN	30508.548424218126	5.964004346575203e6	0.
-0.000044834982212958595	2.1586064186313547e-11	NaN	NaN	NaN	22548.80803605923	3.7764660752172503e6	0.
-0.00004088342445859614	2.1586064186313547e-11	NaN	NaN	NaN	24784.109911636642	4.355481751385514e6	0.
-0.00003708384969478609	2.1586064186313547e-11	NaN	NaN	NaN	27403.021428643628	5.069448098990411e6	-3.391848901349057e-7
-0.000033284274930976045	2.1586064186313547e-11	NaN	NaN	NaN	30653.61089616905	6.007030477984987e6	0.
-0.000044682999222406196	2.1586064186313547e-11	NaN	NaN	NaN	22627.215853142163	3.79628984152095e6	-1.1827019311536297e-7
-0.00004073144146804374	2.1586064186313547e-11	NaN	NaN	NaN	24879.0877059443	4.380711828978832e6	0.
-0.000036931866704233694	2.1586064186313547e-11	NaN	NaN	NaN	27519.531181239116	5.102081328760787e6	-3.0430160362409365e-7
-0.00003313229194042364	2.1586064186313547e-11	NaN	NaN	NaN	30800.088425653175	6.050586634569327e6	-1.9561153136562665e-7
-0.00004453101623185379	2.1586064186313547e-11	NaN	NaN	NaN	22706.177018209182	3.816291572622605e6	0.
-0.00004057945847749134	2.1586064186313547e-11	NaN	NaN	NaN	24974.806222587395	4.406188809418271e6	-1.8745300865157393e-7
