# Filename	binding_0\88e45b1e-dea1-4a52-b2d6-5395a781060d.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:54:08
# Dir	1
# field	4.453341169969191e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.453341169969191e-11	NaN	NaN	NaN	22423.381127440356	3.761306040975546e6	0.
-0.00004164333941135815	4.453341169969191e-11	NaN	NaN	NaN	24663.972758056898	4.346741787161038e6	0.
-0.0000378437646475481	4.453341169969191e-11	NaN	NaN	NaN	27301.568148090366	5.07424925502743e6	0.
-0.000034044189883738054	4.453341169969191e-11	NaN	NaN	NaN	30598.31075810878	6.040433772318001e6	0.
-0.000045442914175168206	4.453341169969191e-11	NaN	NaN	NaN	22501.829486042578	3.7812885807939717e6	0.
-0.00004149135642080575	4.453341169969191e-11	NaN	NaN	NaN	24759.377935473105	4.372339748322352e6	0.
-0.0000376917816569957	4.453341169969191e-11	NaN	NaN	NaN	27419.264603484196	5.107663172999941e6	0.
-0.00003389220689318565	4.453341169969191e-11	NaN	NaN	NaN	30747.552832326506	6.085646753590892e6	0.
-0.0000452909311846158	4.453341169969191e-11	NaN	NaN	NaN	22580.841474542016	3.801452980788749e6	0.
-0.00004133937343025335	4.453341169969191e-11	NaN	NaN	NaN	24855.545034125786	4.39819856779553e6	0.
-0.0000375397986664433	4.453341169969191e-11	NaN	NaN	NaN	27538.0158479458	5.141458049691499e6	0.
-0.00003374022390263325	4.453341169969191e-11	NaN	NaN	NaN	30898.32284942337	6.131450313402661e6	0.
-0.0000451389481940634	4.453341169969191e-11	NaN	NaN	NaN	22660.4233286009	3.821801782087554e6	0.
-0.000041187390439700946	4.453341169969191e-11	NaN	NaN	NaN	24952.483472105414	4.424317993668113e6	0.
-0.0000373878156758909	4.453341169969191e-11	NaN	NaN	NaN	27657.83661039111	5.175639936469932e6	0.
-0.00003358824091208085	4.453341169969191e-11	NaN	NaN	NaN	31050.64540878266	6.17785773902967e6	0.
-0.000044986965203511	4.453341169969191e-11	NaN	NaN	NaN	22740.581378240135	3.8423368774310844e6	0.
-0.00004103540744914855	4.453341169969191e-11	NaN	NaN	NaN	25050.20282749821	4.450705566544094e6	0.
-0.00003723583268533849	4.453341169969191e-11	NaN	NaN	NaN	27778.74190412377	5.210216085021631e6	0.
-0.000033436257921528444	4.453341169969191e-11	NaN	NaN	NaN	31204.545661929806	6.224880661510967e6	0.
-0.000044834982212958595	4.453341169969191e-11	NaN	NaN	NaN	22821.322049668343	3.8630601998140854e6	0.
-0.00004088342445859614	4.453341169969191e-11	NaN	NaN	NaN	25148.712841882203	4.477363946985394e6	0.
-0.00003708384969478609	4.453341169969191e-11	NaN	NaN	NaN	27900.747033935833	5.245192676385693e6	0.
-0.000033284274930976045	4.453341169969191e-11	NaN	NaN	NaN	31360.04932867153	6.27252944594809e6	0.
-0.000044682999222406196	4.453341169969191e-11	NaN	NaN	NaN	22902.651867154294	3.883975870846639e6	0.
-0.00004073144146804374	4.453341169969191e-11	NaN	NaN	NaN	25248.023423917926	4.504297367468034e6	0.
-0.000036931866704233694	4.453341169969191e-11	NaN	NaN	NaN	28023.867603428615	5.280575996274869e6	0.
-0.00003313229194042364	4.453341169969191e-11	NaN	NaN	NaN	31517.18271382279	6.320817444105206e6	0.
-0.00004453101623185379	4.453341169969191e-11	NaN	NaN	NaN	22984.57745494369	3.9050846878984733e6	0.
-0.00004057945847749134	4.453341169969191e-11	NaN	NaN	NaN	25348.144653036128	4.531511830826357e6	0.
-0.00003677988371368129	4.453341169969191e-11	NaN	NaN	NaN	28148.11952256111	5.316373830847055e6	0.
-0.00003298030894987124	4.453341169969191e-11	NaN	NaN	NaN	31675.97272454617	6.369755578565117e6	0.
-0.00004437903324130139	4.453341169969191e-11	NaN	NaN	NaN	23067.10553922279	3.926390345166907e6	0.
-0.00004042747548693894	4.453341169969191e-11	NaN	NaN	NaN	25449.086783225677	4.559006024930811e6	0.
-0.00003662790072312889	4.453341169969191e-11	NaN	NaN	NaN	28273.51901543406	5.352593812652217e6	0.
-0.000032828325959318834	4.453341169969191e-11	NaN	NaN	NaN	31836.446888332262	6.419359406295947e6	0.
-0.000044227050250748985	4.453341169969191e-11	NaN	NaN	NaN	23150.242950128624	3.9478949101736066e6	0.
-0.00004027549249638654	4.453341169969191e-11	NaN	NaN	NaN	25550.860246925546	4.586788618156358e6	0.
-0.00003647591773257648	4.453341169969191e-11	NaN	NaN	NaN	28400.082628319535	5.389239781878798e6	0.
-0.000032676342968766434	4.453341169969191e-11	NaN	NaN	NaN	31998.63337164794	6.469640280095148e6	0.
-0.000044075067260196586	4.453341169969191e-11	NaN	NaN	NaN	23233.996623808653	3.969602278119713e6	0.
-0.00004012350950583413	4.453341169969191e-11	NaN	NaN	NaN	25653.475659023534	4.614864064085243e6	0.
-0.00003632393474202408	4.453341169969191e-11	NaN	NaN	NaN	28527.827237945025	5.426322668910115e6	0.
-0.000032524359978214035	4.453341169969191e-11	NaN	NaN	NaN	32162.560999284437	6.520613072779482e6	0.
-0.000043923084269644186	4.453341169969191e-11	NaN	NaN	NaN	23318.3736045294	3.9915128347916333e6	0.
-0.00003997152651528173	4.453341169969191e-11	NaN	NaN	NaN	25756.943820965073	4.643234292689299e6	-5.96266992319623e-7
-0.000036171951751471684	4.453341169969191e-11	NaN	NaN	NaN	28656.77006004069	5.463848728335869e6	0.
-0.00003237237698766163	4.453341169969191e-11	NaN	NaN	NaN	32328.25927443485	6.572290215101735e6	0.
