# Filename	binding_0\8b2f41bb-41b6-489b-98bd-da430f419a04.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:48:34
# Dir	1
# field	1.9835842765801636e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	1.9835842765801636e-11	NaN	NaN	NaN	22145.63779548171	3.6739006813711743e6	0.
-0.00004164333941135815	1.9835842765801636e-11	NaN	NaN	NaN	24294.584955368493	4.224593292364423e6	0.
-0.0000378437646475481	1.9835842765801636e-11	NaN	NaN	NaN	26800.924487489043	4.8996371686186865e6	0.
-0.000034044189883738054	1.9835842765801636e-11	NaN	NaN	NaN	29894.28343029366	5.779577740468081e6	-1.2543143414898372e-7
-0.000045442914175168206	1.9835842765801636e-11	NaN	NaN	NaN	22221.16616522986	3.6928044888923815e6	0.
-0.00004149135642080575	1.9835842765801636e-11	NaN	NaN	NaN	24385.69651785851	4.248521956460695e6	-1.1128886989985437e-7
-0.0000376917816569957	1.9835842765801636e-11	NaN	NaN	NaN	26912.136388400726	4.930387260769867e6	0.
-0.00003389220689318565	1.9835842765801636e-11	NaN	NaN	NaN	30033.2111706174	5.82028040139541e6	0.
-0.0000452909311846158	1.9835842765801636e-11	NaN	NaN	NaN	22297.216630383547	3.711872559350897e6	0.
-0.00004133937343025335	1.9835842765801636e-11	NaN	NaN	NaN	24477.5022915596	4.272680791447701e6	0.
-0.0000375397986664433	1.9835842765801636e-11	NaN	NaN	NaN	27024.288718247823	4.961465127508653e6	-1.4265264534817092e-7
-0.00003374022390263325	1.9835842765801636e-11	NaN	NaN	NaN	30173.46007735719	5.861471550533704e6	0.
-0.0000451389481940634	1.9835842765801636e-11	NaN	NaN	NaN	22373.79467720414	3.731106987863146e6	0.
-0.000041187390439700946	1.9835842765801636e-11	NaN	NaN	NaN	24570.010336373376	4.297072381740497e6	0.
-0.0000373878156758909	1.9835842765801636e-11	NaN	NaN	NaN	27137.393631403997	4.992876039249844e6	-3.4104771766354124e-7
-0.00003358824091208085	1.9835842765801636e-11	NaN	NaN	NaN	30315.049431834508	5.903160134206737e6	0.
-0.000044986965203511	1.9835842765801636e-11	NaN	NaN	NaN	22450.905869847003	3.7505097561597223e6	0.
-0.00004103540744914855	1.9835842765801636e-11	NaN	NaN	NaN	24663.228838930656	4.321699189341464e6	0.
-0.00003723583268533849	1.9835842765801636e-11	NaN	NaN	NaN	27251.463495612003	5.024626018039289e6	0.
-0.000033436257921528444	1.9835842765801636e-11	NaN	NaN	NaN	30457.998899099093	5.945353728855945e6	0.
-0.000044834982212958595	1.9835842765801636e-11	NaN	NaN	NaN	22528.555851762485	3.7700827156018415e6	-2.0457454872044514e-7
-0.00004088342445859614	1.9835842765801636e-11	NaN	NaN	NaN	24757.166115122658	4.3465650078193275e6	0.
-0.00003708384969478609	1.9835842765801636e-11	NaN	NaN	NaN	27366.510896750293	5.056716479137913e6	-3.887713543164637e-7
-0.000033284274930976045	1.9835842765801636e-11	NaN	NaN	NaN	30602.328537685873	5.988062007907492e6	0.
-0.000044682999222406196	1.9835842765801636e-11	NaN	NaN	NaN	22606.750347126414	3.789828552030523e6	-3.3855002406692535e-7
-0.00004073144146804374	1.9835842765801636e-11	NaN	NaN	NaN	24851.830612691316	4.371672797117635e6	-1.1557704868402979e-7
-0.000036931866704233694	1.9835842765801636e-11	NaN	NaN	NaN	27482.5486437311	5.08915752959555e6	0.
-0.00003313229194042364	1.9835842765801636e-11	NaN	NaN	NaN	30748.058809676117	6.031293112639827e6	-3.6447290427482474e-7
-0.00004453101623185379	1.9835842765801636e-11	NaN	NaN	NaN	22685.49516230377	3.8097495282182735e6	0.
-0.00004057945847749134	1.9835842765801636e-11	NaN	NaN	NaN	24947.230913882784	4.397026777157625e6	-1.2889153326070373e-7
-0.00003677988371368129	1.9835842765801636e-11	NaN	NaN	NaN	27599.589773532993	5.1219505589116e6	0.
-0.00003298030894987124	1.9835842765801636e-11	NaN	NaN	NaN	30895.21059107353	6.075058478231e6	0.
-0.00004437903324130139	1.9835842765801636e-11	NaN	NaN	NaN	22764.796187343272	3.829847428037847e6	0.
-0.00004042747548693894	1.9835842765801636e-11	NaN	NaN	NaN	25043.37573816759	4.422630547726014e6	0.
-0.00003662790072312889	1.9835842765801636e-11	NaN	NaN	NaN	27717.64755637209	5.155102930945103e6	-2.0689573799273725e-7
-0.000032828325959318834	1.9835842765801636e-11	NaN	NaN	NaN	31043.805182508997	6.119364787486385e6	-3.6268316183615386e-7
-0.000044227050250748985	1.9835842765801636e-11	NaN	NaN	NaN	22844.65939750472	3.8501238220296446e6	0.
-0.00004027549249638654	1.9835842765801636e-11	NaN	NaN	NaN	25140.273945026478	4.448486074985775e6	0.
-0.00003647591773257648	1.9835842765801636e-11	NaN	NaN	NaN	27836.735501015235	5.188620536046697e6	-1.537805852816736e-7
-0.000032676342968766434	1.9835842765801636e-11	NaN	NaN	NaN	31193.864320281824	6.164224256279584e6	0.
-0.000044075067260196586	1.9835842765801636e-11	NaN	NaN	NaN	22925.09085482176	3.8705819302714244e6	0.
-0.00004012350950583413	1.9835842765801636e-11	NaN	NaN	NaN	25237.934536805344	4.4745974008708e6	-1.5096523451699736e-7
-0.00003632393474202408	1.9835842765801636e-11	NaN	NaN	NaN	27956.867360243315	5.222509304658669e6	0.
