# Filename	binding_0\8b3663c4-7aca-4079-ae9d-fab2bf7de394.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:39:33
# Dir	-1
# field	4.881173072760991e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	4.881173072760991e-11	NaN	NaN	NaN	-21440.166515456687	3.4580188880067375e6	0.
-0.00004164333941135815	4.881173072760991e-11	NaN	NaN	NaN	-23373.10289289175	3.929938335685969e6	0.
-0.0000378437646475481	4.881173072760991e-11	NaN	NaN	NaN	-25580.426567422008	4.490921000500269e6	0.
-0.000034044189883738054	4.881173072760991e-11	NaN	NaN	NaN	-28230.892536168005	5.193509044834684e6	0.
-0.000045442914175168206	4.881173072760991e-11	NaN	NaN	NaN	-21508.71062600639	3.4744310847792886e6	-3.382673110153442e-7
-0.00004149135642080575	4.881173072760991e-11	NaN	NaN	NaN	-23454.248415546757	3.9501527089429633e6	0.
-0.0000376917816569957	4.881173072760991e-11	NaN	NaN	NaN	-25677.152786218	4.516017621627694e6	0.
-0.00003389220689318565	4.881173072760991e-11	NaN	NaN	NaN	-28347.950021249177	5.225232484960955e6	0.
-0.0000452909311846158	4.881173072760991e-11	NaN	NaN	NaN	-21577.68464230272	3.4909714003769057e6	0.
-0.00004133937343025335	4.881173072760991e-11	NaN	NaN	NaN	-23535.94444954665	3.970536890817838e6	0.
-0.0000375397986664433	4.881173072760991e-11	NaN	NaN	NaN	-25774.590212846644	4.541342135598191e6	0.
-0.00003374022390263325	4.881173072760991e-11	NaN	NaN	NaN	-28465.94520171097	5.257266458901754e6	0.
-0.0000451389481940634	4.881173072760991e-11	NaN	NaN	NaN	-21647.092528833247	3.5076407213144484e6	0.
-0.000041187390439700946	4.881173072760991e-11	NaN	NaN	NaN	-23618.196463194778	3.991092141254469e6	-5.407240187674556e-7
-0.0000373878156758909	4.881173072760991e-11	NaN	NaN	NaN	-25872.74646323468	4.56689689823516e6	0.
-0.00003358824091208085	4.881173072760991e-11	NaN	NaN	NaN	-28584.888939293643	5.28961701428746e6	0.
-0.000044986965203511	4.881173072760991e-11	NaN	NaN	NaN	-21716.93829780388	3.5244388168907673e6	0.
-0.00004103540744914855	4.881173072760991e-11	NaN	NaN	NaN	-23701.009995355733	4.011821073120951e6	0.
-0.00003723583268533849	4.881173072760991e-11	NaN	NaN	NaN	-25971.629258605553	4.592684653079569e6	0.
-0.000033436257921528444	4.881173072760991e-11	NaN	NaN	NaN	-28704.79225681427	5.322287228520136e6	0.
-0.000044834982212958595	4.881173072760991e-11	NaN	NaN	NaN	-21787.226009840928	3.5413686194505487e6	0.
