# Filename	binding_0\8bc7f358-837a-4ab4-a7c0-35b102d7fb55.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:33:52
# Dir	-1
# field	2.703119749457282e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	2.703119749457282e-11	NaN	NaN	NaN	-21654.28405661214	3.522628853692288e6	0.
-0.00004164333941135815	2.703119749457282e-11	NaN	NaN	NaN	-23650.369646997493	4.0171194640528727e6	0.
-0.0000378437646475481	2.703119749457282e-11	NaN	NaN	NaN	-25943.66647994238	4.610113243794691e6	0.
-0.000034044189883738054	2.703119749457282e-11	NaN	NaN	NaN	-28718.72170763805	5.361126122059799e6	0.
-0.000045442914175168206	2.703119749457282e-11	NaN	NaN	NaN	-21724.884661400854	3.5397607962340415e6	-1.4494364921297908e-7
-0.00004149135642080575	2.703119749457282e-11	NaN	NaN	NaN	-23734.40675328314	4.038388997092009e6	0.
-0.0000376917816569957	2.703119749457282e-11	NaN	NaN	NaN	-26044.51788777261	4.636777925018504e6	0.
-0.00003389220689318565	2.703119749457282e-11	NaN	NaN	NaN	-28841.852496410014	5.3952621367437495e6	0.
-0.0000452909311846158	2.703119749457282e-11	NaN	NaN	NaN	-21795.941281869713	3.557031250088617e6	-1.4234150171138216e-7
-0.00004133937343025335	2.703119749457282e-11	NaN	NaN	NaN	-23819.034156279795	4.0598430533280266e6	-5.71557680775332e-7
-0.0000375397986664433	2.703119749457282e-11	NaN	NaN	NaN	-26146.142157658403	4.663695859232981e6	0.
-0.00003374022390263325	2.703119749457282e-11	NaN	NaN	NaN	-28966.020155578117	5.429751623462578e6	-2.10318985469214e-7
-0.0000451389481940634	2.703119749457282e-11	NaN	NaN	NaN	-21867.458293223433	3.5744411970026535e6	0.
-0.000041187390439700946	2.703119749457282e-11	NaN	NaN	NaN	-23904.258001110906	4.0814855463532507e6	-1.901992071109067e-7
-0.0000373878156758909	2.703119749457282e-11	NaN	NaN	NaN	-26248.548041843555	4.690873685216901e6	0.
-0.00003358824091208085	2.703119749457282e-11	NaN	NaN	NaN	-29091.23753686156	5.464603294348929e6	-4.1852305321505497e-7
-0.000044986965203511	2.703119749457282e-11	NaN	NaN	NaN	-21939.44012606743	3.5919909618310803e6	-1.8667726882794942e-7
-0.00004103540744914855	2.703119749457282e-11	NaN	NaN	NaN	-23990.08451712054	4.1033187139684292e6	0.
-0.00003723583268533849	2.703119749457282e-11	NaN	NaN	NaN	-26351.744422642663	4.718304966107373e6	-1.6210204055059764e-7
-0.000033436257921528444	2.703119749457282e-11	NaN	NaN	NaN	-29217.51770010565	5.499822500746578e6	0.
-0.000044834982212958595	2.703119749457282e-11	NaN	NaN	NaN	-22011.891267274073	3.609683856630317e6	0.
-0.00004088342445859614	2.703119749457282e-11	NaN	NaN	NaN	-24076.520019297	4.1253434655366642e6	0.
-0.00003708384969478609	2.703119749457282e-11	NaN	NaN	NaN	-26455.740314815976	4.746003454513374e6	-3.2963373985072895e-7
-0.000033284274930976045	2.703119749457282e-11	NaN	NaN	NaN	-29344.873917401153	5.535410273747012e6	0.
-0.000044682999222406196	2.703119749457282e-11	NaN	NaN	NaN	-22084.816260867454	3.627519959224338e6	0.
-0.00004073144146804374	2.703119749457282e-11	NaN	NaN	NaN	-24163.570909724036	4.147562812130911e6	0.
-0.000036931866704233694	2.703119749457282e-11	NaN	NaN	NaN	-26560.5448679956	4.77396962580709e6	0.
-0.00003313229194042364	2.703119749457282e-11	NaN	NaN	NaN	-29473.319677299656	5.571375598392628e6	0.
-0.00004453101623185379	2.703119749457282e-11	NaN	NaN	NaN	-22158.219708922472	3.64550160749834e6	0.
-0.00004057945847749134	2.703119749457282e-11	NaN	NaN	NaN	-24251.24367906201	4.1699793000990157e6	0.
-0.00003677988371368129	2.703119749457282e-11	NaN	NaN	NaN	-26666.167369163668	4.802204789542041e6	-2.9926723447815786e-7
-0.00003298030894987124	2.703119749457282e-11	NaN	NaN	NaN	-29602.86868912606	5.607723036819074e6	0.
