# Filename	binding_0\8dfc3c6f-5727-4f36-8b2d-f2c1bf32ca76.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:36:44
# Dir	-1
# field	3.811593315781491e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	3.811593315781491e-11	NaN	NaN	NaN	-21544.259460965026	3.4893306209018948e6	0.
-0.00004164333941135815	3.811593315781491e-11	NaN	NaN	NaN	-23507.64358554525	3.972085776581987e6	0.
-0.0000378437646475481	3.811593315781491e-11	NaN	NaN	NaN	-25756.275643901678	4.548368647128262e6	0.
-0.000034044189883738054	3.811593315781491e-11	NaN	NaN	NaN	-28466.338228431494	5.273976804573069e6	0.
-0.000045442914175168206	3.811593315781491e-11	NaN	NaN	NaN	-21613.79663145186	3.5060892946695145e6	-1.4114033498531311e-7
-0.00004149135642080575	3.811593315781491e-11	NaN	NaN	NaN	-23590.181078070567	3.9928055409940686e6	0.
-0.0000376917816569957	3.811593315781491e-11	NaN	NaN	NaN	-25854.9800112782	4.574213533712878e6	0.
-0.00003389220689318565	3.811593315781491e-11	NaN	NaN	NaN	-28586.29333043349	5.306842838277051e6	0.
-0.0000452909311846158	3.811593315781491e-11	NaN	NaN	NaN	-21683.776209094794	3.522980511128239e6	-1.4818402152913846e-7
-0.00004133937343025335	3.811593315781491e-11	NaN	NaN	NaN	-23673.288041646167	4.013704942535028e6	0.
-0.0000375397986664433	3.811593315781491e-11	NaN	NaN	NaN	-25954.424796604315	4.600297682760976e6	0.
-0.00003374022390263325	3.811593315781491e-11	NaN	NaN	NaN	-28707.232755794703	5.340042401293323e6	0.
-0.0000451389481940634	3.811593315781491e-11	NaN	NaN	NaN	-21754.202352995926	3.5400058558922405e6	0.
-0.000041187390439700946	3.811593315781491e-11	NaN	NaN	NaN	-23756.970263140625	4.034778179136396e6	-2.583887255391878e-7
-0.0000373878156758909	3.811593315781491e-11	NaN	NaN	NaN	-26054.618146213368	4.626624002612985e6	-3.397844524179294e-7
-0.00003358824091208085	3.811593315781491e-11	NaN	NaN	NaN	-28829.168285020947	5.373575681864183e6	0.
-0.000044986965203511	3.811593315781491e-11	NaN	NaN	NaN	-21825.079273570966	3.55716616419333e6	0.
-0.00004103540744914855	3.811593315781491e-11	NaN	NaN	NaN	-23841.23360631794	4.056036211106847e6	0.
-0.00003723583268533849	3.811593315781491e-11	NaN	NaN	NaN	-26155.568323092386	4.653197096030177e6	0.
-0.000033436257921528444	3.811593315781491e-11	NaN	NaN	NaN	-28952.111880941036	5.407451956331688e6	0.
-0.000044834982212958595	3.811593315781491e-11	NaN	NaN	NaN	-21896.411233326606	3.5744623118880936e6	0.
-0.00004088342445859614	3.811593315781491e-11	NaN	NaN	NaN	-23926.084013087853	4.077475861718631e6	-2.1284020773362072e-7
-0.00003708384969478609	3.811593315781491e-11	NaN	NaN	NaN	-26257.283708915704	4.680018274551051e6	0.
-0.000033284274930976045	3.811593315781491e-11	NaN	NaN	NaN	-29076.07569211294	5.441674277931407e6	0.
-0.000044682999222406196	3.811593315781491e-11	NaN	NaN	NaN	-21968.202547652967	3.5918969111785428e6	0.
-0.00004073144146804374	3.811593315781491e-11	NaN	NaN	NaN	-24011.52750477939	4.099102243729151e6	0.
-0.000036931866704233694	3.811593315781491e-11	NaN	NaN	NaN	-26359.77280611816	4.707091392504918e6	0.
-0.00003313229194042364	3.811593315781491e-11	NaN	NaN	NaN	-29201.072056303936	5.476247591079377e6	0.
-0.00004453101623185379	3.811593315781491e-11	NaN	NaN	NaN	-22040.45758562912	3.6094708798239254e6	0.
-0.00004057945847749134	3.811593315781491e-11	NaN	NaN	NaN	-24097.570183440163	4.1209157899963898e6	0.
-0.00003677988371368129	3.811593315781491e-11	NaN	NaN	NaN	-26463.044240011553	4.734419986988479e6	0.
-0.00003298030894987124	3.811593315781491e-11	NaN	NaN	NaN	-29327.113504045414	5.511176998744378e6	0.
-0.00004437903324130139	3.811593315781491e-11	NaN	NaN	NaN	-22113.18077084399	3.6271861439757366e6	-4.7527941863562317e-7
