# Filename	binding_0\97da0369-2a2c-48be-b8fe-73d6cf159b59.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:48:52
# Dir	1
# field	2.1197126092866456e-11
# zi	6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	2.1197126092866456e-11	NaN	NaN	NaN	22160.588019236162	3.6785698579325983e6	-1.0547457005402236e-7
-0.00004164333941135815	2.1197126092866456e-11	NaN	NaN	NaN	24314.368438209094	4.231076263349384e6	0.
-0.0000378437646475481	2.1197126092866456e-11	NaN	NaN	NaN	26827.56234212746	4.908822593469704e6	-3.429261184778624e-7
-0.000034044189883738054	2.1197126092866456e-11	NaN	NaN	NaN	29931.400023776918	5.793134196509009e6	-1.603384644448465e-7
-0.000045442914175168206	2.1197126092866456e-11	NaN	NaN	NaN	22236.271031912333	3.6975302407741398e6	-2.428258402247357e-7
-0.00004149135642080575	2.1197126092866456e-11	NaN	NaN	NaN	24405.705449596986	4.255090838394836e6	-1.323052142347002e-7
-0.0000376917816569957	2.1197126092866456e-11	NaN	NaN	NaN	26939.11092848286	4.939710508921167e6	0.
-0.00003389220689318565	2.1197126092866456e-11	NaN	NaN	NaN	30070.854881335068	5.834063490407444e6	0.
-0.0000452909311846158	2.1197126092866456e-11	NaN	NaN	NaN	22312.478294915916	3.7166558262445955e6	-2.0541197163594404e-7
-0.00004133937343025335	2.1197126092866456e-11	NaN	NaN	NaN	24497.74013941433	4.279338093470861e6	0.
-0.0000375397986664433	2.1197126092866456e-11	NaN	NaN	NaN	27051.60569965385	4.970926480614054e6	-2.0065228206900452e-7
-0.00003374022390263325	2.1197126092866456e-11	NaN	NaN	NaN	30211.641061468556	5.875485399291386e6	0.
-0.0000451389481940634	2.1197126092866456e-11	NaN	NaN	NaN	22389.215332433545	3.73594864449296e6	-1.2668459501984652e-7
-0.000041187390439700946	2.1197126092866456e-11	NaN	NaN	NaN	24590.480635027096	4.303818789912822e6	0.
-0.0000373878156758909	2.1197126092866456e-11	NaN	NaN	NaN	27165.058934790908	5.002479026478035e6	-1.7922440551005122e-7
-0.00003358824091208085	2.1197126092866456e-11	NaN	NaN	NaN	30353.778094381945	5.917409830301765e6	0.
-0.000044986965203511	2.1197126092866456e-11	NaN	NaN	NaN	22466.487747355073	3.755411340954012e6	0.
-0.00004103540744914855	2.1197126092866456e-11	NaN	NaN	NaN	24683.935192125755	4.328537652508041e6	0.
-0.00003723583268533849	2.1197126092866456e-11	NaN	NaN	NaN	27279.48312970529	5.034373063218979e6	0.
-0.000033436257921528444	2.1197126092866456e-11	NaN	NaN	NaN	30497.28590145365	5.959845365579769e6	0.
-0.000044834982212958595	2.1197126092866456e-11	NaN	NaN	NaN	22544.301222695198	3.7750442530523688e6	-1.8047384665259e-7
-0.00004088342445859614	2.1197126092866456e-11	NaN	NaN	NaN	24778.112197299346	4.353496029497867e6	0.
-0.00003708384969478609	2.1197126092866456e-11	NaN	NaN	NaN	27394.891001739794	5.066611075401585e6	-1.361004236653152e-7
-0.000033284274930976045	2.1197126092866456e-11	NaN	NaN	NaN	30642.184805257526	6.002799792985495e6	-2.051896854203898e-7
-0.000044682999222406196	2.1197126092866456e-11	NaN	NaN	NaN	22622.661523044626	3.794851313670586e6	-2.2970166550289283e-7
-0.00004073144146804374	2.1197126092866456e-11	NaN	NaN	NaN	24873.020170672655	4.378698022286257e6	-1.58936544549978e-7
-0.000036931866704233694	2.1197126092866456e-11	NaN	NaN	NaN	27511.295494772352	5.099202344483173e6	0.
-0.00003313229194042364	2.1197126092866456e-11	NaN	NaN	NaN	30788.495539899046	6.046284182911042e6	-1.234853313675605e-7
-0.00004453101623185379	2.1197126092866456e-11	NaN	NaN	NaN	22701.574496055306	3.8148341262117634e6	-1.1285340986237777e-7
-0.00004057945847749134	2.1197126092866456e-11	NaN	NaN	NaN	24968.66776860701	4.404148903695393e6	0.
-0.00003677988371368129	2.1197126092866456e-11	NaN	NaN	NaN	27628.709784360013	5.132147889046825e6	-4.6579069372075803e-7
-0.00003298030894987124	2.1197126092866456e-11	NaN	NaN	NaN	30936.239261678635	6.090306943661933e6	-2.6187562394408775e-7
-0.00004437903324130139	2.1197126092866456e-11	NaN	NaN	NaN	22781.04607395667	3.8349955501220357e6	0.
-0.00004042747548693894	2.1197126092866456e-11	NaN	NaN	NaN	25065.063786469345	4.429849835697236e6	0.
-0.00003662790072312889	2.1197126092866456e-11	NaN	NaN	NaN	27747.147283023194	5.165457913859112e6	0.
-0.000032828325959318834	2.1197126092866456e-11	NaN	NaN	NaN	31085.43756009421	6.1348777161984835e6	-2.85021973084652e-7
-0.000044227050250748985	2.1197126092866456e-11	NaN	NaN	NaN	22861.08227510734	3.855336132567409e6	0.
-0.00004027549249638654	2.1197126092866456e-11	NaN	NaN	NaN	25162.21716146823	4.4558044609207185e6	-1.3240049703343294e-7
-0.00003647591773257648	2.1197126092866456e-11	NaN	NaN	NaN	27866.621645679268	5.199134246860134e6	0.
