# Filename	binding_0\9ac2db82-d1f3-49da-b483-fc00c752e8ac.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-03-06T19:33:36
# Dir	-1
# field	2.605885226095509e-11
# zi	-6.
W	field	zb	tb	argtb	zt	tt	argtt
-0.000045594897165720605	2.605885226095509e-11	NaN	NaN	NaN	-21664.042278918114	3.5255914768199213e6	0.
-0.00004164333941135815	2.605885226095509e-11	NaN	NaN	NaN	-23663.05432154116	4.021140919233013e6	0.
-0.0000378437646475481	2.605885226095509e-11	NaN	NaN	NaN	-25960.36345717145	4.615639364531153e6	-8.549795821930989e-7
-0.000045442914175168206	2.605885226095509e-11	NaN	NaN	NaN	-21734.737892057856	3.542758280613801e6	0.
-0.00004149135642080575	2.605885226095509e-11	NaN	NaN	NaN	-23747.22586237154	4.0424569032201096e6	0.
-0.0000376917816569957	2.605885226095509e-11	NaN	NaN	NaN	-26061.408154962704	4.642379957973918e6	0.
-0.000034044189883738054	2.605885226095509e-11	NaN	NaN	NaN	-28741.285628066722	5.368962861517744e6	0.
-0.0000452909311846158	2.605885226095509e-11	NaN	NaN	NaN	-21805.890747848593	3.5600626046046433e6	0.
-0.00004133937343025335	2.605885226095509e-11	NaN	NaN	NaN	-23831.989587188764	4.063963014562413e6	0.
-0.0000375397986664433	2.605885226095509e-11	NaN	NaN	NaN	-26163.2286736158	4.669373240198945e6	0.
-0.00003389220689318565	2.605885226095509e-11	NaN	NaN	NaN	-28864.70390264779	5.403213253604937e6	-1.933020929748891e-7
-0.0000451389481940634	2.605885226095509e-11	NaN	NaN	NaN	-21877.505241195828	3.577506418806949e6	0.
-0.000041187390439700946	2.605885226095509e-11	NaN	NaN	NaN	-23917.351674010217	4.0856548594987e6	-1.5481623040148225e-7
-0.0000373878156758909	2.605885226095509e-11	NaN	NaN	NaN	-26265.833821502652	4.696625519260523e6	0.
-0.00003374022390263325	2.605885226095509e-11	NaN	NaN	NaN	-28989.163879564505	5.4378231465576235e6	0.
-0.000044986965203511	2.605885226095509e-11	NaN	NaN	NaN	-21949.5858227831	3.595093250253692e6	0.
-0.00004103540744914855	2.605885226095509e-11	NaN	NaN	NaN	-24003.318385757026	4.1075409134758255e6	0.
-0.00003723583268533849	2.605885226095509e-11	NaN	NaN	NaN	-26369.2325383319	4.724137804127023e6	-2.584145042157877e-7
-0.00003358824091208085	2.605885226095509e-11	NaN	NaN	NaN	-29114.67851092423	5.472797247149639e6	0.
-0.000044834982212958595	2.605885226095509e-11	NaN	NaN	NaN	-22022.136999946786	3.6128197788007995e6	0.
-0.00004088342445859614	2.605885226095509e-11	NaN	NaN	NaN	-24089.896071694136	4.129616668556681e6	-2.1903755118206525e-7
-0.00003708384969478609	2.605885226095509e-11	NaN	NaN	NaN	-26473.43389755696	4.751916597087145e6	0.
-0.000033436257921528444	2.605885226095509e-11	NaN	NaN	NaN	-29241.260959433042	5.508137832740739e6	0.
-0.000044682999222406196	2.605885226095509e-11	NaN	NaN	NaN	-22095.163337569407	3.63069193086864e6	0.
-0.00004073144146804374	2.605885226095509e-11	NaN	NaN	NaN	-24177.091168898238	4.1518908597487006e6	0.
-0.000036931866704233694	2.605885226095509e-11	NaN	NaN	NaN	-26578.447108836375	4.779962191909669e6	-1.867985010659777e-7
-0.000033284274930976045	2.605885226095509e-11	NaN	NaN	NaN	-29368.924602586074	5.543848493493709e6	0.
-0.00004453101623185379	2.605885226095509e-11	NaN	NaN	NaN	-22168.66945898759	3.6487100594655597e6	0.
-0.00004057945847749134	2.605885226095509e-11	NaN	NaN	NaN	-24264.910203756477	4.17436133588817e6	0.
-0.00003677988371368129	2.605885226095509e-11	NaN	NaN	NaN	-26684.28152054604	4.808280971730864e6	0.
-0.00003313229194042364	2.605885226095509e-11	NaN	NaN	NaN	-29497.683036955004	5.579941121439966e6	0.
-0.00004437903324130139	2.605885226095509e-11	NaN	NaN	NaN	-22242.660046918165	3.666876027128056e6	0.
-0.00004042747548693894	2.605885226095509e-11	NaN	NaN	NaN	-24353.35979349444	4.197032133093017e6	0.
-0.00003662790072312889	2.605885226095509e-11	NaN	NaN	NaN	-26790.94662234835	4.836874186218609e6	-1.8587892656594188e-7
-0.00003298030894987124	2.605885226095509e-11	NaN	NaN	NaN	-29627.55008257541	5.616416838560016e6	-1.9861341307534424e-7
-0.000044227050250748985	2.605885226095509e-11	NaN	NaN	NaN	-22317.139844400932	3.685191328770801e6	0.
-0.00004027549249638654	2.605885226095509e-11	NaN	NaN	NaN	-24442.446647735713	4.219906257589522e6	0.
-0.00003647591773257648	2.605885226095509e-11	NaN	NaN	NaN	-26898.452047814422	4.86574794875198e6	0.
-0.000032828325959318834	2.605885226095509e-11	NaN	NaN	NaN	-29758.53978743721	5.653284468561446e6	0.
-0.000044075067260196586	2.605885226095509e-11	NaN	NaN	NaN	-22392.1136557599	3.7036572302552657e6	0.
-0.00004012350950583413	2.605885226095509e-11	NaN	NaN	NaN	-24532.177570092535	4.242984712660664e6	-4.493352549580512e-7
-0.00003632393474202408	2.605885226095509e-11	NaN	NaN	NaN	-27006.807577106763	4.894904126569399e6	0.
-0.000032676342968766434	2.605885226095509e-11	NaN	NaN	NaN	-29890.666432081474	5.69054793206028e6	0.
-0.000043923084269644186	2.605885226095509e-11	NaN	NaN	NaN	-22467.586347582564	3.7222756776190395e6	-1.795034575243821e-7
-0.00003997152651528173	2.605885226095509e-11	NaN	NaN	NaN	-24622.55945978922	4.266272500578999e6	0.
-0.000036171951751471684	2.605885226095509e-11	NaN	NaN	NaN	-27116.023139718112	4.924346648061839e6	0.
-0.000032524359978214035	2.605885226095509e-11	NaN	NaN	NaN	-30023.944534303817	5.7282108827468455e6	-1.8239267555773943e-7
-0.00004377110127909178	2.605885226095509e-11	NaN	NaN	NaN	-22543.56284971666	3.7410494569122293e6	0.
-0.000039819543524729326	2.605885226095509e-11	NaN	NaN	NaN	-24713.599313318828	4.289769667199895e6	0.
-0.00003601996876091928	2.605885226095509e-11	NaN	NaN	NaN	-27226.108817272292	4.954079276513065e6	-3.6575902427801556e-7
-0.00003237237698766163	2.605885226095509e-11	NaN	NaN	NaN	-30158.388853970704	5.766283842624325e6	0.
-0.00004361911828853938	2.605885226095509e-11	NaN	NaN	NaN	-22620.048156287914	3.759978870673681e6	0.
-0.00003966756053417693	2.605885226095509e-11	NaN	NaN	NaN	-24805.304226133427	4.313479707611576e6	-3.8113275772234813e-7
-0.00003586798577036688	2.605885226095509e-11	NaN	NaN	NaN	-27337.07484638566	4.984108639599509e6	0.
-0.00003222039399710923	2.605885226095509e-11	NaN	NaN	NaN	-30294.01439794973	5.804769141742057e6	0.
-0.000043467135297986975	2.605885226095509e-11	NaN	NaN	NaN	-22697.047326735134	3.7790664638902987e6	0.
-0.00003951557754362453	2.605885226095509e-11	NaN	NaN	NaN	-24897.681394368767	4.337405935616602e6	-1.9263195202904866e-7
-0.00003571600277981447	2.605885226095509e-11	NaN	NaN	NaN	-27448.93162159305	5.014434073901639e6	-2.2630702562404657e-7
-0.000032068411006556824	2.605885226095509e-11	NaN	NaN	NaN	-30430.836425156547	5.843673623817806e6	-2.595384818456762e-7
-0.000043315152307434576	2.605885226095509e-11	NaN	NaN	NaN	-22774.565486866093	3.79831378934172e6	0.
-0.00003936359455307212	2.605885226095509e-11	NaN	NaN	NaN	-24990.738116605535	4.361550593779165e6	-1.3772817980504318e-7
-0.000035564019789262074	2.605885226095509e-11	NaN	NaN	NaN	-27561.68969833726	5.045064243606273e6	0.
-0.000031916428016004425	2.605885226095509e-11	NaN	NaN	NaN	-30568.87045172247	5.883004964164708e6	-7.899038114536152e-7
-0.00004316316931688218	2.605885226095509e-11	NaN	NaN	NaN	-22852.607829933953	3.817723305826529e6	0.
-0.00003921161156251972	2.605885226095509e-11	NaN	NaN	NaN	-25084.481795665797	4.385916970172768e6	0.
-0.00003541203679870967	2.605885226095509e-11	NaN	NaN	NaN	-27675.35979602674	5.076000773706386e6	0.
-0.000031764445025452026	2.605885226095509e-11	NaN	NaN	NaN	-30708.132256286703	5.922770327507608e6	0.
-0.00004301118632632977	2.605885226095509e-11	NaN	NaN	NaN	-22931.179617733054	3.837296328795073e6	0.
-0.00003905962857196732	2.605885226095509e-11	NaN	NaN	NaN	-25178.919940447962	4.410507353982015e6	0.
-0.00003526005380815727	2.605885226095509e-11	NaN	NaN	NaN	-27789.95280115976	5.107248128323937e6	0.
-0.00003161246203489962	2.605885226095509e-11	NaN	NaN	NaN	-30848.637885414522	5.9629728841647105e6	0.
-0.00004285920333577737	2.605885226095509e-11	NaN	NaN	NaN	-23010.286181717463	3.8570343343942882e6	0.
-0.00003890764558141492	2.605885226095509e-11	NaN	NaN	NaN	-25274.060167798136	4.435322896398383e6	-1.3465155828185568e-7
-0.00003510807081760487	2.605885226095509e-11	NaN	NaN	NaN	-27905.479770520167	5.138813628206988e6	0.
-0.00003146047904434722	2.605885226095509e-11	NaN	NaN	NaN	-30990.403659146556	6.003619887480085e6	-1.6286933328166317e-7
-0.000042707220345224966	2.605885226095509e-11	NaN	NaN	NaN	-23089.93292414007	3.87693998281687e6	0.
-0.00003875566259086252	2.605885226095509e-11	NaN	NaN	NaN	-25369.910204421907	4.460369246187832e6	-3.0570257768886084e-7
-0.00003495608782705246	2.605885226095509e-11	NaN	NaN	NaN	-28021.951934443692	5.1706932908715615e6	-1.7082758780910346e-7
-0.000031308496053794814	2.605885226095509e-11	NaN	NaN	NaN	-31133.446176681646	6.04472133256422e6	0.
-0.000042555237354672566	2.605885226095509e-11	NaN	NaN	NaN	-23170.125319214036	3.89701466275961e6	-8.847482326311432e-7
